Ngay,Symbol,GiaDongCua
29/12/2023,VIC,44.6
28/12/2023,VIC,44.45
27/12/2023,VIC,43.6
26/12/2023,VIC,43.55
25/12/2023,VIC,43.4
22/12/2023,VIC,43.15
21/12/2023,VIC,43.2
20/12/2023,VIC,43.25
19/12/2023,VIC,43.2
18/12/2023,VIC,43.2
15/12/2023,VIC,43.7
14/12/2023,VIC,43.8
13/12/2023,VIC,43.9
12/12/2023,VIC,44.25
11/12/2023,VIC,44.05
08/12/2023,VIC,42.95
07/12/2023,VIC,42.8
06/12/2023,VIC,42.8
05/12/2023,VIC,42.8
04/12/2023,VIC,42.95
01/12/2023,VIC,42.1
30/11/2023,VIC,41.75
29/11/2023,VIC,42.55
28/11/2023,VIC,42.4
27/11/2023,VIC,41.85
24/11/2023,VIC,41.35
23/11/2023,VIC,41.3
22/11/2023,VIC,42.0
21/11/2023,VIC,42.6
20/11/2023,VIC,42.7
17/11/2023,VIC,42.2
16/11/2023,VIC,45.1
15/11/2023,VIC,45.4
14/11/2023,VIC,44.95
13/11/2023,VIC,44.8
10/11/2023,VIC,44.95
09/11/2023,VIC,45.4
08/11/2023,VIC,43.0
07/11/2023,VIC,42.05
06/11/2023,VIC,42.1
03/11/2023,VIC,41.6
02/11/2023,VIC,41.45
01/11/2023,VIC,40.4
31/10/2023,VIC,40.5
30/10/2023,VIC,41.5
27/10/2023,VIC,41.6
26/10/2023,VIC,41.6
25/10/2023,VIC,44.7
24/10/2023,VIC,43.45
23/10/2023,VIC,43.4
20/10/2023,VIC,43.35
19/10/2023,VIC,43.2
18/10/2023,VIC,43.8
17/10/2023,VIC,44.0
16/10/2023,VIC,45.0
13/10/2023,VIC,46.1
12/10/2023,VIC,46.5
11/10/2023,VIC,45.45
10/10/2023,VIC,44.9
09/10/2023,VIC,45.2
06/10/2023,VIC,45.95
05/10/2023,VIC,45.6
04/10/2023,VIC,46.1
03/10/2023,VIC,44.5
02/10/2023,VIC,46.9
29/09/2023,VIC,46.85
28/09/2023,VIC,45.0
27/09/2023,VIC,45.2
26/09/2023,VIC,45.0
25/09/2023,VIC,46.5
