Ngay,Symbol,GiaDongCua
29/12/2023,VRE,23.3
28/12/2023,VRE,23.5
27/12/2023,VRE,23.25
26/12/2023,VRE,23.3
25/12/2023,VRE,23.4
22/12/2023,VRE,22.95
21/12/2023,VRE,22.95
20/12/2023,VRE,23.0
19/12/2023,VRE,22.7
18/12/2023,VRE,22.6
15/12/2023,VRE,22.55
14/12/2023,VRE,22.85
13/12/2023,VRE,23.0
12/12/2023,VRE,23.65
11/12/2023,VRE,23.65
08/12/2023,VRE,23.35
07/12/2023,VRE,22.8
06/12/2023,VRE,22.9
05/12/2023,VRE,22.85
04/12/2023,VRE,23.0
01/12/2023,VRE,22.8
30/11/2023,VRE,22.1
29/11/2023,VRE,23.2
28/11/2023,VRE,22.8
27/11/2023,VRE,22.6
24/11/2023,VRE,22.6
23/11/2023,VRE,22.6
22/11/2023,VRE,22.8
21/11/2023,VRE,22.6
20/11/2023,VRE,22.55
17/11/2023,VRE,22.8
16/11/2023,VRE,23.85
15/11/2023,VRE,24.1
14/11/2023,VRE,24.0
13/11/2023,VRE,23.5
10/11/2023,VRE,23.95
09/11/2023,VRE,24.3
08/11/2023,VRE,23.7
07/11/2023,VRE,23.15
06/11/2023,VRE,24.0
03/11/2023,VRE,24.4
02/11/2023,VRE,23.25
01/11/2023,VRE,22.7
31/10/2023,VRE,22.2
30/10/2023,VRE,23.1
27/10/2023,VRE,22.9
26/10/2023,VRE,24.6
25/10/2023,VRE,26.45
24/10/2023,VRE,26.6
23/10/2023,VRE,26.0
20/10/2023,VRE,26.6
19/10/2023,VRE,26.4
18/10/2023,VRE,26.5
17/10/2023,VRE,27.0
16/10/2023,VRE,26.7
13/10/2023,VRE,27.35
12/10/2023,VRE,27.2
11/10/2023,VRE,27.0
10/10/2023,VRE,27.0
09/10/2023,VRE,27.05
06/10/2023,VRE,27.45
05/10/2023,VRE,26.8
04/10/2023,VRE,27.0
03/10/2023,VRE,26.3
02/10/2023,VRE,26.85
29/09/2023,VRE,26.1
28/09/2023,VRE,25.45
27/09/2023,VRE,26.1
26/09/2023,VRE,25.8
25/09/2023,VRE,26.6
22/09/2023,VRE,27.4
21/09/2023,VRE,28.15
20/09/2023,VRE,28.1
19/09/2023,VRE,27.6
18/09/2023,VRE,27.7
15/09/2023,VRE,28.4
14/09/2023,VRE,28.9
13/09/2023,VRE,29.0
12/09/2023,VRE,29.5
11/09/2023,VRE,28.7
08/09/2023,VRE,29.6
07/09/2023,VRE,30.3
06/09/2023,VRE,30.3
05/09/2023,VRE,30.15
31/08/2023,VRE,30.3
30/08/2023,VRE,29.7
29/08/2023,VRE,29.25
28/08/2023,VRE,29.75
25/08/2023,VRE,28.7
24/08/2023,VRE,29.05
23/08/2023,VRE,28.75
22/08/2023,VRE,29.3
21/08/2023,VRE,29.5
18/08/2023,VRE,29.1
17/08/2023,VRE,30.6
16/08/2023,VRE,31.5
15/08/2023,VRE,31.3
14/08/2023,VRE,30.3
11/08/2023,VRE,30.75
10/08/2023,VRE,30.05
09/08/2023,VRE,30.9
08/08/2023,VRE,31.0
07/08/2023,VRE,29.6
04/08/2023,VRE,28.7
03/08/2023,VRE,28.4
02/08/2023,VRE,28.9
