Ngay,Symbol,GiaDongCua
29/12/2023,AST,50.5
28/12/2023,AST,50.2
27/12/2023,AST,50.2
26/12/2023,AST,50.5
25/12/2023,AST,51.0
22/12/2023,AST,50.0
21/12/2023,AST,50.0
20/12/2023,AST,49.8
19/12/2023,AST,49.0
18/12/2023,AST,49.0
15/12/2023,AST,50.5
14/12/2023,AST,50.5
13/12/2023,AST,50.8
12/12/2023,AST,50.8
11/12/2023,AST,50.8
08/12/2023,AST,51.0
07/12/2023,AST,50.0
06/12/2023,AST,51.0
05/12/2023,AST,51.6
04/12/2023,AST,51.0
01/12/2023,AST,49.7
30/11/2023,AST,50.0
29/11/2023,AST,50.1
28/11/2023,AST,49.4
27/11/2023,AST,51.4
24/11/2023,AST,50.8
23/11/2023,AST,51.2
22/11/2023,AST,50.5
21/11/2023,AST,50.3
20/11/2023,AST,50.8
17/11/2023,AST,50.1
16/11/2023,AST,52.1
15/11/2023,AST,50.2
14/11/2023,AST,52.1
13/11/2023,AST,53.4
10/11/2023,AST,53.8
09/11/2023,AST,53.0
08/11/2023,AST,54.7
07/11/2023,AST,57.0
06/11/2023,AST,57.0
03/11/2023,AST,55.9
02/11/2023,AST,56.4
01/11/2023,AST,56.7
31/10/2023,AST,57.4
30/10/2023,AST,58.8
27/10/2023,AST,55.3
26/10/2023,AST,55.5
25/10/2023,AST,58.6
24/10/2023,AST,57.2
23/10/2023,AST,59.0
20/10/2023,AST,59.0
19/10/2023,AST,58.8
18/10/2023,AST,59.0
17/10/2023,AST,59.6
16/10/2023,AST,59.6
13/10/2023,AST,59.7
12/10/2023,AST,59.5
11/10/2023,AST,58.0
10/10/2023,AST,56.8
09/10/2023,AST,56.5
06/10/2023,AST,56.5
05/10/2023,AST,56.5
04/10/2023,AST,56.1
03/10/2023,AST,57.0
02/10/2023,AST,58.0
29/09/2023,AST,57.9
28/09/2023,AST,57.9
27/09/2023,AST,57.7
26/09/2023,AST,58.1
25/09/2023,AST,58.5
22/09/2023,AST,57.8
21/09/2023,AST,57.5
20/09/2023,AST,58.9
19/09/2023,AST,58.7
18/09/2023,AST,57.5
15/09/2023,AST,58.0
14/09/2023,AST,59.5
13/09/2023,AST,59.8
12/09/2023,AST,60.0
11/09/2023,AST,60.0
08/09/2023,AST,60.4
07/09/2023,AST,59.0
06/09/2023,AST,58.8
05/09/2023,AST,59.2
31/08/2023,AST,59.4
30/08/2023,AST,59.7
29/08/2023,AST,59.7
28/08/2023,AST,59.8
25/08/2023,AST,59.9
24/08/2023,AST,59.0
23/08/2023,AST,60.0
22/08/2023,AST,60.0
21/08/2023,AST,60.3
18/08/2023,AST,60.7
17/08/2023,AST,61.0
16/08/2023,AST,61.1
15/08/2023,AST,61.1
14/08/2023,AST,61.0
11/08/2023,AST,60.0
10/08/2023,AST,60.5
09/08/2023,AST,61.3
08/08/2023,AST,61.2
07/08/2023,AST,61.8
04/08/2023,AST,60.5
03/08/2023,AST,60.9
02/08/2023,AST,60.9
01/08/2023,AST,60.8
31/07/2023,AST,60.8
28/07/2023,AST,60.5
27/07/2023,AST,60.0
26/07/2023,AST,60.0
25/07/2023,AST,60.1
24/07/2023,AST,60.1
21/07/2023,AST,60.1
20/07/2023,AST,59.9
19/07/2023,AST,60.7
18/07/2023,AST,60.7
17/07/2023,AST,60.3
14/07/2023,AST,60.1
13/07/2023,AST,60.3
12/07/2023,AST,60.4
11/07/2023,AST,60.4
10/07/2023,AST,60.5
07/07/2023,AST,59.9
06/07/2023,AST,59.9
05/07/2023,AST,59.3
04/07/2023,AST,59.0
03/07/2023,AST,59.0
30/06/2023,AST,59.2
29/06/2023,AST,59.0
28/06/2023,AST,58.9
27/06/2023,AST,59.0
26/06/2023,AST,59.4
23/06/2023,AST,59.8
22/06/2023,AST,59.2
21/06/2023,AST,59.5
20/06/2023,AST,59.0
19/06/2023,AST,59.9
16/06/2023,AST,59.6
15/06/2023,AST,59.5
14/06/2023,AST,60.2
13/06/2023,AST,60.0
12/06/2023,AST,59.9
09/06/2023,AST,60.0
08/06/2023,AST,59.7
07/06/2023,AST,59.9
06/06/2023,AST,59.8
05/06/2023,AST,59.9
02/06/2023,AST,59.2
01/06/2023,AST,60.4
31/05/2023,AST,60.4
30/05/2023,AST,60.7
29/05/2023,AST,60.0
26/05/2023,AST,61.0
25/05/2023,AST,59.4
24/05/2023,AST,60.7
23/05/2023,AST,61.0
22/05/2023,AST,61.0
19/05/2023,AST,61.7
18/05/2023,AST,62.1
17/05/2023,AST,62.3
16/05/2023,AST,62.6
15/05/2023,AST,62.2
12/05/2023,AST,62.4
11/05/2023,AST,62.5
10/05/2023,AST,60.7
09/05/2023,AST,59.1
08/05/2023,AST,60.0
05/05/2023,AST,59.8
04/05/2023,AST,59.1
28/04/2023,AST,58.5
27/04/2023,AST,57.9
26/04/2023,AST,58.7
25/04/2023,AST,59.1
24/04/2023,AST,58.8
21/04/2023,AST,58.9
20/04/2023,AST,57.0
19/04/2023,AST,56.0
