Ngay,GiaDongCua
29/12/2023,8.5
28/12/2023,8.48
27/12/2023,8.5
26/12/2023,8.58
25/12/2023,8.68
22/12/2023,8.5
21/12/2023,8.7
20/12/2023,8.7
19/12/2023,8.8
18/12/2023,8.8
15/12/2023,8.9
14/12/2023,8.9
13/12/2023,8.9
12/12/2023,8.9
11/12/2023,9.0
08/12/2023,9.0
07/12/2023,8.8
06/12/2023,9.2
05/12/2023,9.2
04/12/2023,9.2
01/12/2023,9.19
30/11/2023,9.19
29/11/2023,8.8
28/11/2023,8.8
27/11/2023,9.0
24/11/2023,8.88
23/11/2023,8.8
22/11/2023,9.0
21/11/2023,9.0
20/11/2023,9.01
17/11/2023,9.0
16/11/2023,9.0
15/11/2023,9.0
14/11/2023,9.0
13/11/2023,9.1
10/11/2023,9.73
09/11/2023,9.47
08/11/2023,8.9
07/11/2023,9.25
06/11/2023,9.89
03/11/2023,9.39
02/11/2023,8.9
01/11/2023,8.81
31/10/2023,9.3
30/10/2023,9.16
27/10/2023,8.57
26/10/2023,8.9
25/10/2023,9.1
24/10/2023,9.1
23/10/2023,9.3
20/10/2023,9.3
19/10/2023,9.0
18/10/2023,9.0
17/10/2023,9.0
16/10/2023,9.35
13/10/2023,9.1
12/10/2023,9.1
11/10/2023,9.35
10/10/2023,9.1
09/10/2023,9.1
06/10/2023,9.1
05/10/2023,9.1
04/10/2023,9.1
03/10/2023,9.0
02/10/2023,9.1
29/09/2023,9.42
28/09/2023,9.0
27/09/2023,9.0
26/09/2023,9.51
25/09/2023,9.79
22/09/2023,9.7
21/09/2023,9.7
20/09/2023,9.85
19/09/2023,9.85
18/09/2023,9.85
15/09/2023,9.85
14/09/2023,9.85
13/09/2023,9.6
12/09/2023,9.28
11/09/2023,9.46
08/09/2023,9.78
07/09/2023,9.73
06/09/2023,9.88
05/09/2023,9.7
31/08/2023,9.7
30/08/2023,10.1
29/08/2023,9.99
28/08/2023,10.25
25/08/2023,10.2
24/08/2023,10.3
23/08/2023,10.3
22/08/2023,10.1
21/08/2023,10.1
18/08/2023,10.1
17/08/2023,9.5
16/08/2023,9.4
15/08/2023,9.4
14/08/2023,9.4
11/08/2023,9.4
10/08/2023,9.4
09/08/2023,9.4
08/08/2023,9.5
07/08/2023,9.41
04/08/2023,9.6
03/08/2023,9.6
02/08/2023,9.4
01/08/2023,9.4
31/07/2023,9.6
28/07/2023,9.7
27/07/2023,9.7
26/07/2023,9.7
25/07/2023,9.6
24/07/2023,9.6
21/07/2023,9.6
20/07/2023,9.6
19/07/2023,9.6
18/07/2023,9.4
17/07/2023,9.35
14/07/2023,9.35
13/07/2023,9.6
12/07/2023,9.6
11/07/2023,9.45
10/07/2023,9.01
07/07/2023,9.01
06/07/2023,9.6
05/07/2023,9.45
04/07/2023,9.45
03/07/2023,9.45
30/06/2023,9.42
29/06/2023,9.4
28/06/2023,9.4
27/06/2023,9.4
26/06/2023,9.45
23/06/2023,9.43
22/06/2023,9.45
21/06/2023,9.45
20/06/2023,9.41
19/06/2023,9.41
16/06/2023,9.5
15/06/2023,9.49
14/06/2023,9.8
13/06/2023,9.8
12/06/2023,9.6
09/06/2023,9.45
08/06/2023,9.6
07/06/2023,9.55
06/06/2023,9.89
05/06/2023,9.59
02/06/2023,9.89
01/06/2023,9.75
31/05/2023,9.8
30/05/2023,10.1
29/05/2023,10.3
26/05/2023,10.1
25/05/2023,9.48
24/05/2023,9.1
23/05/2023,9.01
22/05/2023,9.01
19/05/2023,9.11
18/05/2023,9.18
17/05/2023,9.18
16/05/2023,9.11
15/05/2023,9.1
12/05/2023,9.1
11/05/2023,9.1
10/05/2023,9.1
09/05/2023,9.1
08/05/2023,9.02
05/05/2023,9.1
04/05/2023,9.0
28/04/2023,9.14
27/04/2023,9.14
26/04/2023,9.03
25/04/2023,9.03
24/04/2023,9.03
21/04/2023,9.2
20/04/2023,9.2
19/04/2023,9.3
18/04/2023,9.3
17/04/2023,9.3002
14/04/2023,9.8
13/04/2023,9.87
12/04/2023,9.84
11/04/2023,9.87
10/04/2023,9.87
07/04/2023,9.87
06/04/2023,9.4
05/04/2023,9.4
04/04/2023,9.45
03/04/2023,9.4
31/03/2023,9.6
30/03/2023,9.6
29/03/2023,9.69
28/03/2023,9.69
27/03/2023,9.65
24/03/2023,9.65
23/03/2023,9.35
22/03/2023,9.55
21/03/2023,9.34
20/03/2023,9.19
17/03/2023,9.38
16/03/2023,9.02
15/03/2023,9.31
14/03/2023,9.4
13/03/2023,10.0
10/03/2023,9.75
09/03/2023,9.7
08/03/2023,9.7
07/03/2023,9.9
06/03/2023,9.95
03/03/2023,9.3
02/03/2023,9.49
01/03/2023,9.89
28/02/2023,9.3
27/02/2023,9.39
24/02/2023,9.5
23/02/2023,9.0
22/02/2023,9.3
21/02/2023,9.2
20/02/2023,9.29
17/02/2023,9.29
16/02/2023,9.3
15/02/2023,9.01
14/02/2023,9.5
13/02/2023,9.89
10/02/2023,9.6
09/02/2023,9.6
08/02/2023,9.6
07/02/2023,9.6
06/02/2023,10.0
03/02/2023,9.88
02/02/2023,9.88
01/02/2023,9.8
31/01/2023,9.81
30/01/2023,10.2
27/01/2023,10.35
19/01/2023,10.4
18/01/2023,9.89
17/01/2023,9.73
16/01/2023,9.1
13/01/2023,9.35
12/01/2023,9.46
11/01/2023,9.46
10/01/2023,9.45
09/01/2023,10.1
06/01/2023,10.1
05/01/2023,10.1
04/01/2023,10.1
03/01/2023,10.1
30/12/2022,10.8
29/12/2022,10.7
28/12/2022,10.0
27/12/2022,9.51
26/12/2022,8.96
23/12/2022,8.96
22/12/2022,8.87
21/12/2022,8.87
20/12/2022,8.61
19/12/2022,8.8
16/12/2022,8.62
15/12/2022,8.62
14/12/2022,8.96
13/12/2022,8.7
12/12/2022,9.15
09/12/2022,9.2
08/12/2022,9.11
07/12/2022,8.85
06/12/2022,8.98
05/12/2022,9.1
02/12/2022,8.9
01/12/2022,8.9
30/11/2022,8.55
29/11/2022,8.31
28/11/2022,8.63
25/11/2022,8.07
24/11/2022,8.48
23/11/2022,8.79
22/11/2022,8.79
21/11/2022,9.07
18/11/2022,8.78
17/11/2022,8.78
16/11/2022,8.23
15/11/2022,7.8
14/11/2022,8.23
11/11/2022,8.84
10/11/2022,8.89
09/11/2022,8.46
08/11/2022,9.08
07/11/2022,8.68
04/11/2022,8.69
03/11/2022,8.63
02/11/2022,9.18
01/11/2022,9.69
31/10/2022,9.14
28/10/2022,9.81
27/10/2022,9.87
26/10/2022,9.24
25/10/2022,9.78
24/10/2022,9.85
21/10/2022,9.85
20/10/2022,10.1
19/10/2022,10.1
18/10/2022,10.05
17/10/2022,10.0
14/10/2022,9.84
13/10/2022,9.2
12/10/2022,9.3
11/10/2022,9.4
10/10/2022,9.75
07/10/2022,9.8
06/10/2022,9.8
05/10/2022,10.0
04/10/2022,10.05
03/10/2022,10.65
30/09/2022,10.45
29/09/2022,11.0
28/09/2022,11.1
27/09/2022,11.15
26/09/2022,11.65
23/09/2022,11.9
22/09/2022,12.1
21/09/2022,12.1
20/09/2022,11.95
19/09/2022,11.9
16/09/2022,12.3
15/09/2022,13.15
14/09/2022,13.15
13/09/2022,14.55
12/09/2022,14.4
09/09/2022,14.5
08/09/2022,14.15
07/09/2022,14.3
06/09/2022,15.2
05/09/2022,15.3
31/08/2022,14.55
30/08/2022,14.5
29/08/2022,14.5
26/08/2022,14.5
25/08/2022,14.3
24/08/2022,14.2
23/08/2022,14.3
22/08/2022,14.05
19/08/2022,14.7
18/08/2022,15.0
17/08/2022,14.8
16/08/2022,14.55
15/08/2022,14.5
12/08/2022,14.6
11/08/2022,14.3
10/08/2022,14.4
09/08/2022,14.55
08/08/2022,14.5
05/08/2022,14.0
04/08/2022,14.0
03/08/2022,14.05
02/08/2022,13.85
01/08/2022,13.4
29/07/2022,13.45
28/07/2022,13.0
27/07/2022,12.7
26/07/2022,12.65
25/07/2022,12.65
22/07/2022,12.25
21/07/2022,12.45
20/07/2022,12.5
19/07/2022,12.6
18/07/2022,12.5
15/07/2022,12.3
14/07/2022,12.25
13/07/2022,12.1
12/07/2022,12.1
11/07/2022,12.15
08/07/2022,12.05
07/07/2022,12.25
06/07/2022,12.5
05/07/2022,12.7
04/07/2022,12.6
01/07/2022,12.55
30/06/2022,13.0
29/06/2022,13.0
28/06/2022,13.4
27/06/2022,13.4
24/06/2022,13.4
23/06/2022,13.45
22/06/2022,13.6
21/06/2022,13.75
20/06/2022,14.2
17/06/2022,14.1
16/06/2022,13.95
15/06/2022,14.25
14/06/2022,13.95
13/06/2022,14.6
10/06/2022,14.8
09/06/2022,14.0
08/06/2022,14.4
07/06/2022,15.15
06/06/2022,14.6
03/06/2022,15.45
02/06/2022,15.75
01/06/2022,15.75
31/05/2022,15.4
30/05/2022,15.45
27/05/2022,15.4
26/05/2022,15.15
25/05/2022,14.85
24/05/2022,15.0
23/05/2022,15.0
20/05/2022,15.4
19/05/2022,14.5
18/05/2022,14.5
17/05/2022,14.8
16/05/2022,14.35
13/05/2022,14.25
12/05/2022,15.3
11/05/2022,14.8
10/05/2022,15.0
09/05/2022,14.3
06/05/2022,15.35
05/05/2022,15.25
04/05/2022,15.2
29/04/2022,14.8
28/04/2022,14.8
27/04/2022,14.8
26/04/2022,14.6
25/04/2022,15.25
22/04/2022,14.85
21/04/2022,15.7
20/04/2022,15.85
19/04/2022,16.4
18/04/2022,16.95
15/04/2022,17.2
14/04/2022,17.2
13/04/2022,16.7
12/04/2022,16.1
08/04/2022,16.95
07/04/2022,17.3
06/04/2022,17.45
05/04/2022,17.85
04/04/2022,17.95
01/04/2022,18.0
31/03/2022,18.0
30/03/2022,18.95
29/03/2022,18.95
28/03/2022,20.35
25/03/2022,19.45
24/03/2022,18.3
23/03/2022,19.45
22/03/2022,18.2
21/03/2022,17.05
18/03/2022,15.95
17/03/2022,14.95
16/03/2022,14.0
15/03/2022,14.1
14/03/2022,14.15
11/03/2022,14.05
10/03/2022,14.7
09/03/2022,14.9
08/03/2022,14.9
07/03/2022,13.95
04/03/2022,14.1
03/03/2022,14.2
02/03/2022,14.3
01/03/2022,14.3
28/02/2022,14.45
25/02/2022,14.45
24/02/2022,14.4
23/02/2022,14.0
22/02/2022,14.0
21/02/2022,14.3
18/02/2022,14.4
17/02/2022,14.2
16/02/2022,14.3
15/02/2022,14.05
14/02/2022,14.05
11/02/2022,14.05
10/02/2022,14.1
09/02/2022,14.35
08/02/2022,14.35
07/02/2022,14.35
28/01/2022,14.35
27/01/2022,14.35
26/01/2022,13.8
25/01/2022,13.55
24/01/2022,14.55
21/01/2022,14.8
20/01/2022,14.8
19/01/2022,13.95
18/01/2022,13.05
17/01/2022,13.8
14/01/2022,13.55
13/01/2022,14.25
12/01/2022,14.25
11/01/2022,14.25
10/01/2022,14.25
07/01/2022,14.3
06/01/2022,14.6
05/01/2022,14.1
04/01/2022,14.0
31/12/2021,14.45
30/12/2021,14.75
29/12/2021,14.2
28/12/2021,14.75
27/12/2021,14.8
24/12/2021,14.55
23/12/2021,15.5
22/12/2021,15.5
21/12/2021,14.7
20/12/2021,13.75
17/12/2021,14.5
16/12/2021,14.5
15/12/2021,14.5
14/12/2021,15.1
13/12/2021,15.1
10/12/2021,15.2
09/12/2021,14.5
08/12/2021,14.5
07/12/2021,15.15
06/12/2021,15.7
03/12/2021,16.5
02/12/2021,15.5
01/12/2021,14.5
30/11/2021,14.5
29/11/2021,14.55
26/11/2021,15.25
25/11/2021,15.25
24/11/2021,15.25
23/11/2021,15.25
22/11/2021,14.95
19/11/2021,14.9
18/11/2021,14.9
17/11/2021,14.9
16/11/2021,15.0
15/11/2021,15.1
12/11/2021,15.3
11/11/2021,15.4
10/11/2021,15.4
09/11/2021,15.5
08/11/2021,15.6
05/11/2021,15.7
04/11/2021,15.5
03/11/2021,15.65
02/11/2021,14.65
01/11/2021,14.7
29/10/2021,13.75
28/10/2021,13.4
27/10/2021,13.6
26/10/2021,13.6
25/10/2021,13.6
22/10/2021,13.2
21/10/2021,13.5
20/10/2021,13.5
19/10/2021,13.6
18/10/2021,14.6
15/10/2021,14.85
14/10/2021,14.85
13/10/2021,14.8
12/10/2021,14.0
11/10/2021,13.3
08/10/2021,13.2
07/10/2021,13.2
06/10/2021,13.9
05/10/2021,13.3
04/10/2021,13.5
01/10/2021,13.3
30/09/2021,13.7
29/09/2021,13.7
28/09/2021,13.6
27/09/2021,13.6
24/09/2021,13.6
23/09/2021,13.6
22/09/2021,13.6
21/09/2021,13.55
20/09/2021,13.55
17/09/2021,13.55
16/09/2021,13.8
15/09/2021,13.5
14/09/2021,13.3
13/09/2021,13.1
10/09/2021,12.75
09/09/2021,13.5
08/09/2021,13.5
07/09/2021,13.5
06/09/2021,13.5
01/09/2021,13.5
31/08/2021,13.5
30/08/2021,13.5
27/08/2021,14.2
26/08/2021,13.5
25/08/2021,13.5
24/08/2021,13.5
23/08/2021,14.5
20/08/2021,14.5
19/08/2021,14.0
18/08/2021,13.75
17/08/2021,13.75
16/08/2021,13.65
13/08/2021,14.0
12/08/2021,14.0
11/08/2021,14.0
10/08/2021,14.35
09/08/2021,14.3
06/08/2021,14.3
05/08/2021,14.25
04/08/2021,14.25
03/08/2021,14.25
02/08/2021,14.35
30/07/2021,14.0
29/07/2021,13.8
28/07/2021,13.5
27/07/2021,13.5
26/07/2021,14.0
23/07/2021,13.9
22/07/2021,14.85
21/07/2021,15.95
20/07/2021,15.95
19/07/2021,15.95
16/07/2021,15.95
15/07/2021,15.95
14/07/2021,15.5
13/07/2021,15.0
12/07/2021,14.75
09/07/2021,14.4
08/07/2021,15.45
07/07/2021,14.5
06/07/2021,14.25
05/07/2021,14.25
02/07/2021,15.25
01/07/2021,15.25
30/06/2021,16.05
29/06/2021,15.0
28/06/2021,14.05
25/06/2021,13.15
24/06/2021,13.15
23/06/2021,14.0
22/06/2021,14.0
21/06/2021,14.7
18/06/2021,14.7
17/06/2021,14.7
16/06/2021,14.7
15/06/2021,14.85
14/06/2021,13.9
11/06/2021,13.9
10/06/2021,13.0
09/06/2021,13.95
08/06/2021,13.95
07/06/2021,13.95
04/06/2021,15.0
03/06/2021,14.1
02/06/2021,14.1
01/06/2021,14.1
31/05/2021,15.1
28/05/2021,16.2
27/05/2021,16.2
26/05/2021,16.35
25/05/2021,16.35
24/05/2021,16.35
21/05/2021,15.3
20/05/2021,14.3
19/05/2021,14.3
18/05/2021,15.25
17/05/2021,16.35
14/05/2021,15.3
13/05/2021,16.45
12/05/2021,15.4
11/05/2021,16.55
10/05/2021,16.55
07/05/2021,15.7
06/05/2021,14.7
05/05/2021,15.8
04/05/2021,15.3
29/04/2021,16.45
28/04/2021,15.45
27/04/2021,16.6
26/04/2021,15.55
23/04/2021,15.55
22/04/2021,14.55
20/04/2021,14.55
19/04/2021,14.55
16/04/2021,15.45
15/04/2021,14.45
14/04/2021,14.45
13/04/2021,15.5
12/04/2021,15.5
09/04/2021,15.5
08/04/2021,15.95
07/04/2021,15.95
06/04/2021,15.95
05/04/2021,15.95
02/04/2021,15.6
01/04/2021,16.6
31/03/2021,16.6
30/03/2021,15.6
29/03/2021,16.75
26/03/2021,18.0
25/03/2021,18.0
24/03/2021,17.35
23/03/2021,16.25
22/03/2021,17.45
19/03/2021,17.25
18/03/2021,16.15
17/03/2021,15.1
16/03/2021,14.25
15/03/2021,14.25
12/03/2021,15.3
11/03/2021,15.3
10/03/2021,16.25
09/03/2021,17.45
08/03/2021,16.6
05/03/2021,15.65
04/03/2021,14.65
03/03/2021,14.65
02/03/2021,14.55
01/03/2021,14.55
26/02/2021,14.55
25/02/2021,14.4
24/02/2021,15.3
23/02/2021,16.2
22/02/2021,17.4
19/02/2021,17.4
18/02/2021,17.5
17/02/2021,17.5
09/02/2021,17.5
08/02/2021,17.5
05/02/2021,17.5
04/02/2021,17.5
03/02/2021,17.5
02/02/2021,17.3
01/02/2021,17.3
29/01/2021,17.3
28/01/2021,17.3
27/01/2021,17.3
26/01/2021,17.3
25/01/2021,17.3
22/01/2021,17.3
21/01/2021,17.3
20/01/2021,20.8
19/01/2021,20.7
18/01/2021,20.3
15/01/2021,19.0
14/01/2021,18.55
13/01/2021,18.55
12/01/2021,17.35
11/01/2021,17.35
08/01/2021,16.25
07/01/2021,15.2
06/01/2021,15.2
05/01/2021,15.1
04/01/2021,15.1
31/12/2020,14.15
30/12/2020,15.2
