Ngay,Symbol,GiaDongCua
29/12/2023,DGW,52.3
28/12/2023,DGW,52.2
27/12/2023,DGW,52.5
26/12/2023,DGW,52.5
25/12/2023,DGW,52.8
22/12/2023,DGW,51.4
21/12/2023,DGW,51.5
20/12/2023,DGW,51.5
19/12/2023,DGW,50.7
18/12/2023,DGW,49.5
15/12/2023,DGW,50.7
14/12/2023,DGW,49.8
13/12/2023,DGW,51.5
12/12/2023,DGW,52.6
11/12/2023,DGW,53.2
08/12/2023,DGW,53.2
07/12/2023,DGW,53.0
06/12/2023,DGW,53.9
05/12/2023,DGW,52.0
04/12/2023,DGW,53.4
01/12/2023,DGW,51.5
30/11/2023,DGW,50.5
29/11/2023,DGW,51.5
28/11/2023,DGW,49.75
27/11/2023,DGW,49.8
24/11/2023,DGW,50.8
23/11/2023,DGW,49.5
22/11/2023,DGW,53.0
21/11/2023,DGW,53.0
20/11/2023,DGW,51.0
17/11/2023,DGW,50.5
16/11/2023,DGW,51.7
15/11/2023,DGW,51.0
14/11/2023,DGW,50.4
13/11/2023,DGW,50.5
10/11/2023,DGW,49.45
09/11/2023,DGW,50.5
08/11/2023,DGW,50.1
07/11/2023,DGW,46.9
06/11/2023,DGW,47.0
03/11/2023,DGW,46.8
02/11/2023,DGW,46.8
01/11/2023,DGW,43.8
31/10/2023,DGW,42.05
30/10/2023,DGW,45.2
27/10/2023,DGW,48.55
26/10/2023,DGW,50.3
25/10/2023,DGW,54.0
24/10/2023,DGW,54.0
23/10/2023,DGW,52.8
20/10/2023,DGW,54.5
19/10/2023,DGW,53.6
18/10/2023,DGW,55.9
17/10/2023,DGW,54.3
16/10/2023,DGW,58.2
13/10/2023,DGW,60.7
12/10/2023,DGW,60.7
11/10/2023,DGW,59.5
10/10/2023,DGW,58.5
09/10/2023,DGW,58.8
06/10/2023,DGW,58.0
05/10/2023,DGW,55.0
04/10/2023,DGW,55.6
03/10/2023,DGW,53.9
02/10/2023,DGW,57.9
29/09/2023,DGW,57.9
28/09/2023,DGW,56.9
27/09/2023,DGW,57.0
26/09/2023,DGW,54.0
25/09/2023,DGW,54.0
22/09/2023,DGW,58.0
21/09/2023,DGW,61.0
20/09/2023,DGW,62.6
19/09/2023,DGW,60.3
18/09/2023,DGW,58.5
15/09/2023,DGW,58.9
14/09/2023,DGW,59.5
13/09/2023,DGW,61.4
12/09/2023,DGW,62.0
11/09/2023,DGW,60.0
08/09/2023,DGW,59.9
07/09/2023,DGW,58.8
06/09/2023,DGW,59.9
05/09/2023,DGW,59.0
31/08/2023,DGW,57.9
30/08/2023,DGW,58.2
29/08/2023,DGW,57.3
28/08/2023,DGW,56.9
25/08/2023,DGW,55.0
24/08/2023,DGW,53.8
23/08/2023,DGW,51.4
22/08/2023,DGW,51.9
21/08/2023,DGW,48.55
18/08/2023,DGW,49.95
17/08/2023,DGW,53.7
16/08/2023,DGW,53.0
15/08/2023,DGW,54.0
14/08/2023,DGW,54.5
11/08/2023,DGW,53.6
10/08/2023,DGW,54.5
09/08/2023,DGW,55.8
08/08/2023,DGW,55.1
07/08/2023,DGW,56.2
04/08/2023,DGW,56.0
03/08/2023,DGW,56.0
02/08/2023,DGW,54.0
01/08/2023,DGW,53.1
31/07/2023,DGW,54.1
28/07/2023,DGW,53.5
27/07/2023,DGW,54.1
26/07/2023,DGW,52.4
25/07/2023,DGW,53.5
24/07/2023,DGW,54.5
21/07/2023,DGW,54.9
20/07/2023,DGW,51.4
19/07/2023,DGW,49.35
18/07/2023,DGW,49.0
17/07/2023,DGW,49.35
14/07/2023,DGW,50.0
13/07/2023,DGW,50.4
12/07/2023,DGW,49.0
11/07/2023,DGW,48.4
10/07/2023,DGW,47.85
07/07/2023,DGW,46.0
06/07/2023,DGW,43.0
05/07/2023,DGW,43.25
04/07/2023,DGW,42.3
03/07/2023,DGW,41.8
30/06/2023,DGW,41.6
29/06/2023,DGW,40.4
28/06/2023,DGW,42.2
27/06/2023,DGW,42.5
26/06/2023,DGW,42.8
23/06/2023,DGW,41.0
22/06/2023,DGW,41.7
21/06/2023,DGW,41.0
20/06/2023,DGW,41.0
19/06/2023,DGW,40.2
16/06/2023,DGW,39.0
15/06/2023,DGW,39.5
14/06/2023,DGW,39.9
13/06/2023,DGW,40.7
12/06/2023,DGW,41.0
09/06/2023,DGW,38.35
08/06/2023,DGW,37.1
07/06/2023,DGW,38.0
06/06/2023,DGW,37.3
05/06/2023,DGW,37.45
02/06/2023,DGW,37.35
01/06/2023,DGW,36.2
31/05/2023,DGW,35.4
30/05/2023,DGW,35.65
29/05/2023,DGW,34.1
26/05/2023,DGW,33.1
25/05/2023,DGW,32.85
24/05/2023,DGW,33.3
23/05/2023,DGW,33.8
22/05/2023,DGW,34.15
19/05/2023,DGW,33.05
18/05/2023,DGW,33.0
17/05/2023,DGW,32.9
16/05/2023,DGW,32.9
15/05/2023,DGW,33.5
12/05/2023,DGW,34.05
11/05/2023,DGW,34.3
10/05/2023,DGW,34.5
09/05/2023,DGW,33.35
08/05/2023,DGW,32.9
05/05/2023,DGW,33.55
04/05/2023,DGW,33.55
28/04/2023,DGW,34.3
27/04/2023,DGW,33.35
26/04/2023,DGW,33.6
25/04/2023,DGW,32.9
24/04/2023,DGW,33.9
21/04/2023,DGW,34.45
20/04/2023,DGW,34.9
19/04/2023,DGW,35.7
18/04/2023,DGW,34.05
17/04/2023,DGW,32.65
14/04/2023,DGW,32.8
13/04/2023,DGW,34.05
12/04/2023,DGW,33.8
11/04/2023,DGW,34.2
10/04/2023,DGW,33.45
07/04/2023,DGW,31.3
06/04/2023,DGW,31.6
05/04/2023,DGW,32.7
04/04/2023,DGW,31.9
03/04/2023,DGW,29.9
31/03/2023,DGW,28.7
30/03/2023,DGW,29.25
29/03/2023,DGW,31.45
28/03/2023,DGW,32.5
27/03/2023,DGW,32.7
24/03/2023,DGW,33.1
23/03/2023,DGW,33.3
22/03/2023,DGW,32.7
21/03/2023,DGW,34.0
20/03/2023,DGW,34.0
17/03/2023,DGW,34.95
16/03/2023,DGW,34.7
15/03/2023,DGW,35.6
14/03/2023,DGW,34.65
13/03/2023,DGW,36.1
10/03/2023,DGW,37.0
09/03/2023,DGW,37.25
08/03/2023,DGW,34.85
07/03/2023,DGW,35.1
06/03/2023,DGW,36.0
03/03/2023,DGW,36.8
02/03/2023,DGW,37.2
01/03/2023,DGW,37.75
28/02/2023,DGW,36.5
27/02/2023,DGW,37.5
24/02/2023,DGW,39.85
23/02/2023,DGW,40.9
22/02/2023,DGW,41.5
21/02/2023,DGW,41.8
20/02/2023,DGW,40.8
17/02/2023,DGW,39.9
16/02/2023,DGW,40.65
15/02/2023,DGW,39.75
14/02/2023,DGW,39.2
13/02/2023,DGW,39.0
10/02/2023,DGW,39.7
09/02/2023,DGW,40.85
08/02/2023,DGW,41.7
07/02/2023,DGW,41.0
06/02/2023,DGW,41.05
03/02/2023,DGW,41.3
02/02/2023,DGW,40.5
01/02/2023,DGW,41.3
31/01/2023,DGW,44.0
30/01/2023,DGW,42.8
27/01/2023,DGW,43.6
19/01/2023,DGW,43.2
18/01/2023,DGW,42.55
17/01/2023,DGW,39.8
16/01/2023,DGW,38.8
13/01/2023,DGW,39.6
12/01/2023,DGW,39.6
11/01/2023,DGW,39.6
10/01/2023,DGW,39.75
09/01/2023,DGW,38.6
06/01/2023,DGW,38.4
05/01/2023,DGW,39.55
04/01/2023,DGW,40.1
03/01/2023,DGW,40.0
30/12/2022,DGW,37.75
29/12/2022,DGW,38.0
28/12/2022,DGW,38.45
27/12/2022,DGW,38.6
26/12/2022,DGW,36.75
23/12/2022,DGW,39.4
22/12/2022,DGW,39.9
21/12/2022,DGW,39.6
20/12/2022,DGW,41.0
19/12/2022,DGW,42.9
16/12/2022,DGW,44.9
15/12/2022,DGW,44.2
14/12/2022,DGW,43.5
13/12/2022,DGW,44.0
12/12/2022,DGW,41.8
09/12/2022,DGW,43.5
08/12/2022,DGW,43.85
07/12/2022,DGW,41.0
06/12/2022,DGW,44.0
05/12/2022,DGW,47.3
02/12/2022,DGW,47.0
01/12/2022,DGW,45.55
30/11/2022,DGW,44.25
29/11/2022,DGW,41.4
28/11/2022,DGW,38.7
25/11/2022,DGW,36.2
24/11/2022,DGW,35.1
23/11/2022,DGW,37.7
22/11/2022,DGW,37.7
21/11/2022,DGW,40.0
18/11/2022,DGW,43.0
17/11/2022,DGW,40.7
16/11/2022,DGW,39.3
15/11/2022,DGW,36.75
14/11/2022,DGW,39.5
11/11/2022,DGW,42.45
10/11/2022,DGW,45.6
09/11/2022,DGW,49.0
08/11/2022,DGW,52.4
07/11/2022,DGW,51.2
04/11/2022,DGW,55.0
03/11/2022,DGW,59.1
02/11/2022,DGW,59.0
01/11/2022,DGW,59.0
31/10/2022,DGW,61.0
28/10/2022,DGW,62.0
