Ngay,Symbol,GiaDongCua
29/12/2023,FRT,107.0
28/12/2023,FRT,105.2
27/12/2023,FRT,103.1
26/12/2023,FRT,103.4
25/12/2023,FRT,103.9
22/12/2023,FRT,102.5
21/12/2023,FRT,101.9
20/12/2023,FRT,101.5
19/12/2023,FRT,99.7
18/12/2023,FRT,100.6
15/12/2023,FRT,100.8
14/12/2023,FRT,100.0
13/12/2023,FRT,100.0
12/12/2023,FRT,101.5
11/12/2023,FRT,99.1
08/12/2023,FRT,101.1
07/12/2023,FRT,101.9
06/12/2023,FRT,101.8
05/12/2023,FRT,101.8
04/12/2023,FRT,103.0
01/12/2023,FRT,103.0
30/11/2023,FRT,102.4
29/11/2023,FRT,99.8
28/11/2023,FRT,98.8
27/11/2023,FRT,99.0
24/11/2023,FRT,102.0
23/11/2023,FRT,99.9
22/11/2023,FRT,101.7
21/11/2023,FRT,102.0
20/11/2023,FRT,101.5
17/11/2023,FRT,102.9
16/11/2023,FRT,103.5
15/11/2023,FRT,104.9
14/11/2023,FRT,104.0
13/11/2023,FRT,103.3
10/11/2023,FRT,103.3
09/11/2023,FRT,104.5
08/11/2023,FRT,100.0
07/11/2023,FRT,96.0
06/11/2023,FRT,97.0
03/11/2023,FRT,96.0
02/11/2023,FRT,92.8
01/11/2023,FRT,88.0
31/10/2023,FRT,87.0
30/10/2023,FRT,86.4
27/10/2023,FRT,92.8
26/10/2023,FRT,92.9
25/10/2023,FRT,95.0
24/10/2023,FRT,93.9
23/10/2023,FRT,92.9
20/10/2023,FRT,94.7
19/10/2023,FRT,94.0
18/10/2023,FRT,95.0
17/10/2023,FRT,94.5
16/10/2023,FRT,97.0
13/10/2023,FRT,97.4
12/10/2023,FRT,96.0
11/10/2023,FRT,96.0
10/10/2023,FRT,95.1
09/10/2023,FRT,96.0
06/10/2023,FRT,97.5
05/10/2023,FRT,94.4
04/10/2023,FRT,95.2
03/10/2023,FRT,89.0
02/10/2023,FRT,90.0
29/09/2023,FRT,89.0
28/09/2023,FRT,85.2
27/09/2023,FRT,85.0
26/09/2023,FRT,83.9
25/09/2023,FRT,86.5
22/09/2023,FRT,89.0
