Ngay,GiaDongCua
29/12/2023,13.9
28/12/2023,14.0
27/12/2023,14.0
26/12/2023,14.1
25/12/2023,14.1
22/12/2023,14.1
21/12/2023,14.2
20/12/2023,14.25
19/12/2023,14.05
18/12/2023,14.05
15/12/2023,14.2
14/12/2023,14.0
13/12/2023,14.0
12/12/2023,14.25
11/12/2023,14.2
08/12/2023,14.25
07/12/2023,14.15
06/12/2023,14.15
05/12/2023,13.8
04/12/2023,13.85
01/12/2023,13.7
30/11/2023,13.7
29/11/2023,13.8
28/11/2023,13.8
27/11/2023,13.75
24/11/2023,13.8
23/11/2023,13.9
22/11/2023,13.85
21/11/2023,13.9
20/11/2023,13.9
17/11/2023,13.9
16/11/2023,14.0
15/11/2023,14.0
14/11/2023,14.0
13/11/2023,13.95
10/11/2023,14.0
09/11/2023,14.2
08/11/2023,14.4
07/11/2023,13.8
06/11/2023,13.9
03/11/2023,13.7
02/11/2023,13.8
01/11/2023,13.15
31/10/2023,13.0
30/10/2023,13.25
27/10/2023,13.45
26/10/2023,13.2
25/10/2023,14.1
24/10/2023,14.25
23/10/2023,14.3
20/10/2023,14.5
19/10/2023,14.4
18/10/2023,14.45
17/10/2023,14.5
16/10/2023,14.55
13/10/2023,15.0
12/10/2023,15.1
11/10/2023,14.8
10/10/2023,14.9
09/10/2023,14.75
06/10/2023,14.5
05/10/2023,14.4
04/10/2023,14.55
03/10/2023,14.25
02/10/2023,14.95
29/09/2023,15.0
28/09/2023,15.1
27/09/2023,15.1
26/09/2023,14.75
25/09/2023,14.6
22/09/2023,15.6
21/09/2023,16.15
20/09/2023,15.8
19/09/2023,15.8
18/09/2023,15.65
15/09/2023,15.45
14/09/2023,15.6
13/09/2023,16.05
12/09/2023,16.2
11/09/2023,15.9
08/09/2023,16.15
07/09/2023,16.15
06/09/2023,16.25
05/09/2023,16.05
31/08/2023,16.0
30/08/2023,15.75
29/08/2023,15.65
28/08/2023,15.5
25/08/2023,15.25
24/08/2023,15.5
23/08/2023,15.35
22/08/2023,15.5
21/08/2023,15.25
18/08/2023,15.4
17/08/2023,16.5
16/08/2023,17.15
15/08/2023,16.3
14/08/2023,16.25
11/08/2023,16.2
10/08/2023,15.95
09/08/2023,16.15
08/08/2023,16.25
07/08/2023,16.3
04/08/2023,16.35
03/08/2023,16.1
02/08/2023,15.5
01/08/2023,15.55
31/07/2023,15.75
28/07/2023,15.45
27/07/2023,15.6
26/07/2023,15.7
25/07/2023,15.75
24/07/2023,15.9
21/07/2023,15.9
20/07/2023,15.7
19/07/2023,15.45
18/07/2023,15.65
17/07/2023,15.85
14/07/2023,15.85
13/07/2023,16.0
12/07/2023,15.8
11/07/2023,16.0
10/07/2023,16.3
07/07/2023,16.05
06/07/2023,15.6
05/07/2023,15.95
04/07/2023,15.65
03/07/2023,15.45
30/06/2023,15.35
29/06/2023,15.7
28/06/2023,16.15
27/06/2023,15.55
26/06/2023,15.5
23/06/2023,15.4
22/06/2023,15.55
21/06/2023,15.4
20/06/2023,19.15
19/06/2023,19.05
16/06/2023,18.9
15/06/2023,18.85
14/06/2023,19.2
13/06/2023,19.7
12/06/2023,19.95
09/06/2023,19.25
08/06/2023,19.25
07/06/2023,18.85
06/06/2023,18.9
05/06/2023,18.8
02/06/2023,18.95
01/06/2023,18.5
31/05/2023,18.6
30/05/2023,18.5
29/05/2023,17.9
26/05/2023,17.85
25/05/2023,17.85
24/05/2023,18.2
23/05/2023,18.1
22/05/2023,18.2
19/05/2023,18.1
18/05/2023,17.9
17/05/2023,17.6
16/05/2023,17.75
15/05/2023,17.85
12/05/2023,18.2
11/05/2023,18.0
10/05/2023,18.2
09/05/2023,18.25
08/05/2023,18.15
05/05/2023,18.35
04/05/2023,17.65
28/04/2023,17.75
27/04/2023,17.5
26/04/2023,17.95
25/04/2023,17.7
24/04/2023,18.2
21/04/2023,19.5
20/04/2023,19.2
19/04/2023,18.9
18/04/2023,19.2
17/04/2023,18.7
14/04/2023,18.5
13/04/2023,19.4
12/04/2023,19.4
11/04/2023,18.2
10/04/2023,17.9
07/04/2023,17.9
06/04/2023,17.3
05/04/2023,17.8
04/04/2023,18.0
03/04/2023,17.65
31/03/2023,17.7
30/03/2023,16.85
29/03/2023,16.85
28/03/2023,16.35
27/03/2023,16.3
24/03/2023,16.35
23/03/2023,16.35
22/03/2023,16.3
21/03/2023,16.45
20/03/2023,16.1
17/03/2023,16.75
16/03/2023,16.65
15/03/2023,17.0
14/03/2023,16.6
13/03/2023,17.35
10/03/2023,17.4
09/03/2023,17.0
08/03/2023,17.0
07/03/2023,16.5
06/03/2023,15.8
03/03/2023,15.6
02/03/2023,15.7
01/03/2023,15.9
28/02/2023,15.7
27/02/2023,15.6
24/02/2023,16.1
23/02/2023,16.7
22/02/2023,16.75
21/02/2023,17.1
20/02/2023,17.4
17/02/2023,16.95
16/02/2023,16.65
15/02/2023,16.5
14/02/2023,16.35
13/02/2023,16.35
10/02/2023,17.45
09/02/2023,17.55
08/02/2023,17.8
07/02/2023,17.75
06/02/2023,17.8
03/02/2023,17.8
02/02/2023,17.35
01/02/2023,18.0
31/01/2023,18.7
30/01/2023,18.2
27/01/2023,18.5
19/01/2023,18.5
18/01/2023,18.3
17/01/2023,18.5
16/01/2023,17.95
