Ngay,Symbol,GiaDongCua
29/12/2023,MWG,42.8
28/12/2023,MWG,43.05
27/12/2023,MWG,42.85
26/12/2023,MWG,42.7
25/12/2023,MWG,42.65
22/12/2023,MWG,42.35
21/12/2023,MWG,42.65
20/12/2023,MWG,42.4
19/12/2023,MWG,40.65
18/12/2023,MWG,39.6
15/12/2023,MWG,40.75
14/12/2023,MWG,41.6
13/12/2023,MWG,41.7
12/12/2023,MWG,42.5
11/12/2023,MWG,42.5
08/12/2023,MWG,42.6
07/12/2023,MWG,40.85
06/12/2023,MWG,40.95
05/12/2023,MWG,40.0
04/12/2023,MWG,39.95
01/12/2023,MWG,38.75
30/11/2023,MWG,38.5
29/11/2023,MWG,38.8
28/11/2023,MWG,38.0
27/11/2023,MWG,38.0
24/11/2023,MWG,38.55
23/11/2023,MWG,37.3
22/11/2023,MWG,39.8
21/11/2023,MWG,40.9
20/11/2023,MWG,40.55
17/11/2023,MWG,41.4
16/11/2023,MWG,41.5
15/11/2023,MWG,41.9
14/11/2023,MWG,41.5
13/11/2023,MWG,40.0
10/11/2023,MWG,39.4
09/11/2023,MWG,40.3
08/11/2023,MWG,39.6
07/11/2023,MWG,38.2
06/11/2023,MWG,38.05
03/11/2023,MWG,38.95
02/11/2023,MWG,37.0
01/11/2023,MWG,35.1
31/10/2023,MWG,37.7
30/10/2023,MWG,40.5
27/10/2023,MWG,42.0
26/10/2023,MWG,42.0
25/10/2023,MWG,43.5
24/10/2023,MWG,43.0
23/10/2023,MWG,43.0
20/10/2023,MWG,44.7
19/10/2023,MWG,43.0
18/10/2023,MWG,44.7
17/10/2023,MWG,46.3
16/10/2023,MWG,48.6
13/10/2023,MWG,49.5
12/10/2023,MWG,48.4
11/10/2023,MWG,49.3
10/10/2023,MWG,48.85
09/10/2023,MWG,47.95
06/10/2023,MWG,48.3
05/10/2023,MWG,47.0
04/10/2023,MWG,49.2
03/10/2023,MWG,49.0
02/10/2023,MWG,51.9
29/09/2023,MWG,52.6
28/09/2023,MWG,53.0
27/09/2023,MWG,52.0
26/09/2023,MWG,51.5
25/09/2023,MWG,51.0
22/09/2023,MWG,52.1
21/09/2023,MWG,54.2
20/09/2023,MWG,55.8
19/09/2023,MWG,55.5
18/09/2023,MWG,55.0
15/09/2023,MWG,55.9
14/09/2023,MWG,57.3
13/09/2023,MWG,57.5
12/09/2023,MWG,55.8
11/09/2023,MWG,54.5
08/09/2023,MWG,55.5
07/09/2023,MWG,55.0
06/09/2023,MWG,55.0
05/09/2023,MWG,54.3
31/08/2023,MWG,53.8
30/08/2023,MWG,53.8
29/08/2023,MWG,52.9
28/08/2023,MWG,51.7
25/08/2023,MWG,50.5
24/08/2023,MWG,50.3
23/08/2023,MWG,49.7
22/08/2023,MWG,50.0
21/08/2023,MWG,49.0
18/08/2023,MWG,50.2
17/08/2023,MWG,53.9
16/08/2023,MWG,53.8
15/08/2023,MWG,54.0
14/08/2023,MWG,54.2
11/08/2023,MWG,53.3
10/08/2023,MWG,52.0
09/08/2023,MWG,52.6
08/08/2023,MWG,53.6
07/08/2023,MWG,53.8
04/08/2023,MWG,53.0
03/08/2023,MWG,52.7
02/08/2023,MWG,51.7
01/08/2023,MWG,51.7
31/07/2023,MWG,53.7
28/07/2023,MWG,54.5
27/07/2023,MWG,54.1
26/07/2023,MWG,52.6
25/07/2023,MWG,53.6
24/07/2023,MWG,54.5
21/07/2023,MWG,52.5
20/07/2023,MWG,49.1
19/07/2023,MWG,48.5
18/07/2023,MWG,48.05
17/07/2023,MWG,48.65
14/07/2023,MWG,49.45
13/07/2023,MWG,49.35
12/07/2023,MWG,49.15
11/07/2023,MWG,48.8
10/07/2023,MWG,47.75
07/07/2023,MWG,45.5
06/07/2023,MWG,43.2
05/07/2023,MWG,43.35
04/07/2023,MWG,43.25
03/07/2023,MWG,43.0
30/06/2023,MWG,43.3
29/06/2023,MWG,42.7
28/06/2023,MWG,43.9
27/06/2023,MWG,44.2
26/06/2023,MWG,44.35
23/06/2023,MWG,42.9
22/06/2023,MWG,43.05
21/06/2023,MWG,42.7
20/06/2023,MWG,42.5
19/06/2023,MWG,41.5
16/06/2023,MWG,41.35
