Ngay,GiaDongCua
29/12/2023,86.0
28/12/2023,84.8
27/12/2023,85.3
26/12/2023,85.6
25/12/2023,84.5
22/12/2023,83.8
21/12/2023,83.9
20/12/2023,80.3
19/12/2023,79.4
18/12/2023,79.5
15/12/2023,79.2
14/12/2023,79.6
13/12/2023,80.4
12/12/2023,80.3
11/12/2023,80.0
08/12/2023,78.6
07/12/2023,78.5
06/12/2023,80.1
05/12/2023,80.0
04/12/2023,80.5
01/12/2023,80.3
30/11/2023,80.5
29/11/2023,79.9
28/11/2023,79.1
27/11/2023,79.5
24/11/2023,80.4
23/11/2023,80.8
22/11/2023,81.2
21/11/2023,81.1
20/11/2023,79.0
17/11/2023,78.9
16/11/2023,78.0
15/11/2023,78.3
14/11/2023,78.1
13/11/2023,76.1
10/11/2023,76.0
09/11/2023,76.5
08/11/2023,77.0
07/11/2023,75.9
06/11/2023,76.6
03/11/2023,73.8
02/11/2023,73.8
01/11/2023,72.0
31/10/2023,72.0
30/10/2023,72.9
27/10/2023,73.6
26/10/2023,74.0
25/10/2023,74.3
24/10/2023,74.8
23/10/2023,74.3
20/10/2023,75.4
19/10/2023,75.9
18/10/2023,77.0
17/10/2023,79.1
16/10/2023,79.9
13/10/2023,79.8
12/10/2023,80.0
11/10/2023,80.3
10/10/2023,79.5
09/10/2023,80.0
06/10/2023,78.0
05/10/2023,77.8
04/10/2023,77.6
03/10/2023,77.5
02/10/2023,78.9
29/09/2023,78.8
28/09/2023,78.5
27/09/2023,79.1
26/09/2023,78.5
25/09/2023,79.8
22/09/2023,81.0
21/09/2023,82.6
20/09/2023,82.7
19/09/2023,81.2
18/09/2023,81.5
15/09/2023,81.4
14/09/2023,81.2
13/09/2023,83.3
12/09/2023,83.6
11/09/2023,83.6
08/09/2023,84.0
07/09/2023,84.2
06/09/2023,81.1
05/09/2023,80.5
31/08/2023,80.5
30/08/2023,80.7
29/08/2023,80.4
28/08/2023,79.5
25/08/2023,78.3
24/08/2023,78.0
23/08/2023,77.5
22/08/2023,78.5
21/08/2023,79.0
18/08/2023,78.5
17/08/2023,80.2
16/08/2023,80.2
15/08/2023,79.0
14/08/2023,79.4
11/08/2023,79.4
10/08/2023,79.0
09/08/2023,80.3
08/08/2023,81.4
07/08/2023,82.2
04/08/2023,80.8
03/08/2023,81.3
02/08/2023,81.5
01/08/2023,81.0
31/07/2023,83.0
28/07/2023,82.6
27/07/2023,80.9
26/07/2023,81.8
25/07/2023,80.5
24/07/2023,79.3
21/07/2023,80.0
20/07/2023,78.9
19/07/2023,78.6
18/07/2023,79.7
17/07/2023,80.3
14/07/2023,78.5
13/07/2023,78.0
12/07/2023,73.8
11/07/2023,74.5
10/07/2023,73.7
07/07/2023,71.8
06/07/2023,72.6
05/07/2023,73.7
04/07/2023,74.0
03/07/2023,74.0
30/06/2023,75.0
29/06/2023,75.0
28/06/2023,74.8
27/06/2023,75.5
26/06/2023,76.4
23/06/2023,75.8
22/06/2023,74.5
21/06/2023,72.8
20/06/2023,72.3
19/06/2023,72.3
16/06/2023,72.8
15/06/2023,73.3
14/06/2023,72.8
13/06/2023,73.3
12/06/2023,72.5
09/06/2023,72.0
08/06/2023,72.2
07/06/2023,72.6
06/06/2023,72.8
05/06/2023,73.7
02/06/2023,73.0
01/06/2023,70.3
31/05/2023,70.9
30/05/2023,71.1
29/05/2023,71.4
26/05/2023,72.0
25/05/2023,71.2
24/05/2023,71.5
23/05/2023,72.2
22/05/2023,72.1
19/05/2023,72.5
18/05/2023,73.5
17/05/2023,74.6
16/05/2023,74.5
15/05/2023,75.2
12/05/2023,75.0
11/05/2023,75.0
10/05/2023,75.2
09/05/2023,75.6
08/05/2023,75.9
05/05/2023,76.2
04/05/2023,76.1
28/04/2023,77.0
27/04/2023,75.7
26/04/2023,75.6
25/04/2023,75.5
24/04/2023,76.5
21/04/2023,77.0
20/04/2023,77.3
19/04/2023,78.0
18/04/2023,78.2
17/04/2023,78.1
14/04/2023,77.6
13/04/2023,77.0
12/04/2023,77.9
11/04/2023,78.6
10/04/2023,77.2
07/04/2023,76.5
06/04/2023,76.8
05/04/2023,77.3
04/04/2023,76.6
03/04/2023,76.8
31/03/2023,77.7
30/03/2023,77.7
29/03/2023,77.0
28/03/2023,77.8
27/03/2023,78.2
24/03/2023,79.0
23/03/2023,78.5
22/03/2023,78.9
21/03/2023,79.0
20/03/2023,80.0
17/03/2023,79.0
16/03/2023,80.5
15/03/2023,80.8
14/03/2023,80.7
13/03/2023,80.2
10/03/2023,79.0
09/03/2023,79.9
08/03/2023,80.0
07/03/2023,79.3
06/03/2023,78.5
03/03/2023,79.4
02/03/2023,80.3
01/03/2023,77.6
28/02/2023,76.9
27/02/2023,76.1
24/02/2023,81.0
23/02/2023,82.1
22/02/2023,83.0
21/02/2023,84.5
20/02/2023,84.5
17/02/2023,83.0
16/02/2023,82.6
15/02/2023,82.0
14/02/2023,82.1
13/02/2023,83.5
10/02/2023,83.3
09/02/2023,82.9
08/02/2023,82.9
07/02/2023,83.1
06/02/2023,83.8
03/02/2023,82.1
02/02/2023,85.5
01/02/2023,86.7
31/01/2023,90.2
30/01/2023,92.2
27/01/2023,94.0
19/01/2023,88.9
18/01/2023,88.5
17/01/2023,88.0
16/01/2023,87.5
13/01/2023,86.3
12/01/2023,86.0
11/01/2023,86.8
10/01/2023,88.0
09/01/2023,88.2
06/01/2023,88.2
05/01/2023,89.5
04/01/2023,89.0
03/01/2023,89.5
30/12/2022,89.9
29/12/2022,86.0
28/12/2022,110.0
27/12/2022,108.0
26/12/2022,108.0
23/12/2022,108.6
22/12/2022,109.0
21/12/2022,109.6
20/12/2022,110.5
19/12/2022,112.0
16/12/2022,112.9
15/12/2022,113.0
14/12/2022,113.0
13/12/2022,112.5
12/12/2022,111.8
09/12/2022,111.9
08/12/2022,111.0
07/12/2022,108.7
06/12/2022,111.1
05/12/2022,114.9
02/12/2022,115.0
01/12/2022,112.0
30/11/2022,113.5
29/11/2022,112.8
28/11/2022,109.0
25/11/2022,106.2
24/11/2022,106.0
23/11/2022,105.7
22/11/2022,103.0
21/11/2022,102.1
