Ngay,GiaDongCua
29/12/2023,10.3
28/12/2023,10.35
27/12/2023,10.35
26/12/2023,10.55
25/12/2023,10.3
22/12/2023,10.3
21/12/2023,10.1
20/12/2023,10.2
19/12/2023,10.1
18/12/2023,10.1
15/12/2023,10.55
14/12/2023,10.8
13/12/2023,10.6
12/12/2023,11.05
11/12/2023,10.9
08/12/2023,10.6
07/12/2023,10.45
06/12/2023,11.1
05/12/2023,10.95
04/12/2023,10.25
01/12/2023,9.98
30/11/2023,10.0
29/11/2023,10.0
28/11/2023,9.85
27/11/2023,9.95
24/11/2023,10.05
23/11/2023,10.15
22/11/2023,10.1
21/11/2023,10.2
20/11/2023,10.0
17/11/2023,10.2
16/11/2023,10.15
15/11/2023,9.5
14/11/2023,9.45
13/11/2023,9.43
10/11/2023,9.61
09/11/2023,9.75
08/11/2023,9.75
07/11/2023,9.34
06/11/2023,9.1
03/11/2023,9.2
02/11/2023,9.14
01/11/2023,8.55
31/10/2023,8.56
30/10/2023,9.2
27/10/2023,9.8
26/10/2023,9.96
25/10/2023,10.7
24/10/2023,10.65
23/10/2023,10.55
20/10/2023,10.85
19/10/2023,10.85
18/10/2023,11.1
17/10/2023,11.1
16/10/2023,11.85
13/10/2023,11.7
12/10/2023,11.75
11/10/2023,11.95
10/10/2023,11.7
09/10/2023,11.7
06/10/2023,10.95
05/10/2023,10.95
04/10/2023,11.3
03/10/2023,11.0
02/10/2023,11.35
29/09/2023,11.35
28/09/2023,11.5
27/09/2023,10.95
26/09/2023,10.65
25/09/2023,11.45
22/09/2023,12.3
21/09/2023,12.8
20/09/2023,12.55
19/09/2023,12.3
18/09/2023,12.6
15/09/2023,13.25
14/09/2023,12.8
13/09/2023,13.05
12/09/2023,13.25
11/09/2023,12.7
08/09/2023,13.6
07/09/2023,13.7
06/09/2023,12.85
05/09/2023,12.05
31/08/2023,11.3
30/08/2023,11.35
29/08/2023,11.55
28/08/2023,11.45
25/08/2023,11.35
24/08/2023,11.35
23/08/2023,11.25
22/08/2023,11.55
21/08/2023,11.45
18/08/2023,12.25
17/08/2023,13.15
16/08/2023,13.45
15/08/2023,13.2
14/08/2023,13.3
11/08/2023,13.25
10/08/2023,13.4
09/08/2023,13.6
08/08/2023,13.85
07/08/2023,13.4
04/08/2023,13.7
03/08/2023,13.65
02/08/2023,13.9
01/08/2023,13.8
31/07/2023,14.1
28/07/2023,15.15
27/07/2023,15.1
26/07/2023,15.5
25/07/2023,15.5
24/07/2023,14.5
21/07/2023,14.7
20/07/2023,14.3
19/07/2023,13.7
18/07/2023,13.75
17/07/2023,13.75
14/07/2023,14.0
13/07/2023,14.15
12/07/2023,13.6
11/07/2023,13.5
10/07/2023,13.85
07/07/2023,13.3
06/07/2023,12.75
05/07/2023,13.1
04/07/2023,13.1
03/07/2023,12.7
30/06/2023,12.65
29/06/2023,12.8
28/06/2023,13.25
27/06/2023,13.7
26/06/2023,12.85
23/06/2023,13.1
22/06/2023,13.35
21/06/2023,13.3
20/06/2023,12.85
19/06/2023,13.0
16/06/2023,13.95
15/06/2023,14.0
14/06/2023,14.1
13/06/2023,14.5
12/06/2023,14.85
09/06/2023,15.2
08/06/2023,14.55
07/06/2023,13.6
06/06/2023,12.75
05/06/2023,12.85
02/06/2023,12.85
01/06/2023,13.1
31/05/2023,12.85
30/05/2023,13.15
29/05/2023,13.15
26/05/2023,13.3
25/05/2023,12.85
24/05/2023,13.0
23/05/2023,12.9
22/05/2023,12.55
19/05/2023,11.75
18/05/2023,11.55
17/05/2023,11.8
16/05/2023,11.9
15/05/2023,11.15
12/05/2023,11.95
11/05/2023,11.9
10/05/2023,11.25
09/05/2023,10.55
08/05/2023,10.45
05/05/2023,9.79
04/05/2023,9.15
28/04/2023,8.56
27/04/2023,8.5
