Ngay,Symbol,GiaDongCua
29/12/2023,SFC,23.7
28/12/2023,SFC,23.8
27/12/2023,SFC,24.4
26/12/2023,SFC,24.2
25/12/2023,SFC,24.7
22/12/2023,SFC,24.3
21/12/2023,SFC,22.75
20/12/2023,SFC,22.75
19/12/2023,SFC,21.3
18/12/2023,SFC,20.05
15/12/2023,SFC,20.05
14/12/2023,SFC,20.05
13/12/2023,SFC,20.5
12/12/2023,SFC,20.5
11/12/2023,SFC,19.5
08/12/2023,SFC,19.5
07/12/2023,SFC,19.5
06/12/2023,SFC,20.9
05/12/2023,SFC,20.9
04/12/2023,SFC,20.9
01/12/2023,SFC,20.9
30/11/2023,SFC,20.9
29/11/2023,SFC,20.9
28/11/2023,SFC,20.9
27/11/2023,SFC,20.9
24/11/2023,SFC,20.9
23/11/2023,SFC,20.9
22/11/2023,SFC,20.9
21/11/2023,SFC,20.9
20/11/2023,SFC,20.9
17/11/2023,SFC,20.9
16/11/2023,SFC,20.9
15/11/2023,SFC,20.9
14/11/2023,SFC,20.5
13/11/2023,SFC,20.5
10/11/2023,SFC,20.5
09/11/2023,SFC,20.0
08/11/2023,SFC,19.5
07/11/2023,SFC,19.7
06/11/2023,SFC,18.5
03/11/2023,SFC,18.5
02/11/2023,SFC,18.0
01/11/2023,SFC,18.0
31/10/2023,SFC,18.0
30/10/2023,SFC,18.0
27/10/2023,SFC,18.2
26/10/2023,SFC,17.25
25/10/2023,SFC,17.25
24/10/2023,SFC,18.5
23/10/2023,SFC,18.5
20/10/2023,SFC,18.5
19/10/2023,SFC,18.5
18/10/2023,SFC,18.5
17/10/2023,SFC,18.5
16/10/2023,SFC,18.5
13/10/2023,SFC,18.5
12/10/2023,SFC,17.35
11/10/2023,SFC,17.35
10/10/2023,SFC,18.4
09/10/2023,SFC,18.4
06/10/2023,SFC,18.4
05/10/2023,SFC,18.4
04/10/2023,SFC,17.7
03/10/2023,SFC,17.7
02/10/2023,SFC,17.7
29/09/2023,SFC,17.7
28/09/2023,SFC,17.7
27/09/2023,SFC,17.7
26/09/2023,SFC,18.9
25/09/2023,SFC,18.9
22/09/2023,SFC,18.9
21/09/2023,SFC,18.5
20/09/2023,SFC,19.5
19/09/2023,SFC,19.5
18/09/2023,SFC,19.2
15/09/2023,SFC,19.2
14/09/2023,SFC,19.2
13/09/2023,SFC,19.2
12/09/2023,SFC,18.25
11/09/2023,SFC,19.6
08/09/2023,SFC,18.8
07/09/2023,SFC,18.6
06/09/2023,SFC,19.9
05/09/2023,SFC,19.0
31/08/2023,SFC,18.5
30/08/2023,SFC,19.1
29/08/2023,SFC,19.0
28/08/2023,SFC,19.0
25/08/2023,SFC,20.0
24/08/2023,SFC,20.0
23/08/2023,SFC,20.0
22/08/2023,SFC,20.0
21/08/2023,SFC,20.0
18/08/2023,SFC,20.0
17/08/2023,SFC,18.7
16/08/2023,SFC,17.5
15/08/2023,SFC,17.5
14/08/2023,SFC,17.5
11/08/2023,SFC,17.5
10/08/2023,SFC,16.6
09/08/2023,SFC,17.15
08/08/2023,SFC,18.0
07/08/2023,SFC,18.0
04/08/2023,SFC,17.9
03/08/2023,SFC,17.9
02/08/2023,SFC,17.95
01/08/2023,SFC,17.95
31/07/2023,SFC,17.95
28/07/2023,SFC,17.95
27/07/2023,SFC,17.95
26/07/2023,SFC,16.8
25/07/2023,SFC,16.8
24/07/2023,SFC,16.8
21/07/2023,SFC,16.8
20/07/2023,SFC,18.0
19/07/2023,SFC,18.0
18/07/2023,SFC,18.25
17/07/2023,SFC,18.0
14/07/2023,SFC,18.0
13/07/2023,SFC,18.0
12/07/2023,SFC,18.0
11/07/2023,SFC,18.0
10/07/2023,SFC,18.0
07/07/2023,SFC,18.0
06/07/2023,SFC,18.0
05/07/2023,SFC,18.0
04/07/2023,SFC,19.15
03/07/2023,SFC,19.15
30/06/2023,SFC,19.15
29/06/2023,SFC,19.15
28/06/2023,SFC,19.15
27/06/2023,SFC,18.0
26/06/2023,SFC,18.0
23/06/2023,SFC,18.0
22/06/2023,SFC,18.0
21/06/2023,SFC,18.0
20/06/2023,SFC,18.0
19/06/2023,SFC,17.2
16/06/2023,SFC,17.2
15/06/2023,SFC,17.2
14/06/2023,SFC,17.2
13/06/2023,SFC,17.0
12/06/2023,SFC,17.0
09/06/2023,SFC,17.0
08/06/2023,SFC,17.0
07/06/2023,SFC,17.0
06/06/2023,SFC,17.0
05/06/2023,SFC,17.0
02/06/2023,SFC,16.75
01/06/2023,SFC,16.75
31/05/2023,SFC,16.75
30/05/2023,SFC,16.75
29/05/2023,SFC,16.75
26/05/2023,SFC,16.75
25/05/2023,SFC,16.75
24/05/2023,SFC,16.75
23/05/2023,SFC,16.75
22/05/2023,SFC,16.75
19/05/2023,SFC,16.75
18/05/2023,SFC,16.75
17/05/2023,SFC,16.75
16/05/2023,SFC,16.75
15/05/2023,SFC,16.75
12/05/2023,SFC,16.75
11/05/2023,SFC,16.75
10/05/2023,SFC,16.75
09/05/2023,SFC,16.75
08/05/2023,SFC,16.75
05/05/2023,SFC,16.75
04/05/2023,SFC,16.75
28/04/2023,SFC,18.0
27/04/2023,SFC,18.0
26/04/2023,SFC,18.0
25/04/2023,SFC,18.0
24/04/2023,SFC,18.0
21/04/2023,SFC,18.0
