Ngay,Symbol,GiaDongCua
29/12/2023,SVC,29.45
28/12/2023,SVC,29.45
27/12/2023,SVC,29.45
26/12/2023,SVC,29.7
25/12/2023,SVC,28.4
22/12/2023,SVC,29.95
21/12/2023,SVC,28.85
20/12/2023,SVC,27.5
19/12/2023,SVC,27.65
18/12/2023,SVC,28.6
15/12/2023,SVC,29.2
14/12/2023,SVC,29.2
13/12/2023,SVC,28.7
12/12/2023,SVC,29.5
11/12/2023,SVC,29.6
08/12/2023,SVC,29.6
07/12/2023,SVC,29.65
06/12/2023,SVC,29.7
05/12/2023,SVC,29.65
04/12/2023,SVC,29.65
01/12/2023,SVC,28.6
30/11/2023,SVC,28.6
29/11/2023,SVC,30.7
28/11/2023,SVC,33.0
27/11/2023,SVC,33.4
24/11/2023,SVC,31.55
23/11/2023,SVC,32.6
22/11/2023,SVC,33.65
21/11/2023,SVC,36.0
20/11/2023,SVC,36.0
17/11/2023,SVC,33.9
16/11/2023,SVC,36.4
15/11/2023,SVC,34.5
14/11/2023,SVC,32.35
13/11/2023,SVC,32.35
10/11/2023,SVC,32.35
09/11/2023,SVC,34.4
08/11/2023,SVC,32.15
07/11/2023,SVC,34.0
06/11/2023,SVC,34.0
03/11/2023,SVC,34.0
02/11/2023,SVC,34.0
01/11/2023,SVC,34.4
31/10/2023,SVC,34.4
30/10/2023,SVC,34.4
27/10/2023,SVC,34.4
26/10/2023,SVC,34.45
25/10/2023,SVC,34.45
24/10/2023,SVC,34.45
23/10/2023,SVC,34.45
20/10/2023,SVC,34.45
19/10/2023,SVC,34.45
18/10/2023,SVC,34.45
17/10/2023,SVC,34.45
16/10/2023,SVC,34.45
13/10/2023,SVC,34.45
12/10/2023,SVC,34.45
11/10/2023,SVC,36.95
10/10/2023,SVC,34.9
09/10/2023,SVC,34.9
06/10/2023,SVC,34.9
05/10/2023,SVC,34.9
04/10/2023,SVC,34.9
03/10/2023,SVC,33.6
02/10/2023,SVC,33.2
29/09/2023,SVC,35.0
28/09/2023,SVC,35.5
27/09/2023,SVC,35.5
26/09/2023,SVC,35.5
25/09/2023,SVC,34.0
22/09/2023,SVC,35.1
21/09/2023,SVC,35.1
20/09/2023,SVC,34.8
19/09/2023,SVC,35.6
18/09/2023,SVC,38.0
15/09/2023,SVC,38.0
14/09/2023,SVC,38.0
13/09/2023,SVC,38.0
12/09/2023,SVC,38.0
11/09/2023,SVC,35.8
08/09/2023,SVC,36.5
07/09/2023,SVC,36.0
06/09/2023,SVC,36.25
05/09/2023,SVC,35.35
31/08/2023,SVC,36.35
30/08/2023,SVC,36.15
29/08/2023,SVC,36.05
28/08/2023,SVC,34.9
25/08/2023,SVC,35.0
24/08/2023,SVC,36.5
23/08/2023,SVC,36.5
22/08/2023,SVC,35.2
21/08/2023,SVC,35.6
18/08/2023,SVC,36.6
17/08/2023,SVC,38.95
16/08/2023,SVC,37.7
15/08/2023,SVC,40.3
14/08/2023,SVC,37.75
11/08/2023,SVC,35.3
10/08/2023,SVC,36.8
09/08/2023,SVC,36.8
08/08/2023,SVC,36.7
07/08/2023,SVC,36.7
04/08/2023,SVC,37.5
03/08/2023,SVC,36.5
02/08/2023,SVC,36.6
01/08/2023,SVC,36.6
31/07/2023,SVC,37.4
28/07/2023,SVC,36.65
27/07/2023,SVC,36.65
26/07/2023,SVC,37.9
25/07/2023,SVC,36.6
24/07/2023,SVC,37.5
21/07/2023,SVC,37.5
20/07/2023,SVC,37.5
19/07/2023,SVC,37.55
18/07/2023,SVC,36.9
17/07/2023,SVC,38.0
14/07/2023,SVC,36.9
13/07/2023,SVC,36.9
12/07/2023,SVC,36.7
11/07/2023,SVC,38.6
10/07/2023,SVC,36.3
07/07/2023,SVC,36.5
06/07/2023,SVC,39.2
05/07/2023,SVC,41.85
04/07/2023,SVC,45.0
03/07/2023,SVC,44.25
30/06/2023,SVC,41.4
29/06/2023,SVC,41.4
28/06/2023,SVC,38.7
27/06/2023,SVC,36.25
26/06/2023,SVC,36.7
23/06/2023,SVC,35.1
22/06/2023,SVC,36.3
21/06/2023,SVC,37.4
20/06/2023,SVC,35.45
19/06/2023,SVC,35.45
16/06/2023,SVC,38.05
15/06/2023,SVC,40.9
14/06/2023,SVC,43.95
13/06/2023,SVC,47.0
12/06/2023,SVC,47.0
09/06/2023,SVC,47.0
08/06/2023,SVC,44.0
07/06/2023,SVC,44.0
06/06/2023,SVC,42.15
05/06/2023,SVC,39.5
02/06/2023,SVC,36.95
01/06/2023,SVC,36.95
31/05/2023,SVC,36.95
30/05/2023,SVC,36.95
29/05/2023,SVC,34.55
26/05/2023,SVC,36.8
25/05/2023,SVC,36.8
24/05/2023,SVC,36.8
23/05/2023,SVC,36.8
22/05/2023,SVC,36.8
19/05/2023,SVC,36.8
18/05/2023,SVC,36.8
17/05/2023,SVC,36.8
16/05/2023,SVC,36.9
15/05/2023,SVC,35.05
12/05/2023,SVC,34.65
11/05/2023,SVC,34.65
10/05/2023,SVC,36.5
09/05/2023,SVC,36.5
08/05/2023,SVC,36.3
05/05/2023,SVC,35.5
04/05/2023,SVC,36.05
28/04/2023,SVC,35.35
27/04/2023,SVC,35.55
26/04/2023,SVC,35.55
25/04/2023,SVC,36.3
24/04/2023,SVC,35.5
21/04/2023,SVC,37.65
20/04/2023,SVC,37.0
19/04/2023,SVC,37.1
18/04/2023,SVC,37.0
17/04/2023,SVC,37.7
14/04/2023,SVC,37.0
13/04/2023,SVC,37.4
12/04/2023,SVC,37.45
11/04/2023,SVC,36.5
10/04/2023,SVC,36.5
07/04/2023,SVC,38.65
06/04/2023,SVC,38.65
05/04/2023,SVC,37.0
04/04/2023,SVC,38.5
03/04/2023,SVC,36.9
31/03/2023,SVC,37.7
30/03/2023,SVC,37.25
29/03/2023,SVC,39.95
28/03/2023,SVC,38.5
27/03/2023,SVC,36.65
24/03/2023,SVC,38.05
23/03/2023,SVC,40.35
22/03/2023,SVC,40.35
21/03/2023,SVC,38.95
20/03/2023,SVC,37.95
17/03/2023,SVC,37.95
16/03/2023,SVC,38.4
15/03/2023,SVC,38.4
14/03/2023,SVC,38.4
13/03/2023,SVC,38.5
10/03/2023,SVC,37.15
09/03/2023,SVC,39.3
08/03/2023,SVC,39.65
07/03/2023,SVC,39.65
06/03/2023,SVC,39.1
03/03/2023,SVC,40.5
02/03/2023,SVC,43.1
01/03/2023,SVC,45.9
28/02/2023,SVC,43.5
27/02/2023,SVC,43.5
24/02/2023,SVC,43.5
23/02/2023,SVC,43.5
22/02/2023,SVC,44.15
21/02/2023,SVC,47.3
20/02/2023,SVC,44.8
17/02/2023,SVC,44.9
16/02/2023,SVC,46.25
15/02/2023,SVC,48.8
14/02/2023,SVC,48.9
13/02/2023,SVC,48.5
10/02/2023,SVC,48.4
09/02/2023,SVC,51.8
08/02/2023,SVC,50.1
07/02/2023,SVC,50.1
06/02/2023,SVC,53.0
03/02/2023,SVC,53.7
02/02/2023,SVC,56.8
01/02/2023,SVC,53.8
31/01/2023,SVC,50.4
30/01/2023,SVC,50.4
27/01/2023,SVC,52.0
19/01/2023,SVC,54.0
18/01/2023,SVC,55.4
17/01/2023,SVC,58.0
16/01/2023,SVC,59.5
13/01/2023,SVC,59.5
12/01/2023,SVC,59.5
11/01/2023,SVC,59.5
10/01/2023,SVC,59.5
09/01/2023,SVC,60.0
06/01/2023,SVC,61.5
05/01/2023,SVC,61.5
04/01/2023,SVC,62.0
03/01/2023,SVC,58.0
30/12/2022,SVC,57.2
29/12/2022,SVC,57.2
28/12/2022,SVC,53.5
27/12/2022,SVC,107.0
26/12/2022,SVC,100.0
23/12/2022,SVC,100.5
22/12/2022,SVC,108.0
21/12/2022,SVC,101.0
20/12/2022,SVC,95.1
19/12/2022,SVC,102.2
16/12/2022,SVC,109.8
15/12/2022,SVC,109.8
