Ngay,Symbol,GiaDongCua
29/12/2023,TNA,5.88
28/12/2023,TNA,5.85
27/12/2023,TNA,5.65
26/12/2023,TNA,5.64
25/12/2023,TNA,5.64
22/12/2023,TNA,5.63
21/12/2023,TNA,5.65
20/12/2023,TNA,5.65
19/12/2023,TNA,5.59
18/12/2023,TNA,5.7
15/12/2023,TNA,5.7
14/12/2023,TNA,5.75
13/12/2023,TNA,5.7
12/12/2023,TNA,5.7
11/12/2023,TNA,5.78
08/12/2023,TNA,5.76
07/12/2023,TNA,5.7
06/12/2023,TNA,5.72
05/12/2023,TNA,5.72
04/12/2023,TNA,5.74
01/12/2023,TNA,5.65
30/11/2023,TNA,5.68
29/11/2023,TNA,5.72
28/11/2023,TNA,5.64
27/11/2023,TNA,5.65
24/11/2023,TNA,5.66
23/11/2023,TNA,5.69
22/11/2023,TNA,5.68
21/11/2023,TNA,5.5
20/11/2023,TNA,5.62
17/11/2023,TNA,5.62
16/11/2023,TNA,5.63
15/11/2023,TNA,5.66
14/11/2023,TNA,5.6
13/11/2023,TNA,5.56
10/11/2023,TNA,5.52
09/11/2023,TNA,5.61
08/11/2023,TNA,5.55
07/11/2023,TNA,5.52
06/11/2023,TNA,5.66
03/11/2023,TNA,5.66
02/11/2023,TNA,5.54
01/11/2023,TNA,5.4
31/10/2023,TNA,5.49
30/10/2023,TNA,5.6
27/10/2023,TNA,5.64
26/10/2023,TNA,5.64
25/10/2023,TNA,5.79
24/10/2023,TNA,5.79
23/10/2023,TNA,5.81
20/10/2023,TNA,5.79
19/10/2023,TNA,5.83
18/10/2023,TNA,5.89
17/10/2023,TNA,5.92
16/10/2023,TNA,6.09
13/10/2023,TNA,6.1
12/10/2023,TNA,6.11
11/10/2023,TNA,6.0
10/10/2023,TNA,6.0
09/10/2023,TNA,6.0
06/10/2023,TNA,6.12
05/10/2023,TNA,6.06
04/10/2023,TNA,6.07
03/10/2023,TNA,6.0
02/10/2023,TNA,6.05
29/09/2023,TNA,6.0
28/09/2023,TNA,5.92
27/09/2023,TNA,6.01
26/09/2023,TNA,6.12
25/09/2023,TNA,6.12
22/09/2023,TNA,6.56
21/09/2023,TNA,6.72
20/09/2023,TNA,6.78
19/09/2023,TNA,6.8
18/09/2023,TNA,6.84
15/09/2023,TNA,6.84
14/09/2023,TNA,6.75
13/09/2023,TNA,6.76
12/09/2023,TNA,6.8
11/09/2023,TNA,6.98
08/09/2023,TNA,7.1
07/09/2023,TNA,7.07
06/09/2023,TNA,7.19
05/09/2023,TNA,7.2
31/08/2023,TNA,6.73
30/08/2023,TNA,6.8
29/08/2023,TNA,6.75
28/08/2023,TNA,6.8
25/08/2023,TNA,6.91
24/08/2023,TNA,6.88
23/08/2023,TNA,6.85
22/08/2023,TNA,6.73
21/08/2023,TNA,6.65
18/08/2023,TNA,6.84
17/08/2023,TNA,7.35
16/08/2023,TNA,7.12
15/08/2023,TNA,6.66
14/08/2023,TNA,6.66
11/08/2023,TNA,6.64
10/08/2023,TNA,6.56
09/08/2023,TNA,6.79
08/08/2023,TNA,6.9
07/08/2023,TNA,6.9
04/08/2023,TNA,6.65
03/08/2023,TNA,6.45
02/08/2023,TNA,6.56
01/08/2023,TNA,6.5
31/07/2023,TNA,6.61
28/07/2023,TNA,6.55
27/07/2023,TNA,6.45
26/07/2023,TNA,6.54
25/07/2023,TNA,6.4
24/07/2023,TNA,6.4
21/07/2023,TNA,6.35
20/07/2023,TNA,6.5
19/07/2023,TNA,6.41
18/07/2023,TNA,6.5
17/07/2023,TNA,6.17
14/07/2023,TNA,6.17
13/07/2023,TNA,6.19
12/07/2023,TNA,6.19
11/07/2023,TNA,6.2
10/07/2023,TNA,6.22
07/07/2023,TNA,6.2
06/07/2023,TNA,6.2
05/07/2023,TNA,6.15
04/07/2023,TNA,6.24
03/07/2023,TNA,6.27
30/06/2023,TNA,6.38
29/06/2023,TNA,6.41
