Ngay,GiaDongCua
29/12/2023,64.3
28/12/2023,64.3
27/12/2023,64.3
26/12/2023,64.5
25/12/2023,64.5
22/12/2023,65.6
21/12/2023,65.5
20/12/2023,65.5
19/12/2023,65.5
18/12/2023,61.4
15/12/2023,66.0
14/12/2023,66.0
13/12/2023,66.0
12/12/2023,66.0
11/12/2023,66.0
08/12/2023,66.0
07/12/2023,66.0
06/12/2023,66.0
05/12/2023,66.0
04/12/2023,66.0
01/12/2023,66.0
30/11/2023,66.0
29/11/2023,66.0
28/11/2023,66.0
27/11/2023,66.0
24/11/2023,66.0
23/11/2023,66.0
22/11/2023,66.0
21/11/2023,66.0
20/11/2023,66.0
17/11/2023,66.0
16/11/2023,66.0
15/11/2023,66.0
14/11/2023,66.0
13/11/2023,63.4
10/11/2023,63.4
09/11/2023,63.4
08/11/2023,63.4
07/11/2023,59.4
06/11/2023,59.4
03/11/2023,55.6
02/11/2023,55.6
01/11/2023,52.0
31/10/2023,52.0
30/10/2023,55.6
27/10/2023,55.6
26/10/2023,55.6
25/10/2023,55.7
24/10/2023,55.7
23/10/2023,55.7
20/10/2023,55.7
19/10/2023,55.7
18/10/2023,55.7
17/10/2023,55.7
16/10/2023,59.8
13/10/2023,59.8
12/10/2023,56.9
11/10/2023,56.9
10/10/2023,53.2
09/10/2023,53.2
06/10/2023,53.2
05/10/2023,57.1
04/10/2023,61.3
03/10/2023,65.9
02/10/2023,65.9
29/09/2023,65.9
28/09/2023,65.9
27/09/2023,65.9
26/09/2023,65.9
25/09/2023,65.9
22/09/2023,62.0
21/09/2023,62.0
20/09/2023,62.0
19/09/2023,62.0
18/09/2023,62.0
15/09/2023,62.0
14/09/2023,62.0
13/09/2023,59.5
12/09/2023,63.8
11/09/2023,67.5
08/09/2023,67.5
07/09/2023,67.5
06/09/2023,67.5
05/09/2023,67.5
31/08/2023,67.5
30/08/2023,67.5
29/08/2023,67.5
28/08/2023,67.5
25/08/2023,64.0
24/08/2023,64.0
23/08/2023,64.0
22/08/2023,59.9
21/08/2023,59.9
18/08/2023,59.9
17/08/2023,59.9
16/08/2023,58.0
15/08/2023,58.2
14/08/2023,54.5
11/08/2023,51.0
10/08/2023,50.9
09/08/2023,50.9
08/08/2023,53.9
07/08/2023,57.9
04/08/2023,62.2
03/08/2023,58.2
02/08/2023,58.2
01/08/2023,58.2
31/07/2023,54.5
28/07/2023,51.0
27/07/2023,54.1
26/07/2023,54.1
25/07/2023,54.1
24/07/2023,58.0
21/07/2023,58.0
20/07/2023,58.0
19/07/2023,58.0
18/07/2023,64.0
17/07/2023,60.0
14/07/2023,60.0
13/07/2023,60.0
12/07/2023,60.0
11/07/2023,60.0
10/07/2023,60.0
07/07/2023,60.0
06/07/2023,60.0
05/07/2023,60.0
04/07/2023,60.0
03/07/2023,60.0
30/06/2023,60.0
29/06/2023,60.0
28/06/2023,60.8
27/06/2023,60.8
26/06/2023,60.8
23/06/2023,60.8
22/06/2023,60.8
21/06/2023,60.8
20/06/2023,60.8
19/06/2023,60.8
16/06/2023,56.9
15/06/2023,53.2
14/06/2023,53.2
13/06/2023,57.0
12/06/2023,57.6
09/06/2023,57.6
08/06/2023,57.6
07/06/2023,55.0
06/06/2023,55.0
05/06/2023,55.1
02/06/2023,55.1
01/06/2023,55.1
31/05/2023,55.1
30/05/2023,55.1
29/05/2023,59.2
26/05/2023,63.6
25/05/2023,63.6
24/05/2023,63.6
