Ngay,Symbol,GiaDongCua
29/12/2023,VMD,17.0
28/12/2023,VMD,17.1
27/12/2023,VMD,17.05
26/12/2023,VMD,17.05
25/12/2023,VMD,16.8
22/12/2023,VMD,16.2
21/12/2023,VMD,16.75
20/12/2023,VMD,17.2
19/12/2023,VMD,17.3
18/12/2023,VMD,17.6
15/12/2023,VMD,17.5
14/12/2023,VMD,18.7
13/12/2023,VMD,21.8
12/12/2023,VMD,22.3
11/12/2023,VMD,21.0
08/12/2023,VMD,20.05
07/12/2023,VMD,20.15
06/12/2023,VMD,20.15
05/12/2023,VMD,19.9
04/12/2023,VMD,20.3
01/12/2023,VMD,19.0
30/11/2023,VMD,17.8
29/11/2023,VMD,16.65
28/11/2023,VMD,16.4
27/11/2023,VMD,16.5
24/11/2023,VMD,16.7
23/11/2023,VMD,16.6
22/11/2023,VMD,16.8
21/11/2023,VMD,16.75
20/11/2023,VMD,16.6
17/11/2023,VMD,16.4
16/11/2023,VMD,16.55
15/11/2023,VMD,16.55
14/11/2023,VMD,16.9
13/11/2023,VMD,16.6
10/11/2023,VMD,17.05
09/11/2023,VMD,15.95
08/11/2023,VMD,15.65
07/11/2023,VMD,15.75
06/11/2023,VMD,15.95
03/11/2023,VMD,16.3
02/11/2023,VMD,16.85
01/11/2023,VMD,16.05
31/10/2023,VMD,17.25
30/10/2023,VMD,17.85
27/10/2023,VMD,18.15
26/10/2023,VMD,19.5
25/10/2023,VMD,19.7
24/10/2023,VMD,19.7
23/10/2023,VMD,20.0
20/10/2023,VMD,21.5
19/10/2023,VMD,20.4
18/10/2023,VMD,21.9
17/10/2023,VMD,21.95
16/10/2023,VMD,22.0
13/10/2023,VMD,21.95
12/10/2023,VMD,22.0
11/10/2023,VMD,22.0
10/10/2023,VMD,22.8
09/10/2023,VMD,23.4
06/10/2023,VMD,23.2
05/10/2023,VMD,21.95
04/10/2023,VMD,21.7
03/10/2023,VMD,21.65
02/10/2023,VMD,20.5
29/09/2023,VMD,20.5
28/09/2023,VMD,20.5
27/09/2023,VMD,20.45
26/09/2023,VMD,20.7
25/09/2023,VMD,20.85
22/09/2023,VMD,20.85
21/09/2023,VMD,20.95
20/09/2023,VMD,21.15
19/09/2023,VMD,21.2
18/09/2023,VMD,21.35
15/09/2023,VMD,20.95
14/09/2023,VMD,20.9
13/09/2023,VMD,20.95
12/09/2023,VMD,20.95
11/09/2023,VMD,20.95
08/09/2023,VMD,21.05
07/09/2023,VMD,21.1
06/09/2023,VMD,21.05
05/09/2023,VMD,21.15
31/08/2023,VMD,21.1
30/08/2023,VMD,21.1
29/08/2023,VMD,21.25
28/08/2023,VMD,21.2
25/08/2023,VMD,21.0
24/08/2023,VMD,21.0
23/08/2023,VMD,20.95
22/08/2023,VMD,21.1
21/08/2023,VMD,21.2
18/08/2023,VMD,21.55
17/08/2023,VMD,21.55
16/08/2023,VMD,21.85
15/08/2023,VMD,21.95
14/08/2023,VMD,22.0
11/08/2023,VMD,21.65
10/08/2023,VMD,21.8
09/08/2023,VMD,21.85
08/08/2023,VMD,21.85
07/08/2023,VMD,21.65
04/08/2023,VMD,22.2
03/08/2023,VMD,22.15
02/08/2023,VMD,22.4
01/08/2023,VMD,22.3
31/07/2023,VMD,22.35
28/07/2023,VMD,22.5
27/07/2023,VMD,22.5
26/07/2023,VMD,22.5
25/07/2023,VMD,22.5
24/07/2023,VMD,22.5
21/07/2023,VMD,22.7
20/07/2023,VMD,22.7
19/07/2023,VMD,22.65
18/07/2023,VMD,22.5
17/07/2023,VMD,22.5
14/07/2023,VMD,22.5
13/07/2023,VMD,22.75
12/07/2023,VMD,23.0
11/07/2023,VMD,22.9
10/07/2023,VMD,22.9
07/07/2023,VMD,23.25
06/07/2023,VMD,23.4
05/07/2023,VMD,23.05
04/07/2023,VMD,23.9
03/07/2023,VMD,24.0
30/06/2023,VMD,23.95
29/06/2023,VMD,24.1
28/06/2023,VMD,24.0
27/06/2023,VMD,24.4
26/06/2023,VMD,24.0
23/06/2023,VMD,24.3
22/06/2023,VMD,24.5
21/06/2023,VMD,24.15
20/06/2023,VMD,24.7
19/06/2023,VMD,24.7
16/06/2023,VMD,25.1
15/06/2023,VMD,25.1
14/06/2023,VMD,25.1
13/06/2023,VMD,25.4
12/06/2023,VMD,24.95
09/06/2023,VMD,25.2
08/06/2023,VMD,24.0
07/06/2023,VMD,24.5
06/06/2023,VMD,25.0
05/06/2023,VMD,24.7
02/06/2023,VMD,24.5
01/06/2023,VMD,24.95
31/05/2023,VMD,24.95
30/05/2023,VMD,24.95
29/05/2023,VMD,25.2
26/05/2023,VMD,25.1
25/05/2023,VMD,25.1
24/05/2023,VMD,24.9
23/05/2023,VMD,25.1
22/05/2023,VMD,25.15
19/05/2023,VMD,25.3
18/05/2023,VMD,25.2
17/05/2023,VMD,25.6
16/05/2023,VMD,25.3
15/05/2023,VMD,25.4
12/05/2023,VMD,25.1
11/05/2023,VMD,25.05
10/05/2023,VMD,25.15
09/05/2023,VMD,25.15
08/05/2023,VMD,25.2
05/05/2023,VMD,25.2
04/05/2023,VMD,25.2
28/04/2023,VMD,25.1
27/04/2023,VMD,25.1
26/04/2023,VMD,24.95
25/04/2023,VMD,25.1
24/04/2023,VMD,25.2
21/04/2023,VMD,25.1
20/04/2023,VMD,25.0
19/04/2023,VMD,25.0
18/04/2023,VMD,25.5
17/04/2023,VMD,25.3
14/04/2023,VMD,25.0
13/04/2023,VMD,25.0
12/04/2023,VMD,24.25
11/04/2023,VMD,24.7
10/04/2023,VMD,25.15
07/04/2023,VMD,26.3
06/04/2023,VMD,26.0
05/04/2023,VMD,25.15
04/04/2023,VMD,25.5
03/04/2023,VMD,25.1
31/03/2023,VMD,25.0
30/03/2023,VMD,25.05
29/03/2023,VMD,25.05
28/03/2023,VMD,25.1
27/03/2023,VMD,25.3
24/03/2023,VMD,25.9
23/03/2023,VMD,25.4
22/03/2023,VMD,26.95
21/03/2023,VMD,26.45
20/03/2023,VMD,25.25
17/03/2023,VMD,23.6
16/03/2023,VMD,22.1
15/03/2023,VMD,20.7
14/03/2023,VMD,19.5
13/03/2023,VMD,19.0
10/03/2023,VMD,18.55
09/03/2023,VMD,18.6
08/03/2023,VMD,18.6
07/03/2023,VMD,18.6
06/03/2023,VMD,18.4
03/03/2023,VMD,18.3
02/03/2023,VMD,18.3
01/03/2023,VMD,18.5
28/02/2023,VMD,18.5
27/02/2023,VMD,18.5
24/02/2023,VMD,18.3
23/02/2023,VMD,18.3
22/02/2023,VMD,18.95
21/02/2023,VMD,18.8
20/02/2023,VMD,18.85
17/02/2023,VMD,18.5
16/02/2023,VMD,19.0
15/02/2023,VMD,19.1
14/02/2023,VMD,19.45
13/02/2023,VMD,19.15
10/02/2023,VMD,19.5
09/02/2023,VMD,19.5
08/02/2023,VMD,19.1
07/02/2023,VMD,19.3
06/02/2023,VMD,19.45
03/02/2023,VMD,19.75
02/02/2023,VMD,19.85
01/02/2023,VMD,20.0
31/01/2023,VMD,20.9
30/01/2023,VMD,20.3
27/01/2023,VMD,20.3
19/01/2023,VMD,19.8
18/01/2023,VMD,19.35
17/01/2023,VMD,19.0
16/01/2023,VMD,18.4
13/01/2023,VMD,18.4
12/01/2023,VMD,19.1
11/01/2023,VMD,19.95
10/01/2023,VMD,20.0
09/01/2023,VMD,19.7
06/01/2023,VMD,19.95
05/01/2023,VMD,20.35
04/01/2023,VMD,20.5
03/01/2023,VMD,21.0
30/12/2022,VMD,20.9
29/12/2022,VMD,21.2
28/12/2022,VMD,21.0
27/12/2022,VMD,20.95
26/12/2022,VMD,20.95
23/12/2022,VMD,20.7
22/12/2022,VMD,20.2
21/12/2022,VMD,20.2
20/12/2022,VMD,20.1
19/12/2022,VMD,20.3
16/12/2022,VMD,20.4
15/12/2022,VMD,19.9
14/12/2022,VMD,19.9
13/12/2022,VMD,20.25
12/12/2022,VMD,19.9
09/12/2022,VMD,19.3
08/12/2022,VMD,19.05
07/12/2022,VMD,18.9
06/12/2022,VMD,18.5
05/12/2022,VMD,17.85
02/12/2022,VMD,17.5
01/12/2022,VMD,17.9
30/11/2022,VMD,17.1
29/11/2022,VMD,17.0
28/11/2022,VMD,17.75
25/11/2022,VMD,17.9
24/11/2022,VMD,18.0
23/11/2022,VMD,17.75
22/11/2022,VMD,18.0
21/11/2022,VMD,18.3
18/11/2022,VMD,18.1
