Ngay,Symbol,GiaDongCua
29/12/2023,AGR,16.05
28/12/2023,AGR,16.1
27/12/2023,AGR,16.2
26/12/2023,AGR,16.0
25/12/2023,AGR,15.9
22/12/2023,AGR,15.95
21/12/2023,AGR,16.05
20/12/2023,AGR,16.1
19/12/2023,AGR,15.95
18/12/2023,AGR,15.7
15/12/2023,AGR,15.9
14/12/2023,AGR,15.85
13/12/2023,AGR,15.8
12/12/2023,AGR,15.95
11/12/2023,AGR,16.05
08/12/2023,AGR,16.05
07/12/2023,AGR,16.35
06/12/2023,AGR,16.8
05/12/2023,AGR,16.6
04/12/2023,AGR,16.65
01/12/2023,AGR,15.65
30/11/2023,AGR,15.4
29/11/2023,AGR,15.6
28/11/2023,AGR,15.4
27/11/2023,AGR,15.15
24/11/2023,AGR,15.5
23/11/2023,AGR,14.8
22/11/2023,AGR,15.9
21/11/2023,AGR,15.65
20/11/2023,AGR,15.5
17/11/2023,AGR,15.0
16/11/2023,AGR,15.45
15/11/2023,AGR,15.0
14/11/2023,AGR,14.95
13/11/2023,AGR,14.8
10/11/2023,AGR,14.9
09/11/2023,AGR,14.95
08/11/2023,AGR,14.45
07/11/2023,AGR,13.55
06/11/2023,AGR,13.7
03/11/2023,AGR,13.45
02/11/2023,AGR,13.4
01/11/2023,AGR,12.55
31/10/2023,AGR,11.75
30/10/2023,AGR,12.5
27/10/2023,AGR,13.1
26/10/2023,AGR,13.15
25/10/2023,AGR,14.1
24/10/2023,AGR,14.3
23/10/2023,AGR,14.0
20/10/2023,AGR,14.6
19/10/2023,AGR,13.95
18/10/2023,AGR,14.95
17/10/2023,AGR,15.55
16/10/2023,AGR,16.7
13/10/2023,AGR,16.95
12/10/2023,AGR,17.3
11/10/2023,AGR,17.5
10/10/2023,AGR,16.55
09/10/2023,AGR,16.3
06/10/2023,AGR,16.1
05/10/2023,AGR,15.8
04/10/2023,AGR,16.5
03/10/2023,AGR,16.55
02/10/2023,AGR,17.75
29/09/2023,AGR,17.35
28/09/2023,AGR,17.6
27/09/2023,AGR,17.3
26/09/2023,AGR,16.2
25/09/2023,AGR,16.75
22/09/2023,AGR,18.0
21/09/2023,AGR,19.35
20/09/2023,AGR,20.3
19/09/2023,AGR,19.4
18/09/2023,AGR,19.4
15/09/2023,AGR,19.25
14/09/2023,AGR,19.7
13/09/2023,AGR,19.2
12/09/2023,AGR,19.15
11/09/2023,AGR,17.9
08/09/2023,AGR,17.7
07/09/2023,AGR,17.8
06/09/2023,AGR,17.75
05/09/2023,AGR,17.35
31/08/2023,AGR,17.35
30/08/2023,AGR,17.3
29/08/2023,AGR,16.5
28/08/2023,AGR,16.05
25/08/2023,AGR,15.7
24/08/2023,AGR,15.45
23/08/2023,AGR,15.0
22/08/2023,AGR,15.2
21/08/2023,AGR,15.0
18/08/2023,AGR,15.3
17/08/2023,AGR,16.4
16/08/2023,AGR,16.2
15/08/2023,AGR,16.25
14/08/2023,AGR,16.5
11/08/2023,AGR,16.0
10/08/2023,AGR,15.55
09/08/2023,AGR,15.65
08/08/2023,AGR,15.95
07/08/2023,AGR,16.15
04/08/2023,AGR,15.65
03/08/2023,AGR,15.4
02/08/2023,AGR,15.25
01/08/2023,AGR,15.2
31/07/2023,AGR,15.6
28/07/2023,AGR,15.55
27/07/2023,AGR,15.15
26/07/2023,AGR,15.3
25/07/2023,AGR,15.4
24/07/2023,AGR,15.65
21/07/2023,AGR,15.6
20/07/2023,AGR,15.0
19/07/2023,AGR,14.95
18/07/2023,AGR,15.1
17/07/2023,AGR,15.3
14/07/2023,AGR,15.2
13/07/2023,AGR,15.2
12/07/2023,AGR,15.15
11/07/2023,AGR,14.95
10/07/2023,AGR,15.05
07/07/2023,AGR,14.8
06/07/2023,AGR,14.65
05/07/2023,AGR,14.65
04/07/2023,AGR,15.0
03/07/2023,AGR,14.2
30/06/2023,AGR,14.15
29/06/2023,AGR,14.0
28/06/2023,AGR,14.75
27/06/2023,AGR,14.9
26/06/2023,AGR,15.0
23/06/2023,AGR,14.95
22/06/2023,AGR,14.3
21/06/2023,AGR,14.0
20/06/2023,AGR,13.1
19/06/2023,AGR,12.9
16/06/2023,AGR,12.85
15/06/2023,AGR,12.6
14/06/2023,AGR,12.7
13/06/2023,AGR,12.8
12/06/2023,AGR,12.6
09/06/2023,AGR,12.8
08/06/2023,AGR,12.55
07/06/2023,AGR,13.25
06/06/2023,AGR,13.35
05/06/2023,AGR,13.1
02/06/2023,AGR,13.1
01/06/2023,AGR,13.0
31/05/2023,AGR,13.0
30/05/2023,AGR,13.15
29/05/2023,AGR,13.0
26/05/2023,AGR,12.7
25/05/2023,AGR,12.7
24/05/2023,AGR,13.05
23/05/2023,AGR,12.45
22/05/2023,AGR,12.55
19/05/2023,AGR,12.5
18/05/2023,AGR,12.4
17/05/2023,AGR,12.15
16/05/2023,AGR,12.25
15/05/2023,AGR,12.3
12/05/2023,AGR,12.45
11/05/2023,AGR,12.1
10/05/2023,AGR,12.15
09/05/2023,AGR,12.2
08/05/2023,AGR,12.2
05/05/2023,AGR,12.15
04/05/2023,AGR,12.3
28/04/2023,AGR,11.5
27/04/2023,AGR,11.55
26/04/2023,AGR,11.8
25/04/2023,AGR,11.3
24/04/2023,AGR,12.1
21/04/2023,AGR,11.7
20/04/2023,AGR,10.95
19/04/2023,AGR,10.8
18/04/2023,AGR,10.1
17/04/2023,AGR,9.78
14/04/2023,AGR,9.5
13/04/2023,AGR,9.58
12/04/2023,AGR,9.8
11/04/2023,AGR,10.1
10/04/2023,AGR,10.1
07/04/2023,AGR,10.05
06/04/2023,AGR,9.6
05/04/2023,AGR,10.1
04/04/2023,AGR,9.9
03/04/2023,AGR,9.73
31/03/2023,AGR,9.39
30/03/2023,AGR,8.9
29/03/2023,AGR,8.69
28/03/2023,AGR,8.5
27/03/2023,AGR,8.56
24/03/2023,AGR,8.2
23/03/2023,AGR,8.13
22/03/2023,AGR,8.01
21/03/2023,AGR,8.03
20/03/2023,AGR,7.9
17/03/2023,AGR,8.09
16/03/2023,AGR,8.1
15/03/2023,AGR,8.13
14/03/2023,AGR,7.6
13/03/2023,AGR,7.76
10/03/2023,AGR,7.87
09/03/2023,AGR,7.95
08/03/2023,AGR,7.86
07/03/2023,AGR,7.8
06/03/2023,AGR,7.8
03/03/2023,AGR,7.72
02/03/2023,AGR,7.85
01/03/2023,AGR,7.9
28/02/2023,AGR,7.71
27/02/2023,AGR,7.7
24/02/2023,AGR,7.75
23/02/2023,AGR,7.9
22/02/2023,AGR,7.9
21/02/2023,AGR,8.2
20/02/2023,AGR,8.29
17/02/2023,AGR,7.8
16/02/2023,AGR,7.81
15/02/2023,AGR,7.7
14/02/2023,AGR,7.53
13/02/2023,AGR,7.35
10/02/2023,AGR,7.87
09/02/2023,AGR,8.0
08/02/2023,AGR,8.05
07/02/2023,AGR,7.99
06/02/2023,AGR,8.08
03/02/2023,AGR,8.06
02/02/2023,AGR,8.09
01/02/2023,AGR,8.21
31/01/2023,AGR,8.5
30/01/2023,AGR,8.46
27/01/2023,AGR,8.45
19/01/2023,AGR,8.39
18/01/2023,AGR,8.24
17/01/2023,AGR,8.24
16/01/2023,AGR,8.0
13/01/2023,AGR,8.05
12/01/2023,AGR,7.99
11/01/2023,AGR,8.04
10/01/2023,AGR,7.8
09/01/2023,AGR,7.93
06/01/2023,AGR,8.0
05/01/2023,AGR,8.0
04/01/2023,AGR,8.0
03/01/2023,AGR,8.0
30/12/2022,AGR,7.5
29/12/2022,AGR,7.5
28/12/2022,AGR,7.58
27/12/2022,AGR,7.67
26/12/2022,AGR,7.3
23/12/2022,AGR,7.8
22/12/2022,AGR,7.75
21/12/2022,AGR,7.7
20/12/2022,AGR,8.18
19/12/2022,AGR,8.6
16/12/2022,AGR,8.56
15/12/2022,AGR,8.53
14/12/2022,AGR,8.5
13/12/2022,AGR,8.55
12/12/2022,AGR,8.18
09/12/2022,AGR,8.4
08/12/2022,AGR,8.39
07/12/2022,AGR,7.85
06/12/2022,AGR,8.42
05/12/2022,AGR,9.05
02/12/2022,AGR,8.68
01/12/2022,AGR,8.14
30/11/2022,AGR,8.1
29/11/2022,AGR,8.0
28/11/2022,AGR,7.7
25/11/2022,AGR,7.2
24/11/2022,AGR,6.73
23/11/2022,AGR,6.85
22/11/2022,AGR,6.97
21/11/2022,AGR,6.83
18/11/2022,AGR,6.79
17/11/2022,AGR,6.52
16/11/2022,AGR,6.16
15/11/2022,AGR,5.76
14/11/2022,AGR,6.19
11/11/2022,AGR,6.54
10/11/2022,AGR,6.52
09/11/2022,AGR,7.01
08/11/2022,AGR,7.05
07/11/2022,AGR,6.92
04/11/2022,AGR,7.2
03/11/2022,AGR,7.58
02/11/2022,AGR,7.9
01/11/2022,AGR,7.91
31/10/2022,AGR,7.63
28/10/2022,AGR,7.6
27/10/2022,AGR,7.51
26/10/2022,AGR,7.02
25/10/2022,AGR,7.02
24/10/2022,AGR,7.17
21/10/2022,AGR,7.7
20/10/2022,AGR,8.25
19/10/2022,AGR,8.4
18/10/2022,AGR,8.5
17/10/2022,AGR,8.34
14/10/2022,AGR,8.21
13/10/2022,AGR,8.02
12/10/2022,AGR,8.0
11/10/2022,AGR,7.82
10/10/2022,AGR,8.4
07/10/2022,AGR,8.21
06/10/2022,AGR,8.82
05/10/2022,AGR,9.2
04/10/2022,AGR,8.7
03/10/2022,AGR,9.12
30/09/2022,AGR,9.8
29/09/2022,AGR,9.8
28/09/2022,AGR,10.2
27/09/2022,AGR,10.2
26/09/2022,AGR,10.2
23/09/2022,AGR,10.9
22/09/2022,AGR,11.1
21/09/2022,AGR,10.9
20/09/2022,AGR,10.85
19/09/2022,AGR,10.65
16/09/2022,AGR,11.4
15/09/2022,AGR,11.85
14/09/2022,AGR,12.0
13/09/2022,AGR,11.7
12/09/2022,AGR,11.65
09/09/2022,AGR,11.6
08/09/2022,AGR,11.6
07/09/2022,AGR,11.8
06/09/2022,AGR,12.55
05/09/2022,AGR,12.55
31/08/2022,AGR,12.7
30/08/2022,AGR,12.55
29/08/2022,AGR,12.75
26/08/2022,AGR,13.15
25/08/2022,AGR,13.5
24/08/2022,AGR,13.4
23/08/2022,AGR,13.5
22/08/2022,AGR,12.9
19/08/2022,AGR,12.45
18/08/2022,AGR,12.3
17/08/2022,AGR,12.2
16/08/2022,AGR,12.25
15/08/2022,AGR,12.3
12/08/2022,AGR,12.1
11/08/2022,AGR,11.95
10/08/2022,AGR,12.1
09/08/2022,AGR,12.2
08/08/2022,AGR,12.2
05/08/2022,AGR,12.4
04/08/2022,AGR,12.0
03/08/2022,AGR,12.0
02/08/2022,AGR,11.9
01/08/2022,AGR,11.9
29/07/2022,AGR,11.2
28/07/2022,AGR,11.2
27/07/2022,AGR,10.85
26/07/2022,AGR,10.5
25/07/2022,AGR,10.7
22/07/2022,AGR,10.7
21/07/2022,AGR,10.85
20/07/2022,AGR,10.9
19/07/2022,AGR,10.65
18/07/2022,AGR,10.9
15/07/2022,AGR,10.85
14/07/2022,AGR,10.9
13/07/2022,AGR,10.2
12/07/2022,AGR,10.2
11/07/2022,AGR,9.9
08/07/2022,AGR,10.0
07/07/2022,AGR,9.65
06/07/2022,AGR,9.8
05/07/2022,AGR,10.15
04/07/2022,AGR,10.4
01/07/2022,AGR,9.8
30/06/2022,AGR,9.41
29/06/2022,AGR,9.98
28/06/2022,AGR,9.95
27/06/2022,AGR,10.0
24/06/2022,AGR,9.54
23/06/2022,AGR,9.2
22/06/2022,AGR,9.12
21/06/2022,AGR,8.6
20/06/2022,AGR,8.83
17/06/2022,AGR,9.49
16/06/2022,AGR,10.2
15/06/2022,AGR,10.2
14/06/2022,AGR,10.95
13/06/2022,AGR,11.45
10/06/2022,AGR,12.3
09/06/2022,AGR,12.8
08/06/2022,AGR,12.4
07/06/2022,AGR,12.0
06/06/2022,AGR,12.3
03/06/2022,AGR,12.4
02/06/2022,AGR,12.7
01/06/2022,AGR,12.95
31/05/2022,AGR,13.05
30/05/2022,AGR,13.3
27/05/2022,AGR,13.1
26/05/2022,AGR,13.15
25/05/2022,AGR,12.8
24/05/2022,AGR,12.3
23/05/2022,AGR,12.2
20/05/2022,AGR,12.7
19/05/2022,AGR,12.65
18/05/2022,AGR,12.65
17/05/2022,AGR,12.5
16/05/2022,AGR,11.7
13/05/2022,AGR,11.6
12/05/2022,AGR,12.45
11/05/2022,AGR,13.35
10/05/2022,AGR,13.5
09/05/2022,AGR,12.85
06/05/2022,AGR,13.8
05/05/2022,AGR,14.8
04/05/2022,AGR,14.95
29/04/2022,AGR,15.3
28/04/2022,AGR,15.2
27/04/2022,AGR,15.1
26/04/2022,AGR,14.8
25/04/2022,AGR,14.45
22/04/2022,AGR,15.5
21/04/2022,AGR,15.6
20/04/2022,AGR,15.6
19/04/2022,AGR,15.65
18/04/2022,AGR,16.7
15/04/2022,AGR,17.95
14/04/2022,AGR,18.7
13/04/2022,AGR,19.0
12/04/2022,AGR,18.5
08/04/2022,AGR,19.75
07/04/2022,AGR,20.2
06/04/2022,AGR,20.75
05/04/2022,AGR,20.8
04/04/2022,AGR,21.4
01/04/2022,AGR,20.0
31/03/2022,AGR,19.85
30/03/2022,AGR,19.9
29/03/2022,AGR,20.1
28/03/2022,AGR,20.0
25/03/2022,AGR,20.35
24/03/2022,AGR,20.5
23/03/2022,AGR,20.7
22/03/2022,AGR,20.65
21/03/2022,AGR,20.5
18/03/2022,AGR,20.3
17/03/2022,AGR,20.3
16/03/2022,AGR,20.05
15/03/2022,AGR,19.95
14/03/2022,AGR,19.85
11/03/2022,AGR,20.7
10/03/2022,AGR,21.3
09/03/2022,AGR,21.2
08/03/2022,AGR,21.25
07/03/2022,AGR,21.5
04/03/2022,AGR,21.85
03/03/2022,AGR,21.45
02/03/2022,AGR,21.05
01/03/2022,AGR,21.3
28/02/2022,AGR,21.1
25/02/2022,AGR,21.3
24/02/2022,AGR,20.6
23/02/2022,AGR,21.15
22/02/2022,AGR,20.85
21/02/2022,AGR,21.45
18/02/2022,AGR,20.7
17/02/2022,AGR,20.35
16/02/2022,AGR,20.1
15/02/2022,AGR,19.9
14/02/2022,AGR,19.8
11/02/2022,AGR,20.6
10/02/2022,AGR,20.6
09/02/2022,AGR,20.7
08/02/2022,AGR,20.25
07/02/2022,AGR,20.2
28/01/2022,AGR,19.1
27/01/2022,AGR,19.0
26/01/2022,AGR,18.85
25/01/2022,AGR,19.2
24/01/2022,AGR,19.7
21/01/2022,AGR,21.15
20/01/2022,AGR,21.3
19/01/2022,AGR,20.5
18/01/2022,AGR,20.4
17/01/2022,AGR,21.9
14/01/2022,AGR,23.5
13/01/2022,AGR,23.65
12/01/2022,AGR,24.5
11/01/2022,AGR,23.6
10/01/2022,AGR,24.0
07/01/2022,AGR,25.1
06/01/2022,AGR,24.85
05/01/2022,AGR,25.2
04/01/2022,AGR,25.5
31/12/2021,AGR,25.5
30/12/2021,AGR,25.65
29/12/2021,AGR,24.0
28/12/2021,AGR,23.0
27/12/2021,AGR,23.2
24/12/2021,AGR,23.3
23/12/2021,AGR,22.9
22/12/2021,AGR,24.0
21/12/2021,AGR,24.4
20/12/2021,AGR,25.0
17/12/2021,AGR,24.6
16/12/2021,AGR,23.4
15/12/2021,AGR,23.9
14/12/2021,AGR,24.4
13/12/2021,AGR,24.7
10/12/2021,AGR,24.4
09/12/2021,AGR,25.0
08/12/2021,AGR,24.55
07/12/2021,AGR,24.5
06/12/2021,AGR,23.5
03/12/2021,AGR,25.25
02/12/2021,AGR,27.1
01/12/2021,AGR,27.7
30/11/2021,AGR,27.7
29/11/2021,AGR,26.95
26/11/2021,AGR,26.05
25/11/2021,AGR,26.8
24/11/2021,AGR,26.3
23/11/2021,AGR,25.65
22/11/2021,AGR,24.0
19/11/2021,AGR,25.0
18/11/2021,AGR,25.75
17/11/2021,AGR,24.1
16/11/2021,AGR,23.05
15/11/2021,AGR,22.2
12/11/2021,AGR,20.75
11/11/2021,AGR,19.4
10/11/2021,AGR,19.4
09/11/2021,AGR,19.35
08/11/2021,AGR,19.75
05/11/2021,AGR,19.2
04/11/2021,AGR,19.3
03/11/2021,AGR,18.2
02/11/2021,AGR,19.05
01/11/2021,AGR,18.5
29/10/2021,AGR,17.5
28/10/2021,AGR,17.45
27/10/2021,AGR,17.2
26/10/2021,AGR,16.85
25/10/2021,AGR,16.8
22/10/2021,AGR,16.7
21/10/2021,AGR,16.9
20/10/2021,AGR,16.9
19/10/2021,AGR,16.95
18/10/2021,AGR,17.1
15/10/2021,AGR,17.5
14/10/2021,AGR,17.5
13/10/2021,AGR,17.2
12/10/2021,AGR,17.45
11/10/2021,AGR,17.05
08/10/2021,AGR,16.7
07/10/2021,AGR,16.8
06/10/2021,AGR,16.75
05/10/2021,AGR,16.9
04/10/2021,AGR,15.85
01/10/2021,AGR,16.05
30/09/2021,AGR,16.2
29/09/2021,AGR,16.3
28/09/2021,AGR,16.45
27/09/2021,AGR,16.0
24/09/2021,AGR,16.8
23/09/2021,AGR,17.0
22/09/2021,AGR,17.0
21/09/2021,AGR,16.65
20/09/2021,AGR,17.0
17/09/2021,AGR,17.1
16/09/2021,AGR,16.45
15/09/2021,AGR,16.5
14/09/2021,AGR,16.25
13/09/2021,AGR,16.75
10/09/2021,AGR,17.15
09/09/2021,AGR,17.3
08/09/2021,AGR,17.15
07/09/2021,AGR,17.45
06/09/2021,AGR,17.9
01/09/2021,AGR,16.75
31/08/2021,AGR,16.5
30/08/2021,AGR,16.8
27/08/2021,AGR,16.6
26/08/2021,AGR,16.15
25/08/2021,AGR,16.5
24/08/2021,AGR,16.3
23/08/2021,AGR,17.2
20/08/2021,AGR,16.1
19/08/2021,AGR,15.95
18/08/2021,AGR,15.0
17/08/2021,AGR,14.9
16/08/2021,AGR,15.3
13/08/2021,AGR,14.3
12/08/2021,AGR,14.0
11/08/2021,AGR,14.2
10/08/2021,AGR,14.4
09/08/2021,AGR,14.4
06/08/2021,AGR,14.05
05/08/2021,AGR,14.4
04/08/2021,AGR,14.25
03/08/2021,AGR,14.0
02/08/2021,AGR,13.3
30/07/2021,AGR,13.3
29/07/2021,AGR,13.15
28/07/2021,AGR,12.3
27/07/2021,AGR,12.3
26/07/2021,AGR,12.15
23/07/2021,AGR,12.2
22/07/2021,AGR,12.5
21/07/2021,AGR,12.4
20/07/2021,AGR,12.7
19/07/2021,AGR,11.9
16/07/2021,AGR,12.75
15/07/2021,AGR,13.1
14/07/2021,AGR,12.3
13/07/2021,AGR,12.8
12/07/2021,AGR,12.6
09/07/2021,AGR,13.5
08/07/2021,AGR,14.5
07/07/2021,AGR,14.75
06/07/2021,AGR,15.1
05/07/2021,AGR,16.2
02/07/2021,AGR,15.75
01/07/2021,AGR,14.75
30/06/2021,AGR,13.8
29/06/2021,AGR,14.15
28/06/2021,AGR,14.0
25/06/2021,AGR,14.2
24/06/2021,AGR,13.45
23/06/2021,AGR,13.45
22/06/2021,AGR,13.3
21/06/2021,AGR,13.25
18/06/2021,AGR,13.55
17/06/2021,AGR,13.5
16/06/2021,AGR,13.5
15/06/2021,AGR,13.9
14/06/2021,AGR,13.95
11/06/2021,AGR,13.25
10/06/2021,AGR,13.1
09/06/2021,AGR,13.55
08/06/2021,AGR,13.05
07/06/2021,AGR,14.0
04/06/2021,AGR,15.0
03/06/2021,AGR,14.45
02/06/2021,AGR,13.55
01/06/2021,AGR,13.5
31/05/2021,AGR,12.7
28/05/2021,AGR,11.9
27/05/2021,AGR,11.45
26/05/2021,AGR,11.7
25/05/2021,AGR,11.55
24/05/2021,AGR,11.3
21/05/2021,AGR,11.4
20/05/2021,AGR,11.3
19/05/2021,AGR,10.75
18/05/2021,AGR,10.85
17/05/2021,AGR,10.9
14/05/2021,AGR,11.0
13/05/2021,AGR,11.0
12/05/2021,AGR,11.05
11/05/2021,AGR,11.05
10/05/2021,AGR,11.1
07/05/2021,AGR,10.75
06/05/2021,AGR,11.0
05/05/2021,AGR,11.2
04/05/2021,AGR,10.5
29/04/2021,AGR,10.8
28/04/2021,AGR,11.0
27/04/2021,AGR,10.9
26/04/2021,AGR,11.15
23/04/2021,AGR,11.5
22/04/2021,AGR,11.1
20/04/2021,AGR,11.65
19/04/2021,AGR,12.0
16/04/2021,AGR,11.75
15/04/2021,AGR,12.2
14/04/2021,AGR,12.6
13/04/2021,AGR,12.5
12/04/2021,AGR,12.6
09/04/2021,AGR,12.25
08/04/2021,AGR,12.3
07/04/2021,AGR,12.35
06/04/2021,AGR,12.15
05/04/2021,AGR,12.4
02/04/2021,AGR,12.3
01/04/2021,AGR,12.5
31/03/2021,AGR,11.75
30/03/2021,AGR,11.8
29/03/2021,AGR,11.75
26/03/2021,AGR,11.25
25/03/2021,AGR,11.4
24/03/2021,AGR,11.6
23/03/2021,AGR,12.0
22/03/2021,AGR,12.3
19/03/2021,AGR,12.5
18/03/2021,AGR,12.45
17/03/2021,AGR,12.3
16/03/2021,AGR,12.25
15/03/2021,AGR,12.55
12/03/2021,AGR,12.8
11/03/2021,AGR,13.0
10/03/2021,AGR,12.2
09/03/2021,AGR,12.1
08/03/2021,AGR,12.35
05/03/2021,AGR,12.2
04/03/2021,AGR,12.2
03/03/2021,AGR,11.75
02/03/2021,AGR,11.75
01/03/2021,AGR,11.85
26/02/2021,AGR,11.3
25/02/2021,AGR,11.35
24/02/2021,AGR,11.35
23/02/2021,AGR,11.35
22/02/2021,AGR,11.4
19/02/2021,AGR,11.35
18/02/2021,AGR,11.5
17/02/2021,AGR,11.9
09/02/2021,AGR,11.65
08/02/2021,AGR,11.5
05/02/2021,AGR,11.0
04/02/2021,AGR,10.3
03/02/2021,AGR,9.63
