Ngay,Symbol,GiaDongCua
29/12/2023,BSI,47.5
28/12/2023,BSI,47.8
27/12/2023,BSI,47.5
26/12/2023,BSI,46.55
25/12/2023,BSI,46.4
22/12/2023,BSI,46.3
21/12/2023,BSI,46.5
20/12/2023,BSI,45.9
19/12/2023,BSI,45.9
18/12/2023,BSI,44.6
15/12/2023,BSI,45.2
14/12/2023,BSI,44.85
13/12/2023,BSI,44.6
12/12/2023,BSI,46.15
11/12/2023,BSI,45.8
08/12/2023,BSI,45.5
07/12/2023,BSI,46.5
06/12/2023,BSI,48.2
05/12/2023,BSI,47.75
04/12/2023,BSI,48.25
01/12/2023,BSI,45.6
30/11/2023,BSI,44.75
29/11/2023,BSI,45.55
28/11/2023,BSI,45.1
27/11/2023,BSI,45.1
24/11/2023,BSI,45.6
23/11/2023,BSI,42.9
22/11/2023,BSI,46.1
21/11/2023,BSI,46.05
20/11/2023,BSI,44.8
17/11/2023,BSI,41.9
16/11/2023,BSI,43.9
15/11/2023,BSI,43.8
14/11/2023,BSI,42.95
13/11/2023,BSI,42.55
10/11/2023,BSI,41.85
09/11/2023,BSI,41.8
08/11/2023,BSI,39.8
07/11/2023,BSI,37.2
06/11/2023,BSI,37.4
03/11/2023,BSI,37.0
02/11/2023,BSI,37.1
01/11/2023,BSI,34.75
31/10/2023,BSI,33.2
30/10/2023,BSI,35.6
27/10/2023,BSI,38.2
26/10/2023,BSI,37.45
25/10/2023,BSI,38.4
24/10/2023,BSI,38.0
23/10/2023,BSI,37.2
20/10/2023,BSI,38.05
19/10/2023,BSI,35.6
18/10/2023,BSI,38.0
17/10/2023,BSI,38.5
16/10/2023,BSI,40.0
13/10/2023,BSI,41.5
12/10/2023,BSI,41.6
11/10/2023,BSI,42.2
10/10/2023,BSI,40.35
09/10/2023,BSI,41.0
06/10/2023,BSI,39.0
05/10/2023,BSI,38.0
04/10/2023,BSI,39.5
03/10/2023,BSI,36.95
02/10/2023,BSI,39.7
29/09/2023,BSI,41.0
28/09/2023,BSI,41.0
27/09/2023,BSI,38.9
26/09/2023,BSI,36.4
25/09/2023,BSI,36.25
22/09/2023,BSI,38.95
21/09/2023,BSI,41.85
20/09/2023,BSI,45.0
19/09/2023,BSI,43.45
18/09/2023,BSI,42.8
15/09/2023,BSI,42.7
14/09/2023,BSI,42.95
13/09/2023,BSI,43.5
12/09/2023,BSI,41.3
11/09/2023,BSI,38.6
08/09/2023,BSI,38.4
07/09/2023,BSI,38.85
06/09/2023,BSI,38.25
05/09/2023,BSI,36.4
31/08/2023,BSI,35.65
30/08/2023,BSI,34.45
29/08/2023,BSI,32.2
28/08/2023,BSI,32.1
25/08/2023,BSI,31.5
24/08/2023,BSI,31.4
23/08/2023,BSI,30.4
22/08/2023,BSI,30.95
21/08/2023,BSI,30.0
18/08/2023,BSI,30.55
17/08/2023,BSI,32.8
16/08/2023,BSI,32.5
15/08/2023,BSI,32.8
14/08/2023,BSI,33.05
11/08/2023,BSI,32.5
10/08/2023,BSI,32.05
09/08/2023,BSI,32.8
08/08/2023,BSI,33.45
07/08/2023,BSI,33.95
04/08/2023,BSI,33.2
03/08/2023,BSI,32.8
02/08/2023,BSI,33.5
01/08/2023,BSI,33.55
31/07/2023,BSI,34.1
28/07/2023,BSI,34.0
27/07/2023,BSI,33.5
26/07/2023,BSI,33.7
25/07/2023,BSI,33.8
24/07/2023,BSI,33.65
21/07/2023,BSI,33.5
20/07/2023,BSI,32.6
19/07/2023,BSI,32.0
18/07/2023,BSI,31.55
17/07/2023,BSI,32.0
14/07/2023,BSI,32.35
13/07/2023,BSI,31.7
12/07/2023,BSI,31.4
11/07/2023,BSI,31.85
10/07/2023,BSI,32.2
07/07/2023,BSI,31.7
06/07/2023,BSI,31.7
05/07/2023,BSI,31.3
04/07/2023,BSI,33.2
03/07/2023,BSI,32.9
30/06/2023,BSI,32.55
29/06/2023,BSI,32.35
28/06/2023,BSI,33.55
27/06/2023,BSI,33.9
26/06/2023,BSI,34.2
23/06/2023,BSI,34.5
22/06/2023,BSI,34.4
21/06/2023,BSI,34.7
20/06/2023,BSI,33.6
19/06/2023,BSI,32.7
16/06/2023,BSI,32.05
15/06/2023,BSI,32.3
14/06/2023,BSI,32.3
13/06/2023,BSI,32.7
12/06/2023,BSI,32.45
09/06/2023,BSI,32.5
08/06/2023,BSI,31.95
07/06/2023,BSI,32.95
06/06/2023,BSI,33.5
05/06/2023,BSI,32.6
02/06/2023,BSI,33.6
01/06/2023,BSI,33.45
31/05/2023,BSI,32.8
30/05/2023,BSI,33.1
29/05/2023,BSI,31.0
26/05/2023,BSI,29.7
25/05/2023,BSI,30.6
24/05/2023,BSI,30.6
23/05/2023,BSI,28.6
22/05/2023,BSI,29.0
19/05/2023,BSI,28.25
18/05/2023,BSI,28.5
17/05/2023,BSI,27.6
16/05/2023,BSI,28.6
15/05/2023,BSI,29.0
12/05/2023,BSI,29.7
11/05/2023,BSI,29.2
10/05/2023,BSI,29.3
09/05/2023,BSI,29.5
08/05/2023,BSI,29.65
05/05/2023,BSI,29.65
04/05/2023,BSI,30.1
28/04/2023,BSI,29.2
27/04/2023,BSI,28.7
26/04/2023,BSI,28.8
25/04/2023,BSI,27.8
24/04/2023,BSI,29.2
21/04/2023,BSI,29.7
20/04/2023,BSI,29.5
19/04/2023,BSI,29.9
18/04/2023,BSI,28.85
17/04/2023,BSI,27.0
14/04/2023,BSI,26.3
13/04/2023,BSI,26.2
12/04/2023,BSI,26.9
11/04/2023,BSI,27.95
10/04/2023,BSI,26.6
07/04/2023,BSI,26.75
06/04/2023,BSI,25.0
05/04/2023,BSI,26.0
04/04/2023,BSI,25.65
03/04/2023,BSI,24.0
31/03/2023,BSI,23.15
30/03/2023,BSI,21.65
29/03/2023,BSI,20.9
28/03/2023,BSI,19.55
27/03/2023,BSI,19.45
24/03/2023,BSI,18.2
23/03/2023,BSI,18.4
22/03/2023,BSI,17.95
21/03/2023,BSI,17.9
20/03/2023,BSI,17.4
17/03/2023,BSI,17.9
16/03/2023,BSI,18.0
15/03/2023,BSI,18.2
14/03/2023,BSI,17.05
13/03/2023,BSI,17.75
10/03/2023,BSI,17.85
09/03/2023,BSI,18.05
08/03/2023,BSI,17.8
07/03/2023,BSI,17.4
06/03/2023,BSI,17.25
03/03/2023,BSI,17.1
02/03/2023,BSI,17.4
01/03/2023,BSI,17.7
28/02/2023,BSI,17.1
27/02/2023,BSI,16.9
24/02/2023,BSI,17.5
23/02/2023,BSI,18.2
22/02/2023,BSI,17.7
21/02/2023,BSI,18.55
20/02/2023,BSI,18.9
17/02/2023,BSI,17.7
16/02/2023,BSI,17.9
15/02/2023,BSI,17.45
14/02/2023,BSI,17.05
13/02/2023,BSI,16.85
10/02/2023,BSI,17.75
09/02/2023,BSI,18.25
08/02/2023,BSI,18.3
07/02/2023,BSI,18.2
06/02/2023,BSI,18.65
03/02/2023,BSI,18.65
02/02/2023,BSI,18.85
01/02/2023,BSI,19.45
31/01/2023,BSI,20.9
30/01/2023,BSI,19.95
27/01/2023,BSI,19.65
19/01/2023,BSI,20.15
18/01/2023,BSI,19.55
17/01/2023,BSI,19.7
16/01/2023,BSI,18.5
13/01/2023,BSI,18.5
12/01/2023,BSI,18.1
11/01/2023,BSI,18.35
10/01/2023,BSI,17.85
09/01/2023,BSI,18.1
06/01/2023,BSI,18.5
05/01/2023,BSI,18.7
04/01/2023,BSI,18.65
03/01/2023,BSI,18.6
30/12/2022,BSI,17.4
29/12/2022,BSI,17.45
28/12/2022,BSI,18.1
27/12/2022,BSI,18.35
26/12/2022,BSI,17.3
23/12/2022,BSI,18.6
22/12/2022,BSI,19.3
21/12/2022,BSI,19.35
20/12/2022,BSI,20.1
19/12/2022,BSI,20.05
16/12/2022,BSI,19.55
15/12/2022,BSI,19.35
14/12/2022,BSI,19.15
13/12/2022,BSI,18.35
12/12/2022,BSI,17.15
09/12/2022,BSI,18.35
08/12/2022,BSI,18.65
07/12/2022,BSI,17.6
06/12/2022,BSI,18.55
05/12/2022,BSI,19.9
02/12/2022,BSI,19.25
01/12/2022,BSI,18.0
30/11/2022,BSI,18.35
29/11/2022,BSI,18.5
28/11/2022,BSI,17.35
25/11/2022,BSI,16.25
24/11/2022,BSI,15.2
23/11/2022,BSI,15.0
22/11/2022,BSI,15.0
21/11/2022,BSI,14.8
18/11/2022,BSI,14.25
17/11/2022,BSI,13.45
16/11/2022,BSI,12.85
15/11/2022,BSI,12.05
14/11/2022,BSI,12.95
11/11/2022,BSI,13.9
10/11/2022,BSI,14.9
09/11/2022,BSI,16.0
08/11/2022,BSI,16.0
07/11/2022,BSI,16.3
04/11/2022,BSI,17.5
03/11/2022,BSI,18.8
02/11/2022,BSI,18.8
01/11/2022,BSI,18.8
31/10/2022,BSI,18.0
28/10/2022,BSI,18.2
27/10/2022,BSI,17.9
26/10/2022,BSI,16.75
25/10/2022,BSI,18.0
24/10/2022,BSI,18.8
21/10/2022,BSI,20.2
20/10/2022,BSI,21.7
19/10/2022,BSI,22.8
18/10/2022,BSI,22.75
17/10/2022,BSI,22.7
14/10/2022,BSI,22.6
13/10/2022,BSI,21.8
12/10/2022,BSI,21.55
11/10/2022,BSI,21.55
10/10/2022,BSI,23.15
07/10/2022,BSI,22.65
06/10/2022,BSI,25.05
05/10/2022,BSI,26.9
04/10/2022,BSI,25.95
03/10/2022,BSI,27.9
30/09/2022,BSI,30.0
29/09/2022,BSI,29.6
28/09/2022,BSI,29.1
27/09/2022,BSI,29.0
26/09/2022,BSI,28.5
23/09/2022,BSI,29.2
22/09/2022,BSI,27.45
21/09/2022,BSI,25.7
20/09/2022,BSI,26.0
19/09/2022,BSI,25.15
16/09/2022,BSI,27.0
15/09/2022,BSI,28.0
14/09/2022,BSI,28.0
13/09/2022,BSI,27.5
12/09/2022,BSI,27.7
09/09/2022,BSI,27.85
08/09/2022,BSI,27.0
07/09/2022,BSI,27.35
06/09/2022,BSI,29.3
05/09/2022,BSI,29.4
31/08/2022,BSI,29.2
30/08/2022,BSI,28.4
29/08/2022,BSI,28.7
26/08/2022,BSI,30.3
25/08/2022,BSI,31.3
24/08/2022,BSI,31.3
23/08/2022,BSI,31.4
22/08/2022,BSI,30.45
19/08/2022,BSI,31.05
18/08/2022,BSI,31.5
17/08/2022,BSI,29.5
16/08/2022,BSI,29.25
15/08/2022,BSI,29.5
12/08/2022,BSI,29.3
11/08/2022,BSI,28.75
10/08/2022,BSI,29.7
09/08/2022,BSI,29.7
08/08/2022,BSI,29.5
05/08/2022,BSI,29.85
04/08/2022,BSI,29.5
03/08/2022,BSI,30.0
02/08/2022,BSI,29.2
01/08/2022,BSI,29.25
29/07/2022,BSI,28.5
28/07/2022,BSI,27.6
27/07/2022,BSI,27.4
26/07/2022,BSI,25.65
25/07/2022,BSI,25.6
22/07/2022,BSI,25.6
21/07/2022,BSI,25.45
20/07/2022,BSI,25.45
19/07/2022,BSI,23.8
18/07/2022,BSI,24.2
15/07/2022,BSI,24.1
14/07/2022,BSI,24.6
13/07/2022,BSI,23.4
12/07/2022,BSI,24.2
11/07/2022,BSI,22.9
08/07/2022,BSI,24.15
07/07/2022,BSI,23.0
06/07/2022,BSI,22.55
05/07/2022,BSI,24.0
04/07/2022,BSI,24.7
01/07/2022,BSI,23.9
30/06/2022,BSI,22.35
29/06/2022,BSI,24.0
28/06/2022,BSI,23.3
27/06/2022,BSI,23.1
24/06/2022,BSI,21.6
23/06/2022,BSI,21.95
22/06/2022,BSI,21.9
21/06/2022,BSI,20.5
20/06/2022,BSI,20.4
17/06/2022,BSI,21.9
16/06/2022,BSI,23.5
15/06/2022,BSI,24.95
14/06/2022,BSI,26.8
13/06/2022,BSI,27.35
10/06/2022,BSI,29.4
09/06/2022,BSI,31.6
08/06/2022,BSI,32.0
07/06/2022,BSI,31.9
06/06/2022,BSI,30.2
03/06/2022,BSI,28.45
02/06/2022,BSI,28.3
01/06/2022,BSI,28.0
31/05/2022,BSI,28.45
30/05/2022,BSI,28.6
27/05/2022,BSI,28.25
26/05/2022,BSI,28.7
25/05/2022,BSI,29.0
24/05/2022,BSI,27.25
23/05/2022,BSI,25.5
20/05/2022,BSI,26.5
19/05/2022,BSI,24.8
18/05/2022,BSI,23.2
17/05/2022,BSI,23.0
16/05/2022,BSI,21.5
13/05/2022,BSI,22.6
12/05/2022,BSI,24.25
11/05/2022,BSI,26.05
10/05/2022,BSI,25.9
09/05/2022,BSI,25.25
06/05/2022,BSI,27.1
05/05/2022,BSI,29.0
04/05/2022,BSI,29.1
29/04/2022,BSI,30.8
28/04/2022,BSI,29.2
27/04/2022,BSI,29.4
26/04/2022,BSI,29.8
25/04/2022,BSI,29.8
22/04/2022,BSI,31.9
21/04/2022,BSI,32.1
20/04/2022,BSI,31.0
19/04/2022,BSI,32.5
18/04/2022,BSI,31.9
15/04/2022,BSI,34.3
14/04/2022,BSI,34.65
13/04/2022,BSI,34.8
