Ngay,GiaDongCua
29/12/2023,28.3
28/12/2023,28.35
27/12/2023,28.15
26/12/2023,28.4
25/12/2023,27.95
22/12/2023,27.85
21/12/2023,27.8
20/12/2023,27.85
19/12/2023,27.8
18/12/2023,27.1
15/12/2023,27.0
14/12/2023,26.85
13/12/2023,26.85
12/12/2023,27.4
11/12/2023,27.3
08/12/2023,27.1
07/12/2023,27.6
06/12/2023,28.7
05/12/2023,28.6
04/12/2023,28.6
01/12/2023,27.55
30/11/2023,27.05
29/11/2023,27.3
28/11/2023,27.0
27/11/2023,26.5
24/11/2023,27.3
23/11/2023,26.4
22/11/2023,28.35
21/11/2023,27.55
20/11/2023,27.25
17/11/2023,25.8
16/11/2023,26.6
15/11/2023,25.9
14/11/2023,25.95
13/11/2023,25.7
10/11/2023,25.05
09/11/2023,25.55
08/11/2023,24.9
07/11/2023,23.3
06/11/2023,23.1
03/11/2023,22.25
02/11/2023,22.2
01/11/2023,20.75
31/10/2023,19.4
30/10/2023,20.8
27/10/2023,22.3
26/10/2023,21.7
25/10/2023,23.3
24/10/2023,24.0
23/10/2023,23.6
20/10/2023,23.1
19/10/2023,21.6
18/10/2023,23.2
17/10/2023,24.85
16/10/2023,26.7
13/10/2023,27.4
12/10/2023,27.6
11/10/2023,27.5
10/10/2023,26.6
09/10/2023,26.6
06/10/2023,26.2
05/10/2023,25.5
04/10/2023,26.8
03/10/2023,26.35
02/10/2023,28.3
29/09/2023,28.9
28/09/2023,29.5
27/09/2023,28.85
26/09/2023,27.0
25/09/2023,26.95
22/09/2023,28.95
21/09/2023,31.1
20/09/2023,32.8
19/09/2023,32.3
18/09/2023,31.6
15/09/2023,31.45
14/09/2023,32.0
13/09/2023,32.6
12/09/2023,32.35
11/09/2023,30.25
08/09/2023,29.9
07/09/2023,30.0
06/09/2023,30.0
05/09/2023,28.75
31/08/2023,28.7
30/08/2023,28.15
29/08/2023,26.35
28/08/2023,26.3
25/08/2023,25.6
24/08/2023,25.35
23/08/2023,24.65
22/08/2023,25.0
21/08/2023,24.1
18/08/2023,24.25
17/08/2023,26.05
16/08/2023,25.9
15/08/2023,26.1
14/08/2023,26.5
11/08/2023,25.85
10/08/2023,25.0
09/08/2023,25.75
08/08/2023,26.25
07/08/2023,26.8
04/08/2023,26.35
03/08/2023,25.95
02/08/2023,26.0
01/08/2023,25.4
31/07/2023,25.8
28/07/2023,25.2
27/07/2023,24.9
26/07/2023,25.0
25/07/2023,24.6
24/07/2023,24.95
21/07/2023,24.15
20/07/2023,22.6
19/07/2023,22.6
18/07/2023,22.7
17/07/2023,23.0
14/07/2023,23.1
13/07/2023,23.0
12/07/2023,22.95
11/07/2023,22.5
10/07/2023,22.65
07/07/2023,22.35
06/07/2023,21.95
05/07/2023,22.25
04/07/2023,22.7
03/07/2023,21.75
30/06/2023,21.5
29/06/2023,21.0
28/06/2023,21.85
27/06/2023,22.15
26/06/2023,22.5
23/06/2023,21.7
22/06/2023,21.4
21/06/2023,21.15
20/06/2023,19.8
19/06/2023,19.5
16/06/2023,18.95
15/06/2023,18.75
14/06/2023,18.9
13/06/2023,19.3
12/06/2023,18.6
09/06/2023,18.8
08/06/2023,18.3
07/06/2023,19.1
06/06/2023,19.2
05/06/2023,18.7
02/06/2023,19.4
01/06/2023,19.35
31/05/2023,19.15
30/05/2023,19.35
29/05/2023,19.05
26/05/2023,18.8
25/05/2023,18.6
24/05/2023,19.0
23/05/2023,17.9
22/05/2023,17.65
19/05/2023,17.35
18/05/2023,17.15
17/05/2023,16.65
16/05/2023,17.3
15/05/2023,17.0
12/05/2023,17.75
11/05/2023,17.35
10/05/2023,17.0
09/05/2023,16.9
08/05/2023,17.0
05/05/2023,16.75
04/05/2023,16.9
28/04/2023,16.6
27/04/2023,16.25
26/04/2023,16.4
25/04/2023,16.0
24/04/2023,17.2
21/04/2023,17.45
20/04/2023,16.85
19/04/2023,17.2
18/04/2023,17.65
17/04/2023,16.65
14/04/2023,16.4
13/04/2023,16.7
12/04/2023,17.0
11/04/2023,17.8
10/04/2023,17.4
07/04/2023,17.6
06/04/2023,16.5
05/04/2023,17.3
04/04/2023,17.3
03/04/2023,17.1
31/03/2023,16.75
30/03/2023,15.8
29/03/2023,16.0
28/03/2023,15.4
27/03/2023,15.35
24/03/2023,14.9
23/03/2023,15.0
22/03/2023,14.3
21/03/2023,14.2
20/03/2023,13.45
17/03/2023,13.85
16/03/2023,13.9
15/03/2023,13.5
14/03/2023,12.65
13/03/2023,13.1
10/03/2023,13.4
09/03/2023,13.4
08/03/2023,13.3
07/03/2023,12.85
06/03/2023,12.6
03/03/2023,12.55
02/03/2023,13.05
01/03/2023,13.15
28/02/2023,12.35
27/02/2023,12.2
24/02/2023,13.0
23/02/2023,13.5
22/02/2023,13.4
21/02/2023,14.3
20/02/2023,14.2
17/02/2023,13.3
16/02/2023,13.4
15/02/2023,12.85
14/02/2023,12.75
13/02/2023,12.55
10/02/2023,13.45
09/02/2023,13.8
08/02/2023,13.8
07/02/2023,13.5
06/02/2023,13.6
03/02/2023,13.5
02/02/2023,13.55
01/02/2023,14.1
31/01/2023,15.15
30/01/2023,14.6
27/01/2023,14.7
19/01/2023,15.45
18/01/2023,15.45
17/01/2023,15.3
16/01/2023,14.5
13/01/2023,14.4
12/01/2023,14.2
11/01/2023,14.35
10/01/2023,13.75
09/01/2023,13.7
06/01/2023,13.7
05/01/2023,13.8
04/01/2023,13.75
03/01/2023,13.5
30/12/2022,12.65
29/12/2022,12.7
28/12/2022,13.6
27/12/2022,13.4
26/12/2022,12.55
23/12/2022,13.45
22/12/2022,13.7
21/12/2022,13.2
20/12/2022,13.8
19/12/2022,14.65
16/12/2022,14.9
15/12/2022,15.15
14/12/2022,15.1
13/12/2022,14.2
12/12/2022,13.3
09/12/2022,14.25
08/12/2022,13.35
07/12/2022,12.5
06/12/2022,12.9
05/12/2022,12.8
02/12/2022,12.0
01/12/2022,11.25
30/11/2022,11.0
29/11/2022,10.3
28/11/2022,9.63
25/11/2022,9.0
24/11/2022,8.42
23/11/2022,8.33
22/11/2022,8.95
21/11/2022,8.88
18/11/2022,9.01
17/11/2022,8.62
16/11/2022,8.06
15/11/2022,7.54
14/11/2022,8.1
11/11/2022,8.7
10/11/2022,9.35
09/11/2022,10.05
08/11/2022,10.15
07/11/2022,10.1
04/11/2022,10.85
03/11/2022,11.65
02/11/2022,11.85
01/11/2022,11.85
31/10/2022,11.15
28/10/2022,11.2
27/10/2022,10.95
26/10/2022,10.25
25/10/2022,11.0
24/10/2022,11.4
21/10/2022,12.25
20/10/2022,13.15
19/10/2022,13.6
18/10/2022,13.6
17/10/2022,13.5
14/10/2022,13.7
13/10/2022,13.25
12/10/2022,13.2
11/10/2022,12.85
10/10/2022,13.8
07/10/2022,13.3
06/10/2022,14.3
05/10/2022,15.35
04/10/2022,14.65
03/10/2022,15.3
30/09/2022,16.45
29/09/2022,15.6
28/09/2022,16.6
27/09/2022,16.6
26/09/2022,16.6
23/09/2022,17.8
22/09/2022,17.85
21/09/2022,17.1
20/09/2022,17.3
19/09/2022,16.75
16/09/2022,18.0
15/09/2022,19.0
14/09/2022,19.2
13/09/2022,18.65
12/09/2022,18.65
09/09/2022,18.95
08/09/2022,18.6
07/09/2022,18.8
06/09/2022,19.5
05/09/2022,19.3
31/08/2022,19.1
30/08/2022,18.6
29/08/2022,19.1
26/08/2022,19.6
25/08/2022,20.1
24/08/2022,19.8
23/08/2022,24.0
22/08/2022,22.9
19/08/2022,24.0
18/08/2022,24.35
17/08/2022,23.55
16/08/2022,23.1
15/08/2022,22.2
12/08/2022,22.05
11/08/2022,21.0
10/08/2022,21.9
09/08/2022,22.0
08/08/2022,21.9
05/08/2022,22.0
04/08/2022,20.85
03/08/2022,20.8
02/08/2022,20.15
01/08/2022,19.75
29/07/2022,18.5
28/07/2022,18.25
27/07/2022,17.6
26/07/2022,17.2
25/07/2022,17.65
22/07/2022,17.65
21/07/2022,18.1
