Ngay,GiaDongCua
29/12/2023,16.0
28/12/2023,15.9
27/12/2023,15.95
26/12/2023,16.05
25/12/2023,16.05
22/12/2023,16.0
21/12/2023,16.1
20/12/2023,16.05
19/12/2023,16.0
18/12/2023,15.85
15/12/2023,16.0
14/12/2023,15.8
13/12/2023,16.2
12/12/2023,16.4
11/12/2023,16.4
08/12/2023,16.8
07/12/2023,17.2
06/12/2023,17.2
05/12/2023,16.95
04/12/2023,17.8
01/12/2023,17.2
30/11/2023,17.0
29/11/2023,16.5
28/11/2023,16.4
27/11/2023,15.95
24/11/2023,15.9
23/11/2023,16.0
22/11/2023,16.7
21/11/2023,15.95
20/11/2023,16.2
17/11/2023,15.15
16/11/2023,15.4
15/11/2023,14.9
14/11/2023,13.95
13/11/2023,13.05
10/11/2023,12.85
09/11/2023,12.95
08/11/2023,12.85
07/11/2023,12.35
06/11/2023,12.5
03/11/2023,12.0
02/11/2023,11.75
01/11/2023,11.0
31/10/2023,11.0
30/10/2023,11.15
27/10/2023,11.1
26/10/2023,11.2
25/10/2023,11.4
24/10/2023,11.6
23/10/2023,11.35
20/10/2023,11.25
19/10/2023,11.3
18/10/2023,11.85
17/10/2023,11.9
16/10/2023,11.4
13/10/2023,11.6
12/10/2023,11.6
11/10/2023,11.65
10/10/2023,11.7
09/10/2023,11.7
06/10/2023,11.6
05/10/2023,11.45
04/10/2023,11.5
03/10/2023,11.15
02/10/2023,11.8
29/09/2023,12.2
28/09/2023,12.1
27/09/2023,12.0
26/09/2023,12.15
25/09/2023,11.9
22/09/2023,12.75
21/09/2023,12.5
20/09/2023,12.4
19/09/2023,12.4
18/09/2023,12.75
15/09/2023,13.15
14/09/2023,12.9
13/09/2023,13.25
12/09/2023,13.25
11/09/2023,13.15
08/09/2023,13.55
07/09/2023,13.2
06/09/2023,13.1
05/09/2023,12.25
31/08/2023,12.25
30/08/2023,12.4
29/08/2023,12.1
28/08/2023,12.15
25/08/2023,11.95
24/08/2023,11.95
23/08/2023,11.75
22/08/2023,11.75
21/08/2023,11.6
18/08/2023,11.35
17/08/2023,12.2
16/08/2023,11.85
15/08/2023,11.5
14/08/2023,11.0
11/08/2023,10.85
10/08/2023,11.2
09/08/2023,11.25
08/08/2023,10.85
07/08/2023,10.95
04/08/2023,10.7
03/08/2023,10.0
02/08/2023,10.2
01/08/2023,10.0
31/07/2023,10.35
28/07/2023,10.25
27/07/2023,10.35
26/07/2023,10.25
25/07/2023,9.62
24/07/2023,9.48
21/07/2023,9.58
20/07/2023,9.9
19/07/2023,9.82
18/07/2023,9.59
17/07/2023,9.58
14/07/2023,9.64
13/07/2023,9.36
12/07/2023,9.07
11/07/2023,9.16
10/07/2023,9.02
07/07/2023,8.83
06/07/2023,8.97
05/07/2023,9.15
04/07/2023,9.1
03/07/2023,9.09
30/06/2023,9.05
29/06/2023,9.2
28/06/2023,9.36
27/06/2023,9.5
26/06/2023,9.4
23/06/2023,9.63
22/06/2023,9.71
21/06/2023,9.6
20/06/2023,9.33
19/06/2023,9.38
16/06/2023,9.55
15/06/2023,9.33
14/06/2023,9.6
13/06/2023,9.81
12/06/2023,9.93
09/06/2023,9.7
08/06/2023,9.78
07/06/2023,10.25
06/06/2023,9.6
05/06/2023,9.62
02/06/2023,9.71
01/06/2023,9.91
31/05/2023,10.0
30/05/2023,9.72
29/05/2023,9.09
26/05/2023,8.5
25/05/2023,8.46
24/05/2023,8.47
23/05/2023,8.3
22/05/2023,8.38
19/05/2023,8.48
18/05/2023,8.45
17/05/2023,8.4
16/05/2023,8.07
15/05/2023,7.87
12/05/2023,7.77
11/05/2023,7.76
10/05/2023,7.82
09/05/2023,7.62
08/05/2023,7.65
05/05/2023,7.6
04/05/2023,7.6
28/04/2023,7.64
27/04/2023,7.45
26/04/2023,7.47
25/04/2023,7.56
24/04/2023,7.61
21/04/2023,7.6
20/04/2023,7.7
19/04/2023,7.61
18/04/2023,7.81
17/04/2023,7.8
14/04/2023,7.8
13/04/2023,7.87
12/04/2023,8.0
11/04/2023,7.91
10/04/2023,7.8
07/04/2023,7.6
06/04/2023,7.61
05/04/2023,7.63
04/04/2023,7.5
03/04/2023,7.38
31/03/2023,7.31
30/03/2023,7.35
29/03/2023,7.32
28/03/2023,7.32
27/03/2023,7.32
24/03/2023,7.34
23/03/2023,7.31
22/03/2023,7.32
21/03/2023,7.45
20/03/2023,7.57
17/03/2023,7.65
16/03/2023,7.6
15/03/2023,7.68
14/03/2023,7.58
13/03/2023,7.7
10/03/2023,7.8
09/03/2023,7.85
08/03/2023,7.77
07/03/2023,7.76
06/03/2023,7.75
03/03/2023,7.8
02/03/2023,7.87
01/03/2023,7.86
28/02/2023,7.84
27/02/2023,7.78
24/02/2023,7.85
23/02/2023,7.98
22/02/2023,7.99
21/02/2023,8.18
20/02/2023,8.2
17/02/2023,7.87
16/02/2023,7.86
15/02/2023,7.8
14/02/2023,7.73
13/02/2023,7.7
10/02/2023,8.04
09/02/2023,8.16
08/02/2023,8.1
07/02/2023,8.2
06/02/2023,8.25
03/02/2023,8.2
02/02/2023,8.36
01/02/2023,8.3
31/01/2023,8.41
30/01/2023,8.53
27/01/2023,8.62
19/01/2023,8.39
18/01/2023,8.28
17/01/2023,8.28
16/01/2023,8.24
13/01/2023,8.3
12/01/2023,8.31
11/01/2023,8.4
10/01/2023,8.65
09/01/2023,8.09
06/01/2023,8.11
05/01/2023,8.26
04/01/2023,8.1
03/01/2023,8.16
30/12/2022,8.48
29/12/2022,8.58
28/12/2022,8.58
27/12/2022,8.6
26/12/2022,8.6
23/12/2022,8.35
22/12/2022,7.81
21/12/2022,7.3
20/12/2022,6.85
19/12/2022,7.17
16/12/2022,7.25
15/12/2022,6.98
14/12/2022,7.06
13/12/2022,7.01
12/12/2022,6.97
09/12/2022,6.9
08/12/2022,6.8
07/12/2022,6.72
06/12/2022,7.1
05/12/2022,7.55
02/12/2022,7.44
01/12/2022,7.45
30/11/2022,7.2
29/11/2022,7.01
28/11/2022,6.81
25/11/2022,6.45
24/11/2022,6.35
23/11/2022,6.6
22/11/2022,6.65
21/11/2022,6.5
18/11/2022,6.5
17/11/2022,6.6
16/11/2022,6.5
15/11/2022,6.46
14/11/2022,6.94
11/11/2022,7.05
10/11/2022,7.18
09/11/2022,7.2
08/11/2022,7.28
07/11/2022,7.3
04/11/2022,7.3
03/11/2022,7.62
02/11/2022,7.8
01/11/2022,7.91
31/10/2022,8.01
28/10/2022,8.05
27/10/2022,8.07
26/10/2022,7.9
25/10/2022,7.51
24/10/2022,7.98
21/10/2022,8.0
20/10/2022,8.33
19/10/2022,8.42
18/10/2022,8.6
17/10/2022,8.45
14/10/2022,8.5
13/10/2022,8.22
12/10/2022,8.25
11/10/2022,8.24
10/10/2022,8.85
07/10/2022,8.85
06/10/2022,9.5
05/10/2022,9.72
04/10/2022,9.55
03/10/2022,9.55
30/09/2022,9.76
29/09/2022,9.85
28/09/2022,9.8
27/09/2022,10.0
26/09/2022,9.88
23/09/2022,10.5
22/09/2022,10.4
21/09/2022,10.55
20/09/2022,10.95
19/09/2022,10.35
16/09/2022,10.45
15/09/2022,10.8
14/09/2022,10.8
13/09/2022,10.7
12/09/2022,10.0
09/09/2022,9.38
08/09/2022,9.5
07/09/2022,9.79
06/09/2022,9.95
05/09/2022,10.0
31/08/2022,9.9
30/08/2022,9.98
29/08/2022,10.0
26/08/2022,10.3
25/08/2022,10.2
24/08/2022,10.25
23/08/2022,10.25
22/08/2022,10.2
19/08/2022,11.1
18/08/2022,11.1
17/08/2022,11.25
16/08/2022,11.25
15/08/2022,11.25
12/08/2022,10.95
11/08/2022,10.95
10/08/2022,11.2
09/08/2022,11.25
08/08/2022,11.2
05/08/2022,11.1
04/08/2022,11.05
03/08/2022,11.2
02/08/2022,10.9
01/08/2022,10.75
29/07/2022,10.7
28/07/2022,10.8
27/07/2022,10.5
26/07/2022,10.65
25/07/2022,10.65
22/07/2022,10.8
21/07/2022,10.8
20/07/2022,10.75
19/07/2022,10.5
18/07/2022,10.5
15/07/2022,10.5
14/07/2022,10.1
13/07/2022,9.83
12/07/2022,9.74
11/07/2022,9.68
08/07/2022,9.7
07/07/2022,9.68
06/07/2022,9.58
05/07/2022,9.93
04/07/2022,10.1
01/07/2022,9.9
30/06/2022,10.0
29/06/2022,10.0
28/06/2022,10.2
27/06/2022,10.0
24/06/2022,9.85
23/06/2022,9.6
22/06/2022,9.25
21/06/2022,9.25
20/06/2022,9.3
17/06/2022,9.4
16/06/2022,10.0
15/06/2022,10.1
14/06/2022,10.45
13/06/2022,10.65
10/06/2022,11.4
09/06/2022,11.45
08/06/2022,11.7
07/06/2022,11.25
06/06/2022,11.25
03/06/2022,11.6
02/06/2022,11.75
01/06/2022,11.95
31/05/2022,11.9
30/05/2022,12.3
27/05/2022,11.8
26/05/2022,11.75
25/05/2022,11.35
24/05/2022,11.4
23/05/2022,11.0
20/05/2022,11.4
19/05/2022,11.45
18/05/2022,11.4
17/05/2022,11.1
16/05/2022,10.4
13/05/2022,10.25
12/05/2022,11.0
11/05/2022,11.6
10/05/2022,11.5
09/05/2022,11.7
06/05/2022,12.55
05/05/2022,13.0
04/05/2022,13.0
29/04/2022,13.0
28/04/2022,12.9
27/04/2022,13.05
26/04/2022,12.85
25/04/2022,12.65
22/04/2022,13.55
21/04/2022,13.5
20/04/2022,12.95
19/04/2022,13.55
18/04/2022,14.55
15/04/2022,15.4
14/04/2022,15.4
13/04/2022,15.3
12/04/2022,14.8
08/04/2022,15.4
07/04/2022,15.9
06/04/2022,16.4
05/04/2022,16.8
04/04/2022,17.0
01/04/2022,17.0
31/03/2022,17.1
30/03/2022,17.1
29/03/2022,17.05
28/03/2022,17.5
25/03/2022,17.6
24/03/2022,17.2
23/03/2022,17.15
22/03/2022,17.0
21/03/2022,17.05
18/03/2022,17.1
17/03/2022,17.05
16/03/2022,17.25
15/03/2022,16.8
14/03/2022,16.9
11/03/2022,17.8
10/03/2022,18.05
09/03/2022,17.85
08/03/2022,16.7
07/03/2022,16.8
04/03/2022,16.9
03/03/2022,16.75
02/03/2022,17.1
01/03/2022,17.55
28/02/2022,17.8
25/02/2022,17.7
24/02/2022,17.3
23/02/2022,17.6
22/02/2022,17.6
21/02/2022,16.8
18/02/2022,16.65
17/02/2022,16.3
16/02/2022,16.45
15/02/2022,16.3
14/02/2022,16.4
11/02/2022,16.1
10/02/2022,16.1
09/02/2022,16.5
08/02/2022,16.55
07/02/2022,16.5
28/01/2022,15.65
27/01/2022,15.5
26/01/2022,15.4
25/01/2022,15.85
24/01/2022,15.6
21/01/2022,16.65
20/01/2022,17.1
19/01/2022,17.3
18/01/2022,16.2
17/01/2022,16.1
14/01/2022,17.3
13/01/2022,18.1
29/12/2021,19.2
28/12/2021,18.9
27/12/2021,18.5
24/12/2021,18.7
23/12/2021,18.7
21/12/2021,18.5
20/12/2021,18.9
17/12/2021,19.3
16/12/2021,19.3
15/12/2021,19.4
14/12/2021,19.6
13/12/2021,20.3
10/12/2021,20.1
09/12/2021,20.3
08/12/2021,20.7
07/12/2021,18.6
06/12/2021,18.0
03/12/2021,18.4
02/12/2021,18.6
01/12/2021,18.6
30/11/2021,18.5
29/11/2021,17.8
26/11/2021,18.0
25/11/2021,18.3
24/11/2021,18.4
23/11/2021,18.3
22/11/2021,18.9
19/11/2021,19.2
18/11/2021,19.2
17/11/2021,18.1
16/11/2021,18.3
15/11/2021,18.4
12/11/2021,17.9
11/11/2021,18.0
10/11/2021,18.0
09/11/2021,17.9
08/11/2021,17.7
05/11/2021,17.9
04/11/2021,17.8
03/11/2021,17.6
02/11/2021,18.6
01/11/2021,18.8
29/10/2021,18.5
28/10/2021,18.0
27/10/2021,17.8
26/10/2021,17.8
25/10/2021,17.4
22/10/2021,17.4
21/10/2021,17.4
20/10/2021,17.1
19/10/2021,16.1
18/10/2021,15.4
15/10/2021,15.3
14/10/2021,15.3
13/10/2021,15.5
12/10/2021,15.4
11/10/2021,15.0
08/10/2021,14.1
07/10/2021,14.1
06/10/2021,13.5
05/10/2021,13.2
04/10/2021,13.0
01/10/2021,13.2
30/09/2021,13.3
29/09/2021,13.2
28/09/2021,13.2
27/09/2021,13.1
24/09/2021,13.3
23/09/2021,13.3
22/09/2021,13.6
21/09/2021,13.1
20/09/2021,13.1
17/09/2021,12.4
16/09/2021,12.2
15/09/2021,12.1
14/09/2021,12.1
13/09/2021,12.3
10/09/2021,12.1
09/09/2021,12.0
08/09/2021,12.1
07/09/2021,12.1
06/09/2021,11.2
01/09/2021,11.0
31/08/2021,11.1
30/08/2021,11.2
27/08/2021,10.5
26/08/2021,10.4
25/08/2021,10.4
24/08/2021,10.3
23/08/2021,10.5
20/08/2021,11.0
19/08/2021,11.3
18/08/2021,11.3
17/08/2021,11.3
16/08/2021,11.4
13/08/2021,11.4
12/08/2021,11.4
11/08/2021,11.4
10/08/2021,10.8
09/08/2021,10.7
06/08/2021,10.6
05/08/2021,10.8
04/08/2021,10.9
03/08/2021,10.6
02/08/2021,10.3
30/07/2021,10.2
29/07/2021,10.1
28/07/2021,10.1
27/07/2021,10.2
26/07/2021,10.1
23/07/2021,10.2
22/07/2021,10.4
21/07/2021,10.4
20/07/2021,10.2
19/07/2021,10.0
16/07/2021,10.7
15/07/2021,12.0
14/07/2021,12.1
13/07/2021,12.2
12/07/2021,12.1
09/07/2021,12.7
08/07/2021,13.2
07/07/2021,12.7
06/07/2021,12.8
05/07/2021,12.4
02/07/2021,12.5
01/07/2021,12.4
30/06/2021,12.5
29/06/2021,12.7
28/06/2021,12.6
25/06/2021,12.6
24/06/2021,12.7
23/06/2021,12.6
22/06/2021,12.7
21/06/2021,12.7
18/06/2021,12.8
17/06/2021,12.9
16/06/2021,12.6
15/06/2021,12.8
14/06/2021,12.8
11/06/2021,12.7
10/06/2021,12.2
09/06/2021,12.2
08/06/2021,12.3
07/06/2021,12.9
04/06/2021,13.3
03/06/2021,13.3
02/06/2021,12.6
01/06/2021,12.8
31/05/2021,12.3
28/05/2021,11.5
27/05/2021,11.4
26/05/2021,10.9
25/05/2021,10.8
24/05/2021,10.6
21/05/2021,10.6
20/05/2021,10.7
19/05/2021,11.0
18/05/2021,10.9
17/05/2021,11.1
14/05/2021,11.0
13/05/2021,11.0
12/05/2021,11.0
11/05/2021,11.1
07/05/2021,11.2
06/05/2021,11.2
05/05/2021,10.9
04/05/2021,10.6
29/04/2021,11.2
28/04/2021,11.4
27/04/2021,11.4
26/04/2021,11.3
23/04/2021,11.4
22/04/2021,11.2
20/04/2021,11.8
19/04/2021,11.6
16/04/2021,11.5
15/04/2021,11.5
14/04/2021,11.7
13/04/2021,12.0
12/04/2021,12.4
09/04/2021,12.5
08/04/2021,12.2
07/04/2021,12.0
06/04/2021,12.0
05/04/2021,12.0
02/04/2021,12.3
01/04/2021,12.2
31/03/2021,12.0
30/03/2021,10.9
29/03/2021,10.6
25/03/2021,10.4
24/03/2021,10.5
23/03/2021,10.6
22/03/2021,10.9
19/03/2021,11.0
18/03/2021,11.0
17/03/2021,10.8
16/03/2021,10.5
15/03/2021,10.5
12/03/2021,10.6
11/03/2021,10.6
10/03/2021,10.8
09/03/2021,10.8
05/03/2021,10.7
04/03/2021,10.7
03/03/2021,10.8
02/03/2021,9.6
01/03/2021,9.1
26/02/2021,9.0
25/02/2021,9.1
24/02/2021,9.0
23/02/2021,9.3
22/02/2021,9.3
19/02/2021,9.2
18/02/2021,8.6
17/02/2021,8.6
05/02/2021,8.5
04/02/2021,8.4
03/02/2021,8.6
02/02/2021,8.2
01/02/2021,8.0
29/01/2021,8.2
28/01/2021,8.0
27/01/2021,9.2
26/01/2021,10.0
25/01/2021,10.3
22/01/2021,10.3
21/01/2021,10.3
20/01/2021,10.1
19/01/2021,10.1
18/01/2021,10.9
15/01/2021,10.7
14/01/2021,10.7
13/01/2021,10.7
12/01/2021,10.3
11/01/2021,9.7
08/01/2021,9.6
07/01/2021,9.6
06/01/2021,9.5
05/01/2021,9.5
04/01/2021,9.7
31/12/2020,9.8
30/12/2020,9.9
29/12/2020,10.0
28/12/2020,9.7
25/12/2020,9.2
24/12/2020,9.2
23/12/2020,9.5
22/12/2020,9.7
21/12/2020,9.1
18/12/2020,9.1
17/12/2020,9.1
16/12/2020,9.2
15/12/2020,9.1
14/12/2020,9.2
11/12/2020,9.0
10/12/2020,8.9
09/12/2020,9.0
08/12/2020,8.9
07/12/2020,9.0
04/12/2020,9.0
03/12/2020,9.3
02/12/2020,8.8
01/12/2020,8.7
30/11/2020,8.2
26/11/2020,8.0
25/11/2020,8.1
24/11/2020,8.1
23/11/2020,8.1
20/11/2020,8.1
19/11/2020,8.1
18/11/2020,8.1
17/11/2020,8.1
16/11/2020,8.0
13/11/2020,8.0
12/11/2020,8.0
11/11/2020,8.1
10/11/2020,8.0
09/11/2020,8.1
06/11/2020,8.1
05/11/2020,8.0
04/11/2020,8.2
03/11/2020,8.1
02/11/2020,8.1
30/10/2020,8.1
29/10/2020,8.2
28/10/2020,8.2
27/10/2020,8.4
26/10/2020,8.1
23/10/2020,7.9
22/10/2020,8.0
21/10/2020,8.0
20/10/2020,8.0
19/10/2020,7.9
16/10/2020,7.9
15/10/2020,8.0
14/10/2020,7.9
13/10/2020,8.0
12/10/2020,8.1
09/10/2020,8.2
08/10/2020,8.0
07/10/2020,8.0
06/10/2020,8.0
05/10/2020,8.0
02/10/2020,7.8
01/10/2020,7.7
30/09/2020,7.4
29/09/2020,7.4
28/09/2020,7.7
25/09/2020,7.8
24/09/2020,7.9
23/09/2020,7.3
22/09/2020,7.3
21/09/2020,7.2
18/09/2020,7.2
17/09/2020,7.1
16/09/2020,7.2
15/09/2020,6.8
14/09/2020,6.8
11/09/2020,6.8
10/09/2020,6.8
09/09/2020,6.7
08/09/2020,6.8
07/09/2020,6.7
04/09/2020,6.8
03/09/2020,6.7
01/09/2020,6.8
31/08/2020,6.8
28/08/2020,7.0
27/08/2020,6.8
26/08/2020,6.8
25/08/2020,6.9
24/08/2020,6.9
21/08/2020,6.7
20/08/2020,6.8
19/08/2020,6.7
18/08/2020,6.9
17/08/2020,7.0
14/08/2020,6.9
13/08/2020,6.6
12/08/2020,6.5
11/08/2020,6.5
10/08/2020,6.4
07/08/2020,6.2
06/08/2020,6.1
05/08/2020,6.2
04/08/2020,6.2
03/08/2020,6.0
31/07/2020,6.1
30/07/2020,6.1
29/07/2020,5.9
28/07/2020,6.1
27/07/2020,5.7
24/07/2020,6.1
23/07/2020,6.6
22/07/2020,6.7
21/07/2020,6.7
20/07/2020,6.6
17/07/2020,6.7
16/07/2020,6.6
15/07/2020,6.7
14/07/2020,6.7
13/07/2020,6.6
10/07/2020,6.7
09/07/2020,6.7
08/07/2020,6.8
07/07/2020,6.7
06/07/2020,6.7
03/07/2020,6.8
02/07/2020,6.7
01/07/2020,6.8
30/06/2020,6.4
29/06/2020,6.5
26/06/2020,6.9
25/06/2020,7.0
24/06/2020,7.2
23/06/2020,7.3
22/06/2020,7.3
19/06/2020,7.3
18/06/2020,7.2
17/06/2020,7.2
16/06/2020,7.3
15/06/2020,7.2
12/06/2020,7.5
11/06/2020,7.7
10/06/2020,8.1
09/06/2020,7.6
08/06/2020,7.7
05/06/2020,7.5
04/06/2020,7.5
03/06/2020,7.6
02/06/2020,7.5
01/06/2020,7.4
29/05/2020,7.4
28/05/2020,7.4
27/05/2020,7.5
26/05/2020,7.7
25/05/2020,7.5
22/05/2020,7.5
21/05/2020,7.6
20/05/2020,7.8
19/05/2020,7.6
18/05/2020,7.0
15/05/2020,7.1
14/05/2020,7.1
13/05/2020,7.2
12/05/2020,7.4
11/05/2020,7.4
08/05/2020,7.2
07/05/2020,7.1
06/05/2020,7.0
05/05/2020,6.9
04/05/2020,7.0
29/04/2020,7.0
28/04/2020,7.1
27/04/2020,7.2
24/04/2020,7.3
23/04/2020,7.3
22/04/2020,7.0
21/04/2020,6.8
20/04/2020,7.2
17/04/2020,6.7
16/04/2020,6.6
15/04/2020,6.6
14/04/2020,6.6
13/04/2020,6.7
10/04/2020,6.7
09/04/2020,6.6
08/04/2020,6.7
07/04/2020,6.6
06/04/2020,6.9
03/04/2020,6.7
01/04/2020,6.5
31/03/2020,6.7
30/03/2020,6.6
27/03/2020,6.7
26/03/2020,7.0
25/03/2020,7.1
24/03/2020,7.0
23/03/2020,7.2
20/03/2020,7.5
19/03/2020,7.2
18/03/2020,7.4
17/03/2020,7.3
16/03/2020,7.3
13/03/2020,7.1
12/03/2020,7.0
11/03/2020,7.1
10/03/2020,7.1
09/03/2020,7.1
06/03/2020,7.6
05/03/2020,7.6
04/03/2020,7.6
03/03/2020,7.5
02/03/2020,7.5
28/02/2020,7.7
27/02/2020,8.0
26/02/2020,8.5
25/02/2020,8.7
24/02/2020,8.2
21/02/2020,8.0
20/02/2020,8.4
19/02/2020,8.2
18/02/2020,8.6
17/02/2020,8.5
14/02/2020,8.5
13/02/2020,8.5
12/02/2020,7.9
11/02/2020,8.1
10/02/2020,7.9
07/02/2020,6.9
06/02/2020,7.0
05/02/2020,7.1
04/02/2020,6.9
03/02/2020,6.3
31/01/2020,6.7
30/01/2020,6.5
22/01/2020,6.7
21/01/2020,6.4
20/01/2020,6.8
17/01/2020,6.6
16/01/2020,6.5
15/01/2020,6.4
14/01/2020,6.2
13/01/2020,6.0
10/01/2020,6.3
09/01/2020,6.1
08/01/2020,6.0
07/01/2020,6.1
06/01/2020,5.6
03/01/2020,5.6
02/01/2020,5.4
31/12/2019,5.4
30/12/2019,5.5
27/12/2019,5.5
26/12/2019,5.6
25/12/2019,5.7
24/12/2019,5.6
23/12/2019,5.5
20/12/2019,5.8
19/12/2019,5.5
18/12/2019,5.6
17/12/2019,5.7
16/12/2019,5.8
13/12/2019,5.5
12/12/2019,5.4
11/12/2019,5.5
10/12/2019,5.6
09/12/2019,5.5
06/12/2019,5.7
05/12/2019,5.7
04/12/2019,5.5
03/12/2019,5.4
02/12/2019,5.4
29/11/2019,5.5
28/11/2019,5.5
27/11/2019,5.6
26/11/2019,5.6
25/11/2019,5.7
22/11/2019,5.6
21/11/2019,5.7
20/11/2019,5.8
19/11/2019,5.8
18/11/2019,5.8
15/11/2019,5.9
14/11/2019,5.8
13/11/2019,6.0
12/11/2019,5.9
11/11/2019,5.9
08/11/2019,5.9
07/11/2019,6.0
06/11/2019,6.0
05/11/2019,6.1
04/11/2019,6.1
01/11/2019,6.1
31/10/2019,6.2
30/10/2019,6.1
29/10/2019,6.2
28/10/2019,6.4
25/10/2019,6.3
24/10/2019,5.7
23/10/2019,5.3
22/10/2019,5.6
21/10/2019,5.7
18/10/2019,5.8
17/10/2019,5.7
16/10/2019,5.9
14/10/2019,5.9
11/10/2019,6.2
10/10/2019,6.2
09/10/2019,6.3
08/10/2019,6.3
07/10/2019,6.3
04/10/2019,6.4
03/10/2019,6.4
02/10/2019,6.4
01/10/2019,6.3
30/09/2019,6.5
27/09/2019,6.4
26/09/2019,6.5
25/09/2019,6.6
24/09/2019,6.7
23/09/2019,7.0
20/09/2019,7.0
19/09/2019,7.1
18/09/2019,7.0
17/09/2019,7.2
16/09/2019,7.1
13/09/2019,7.2
12/09/2019,7.0
11/09/2019,6.9
10/09/2019,6.9
09/09/2019,7.1
06/09/2019,7.5
05/09/2019,7.5
04/09/2019,7.4
03/09/2019,7.6
30/08/2019,7.9
29/08/2019,7.6
28/08/2019,7.7
27/08/2019,8.1
26/08/2019,8.3
23/08/2019,8.7
22/08/2019,8.4
