Ngay,Symbol,GiaDongCua
29/12/2023,FTS,44.65
28/12/2023,FTS,44.75
27/12/2023,FTS,44.7
26/12/2023,FTS,44.6
25/12/2023,FTS,44.2
22/12/2023,FTS,44.0
21/12/2023,FTS,43.8
20/12/2023,FTS,43.8
19/12/2023,FTS,44.0
18/12/2023,FTS,42.9
15/12/2023,FTS,42.5
14/12/2023,FTS,42.0
13/12/2023,FTS,42.0
12/12/2023,FTS,42.5
11/12/2023,FTS,42.3
08/12/2023,FTS,42.2
07/12/2023,FTS,42.75
06/12/2023,FTS,44.4
05/12/2023,FTS,44.2
04/12/2023,FTS,44.5
01/12/2023,FTS,42.9
30/11/2023,FTS,42.3
29/11/2023,FTS,42.9
28/11/2023,FTS,41.95
27/11/2023,FTS,41.15
24/11/2023,FTS,42.0
23/11/2023,FTS,40.85
22/11/2023,FTS,43.9
21/11/2023,FTS,42.8
20/11/2023,FTS,42.4
17/11/2023,FTS,40.95
16/11/2023,FTS,42.5
15/11/2023,FTS,41.6
14/11/2023,FTS,41.0
13/11/2023,FTS,40.8
10/11/2023,FTS,40.05
09/11/2023,FTS,40.0
08/11/2023,FTS,39.15
07/11/2023,FTS,36.6
06/11/2023,FTS,36.55
03/11/2023,FTS,36.0
02/11/2023,FTS,36.35
01/11/2023,FTS,34.0
31/10/2023,FTS,32.4
30/10/2023,FTS,34.8
27/10/2023,FTS,37.1
26/10/2023,FTS,36.85
25/10/2023,FTS,39.6
24/10/2023,FTS,40.7
23/10/2023,FTS,40.0
20/10/2023,FTS,41.3
19/10/2023,FTS,38.6
18/10/2023,FTS,41.5
17/10/2023,FTS,42.15
16/10/2023,FTS,45.3
13/10/2023,FTS,47.3
12/10/2023,FTS,46.3
11/10/2023,FTS,46.2
10/10/2023,FTS,43.2
09/10/2023,FTS,44.4
06/10/2023,FTS,43.45
05/10/2023,FTS,42.7
04/10/2023,FTS,43.95
03/10/2023,FTS,41.1
02/10/2023,FTS,42.65
29/09/2023,FTS,43.5
28/09/2023,FTS,43.0
27/09/2023,FTS,40.2
26/09/2023,FTS,37.6
25/09/2023,FTS,37.4
22/09/2023,FTS,40.2
21/09/2023,FTS,43.2
20/09/2023,FTS,45.5
19/09/2023,FTS,44.3
18/09/2023,FTS,44.35
15/09/2023,FTS,43.8
14/09/2023,FTS,43.45
13/09/2023,FTS,45.2
12/09/2023,FTS,45.75
11/09/2023,FTS,42.8
08/09/2023,FTS,43.95
07/09/2023,FTS,43.7
06/09/2023,FTS,41.05
05/09/2023,FTS,38.4
31/08/2023,FTS,37.7
30/08/2023,FTS,35.45
29/08/2023,FTS,33.15
28/08/2023,FTS,32.6
25/08/2023,FTS,31.9
24/08/2023,FTS,31.8
23/08/2023,FTS,30.75
22/08/2023,FTS,31.25
21/08/2023,FTS,30.4
18/08/2023,FTS,30.7
17/08/2023,FTS,33.0
16/08/2023,FTS,32.4
15/08/2023,FTS,32.75
14/08/2023,FTS,32.8
11/08/2023,FTS,32.0
10/08/2023,FTS,31.7
09/08/2023,FTS,32.4
08/08/2023,FTS,32.95
07/08/2023,FTS,33.55
04/08/2023,FTS,33.2
03/08/2023,FTS,32.35
02/08/2023,FTS,32.65
01/08/2023,FTS,32.6
31/07/2023,FTS,33.35
28/07/2023,FTS,33.15
27/07/2023,FTS,32.3
26/07/2023,FTS,31.95
25/07/2023,FTS,32.0
24/07/2023,FTS,32.15
21/07/2023,FTS,32.25
20/07/2023,FTS,31.4
19/07/2023,FTS,31.4
18/07/2023,FTS,31.4
17/07/2023,FTS,32.15
14/07/2023,FTS,32.25
13/07/2023,FTS,31.4
12/07/2023,FTS,31.05
11/07/2023,FTS,31.2
10/07/2023,FTS,31.35
07/07/2023,FTS,30.4
06/07/2023,FTS,30.1
05/07/2023,FTS,30.25
04/07/2023,FTS,30.65
03/07/2023,FTS,29.35
30/06/2023,FTS,29.05
29/06/2023,FTS,28.8
28/06/2023,FTS,30.45
27/06/2023,FTS,30.5
26/06/2023,FTS,30.5
23/06/2023,FTS,31.25
22/06/2023,FTS,31.25
21/06/2023,FTS,31.05
20/06/2023,FTS,30.0
19/06/2023,FTS,29.15
16/06/2023,FTS,29.2
15/06/2023,FTS,29.1
14/06/2023,FTS,28.95
13/06/2023,FTS,28.95
12/06/2023,FTS,28.3
09/06/2023,FTS,28.85
08/06/2023,FTS,28.4
07/06/2023,FTS,29.6
06/06/2023,FTS,29.75
05/06/2023,FTS,28.8
02/06/2023,FTS,29.85
01/06/2023,FTS,30.0
31/05/2023,FTS,29.2
30/05/2023,FTS,29.4
29/05/2023,FTS,29.2
26/05/2023,FTS,28.4
25/05/2023,FTS,28.6
24/05/2023,FTS,29.4
23/05/2023,FTS,27.8
22/05/2023,FTS,27.5
19/05/2023,FTS,26.5
18/05/2023,FTS,26.4
17/05/2023,FTS,25.2
16/05/2023,FTS,26.0
15/05/2023,FTS,25.85
12/05/2023,FTS,26.5
11/05/2023,FTS,25.55
10/05/2023,FTS,27.55
09/05/2023,FTS,27.45
08/05/2023,FTS,28.0
05/05/2023,FTS,27.9
04/05/2023,FTS,28.6
28/04/2023,FTS,28.0
27/04/2023,FTS,26.9
26/04/2023,FTS,27.4
25/04/2023,FTS,26.35
24/04/2023,FTS,27.85
21/04/2023,FTS,29.1
20/04/2023,FTS,28.8
19/04/2023,FTS,29.3
18/04/2023,FTS,28.85
17/04/2023,FTS,27.0
14/04/2023,FTS,26.75
13/04/2023,FTS,26.4
12/04/2023,FTS,27.45
11/04/2023,FTS,28.5
10/04/2023,FTS,27.65
07/04/2023,FTS,27.45
06/04/2023,FTS,25.7
05/04/2023,FTS,26.8
04/04/2023,FTS,26.8
03/04/2023,FTS,26.0
31/03/2023,FTS,25.55
30/03/2023,FTS,24.45
29/03/2023,FTS,24.5
28/03/2023,FTS,22.95
27/03/2023,FTS,23.15
24/03/2023,FTS,21.65
23/03/2023,FTS,22.0
22/03/2023,FTS,21.0
21/03/2023,FTS,20.8
20/03/2023,FTS,19.9
17/03/2023,FTS,20.5
16/03/2023,FTS,20.7
15/03/2023,FTS,20.8
14/03/2023,FTS,19.45
13/03/2023,FTS,19.2
10/03/2023,FTS,19.2
09/03/2023,FTS,19.15
08/03/2023,FTS,19.2
07/03/2023,FTS,18.8
06/03/2023,FTS,18.4
03/03/2023,FTS,18.25
02/03/2023,FTS,18.6
01/03/2023,FTS,18.85
28/02/2023,FTS,17.85
27/02/2023,FTS,17.5
24/02/2023,FTS,18.4
23/02/2023,FTS,19.0
22/02/2023,FTS,18.8
21/02/2023,FTS,19.9
20/02/2023,FTS,20.2
17/02/2023,FTS,18.9
16/02/2023,FTS,19.1
15/02/2023,FTS,18.3
14/02/2023,FTS,17.9
13/02/2023,FTS,17.5
10/02/2023,FTS,18.4
09/02/2023,FTS,18.8
08/02/2023,FTS,19.1
07/02/2023,FTS,18.7
06/02/2023,FTS,19.45
03/02/2023,FTS,19.7
02/02/2023,FTS,20.0
01/02/2023,FTS,20.5
31/01/2023,FTS,22.0
30/01/2023,FTS,21.0
27/01/2023,FTS,21.05
19/01/2023,FTS,21.75
18/01/2023,FTS,21.4
17/01/2023,FTS,21.0
16/01/2023,FTS,19.7
13/01/2023,FTS,19.8
12/01/2023,FTS,19.25
11/01/2023,FTS,18.95
10/01/2023,FTS,19.0
09/01/2023,FTS,19.65
06/01/2023,FTS,20.0
05/01/2023,FTS,20.15
04/01/2023,FTS,20.15
03/01/2023,FTS,20.2
30/12/2022,FTS,18.9
29/12/2022,FTS,18.8
28/12/2022,FTS,18.8
27/12/2022,FTS,18.45
26/12/2022,FTS,17.25
23/12/2022,FTS,18.5
22/12/2022,FTS,19.45
21/12/2022,FTS,18.25
20/12/2022,FTS,19.6
19/12/2022,FTS,21.05
16/12/2022,FTS,21.45
15/12/2022,FTS,21.3
14/12/2022,FTS,21.55
13/12/2022,FTS,22.0
12/12/2022,FTS,20.6
09/12/2022,FTS,22.1
08/12/2022,FTS,22.0
07/12/2022,FTS,20.6
06/12/2022,FTS,20.0
05/12/2022,FTS,21.1
02/12/2022,FTS,19.75
01/12/2022,FTS,18.5
30/11/2022,FTS,19.35
29/11/2022,FTS,19.0
28/11/2022,FTS,18.05
25/11/2022,FTS,16.9
24/11/2022,FTS,15.8
