Ngay,Symbol,GiaDongCua
29/12/2023,HCM,34.2
28/12/2023,HCM,34.0
27/12/2023,HCM,33.4
26/12/2023,HCM,32.75
25/12/2023,HCM,32.8
22/12/2023,HCM,32.4
21/12/2023,HCM,32.7
20/12/2023,HCM,32.65
19/12/2023,HCM,31.5
18/12/2023,HCM,31.0
15/12/2023,HCM,31.5
14/12/2023,HCM,30.75
13/12/2023,HCM,31.05
12/12/2023,HCM,31.7
11/12/2023,HCM,32.0
08/12/2023,HCM,31.0
07/12/2023,HCM,30.85
06/12/2023,HCM,31.5
05/12/2023,HCM,30.75
04/12/2023,HCM,31.0
01/12/2023,HCM,29.5
30/11/2023,HCM,29.25
29/11/2023,HCM,29.3
28/11/2023,HCM,29.2
27/11/2023,HCM,28.7
24/11/2023,HCM,29.4
23/11/2023,HCM,28.6
22/11/2023,HCM,30.3
21/11/2023,HCM,29.5
20/11/2023,HCM,29.35
17/11/2023,HCM,28.7
16/11/2023,HCM,29.6
15/11/2023,HCM,29.45
14/11/2023,HCM,29.4
13/11/2023,HCM,29.2
10/11/2023,HCM,28.9
09/11/2023,HCM,29.0
08/11/2023,HCM,28.8
07/11/2023,HCM,26.95
06/11/2023,HCM,27.4
03/11/2023,HCM,27.0
02/11/2023,HCM,27.4
01/11/2023,HCM,26.0
31/10/2023,HCM,24.4
30/10/2023,HCM,26.0
27/10/2023,HCM,27.5
26/10/2023,HCM,26.8
25/10/2023,HCM,28.7
24/10/2023,HCM,29.5
23/10/2023,HCM,28.95
20/10/2023,HCM,28.9
19/10/2023,HCM,27.05
18/10/2023,HCM,28.0
17/10/2023,HCM,28.05
16/10/2023,HCM,30.15
13/10/2023,HCM,31.4
12/10/2023,HCM,31.5
11/10/2023,HCM,31.15
10/10/2023,HCM,30.2
09/10/2023,HCM,30.5
06/10/2023,HCM,29.85
05/10/2023,HCM,29.0
04/10/2023,HCM,29.7
03/10/2023,HCM,29.0
02/10/2023,HCM,31.1
29/09/2023,HCM,30.55
28/09/2023,HCM,30.85
27/09/2023,HCM,31.5
26/09/2023,HCM,30.0
25/09/2023,HCM,29.65
22/09/2023,HCM,31.85
21/09/2023,HCM,34.2
20/09/2023,HCM,35.3
19/09/2023,HCM,34.65
18/09/2023,HCM,34.6
15/09/2023,HCM,34.45
