Ngay,Symbol,GiaDongCua
29/12/2023,ORS,17.0
28/12/2023,ORS,16.7
27/12/2023,ORS,16.7
26/12/2023,ORS,16.65
25/12/2023,ORS,16.6
22/12/2023,ORS,16.5
21/12/2023,ORS,16.4
20/12/2023,ORS,16.45
19/12/2023,ORS,16.4
18/12/2023,ORS,16.15
15/12/2023,ORS,16.35
14/12/2023,ORS,16.3
13/12/2023,ORS,16.25
12/12/2023,ORS,16.55
11/12/2023,ORS,16.5
08/12/2023,ORS,16.4
07/12/2023,ORS,16.65
06/12/2023,ORS,17.35
05/12/2023,ORS,17.25
04/12/2023,ORS,17.3
01/12/2023,ORS,16.6
30/11/2023,ORS,16.4
29/11/2023,ORS,16.55
28/11/2023,ORS,16.4
27/11/2023,ORS,16.15
24/11/2023,ORS,16.7
23/11/2023,ORS,16.3
22/11/2023,ORS,17.35
21/11/2023,ORS,16.8
20/11/2023,ORS,16.5
17/11/2023,ORS,16.25
16/11/2023,ORS,16.5
15/11/2023,ORS,16.35
14/11/2023,ORS,16.4
13/11/2023,ORS,15.9
10/11/2023,ORS,16.1
09/11/2023,ORS,16.3
08/11/2023,ORS,16.2
07/11/2023,ORS,15.15
06/11/2023,ORS,15.55
03/11/2023,ORS,15.45
02/11/2023,ORS,15.4
01/11/2023,ORS,14.4
31/10/2023,ORS,13.5
30/10/2023,ORS,14.35
27/10/2023,ORS,15.1
26/10/2023,ORS,14.9
25/10/2023,ORS,15.9
24/10/2023,ORS,16.4
23/10/2023,ORS,15.55
20/10/2023,ORS,16.05
19/10/2023,ORS,15.0
18/10/2023,ORS,16.0
17/10/2023,ORS,16.8
16/10/2023,ORS,17.3
13/10/2023,ORS,18.0
12/10/2023,ORS,18.5
11/10/2023,ORS,18.45
10/10/2023,ORS,17.8
09/10/2023,ORS,17.7
06/10/2023,ORS,17.45
05/10/2023,ORS,16.6
04/10/2023,ORS,17.7
03/10/2023,ORS,17.15
02/10/2023,ORS,18.4
29/09/2023,ORS,18.5
28/09/2023,ORS,18.75
27/09/2023,ORS,19.1
26/09/2023,ORS,18.0
25/09/2023,ORS,17.95
22/09/2023,ORS,19.25
21/09/2023,ORS,20.65
20/09/2023,ORS,21.25
19/09/2023,ORS,19.9
18/09/2023,ORS,19.1
15/09/2023,ORS,19.4
14/09/2023,ORS,19.2
13/09/2023,ORS,19.7
12/09/2023,ORS,20.2
11/09/2023,ORS,19.0
08/09/2023,ORS,19.45
07/09/2023,ORS,19.9
06/09/2023,ORS,20.15
05/09/2023,ORS,19.35
31/08/2023,ORS,19.0
30/08/2023,ORS,19.2
29/08/2023,ORS,18.1
28/08/2023,ORS,17.8
25/08/2023,ORS,16.65
24/08/2023,ORS,16.4
23/08/2023,ORS,16.15
22/08/2023,ORS,16.1
21/08/2023,ORS,15.85
18/08/2023,ORS,15.6
17/08/2023,ORS,16.75
16/08/2023,ORS,16.9
15/08/2023,ORS,16.65
14/08/2023,ORS,16.8
11/08/2023,ORS,16.45
10/08/2023,ORS,16.4
09/08/2023,ORS,16.8
08/08/2023,ORS,16.9
07/08/2023,ORS,17.05
04/08/2023,ORS,17.0
03/08/2023,ORS,16.2
02/08/2023,ORS,16.4
01/08/2023,ORS,16.2
31/07/2023,ORS,16.7
28/07/2023,ORS,16.6
27/07/2023,ORS,15.7
26/07/2023,ORS,15.7
25/07/2023,ORS,15.5
24/07/2023,ORS,15.6
21/07/2023,ORS,15.3
20/07/2023,ORS,15.15
19/07/2023,ORS,15.65
18/07/2023,ORS,15.85
17/07/2023,ORS,15.9
14/07/2023,ORS,15.5
13/07/2023,ORS,15.5
12/07/2023,ORS,15.4
11/07/2023,ORS,15.6
10/07/2023,ORS,15.8
07/07/2023,ORS,15.5
06/07/2023,ORS,15.5
05/07/2023,ORS,16.0
04/07/2023,ORS,15.55
03/07/2023,ORS,15.35
30/06/2023,ORS,15.15
29/06/2023,ORS,15.0
28/06/2023,ORS,15.45
27/06/2023,ORS,15.3
26/06/2023,ORS,15.3
23/06/2023,ORS,15.6
22/06/2023,ORS,15.35
21/06/2023,ORS,15.3
20/06/2023,ORS,14.75
19/06/2023,ORS,14.6
16/06/2023,ORS,14.7
15/06/2023,ORS,14.5
14/06/2023,ORS,14.45
13/06/2023,ORS,14.5
12/06/2023,ORS,14.45
09/06/2023,ORS,14.45
08/06/2023,ORS,14.4
07/06/2023,ORS,15.0
06/06/2023,ORS,14.85
05/06/2023,ORS,14.2
02/06/2023,ORS,14.55
01/06/2023,ORS,14.6
31/05/2023,ORS,13.85
30/05/2023,ORS,14.15
29/05/2023,ORS,14.15
26/05/2023,ORS,13.7
25/05/2023,ORS,13.6
24/05/2023,ORS,14.05
23/05/2023,ORS,13.6
22/05/2023,ORS,13.5
19/05/2023,ORS,13.45
18/05/2023,ORS,13.45
17/05/2023,ORS,13.2
16/05/2023,ORS,13.5
15/05/2023,ORS,13.05
12/05/2023,ORS,13.5
11/05/2023,ORS,13.15
10/05/2023,ORS,13.4
09/05/2023,ORS,13.5
08/05/2023,ORS,13.3
05/05/2023,ORS,12.9
04/05/2023,ORS,13.2
28/04/2023,ORS,12.45
27/04/2023,ORS,12.2
26/04/2023,ORS,12.35
25/04/2023,ORS,12.35
24/04/2023,ORS,13.25
21/04/2023,ORS,12.9
20/04/2023,ORS,12.1
19/04/2023,ORS,12.2
18/04/2023,ORS,12.15
17/04/2023,ORS,11.7
14/04/2023,ORS,11.6
13/04/2023,ORS,11.75
12/04/2023,ORS,12.2
11/04/2023,ORS,12.25
10/04/2023,ORS,12.25
07/04/2023,ORS,12.1
06/04/2023,ORS,11.6
05/04/2023,ORS,11.95
04/04/2023,ORS,11.2
03/04/2023,ORS,10.5
31/03/2023,ORS,10.15
30/03/2023,ORS,10.0
29/03/2023,ORS,9.6
28/03/2023,ORS,9.66
27/03/2023,ORS,9.65
24/03/2023,ORS,9.47
23/03/2023,ORS,9.48
22/03/2023,ORS,9.35
21/03/2023,ORS,9.26
20/03/2023,ORS,9.17
17/03/2023,ORS,9.57
16/03/2023,ORS,9.64
15/03/2023,ORS,9.75
14/03/2023,ORS,9.15
13/03/2023,ORS,9.3
10/03/2023,ORS,9.25
09/03/2023,ORS,9.47
08/03/2023,ORS,9.58
07/03/2023,ORS,9.4
06/03/2023,ORS,8.92
03/03/2023,ORS,8.95
02/03/2023,ORS,9.08
01/03/2023,ORS,8.93
28/02/2023,ORS,8.84
27/02/2023,ORS,8.6
24/02/2023,ORS,8.83
