Ngay,Symbol,GiaDongCua
29/12/2023,SSI,32.8
28/12/2023,SSI,33.0
27/12/2023,SSI,32.8
26/12/2023,SSI,32.75
25/12/2023,SSI,32.55
22/12/2023,SSI,32.35
21/12/2023,SSI,32.2
20/12/2023,SSI,32.3
19/12/2023,SSI,32.15
18/12/2023,SSI,31.7
15/12/2023,SSI,31.8
14/12/2023,SSI,32.0
13/12/2023,SSI,32.0
12/12/2023,SSI,32.6
11/12/2023,SSI,32.7
08/12/2023,SSI,32.6
07/12/2023,SSI,32.85
06/12/2023,SSI,33.6
05/12/2023,SSI,33.3
04/12/2023,SSI,33.6
01/12/2023,SSI,32.0
30/11/2023,SSI,31.3
29/11/2023,SSI,31.6
28/11/2023,SSI,31.4
27/11/2023,SSI,31.0
24/11/2023,SSI,32.0
23/11/2023,SSI,30.9
22/11/2023,SSI,32.9
21/11/2023,SSI,32.55
20/11/2023,SSI,32.4
17/11/2023,SSI,31.5
16/11/2023,SSI,32.3
15/11/2023,SSI,31.95
14/11/2023,SSI,31.75
13/11/2023,SSI,31.45
10/11/2023,SSI,30.8
09/11/2023,SSI,30.85
08/11/2023,SSI,30.3
07/11/2023,SSI,28.35
06/11/2023,SSI,29.0
03/11/2023,SSI,28.9
02/11/2023,SSI,28.9
01/11/2023,SSI,27.15
31/10/2023,SSI,25.75
30/10/2023,SSI,27.5
27/10/2023,SSI,29.45
26/10/2023,SSI,28.7
25/10/2023,SSI,30.8
24/10/2023,SSI,31.05
23/10/2023,SSI,30.6
20/10/2023,SSI,31.3
19/10/2023,SSI,30.1
18/10/2023,SSI,31.55
17/10/2023,SSI,31.45
16/10/2023,SSI,32.1
13/10/2023,SSI,33.55
12/10/2023,SSI,33.6
11/10/2023,SSI,34.0
10/10/2023,SSI,32.7
09/10/2023,SSI,33.2
06/10/2023,SSI,32.95
05/10/2023,SSI,31.65
04/10/2023,SSI,31.75
03/10/2023,SSI,30.2
02/10/2023,SSI,32.1
29/09/2023,SSI,31.8
28/09/2023,SSI,32.3
27/09/2023,SSI,33.0
26/09/2023,SSI,30.9
25/09/2023,SSI,30.35
22/09/2023,SSI,32.6
21/09/2023,SSI,34.75
20/09/2023,SSI,36.45
19/09/2023,SSI,36.2
18/09/2023,SSI,35.7
15/09/2023,SSI,35.5
14/09/2023,SSI,35.65
13/09/2023,SSI,35.8
12/09/2023,SSI,35.8
11/09/2023,SSI,33.5
08/09/2023,SSI,33.75
07/09/2023,SSI,33.65
06/09/2023,SSI,34.0
05/09/2023,SSI,33.35
31/08/2023,SSI,33.4
30/08/2023,SSI,33.5
29/08/2023,SSI,32.35
28/08/2023,SSI,32.45
25/08/2023,SSI,32.2
24/08/2023,SSI,32.0
23/08/2023,SSI,30.4
22/08/2023,SSI,30.7
21/08/2023,SSI,28.85
18/08/2023,SSI,28.3
17/08/2023,SSI,29.95
16/08/2023,SSI,28.85
15/08/2023,SSI,28.7
14/08/2023,SSI,29.15
11/08/2023,SSI,28.15
10/08/2023,SSI,28.1
09/08/2023,SSI,28.6
08/08/2023,SSI,29.1
07/08/2023,SSI,29.7
04/08/2023,SSI,29.2
03/08/2023,SSI,28.5
02/08/2023,SSI,29.0
01/08/2023,SSI,28.8
31/07/2023,SSI,29.65
28/07/2023,SSI,29.75
27/07/2023,SSI,29.45
26/07/2023,SSI,29.0
25/07/2023,SSI,28.8
24/07/2023,SSI,28.7
21/07/2023,SSI,28.75
20/07/2023,SSI,28.0
19/07/2023,SSI,28.5
18/07/2023,SSI,28.55
17/07/2023,SSI,28.8
14/07/2023,SSI,28.5
13/07/2023,SSI,28.4
12/07/2023,SSI,27.95
11/07/2023,SSI,28.05
10/07/2023,SSI,27.5
07/07/2023,SSI,26.45
06/07/2023,SSI,26.3
05/07/2023,SSI,26.2
04/07/2023,SSI,26.5
03/07/2023,SSI,25.7
30/06/2023,SSI,25.8
29/06/2023,SSI,25.45
28/06/2023,SSI,26.55
27/06/2023,SSI,26.6
26/06/2023,SSI,25.8
23/06/2023,SSI,26.0
22/06/2023,SSI,26.1
21/06/2023,SSI,26.0
20/06/2023,SSI,25.7
19/06/2023,SSI,26.4
16/06/2023,SSI,26.1
15/06/2023,SSI,25.7
14/06/2023,SSI,25.4
13/06/2023,SSI,25.35
12/06/2023,SSI,25.35
09/06/2023,SSI,25.25
08/06/2023,SSI,24.3
07/06/2023,SSI,25.1
06/06/2023,SSI,25.15
05/06/2023,SSI,24.1
02/06/2023,SSI,24.1
01/06/2023,SSI,23.45
31/05/2023,SSI,23.15
30/05/2023,SSI,23.35
29/05/2023,SSI,23.4
26/05/2023,SSI,22.55
25/05/2023,SSI,22.5
24/05/2023,SSI,22.7
23/05/2023,SSI,22.85
22/05/2023,SSI,22.9
19/05/2023,SSI,22.9
18/05/2023,SSI,22.8
17/05/2023,SSI,22.45
