Ngay,Symbol,GiaDongCua
29/12/2023,TVB,5.57
28/12/2023,TVB,5.58
27/12/2023,TVB,5.59
26/12/2023,TVB,5.64
25/12/2023,TVB,5.6
22/12/2023,TVB,5.4
21/12/2023,TVB,5.16
20/12/2023,TVB,5.17
19/12/2023,TVB,5.12
18/12/2023,TVB,5.12
15/12/2023,TVB,5.12
14/12/2023,TVB,5.13
13/12/2023,TVB,5.13
12/12/2023,TVB,5.2
11/12/2023,TVB,5.2
08/12/2023,TVB,5.19
07/12/2023,TVB,5.13
06/12/2023,TVB,5.16
05/12/2023,TVB,5.14
04/12/2023,TVB,5.19
01/12/2023,TVB,5.04
30/11/2023,TVB,5.07
29/11/2023,TVB,5.13
28/11/2023,TVB,5.08
27/11/2023,TVB,5.1
24/11/2023,TVB,5.15
23/11/2023,TVB,5.16
22/11/2023,TVB,5.28
21/11/2023,TVB,5.27
20/11/2023,TVB,5.16
17/11/2023,TVB,5.16
16/11/2023,TVB,5.16
15/11/2023,TVB,5.14
14/11/2023,TVB,5.1
13/11/2023,TVB,5.06
10/11/2023,TVB,5.05
09/11/2023,TVB,5.21
08/11/2023,TVB,5.15
07/11/2023,TVB,4.93
06/11/2023,TVB,5.0
03/11/2023,TVB,4.99
02/11/2023,TVB,4.98
01/11/2023,TVB,4.68
31/10/2023,TVB,4.61
30/10/2023,TVB,4.72
27/10/2023,TVB,4.69
26/10/2023,TVB,4.64
25/10/2023,TVB,4.92
24/10/2023,TVB,4.83
23/10/2023,TVB,4.73
20/10/2023,TVB,4.86
19/10/2023,TVB,4.77
18/10/2023,TVB,4.8
17/10/2023,TVB,5.02
16/10/2023,TVB,5.02
13/10/2023,TVB,5.13
12/10/2023,TVB,5.12
11/10/2023,TVB,5.05
10/10/2023,TVB,5.02
09/10/2023,TVB,5.01
06/10/2023,TVB,4.95
05/10/2023,TVB,5.0
04/10/2023,TVB,5.05
03/10/2023,TVB,4.97
02/10/2023,TVB,5.25
29/09/2023,TVB,5.21
28/09/2023,TVB,5.22
27/09/2023,TVB,5.28
26/09/2023,TVB,5.2
25/09/2023,TVB,5.2
22/09/2023,TVB,5.59
21/09/2023,TVB,5.86
20/09/2023,TVB,5.94
19/09/2023,TVB,5.77
18/09/2023,TVB,5.73
15/09/2023,TVB,5.95
14/09/2023,TVB,6.0
13/09/2023,TVB,6.12
12/09/2023,TVB,6.16
11/09/2023,TVB,6.0
08/09/2023,TVB,6.29
