Ngay,GiaDongCua
29/12/2023,21.1
28/12/2023,21.0
27/12/2023,20.3
26/12/2023,20.2
25/12/2023,20.2
22/12/2023,19.9
21/12/2023,19.9
20/12/2023,20.2
19/12/2023,20.05
18/12/2023,20.05
15/12/2023,20.6
14/12/2023,20.35
13/12/2023,20.65
12/12/2023,21.0
11/12/2023,20.9
08/12/2023,21.0
07/12/2023,21.0
06/12/2023,20.95
05/12/2023,20.9
04/12/2023,20.9
01/12/2023,20.2
30/11/2023,20.3
29/11/2023,20.3
28/11/2023,19.95
27/11/2023,19.95
24/11/2023,20.3
23/11/2023,20.25
22/11/2023,20.75
21/11/2023,20.6
20/11/2023,20.7
17/11/2023,20.45
16/11/2023,20.85
15/11/2023,20.85
14/11/2023,20.85
13/11/2023,20.7
10/11/2023,20.9
09/11/2023,21.35
08/11/2023,21.15
07/11/2023,20.05
06/11/2023,20.5
03/11/2023,20.05
02/11/2023,20.05
01/11/2023,18.75
31/10/2023,18.8
30/10/2023,18.7
27/10/2023,19.0
26/10/2023,18.7
25/10/2023,20.1
24/10/2023,20.3
23/10/2023,20.55
20/10/2023,20.6
19/10/2023,20.4
18/10/2023,21.0
17/10/2023,22.0
16/10/2023,22.5
13/10/2023,22.8
12/10/2023,22.8
11/10/2023,23.15
10/10/2023,23.2
09/10/2023,23.1
06/10/2023,22.85
05/10/2023,22.5
04/10/2023,22.75
03/10/2023,21.8
02/10/2023,23.0
29/09/2023,23.05
28/09/2023,23.45
27/09/2023,23.7
26/09/2023,23.1
25/09/2023,23.0
22/09/2023,24.55
21/09/2023,25.8
20/09/2023,26.9
19/09/2023,26.3
18/09/2023,26.05
15/09/2023,26.9
14/09/2023,27.6
13/09/2023,27.0
12/09/2023,26.1
11/09/2023,25.0
08/09/2023,25.45
07/09/2023,25.1
06/09/2023,25.1
05/09/2023,24.5
31/08/2023,24.4
30/08/2023,24.0
29/08/2023,23.15
28/08/2023,22.8
25/08/2023,22.3
24/08/2023,22.65
23/08/2023,22.2
22/08/2023,22.0
21/08/2023,22.15
18/08/2023,22.4
17/08/2023,24.05
16/08/2023,24.15
15/08/2023,23.85
14/08/2023,23.85
11/08/2023,23.1
10/08/2023,23.25
09/08/2023,23.45
08/08/2023,23.75
07/08/2023,23.8
04/08/2023,23.8
03/08/2023,23.8
02/08/2023,23.95
01/08/2023,23.9
31/07/2023,23.9
28/07/2023,24.25
27/07/2023,23.85
26/07/2023,24.7
25/07/2023,25.3
24/07/2023,24.6
21/07/2023,23.0
20/07/2023,22.9
19/07/2023,23.2
18/07/2023,23.25
17/07/2023,23.35
14/07/2023,23.35
13/07/2023,23.5
12/07/2023,23.5
11/07/2023,22.9
10/07/2023,22.6
07/07/2023,22.6
06/07/2023,22.6
05/07/2023,22.8
04/07/2023,22.8
03/07/2023,23.0
30/06/2023,23.4
29/06/2023,23.2
28/06/2023,24.2
27/06/2023,23.8
26/06/2023,23.5
23/06/2023,23.6
22/06/2023,23.55
21/06/2023,23.75
20/06/2023,23.45
19/06/2023,23.45
16/06/2023,23.0
15/06/2023,23.05
14/06/2023,31.7
13/06/2023,32.1
12/06/2023,32.15
09/06/2023,32.0
08/06/2023,32.1
07/06/2023,31.2
06/06/2023,29.2
05/06/2023,29.8
02/06/2023,29.0
01/06/2023,28.3
31/05/2023,27.2
30/05/2023,26.0
29/05/2023,26.0
26/05/2023,25.85
25/05/2023,26.15
24/05/2023,25.8
