Ngay,GiaDongCua
29/12/2023,17.1
28/12/2023,17.0
27/12/2023,17.05
26/12/2023,17.2
25/12/2023,17.35
22/12/2023,17.0
21/12/2023,17.1
20/12/2023,16.45
19/12/2023,16.3
18/12/2023,16.05
15/12/2023,16.2
14/12/2023,16.2
13/12/2023,16.4
12/12/2023,16.9
11/12/2023,16.6
08/12/2023,16.45
07/12/2023,16.7
06/12/2023,17.1
05/12/2023,16.95
04/12/2023,16.8
01/12/2023,15.75
30/11/2023,15.65
29/11/2023,15.75
28/11/2023,15.75
27/11/2023,15.85
24/11/2023,16.0
23/11/2023,15.8
22/11/2023,16.0
21/11/2023,15.5
20/11/2023,15.35
17/11/2023,15.1
16/11/2023,15.45
15/11/2023,15.35
14/11/2023,15.2
13/11/2023,15.05
10/11/2023,15.0
09/11/2023,15.25
08/11/2023,14.95
07/11/2023,14.0
06/11/2023,14.25
03/11/2023,14.15
02/11/2023,14.4
01/11/2023,13.5
31/10/2023,12.9
30/10/2023,13.5
27/10/2023,13.9
26/10/2023,13.7
25/10/2023,14.65
24/10/2023,14.7
23/10/2023,14.45
20/10/2023,14.9
19/10/2023,14.25
18/10/2023,15.0
17/10/2023,15.5
16/10/2023,16.15
13/10/2023,15.6
12/10/2023,15.9
11/10/2023,16.0
10/10/2023,15.4
09/10/2023,15.4
06/10/2023,15.05
05/10/2023,14.6
04/10/2023,14.75
03/10/2023,14.7
02/10/2023,15.75
29/09/2023,15.7
28/09/2023,15.7
27/09/2023,16.0
26/09/2023,15.3
25/09/2023,15.85
22/09/2023,17.0
21/09/2023,18.25
20/09/2023,18.75
19/09/2023,18.1
18/09/2023,18.0
15/09/2023,18.2
14/09/2023,18.15
13/09/2023,18.6
12/09/2023,19.1
11/09/2023,18.0
08/09/2023,18.5
07/09/2023,18.5
06/09/2023,18.5
05/09/2023,17.75
31/08/2023,17.75
30/08/2023,17.7
29/08/2023,17.1
28/08/2023,16.5
25/08/2023,15.95
24/08/2023,16.0
23/08/2023,15.8
22/08/2023,16.0
21/08/2023,15.3
18/08/2023,15.1
17/08/2023,16.2
16/08/2023,15.75
15/08/2023,15.7
14/08/2023,15.9
11/08/2023,15.5
10/08/2023,15.6
09/08/2023,16.2
08/08/2023,16.55
07/08/2023,16.25
04/08/2023,15.2
03/08/2023,15.1
02/08/2023,15.0
01/08/2023,14.75
31/07/2023,15.4
28/07/2023,15.4
27/07/2023,15.05
26/07/2023,14.9
25/07/2023,14.9
24/07/2023,15.0
21/07/2023,15.3
20/07/2023,14.9
19/07/2023,14.8
18/07/2023,15.3
17/07/2023,15.4
14/07/2023,15.5
13/07/2023,15.5
12/07/2023,15.3
11/07/2023,15.4
10/07/2023,14.9
07/07/2023,15.0
06/07/2023,14.6
05/07/2023,14.6
04/07/2023,14.45
03/07/2023,13.55
30/06/2023,13.65
29/06/2023,13.55
28/06/2023,13.95
27/06/2023,13.95
26/06/2023,13.6
23/06/2023,13.85
22/06/2023,13.9
21/06/2023,14.0
20/06/2023,13.85
19/06/2023,13.5
16/06/2023,13.2
15/06/2023,12.9
14/06/2023,12.1
13/06/2023,12.25
12/06/2023,12.05
09/06/2023,12.3
08/06/2023,12.2
07/06/2023,12.5
06/06/2023,12.5
05/06/2023,12.1
02/06/2023,12.2
01/06/2023,12.3
31/05/2023,12.05
30/05/2023,11.8
29/05/2023,11.8
26/05/2023,11.6
25/05/2023,11.55
24/05/2023,11.7
23/05/2023,11.7
22/05/2023,11.65
19/05/2023,11.45
18/05/2023,11.45
17/05/2023,11.15
16/05/2023,10.7
15/05/2023,10.45
12/05/2023,10.7
11/05/2023,10.45
10/05/2023,10.6
09/05/2023,10.75
08/05/2023,10.45
05/05/2023,10.2
04/05/2023,10.4
28/04/2023,10.1
27/04/2023,10.25
26/04/2023,10.3
25/04/2023,10.15
24/04/2023,10.9
21/04/2023,10.2
20/04/2023,9.54
19/04/2023,9.3
18/04/2023,9.57
17/04/2023,9.27
14/04/2023,9.13
13/04/2023,9.4
12/04/2023,9.88
11/04/2023,9.99
10/04/2023,9.5
07/04/2023,8.88
06/04/2023,8.3
05/04/2023,8.38
04/04/2023,8.35
03/04/2023,8.18
31/03/2023,7.86
30/03/2023,7.65
29/03/2023,7.57
28/03/2023,7.65
27/03/2023,7.6
24/03/2023,7.52
23/03/2023,7.4
22/03/2023,7.42
21/03/2023,7.4
20/03/2023,7.4
17/03/2023,7.46
16/03/2023,7.42
15/03/2023,7.69
14/03/2023,7.37
13/03/2023,7.4
10/03/2023,7.5
09/03/2023,7.55
08/03/2023,7.4
07/03/2023,7.3
06/03/2023,7.26
03/03/2023,7.2
02/03/2023,7.35
01/03/2023,7.39
28/02/2023,7.31
27/02/2023,7.41
24/02/2023,7.39
23/02/2023,7.51
22/02/2023,7.51
21/02/2023,7.7
20/02/2023,7.8
17/02/2023,7.48
16/02/2023,7.57
15/02/2023,7.44
14/02/2023,7.39
13/02/2023,7.35
10/02/2023,7.46
09/02/2023,7.69
08/02/2023,7.6
07/02/2023,7.64
06/02/2023,7.8
03/02/2023,7.72
02/02/2023,7.82
01/02/2023,7.85
31/01/2023,8.2
30/01/2023,8.14
27/01/2023,8.02
19/01/2023,8.02
18/01/2023,7.99
17/01/2023,7.5
16/01/2023,7.3
13/01/2023,7.36
12/01/2023,7.35
11/01/2023,7.44
10/01/2023,7.23
09/01/2023,7.28
06/01/2023,7.4
05/01/2023,7.61
04/01/2023,7.61
03/01/2023,7.78
30/12/2022,7.33
29/12/2022,7.37
28/12/2022,7.5
27/12/2022,7.5
26/12/2022,7.05
23/12/2022,7.57
22/12/2022,7.67
21/12/2022,7.66
20/12/2022,8.06
19/12/2022,8.4
16/12/2022,8.5
15/12/2022,8.1
14/12/2022,8.15
13/12/2022,7.9
12/12/2022,7.62
09/12/2022,8.13
08/12/2022,8.34
07/12/2022,8.07
06/12/2022,8.47
05/12/2022,9.1
02/12/2022,8.96
01/12/2022,8.39
30/11/2022,8.39
29/11/2022,8.02
28/11/2022,7.81
25/11/2022,7.3
24/11/2022,6.95
23/11/2022,7.0
22/11/2022,7.07
21/11/2022,7.17
18/11/2022,7.3
17/11/2022,7.7
16/11/2022,7.43
15/11/2022,7.1
14/11/2022,7.2
11/11/2022,7.2
10/11/2022,7.1
09/11/2022,7.2
08/11/2022,7.2
07/11/2022,7.3
04/11/2022,7.77
03/11/2022,8.05
02/11/2022,8.15
01/11/2022,8.3
31/10/2022,8.3
28/10/2022,8.57
27/10/2022,8.5
26/10/2022,8.08
25/10/2022,8.1
24/10/2022,8.1
21/10/2022,8.35
20/10/2022,8.95
19/10/2022,9.1
18/10/2022,9.13
17/10/2022,9.1
14/10/2022,9.2
13/10/2022,9.0
12/10/2022,9.0
11/10/2022,8.65
10/10/2022,9.3
07/10/2022,9.3
06/10/2022,10.0
05/10/2022,10.3
04/10/2022,10.05
03/10/2022,10.5
30/09/2022,11.25
29/09/2022,11.0
28/09/2022,11.1
27/09/2022,11.25
26/09/2022,11.2
23/09/2022,12.0
22/09/2022,12.25
21/09/2022,12.1
20/09/2022,12.0
19/09/2022,11.35
16/09/2022,12.1
15/09/2022,12.35
14/09/2022,12.1
13/09/2022,12.3
12/09/2022,12.55
09/09/2022,12.8
08/09/2022,12.4
07/09/2022,12.5
06/09/2022,13.1
05/09/2022,13.0
31/08/2022,13.6
30/08/2022,13.45
29/08/2022,13.7
26/08/2022,14.4
25/08/2022,14.9
24/08/2022,14.9
23/08/2022,15.0
22/08/2022,14.2
19/08/2022,14.2
18/08/2022,14.35
17/08/2022,14.05
16/08/2022,14.05
15/08/2022,13.15
12/08/2022,13.2
11/08/2022,12.85
10/08/2022,13.15
09/08/2022,13.4
08/08/2022,13.3
05/08/2022,13.5
04/08/2022,13.1
03/08/2022,13.25
02/08/2022,13.0
01/08/2022,13.15
29/07/2022,12.7
28/07/2022,18.25
27/07/2022,17.95
26/07/2022,17.35
25/07/2022,17.75
22/07/2022,17.75
21/07/2022,17.5
20/07/2022,18.05
19/07/2022,17.6
18/07/2022,18.15
15/07/2022,18.9
14/07/2022,18.25
13/07/2022,17.1
12/07/2022,16.0
11/07/2022,15.8
08/07/2022,16.3
07/07/2022,15.7
06/07/2022,15.9
05/07/2022,16.5
04/07/2022,16.75
01/07/2022,17.0
30/06/2022,16.5
29/06/2022,17.45
28/06/2022,17.2
