Ngay,Symbol,GiaDongCua
29/12/2023,VND,22.25
28/12/2023,VND,22.15
27/12/2023,VND,22.0
26/12/2023,VND,21.85
25/12/2023,VND,21.7
22/12/2023,VND,21.5
21/12/2023,VND,21.75
20/12/2023,VND,21.95
19/12/2023,VND,21.8
18/12/2023,VND,21.55
15/12/2023,VND,21.8
14/12/2023,VND,21.45
13/12/2023,VND,21.6
12/12/2023,VND,22.05
11/12/2023,VND,21.95
08/12/2023,VND,21.7
07/12/2023,VND,22.0
06/12/2023,VND,22.75
05/12/2023,VND,22.55
04/12/2023,VND,22.7
01/12/2023,VND,21.35
30/11/2023,VND,20.95
29/11/2023,VND,21.05
28/11/2023,VND,20.8
27/11/2023,VND,20.6
24/11/2023,VND,21.3
23/11/2023,VND,20.6
22/11/2023,VND,21.9
21/11/2023,VND,21.7
20/11/2023,VND,21.2
17/11/2023,VND,20.25
16/11/2023,VND,21.0
15/11/2023,VND,20.5
14/11/2023,VND,20.4
13/11/2023,VND,20.2
10/11/2023,VND,20.05
09/11/2023,VND,20.05
08/11/2023,VND,19.55
07/11/2023,VND,18.3
06/11/2023,VND,18.7
03/11/2023,VND,18.5
02/11/2023,VND,18.55
01/11/2023,VND,17.35
31/10/2023,VND,16.3
30/10/2023,VND,17.3
27/10/2023,VND,18.5
26/10/2023,VND,18.3
25/10/2023,VND,19.65
24/10/2023,VND,19.75
23/10/2023,VND,19.4
20/10/2023,VND,19.95
19/10/2023,VND,19.15
18/10/2023,VND,20.15
17/10/2023,VND,20.0
16/10/2023,VND,20.95
13/10/2023,VND,22.0
12/10/2023,VND,22.05
11/10/2023,VND,22.2
10/10/2023,VND,21.4
09/10/2023,VND,21.6
06/10/2023,VND,20.9
05/10/2023,VND,19.55
04/10/2023,VND,20.35
03/10/2023,VND,19.65
02/10/2023,VND,21.1
29/09/2023,VND,21.0
28/09/2023,VND,21.05
27/09/2023,VND,21.85
26/09/2023,VND,20.65
25/09/2023,VND,21.0
22/09/2023,VND,22.55
