Ngay,GiaDongCua
29/12/2023,8.82
28/12/2023,8.8
27/12/2023,8.85
26/12/2023,9.01
25/12/2023,9.05
22/12/2023,8.87
21/12/2023,8.8
20/12/2023,8.88
19/12/2023,8.88
18/12/2023,8.7
15/12/2023,8.93
14/12/2023,8.98
13/12/2023,9.05
12/12/2023,9.26
11/12/2023,9.08
08/12/2023,9.18
07/12/2023,9.55
06/12/2023,9.6
05/12/2023,9.4
04/12/2023,9.18
01/12/2023,8.58
30/11/2023,8.62
29/11/2023,8.62
28/11/2023,8.51
27/11/2023,8.4
24/11/2023,8.6
23/11/2023,8.4
22/11/2023,8.9
21/11/2023,8.75
20/11/2023,8.7
17/11/2023,8.68
16/11/2023,8.7
15/11/2023,8.65
14/11/2023,8.6
13/11/2023,8.6
10/11/2023,8.55
09/11/2023,8.56
08/11/2023,8.42
07/11/2023,7.87
06/11/2023,7.92
03/11/2023,7.89
02/11/2023,7.96
01/11/2023,7.44
31/10/2023,7.01
30/10/2023,7.5
27/10/2023,7.65
26/10/2023,7.61
25/10/2023,8.18
24/10/2023,8.18
23/10/2023,8.12
20/10/2023,8.2
19/10/2023,7.75
18/10/2023,7.91
17/10/2023,8.5
16/10/2023,9.03
13/10/2023,9.32
12/10/2023,9.41
11/10/2023,9.35
10/10/2023,9.25
09/10/2023,9.1
06/10/2023,9.0
05/10/2023,8.9
04/10/2023,9.29
03/10/2023,9.29
02/10/2023,9.98
29/09/2023,9.88
28/09/2023,9.84
27/09/2023,10.1
26/09/2023,9.8
25/09/2023,10.45
22/09/2023,11.2
21/09/2023,11.95
20/09/2023,11.65
19/09/2023,11.25
18/09/2023,11.35
15/09/2023,11.6
14/09/2023,11.65
13/09/2023,12.15
12/09/2023,11.9
11/09/2023,11.5
08/09/2023,12.1
07/09/2023,12.15
06/09/2023,11.6
05/09/2023,11.7
31/08/2023,11.75
30/08/2023,11.5
29/08/2023,11.3
28/08/2023,11.25
25/08/2023,10.55
24/08/2023,10.55
23/08/2023,10.2
22/08/2023,10.5
21/08/2023,10.2
18/08/2023,10.95
17/08/2023,11.75
16/08/2023,11.85
15/08/2023,11.85
14/08/2023,12.1
11/08/2023,11.5
10/08/2023,11.4
09/08/2023,11.6
08/08/2023,11.35
07/08/2023,11.6
04/08/2023,11.7
03/08/2023,11.35
02/08/2023,11.1
01/08/2023,10.4
31/07/2023,10.95
28/07/2023,10.8
27/07/2023,10.65
26/07/2023,10.0
25/07/2023,9.91
24/07/2023,10.15
21/07/2023,9.8
20/07/2023,9.58
19/07/2023,9.61
18/07/2023,9.8
17/07/2023,9.95
14/07/2023,9.8
13/07/2023,9.86
12/07/2023,9.74
11/07/2023,9.8
10/07/2023,9.45
07/07/2023,9.29
06/07/2023,9.34
05/07/2023,9.6
04/07/2023,9.55
03/07/2023,9.55
30/06/2023,9.22
29/06/2023,9.16
28/06/2023,9.4
27/06/2023,9.65
26/06/2023,9.68
23/06/2023,9.95
22/06/2023,10.15
21/06/2023,10.15
20/06/2023,9.9
19/06/2023,9.65
16/06/2023,9.7
15/06/2023,9.68
14/06/2023,9.92
13/06/2023,10.15
12/06/2023,10.3
09/06/2023,10.5
08/06/2023,10.4
07/06/2023,10.1
06/06/2023,9.95
05/06/2023,9.78
02/06/2023,9.57
01/06/2023,9.79
31/05/2023,9.75
30/05/2023,9.18
29/05/2023,9.2
26/05/2023,9.13
25/05/2023,9.17
24/05/2023,8.9
23/05/2023,8.65
22/05/2023,8.71
19/05/2023,8.53
18/05/2023,8.42
17/05/2023,8.52
16/05/2023,8.75
15/05/2023,8.7
12/05/2023,8.97
11/05/2023,8.71
10/05/2023,8.95
09/05/2023,8.66
08/05/2023,8.64
05/05/2023,8.76
04/05/2023,8.72
28/04/2023,8.37
27/04/2023,8.57
26/04/2023,8.72
25/04/2023,8.26
24/04/2023,8.21
21/04/2023,7.68
20/04/2023,7.82
19/04/2023,7.69
18/04/2023,7.99
17/04/2023,7.69
14/04/2023,7.85
13/04/2023,7.9
12/04/2023,8.3
11/04/2023,8.05
10/04/2023,7.71
07/04/2023,7.92
06/04/2023,7.6
05/04/2023,7.28
04/04/2023,6.81
03/04/2023,6.75
31/03/2023,6.31
30/03/2023,6.39
29/03/2023,6.4
28/03/2023,6.42
27/03/2023,6.45
24/03/2023,6.3
23/03/2023,6.24
22/03/2023,6.23
21/03/2023,6.22
20/03/2023,6.16
17/03/2023,6.28
16/03/2023,6.27
15/03/2023,6.4
14/03/2023,6.18
13/03/2023,6.34
10/03/2023,6.47
09/03/2023,6.44
08/03/2023,6.43
07/03/2023,6.3
06/03/2023,6.36
03/03/2023,6.33
02/03/2023,6.51
01/03/2023,6.41
28/02/2023,6.21
27/02/2023,6.2
24/02/2023,6.41
23/02/2023,6.58
22/02/2023,6.67
21/02/2023,6.92
20/02/2023,7.0
17/02/2023,6.72
16/02/2023,6.44
15/02/2023,6.29
14/02/2023,6.05
13/02/2023,6.05
10/02/2023,6.5
09/02/2023,6.87
08/02/2023,6.92
07/02/2023,6.89
06/02/2023,7.08
03/02/2023,7.1
02/02/2023,7.15
01/02/2023,7.26
31/01/2023,7.7
30/01/2023,7.6
27/01/2023,7.45
19/01/2023,7.35
18/01/2023,7.48
17/01/2023,7.31
16/01/2023,6.95
13/01/2023,6.66
12/01/2023,6.71
11/01/2023,6.71
10/01/2023,6.57
09/01/2023,6.54
06/01/2023,6.7
05/01/2023,6.85
04/01/2023,6.84
03/01/2023,6.75
30/12/2022,6.31
29/12/2022,6.46
28/12/2022,6.55
27/12/2022,6.6
26/12/2022,6.38
23/12/2022,6.85
22/12/2022,6.8
21/12/2022,6.59
20/12/2022,7.08
19/12/2022,7.61
16/12/2022,7.51
15/12/2022,7.43
14/12/2022,7.41
13/12/2022,7.3
12/12/2022,7.25
09/12/2022,7.7
08/12/2022,7.58
07/12/2022,7.16
06/12/2022,7.63
05/12/2022,8.2
02/12/2022,7.85
01/12/2022,7.55
30/11/2022,7.06
29/11/2022,6.6
28/11/2022,6.17
25/11/2022,5.77
24/11/2022,5.4
23/11/2022,5.51
22/11/2022,5.92
21/11/2022,5.71
18/11/2022,5.43
17/11/2022,5.3
16/11/2022,5.2
15/11/2022,4.88
14/11/2022,5.24
11/11/2022,5.63
10/11/2022,6.05
09/11/2022,6.5
08/11/2022,6.48
07/11/2022,6.96
04/11/2022,7.48
03/11/2022,8.04
02/11/2022,8.06
01/11/2022,8.1
31/10/2022,7.95
28/10/2022,7.96
27/10/2022,7.82
26/10/2022,7.31
25/10/2022,7.86
24/10/2022,8.4
21/10/2022,9.03
20/10/2022,9.7
19/10/2022,9.99
18/10/2022,10.2
17/10/2022,9.81
14/10/2022,9.96
13/10/2022,9.72
12/10/2022,9.69
11/10/2022,9.54
10/10/2022,10.25
07/10/2022,9.91
06/10/2022,10.65
05/10/2022,11.4
04/10/2022,11.0
03/10/2022,11.45
30/09/2022,12.3
29/09/2022,12.1
28/09/2022,12.85
27/09/2022,13.75
26/09/2022,13.8
23/09/2022,14.65
22/09/2022,14.85
21/09/2022,14.5
20/09/2022,14.6
19/09/2022,14.7
16/09/2022,15.8
15/09/2022,16.55
14/09/2022,16.35
13/09/2022,15.85
12/09/2022,15.8
09/09/2022,15.8
08/09/2022,15.65
07/09/2022,15.95
06/09/2022,16.05
05/09/2022,15.55
31/08/2022,15.5
30/08/2022,15.3
29/08/2022,15.2
26/08/2022,15.8
25/08/2022,16.2
24/08/2022,16.0
23/08/2022,16.2
22/08/2022,16.45
19/08/2022,16.8
18/08/2022,16.9
17/08/2022,16.9
16/08/2022,17.05
15/08/2022,17.05
12/08/2022,17.15
11/08/2022,16.6
10/08/2022,17.2
09/08/2022,17.25
08/08/2022,16.35
05/08/2022,16.3
04/08/2022,16.15
03/08/2022,16.15
02/08/2022,15.8
01/08/2022,15.9
29/07/2022,15.25
28/07/2022,14.7
27/07/2022,14.2
26/07/2022,14.2
25/07/2022,14.75
22/07/2022,14.9
21/07/2022,14.95
20/07/2022,15.25
19/07/2022,14.85
18/07/2022,15.2
15/07/2022,15.1
14/07/2022,15.1
13/07/2022,14.75
12/07/2022,14.85
11/07/2022,13.9
08/07/2022,14.4
07/07/2022,13.5
06/07/2022,13.25
05/07/2022,13.6
04/07/2022,14.35
01/07/2022,14.0
30/06/2022,14.1
29/06/2022,15.15
28/06/2022,15.5
27/06/2022,14.55
24/06/2022,14.15
23/06/2022,14.45
22/06/2022,13.8
21/06/2022,13.3
20/06/2022,14.3
17/06/2022,15.35
16/06/2022,16.3
15/06/2022,16.1
14/06/2022,17.1
13/06/2022,17.75
10/06/2022,19.05
09/06/2022,20.15
08/06/2022,20.15
07/06/2022,19.75
06/06/2022,20.0
03/06/2022,20.6
02/06/2022,20.7
01/06/2022,21.25
31/05/2022,21.0
30/05/2022,21.05
27/05/2022,20.85
26/05/2022,21.4
25/05/2022,21.85
24/05/2022,20.5
23/05/2022,19.9
20/05/2022,19.9
19/05/2022,19.6
18/05/2022,19.3
17/05/2022,19.25
16/05/2022,18.0
13/05/2022,17.7
12/05/2022,19.0
11/05/2022,20.4
10/05/2022,19.9
09/05/2022,18.6
06/05/2022,20.0
05/05/2022,20.45
04/05/2022,20.8
29/04/2022,20.1
28/04/2022,18.8
27/04/2022,18.5
26/04/2022,17.3
25/04/2022,16.2
22/04/2022,17.4
21/04/2022,17.8
20/04/2022,19.1
19/04/2022,20.3
18/04/2022,21.7
15/04/2022,23.3
14/04/2022,23.8
13/04/2022,24.4
12/04/2022,23.0
08/04/2022,23.25
07/04/2022,25.0
06/04/2022,26.4
05/04/2022,27.0
04/04/2022,26.85
01/04/2022,26.9
31/03/2022,26.4
30/03/2022,26.55
29/03/2022,27.3
28/03/2022,27.1
25/03/2022,28.3
24/03/2022,28.35
23/03/2022,26.5
22/03/2022,26.55
21/03/2022,27.1
18/03/2022,27.4
17/03/2022,27.0
16/03/2022,26.4
15/03/2022,26.75
14/03/2022,27.2
11/03/2022,26.05
10/03/2022,26.55
09/03/2022,24.85
08/03/2022,24.85
07/03/2022,24.9
04/03/2022,25.0
03/03/2022,25.3
02/03/2022,24.05
01/03/2022,24.35
28/02/2022,23.9
25/02/2022,24.0
24/02/2022,23.55
23/02/2022,24.65
22/02/2022,24.55
21/02/2022,24.9
18/02/2022,25.1
17/02/2022,24.2
16/02/2022,23.45
15/02/2022,23.0
14/02/2022,22.85
11/02/2022,23.65
10/02/2022,23.2
09/02/2022,23.2
08/02/2022,22.65
07/02/2022,22.6
28/01/2022,21.7
27/01/2022,21.15
26/01/2022,21.7
25/01/2022,21.9
24/01/2022,21.15
21/01/2022,22.7
20/01/2022,21.25
19/01/2022,19.6
18/01/2022,20.25
17/01/2022,21.75
14/01/2022,23.35
13/01/2022,23.5
12/01/2022,25.25
11/01/2022,26.7
10/01/2022,26.55
07/01/2022,25.9
06/01/2022,24.25
05/01/2022,24.4
04/01/2022,24.2
31/12/2021,23.9
30/12/2021,24.4
29/12/2021,24.75
28/12/2021,23.4
27/12/2021,23.3
24/12/2021,23.5
23/12/2021,24.05
22/12/2021,24.7
21/12/2021,24.9
