Ngay,GiaDongCua
29/12/2023,43.5
28/12/2023,41.2
27/12/2023,41.0
26/12/2023,41.0
25/12/2023,40.4
22/12/2023,39.6
21/12/2023,39.15
20/12/2023,38.9
19/12/2023,38.9
18/12/2023,39.1
15/12/2023,39.0
14/12/2023,38.9
13/12/2023,38.9
12/12/2023,39.0
11/12/2023,38.85
08/12/2023,38.95
07/12/2023,38.6
06/12/2023,39.0
05/12/2023,38.25
04/12/2023,48.4
01/12/2023,48.8
30/11/2023,48.9
29/11/2023,48.95
28/11/2023,48.75
27/11/2023,48.7
24/11/2023,48.8
23/11/2023,48.05
22/11/2023,49.45
21/11/2023,49.5
20/11/2023,47.3
17/11/2023,47.45
16/11/2023,47.5
15/11/2023,47.3
14/11/2023,47.4
13/11/2023,46.25
10/11/2023,46.45
09/11/2023,46.7
08/11/2023,46.5
07/11/2023,46.0
06/11/2023,45.0
03/11/2023,44.75
02/11/2023,44.45
01/11/2023,43.5
31/10/2023,43.5
30/10/2023,44.75
27/10/2023,44.9
26/10/2023,44.05
25/10/2023,46.6
24/10/2023,46.0
23/10/2023,47.0
20/10/2023,47.7
19/10/2023,47.9
18/10/2023,47.9
17/10/2023,48.5
16/10/2023,48.5
13/10/2023,49.95
12/10/2023,50.4
11/10/2023,49.0
10/10/2023,48.85
09/10/2023,48.2
06/10/2023,47.5
05/10/2023,47.2
04/10/2023,47.5
03/10/2023,47.1
02/10/2023,47.8
29/09/2023,47.8
28/09/2023,48.0
27/09/2023,48.8
26/09/2023,48.1
25/09/2023,48.6
22/09/2023,49.0
21/09/2023,48.8
20/09/2023,48.9
19/09/2023,49.45
18/09/2023,48.8
15/09/2023,49.8
14/09/2023,49.5
13/09/2023,49.8
12/09/2023,50.6
11/09/2023,50.1
08/09/2023,50.5
07/09/2023,50.1
06/09/2023,50.7
05/09/2023,50.8
31/08/2023,50.6
30/08/2023,50.5
29/08/2023,50.4
28/08/2023,50.2
25/08/2023,49.9
24/08/2023,49.5
23/08/2023,48.95
22/08/2023,49.3
21/08/2023,48.5
18/08/2023,48.0
17/08/2023,48.5
16/08/2023,49.05
15/08/2023,48.95
14/08/2023,48.8
11/08/2023,49.0
10/08/2023,48.9
09/08/2023,49.0
08/08/2023,49.2
07/08/2023,49.4
04/08/2023,49.2
03/08/2023,49.0
02/08/2023,49.5
01/08/2023,49.05
31/07/2023,49.05
28/07/2023,48.3
27/07/2023,47.8
26/07/2023,47.2
25/07/2023,47.4
24/07/2023,47.85
21/07/2023,47.9
20/07/2023,48.1
19/07/2023,48.45
18/07/2023,48.5
17/07/2023,48.2
14/07/2023,48.0
13/07/2023,48.15
12/07/2023,47.7
11/07/2023,47.25
10/07/2023,46.8
07/07/2023,46.9
06/07/2023,46.8
05/07/2023,46.95
04/07/2023,46.7
03/07/2023,46.4
30/06/2023,46.2
29/06/2023,46.45
28/06/2023,47.0
27/06/2023,47.55
26/06/2023,48.35
23/06/2023,45.3
22/06/2023,45.5
21/06/2023,45.8
20/06/2023,46.0
19/06/2023,45.35
16/06/2023,45.5
15/06/2023,45.0
14/06/2023,44.8
13/06/2023,44.9
12/06/2023,45.5
09/06/2023,45.5
08/06/2023,44.5
07/06/2023,45.5
06/06/2023,45.7
05/06/2023,44.05
02/06/2023,41.2
01/06/2023,41.0
31/05/2023,40.85
30/05/2023,41.0
29/05/2023,41.15
26/05/2023,40.5
25/05/2023,40.7
24/05/2023,40.75
23/05/2023,40.5
22/05/2023,40.8
19/05/2023,40.9
18/05/2023,41.0
17/05/2023,41.0
16/05/2023,41.25
15/05/2023,41.4
12/05/2023,41.4
11/05/2023,41.45
10/05/2023,41.45
09/05/2023,41.45
08/05/2023,41.5
05/05/2023,41.5
04/05/2023,41.55
28/04/2023,41.6
27/04/2023,41.5
26/04/2023,41.4
25/04/2023,41.3
24/04/2023,41.5
21/04/2023,41.65
20/04/2023,41.65
19/04/2023,41.8
18/04/2023,41.8
17/04/2023,41.85
14/04/2023,41.85
13/04/2023,41.85
12/04/2023,41.5
11/04/2023,41.75
10/04/2023,41.6
07/04/2023,41.6
06/04/2023,41.45
05/04/2023,41.9
04/04/2023,40.55
03/04/2023,40.6
31/03/2023,39.9
30/03/2023,39.95
29/03/2023,40.0
28/03/2023,40.4
27/03/2023,40.45
24/03/2023,40.55
23/03/2023,40.5
22/03/2023,40.2
21/03/2023,40.95
20/03/2023,40.3
17/03/2023,41.1
16/03/2023,41.0
15/03/2023,41.3
14/03/2023,39.4
13/03/2023,40.8
10/03/2023,41.0
09/03/2023,40.5
08/03/2023,40.7
07/03/2023,40.35
06/03/2023,40.45
03/03/2023,39.3
02/03/2023,40.45
01/03/2023,40.9
28/02/2023,40.6
27/02/2023,39.9
24/02/2023,40.55
23/02/2023,40.9
22/02/2023,40.0
21/02/2023,41.9
20/02/2023,41.9
17/02/2023,41.25
16/02/2023,41.3
15/02/2023,41.6
14/02/2023,41.9
13/02/2023,41.9
10/02/2023,41.5
09/02/2023,41.95
08/02/2023,41.95
07/02/2023,41.3
06/02/2023,42.5
03/02/2023,43.0
02/02/2023,42.4
01/02/2023,41.6
31/01/2023,43.1
30/01/2023,43.0
27/01/2023,43.5
19/01/2023,41.6
18/01/2023,41.0
17/01/2023,40.5
16/01/2023,40.3
13/01/2023,40.25
12/01/2023,40.5
11/01/2023,40.85
10/01/2023,41.4
09/01/2023,40.0
06/01/2023,40.95
05/01/2023,41.2
04/01/2023,41.1
03/01/2023,41.5
30/12/2022,40.0
29/12/2022,38.9
28/12/2022,38.0
27/12/2022,38.2
26/12/2022,36.9
23/12/2022,39.0
22/12/2022,39.05
21/12/2022,38.05
20/12/2022,38.4
19/12/2022,39.6
16/12/2022,39.6
15/12/2022,39.8
14/12/2022,39.7
13/12/2022,40.05
12/12/2022,40.4
09/12/2022,40.0
08/12/2022,40.8
07/12/2022,39.55
06/12/2022,40.0
05/12/2022,41.2
02/12/2022,42.0
01/12/2022,41.0
30/11/2022,41.2
29/11/2022,39.5
28/11/2022,37.8
25/11/2022,36.6
24/11/2022,36.2
23/11/2022,35.4
22/11/2022,35.95
21/11/2022,35.7
18/11/2022,35.75
17/11/2022,35.8
16/11/2022,34.8
15/11/2022,32.55
14/11/2022,35.0
11/11/2022,35.0
10/11/2022,33.95
09/11/2022,35.4
08/11/2022,33.2
07/11/2022,32.0
04/11/2022,34.3
03/11/2022,36.85
02/11/2022,38.45
01/11/2022,38.5
31/10/2022,39.25
28/10/2022,39.6
27/10/2022,39.75
26/10/2022,39.4
25/10/2022,39.0
24/10/2022,38.0
21/10/2022,40.3
20/10/2022,40.9
19/10/2022,40.9
18/10/2022,40.3
17/10/2022,40.0
14/10/2022,40.4
13/10/2022,41.9
12/10/2022,40.6
11/10/2022,38.6
10/10/2022,41.5
07/10/2022,39.7
06/10/2022,42.65
05/10/2022,44.5
04/10/2022,43.45
03/10/2022,42.6
30/09/2022,45.8
29/09/2022,44.6
28/09/2022,46.4
27/09/2022,48.4
26/09/2022,47.5
23/09/2022,50.6
22/09/2022,50.9
21/09/2022,50.9
20/09/2022,52.0
19/09/2022,51.5
16/09/2022,52.8
15/09/2022,53.0
14/09/2022,50.6
13/09/2022,50.9
12/09/2022,50.0
09/09/2022,64.4
08/09/2022,63.5
07/09/2022,63.1
06/09/2022,64.7
05/09/2022,60.5
31/08/2022,59.0
30/08/2022,61.5
29/08/2022,60.9
26/08/2022,60.0
25/08/2022,61.9
24/08/2022,64.0
23/08/2022,66.6
22/08/2022,67.0
19/08/2022,67.8
18/08/2022,69.0
17/08/2022,67.5
16/08/2022,67.7
15/08/2022,67.2
12/08/2022,64.1
11/08/2022,62.4
10/08/2022,61.9
09/08/2022,63.0
08/08/2022,62.5
05/08/2022,62.5
04/08/2022,62.7
03/08/2022,61.0
02/08/2022,62.0
01/08/2022,61.7
29/07/2022,58.9
28/07/2022,58.3
27/07/2022,59.4
26/07/2022,58.6
25/07/2022,58.9
22/07/2022,57.0
21/07/2022,59.0
20/07/2022,58.9
19/07/2022,58.0
18/07/2022,59.0
15/07/2022,58.7
14/07/2022,59.5
13/07/2022,59.4
12/07/2022,58.5
11/07/2022,56.8
08/07/2022,57.0
07/07/2022,57.0
06/07/2022,56.8
05/07/2022,57.8
04/07/2022,58.5
01/07/2022,62.0
30/06/2022,58.5
29/06/2022,58.8
28/06/2022,59.9
27/06/2022,59.9
24/06/2022,58.0
23/06/2022,55.0
22/06/2022,55.8
21/06/2022,55.3
20/06/2022,55.3
17/06/2022,57.3
16/06/2022,58.2
15/06/2022,56.0
14/06/2022,57.1
13/06/2022,57.5
10/06/2022,59.9
09/06/2022,61.0
08/06/2022,60.8
07/06/2022,60.0
06/06/2022,60.4
03/06/2022,61.0
02/06/2022,58.9
01/06/2022,58.3
31/05/2022,60.2
30/05/2022,60.8
27/05/2022,60.8
26/05/2022,59.0
25/05/2022,59.0
24/05/2022,55.8
23/05/2022,57.5
20/05/2022,58.5
19/05/2022,56.3
18/05/2022,59.0
17/05/2022,57.0
16/05/2022,54.0
13/05/2022,56.9
12/05/2022,59.0
11/05/2022,62.3
10/05/2022,61.4
09/05/2022,62.5
06/05/2022,63.2
05/05/2022,64.7
04/05/2022,63.7
29/04/2022,64.8
28/04/2022,64.3
27/04/2022,63.7
26/04/2022,63.2
25/04/2022,62.1
22/04/2022,66.7
21/04/2022,69.0
20/04/2022,70.0
19/04/2022,65.8
18/04/2022,70.7
15/04/2022,68.9
14/04/2022,65.9
13/04/2022,64.9
12/04/2022,64.0
08/04/2022,63.7
07/04/2022,65.5
06/04/2022,65.0
05/04/2022,63.3
04/04/2022,62.8
01/04/2022,63.5
31/03/2022,63.0
30/03/2022,61.1
29/03/2022,59.7
28/03/2022,55.8
25/03/2022,56.2
24/03/2022,56.5
23/03/2022,56.2
22/03/2022,55.2
21/03/2022,59.0
18/03/2022,59.5
17/03/2022,59.3
16/03/2022,55.5
15/03/2022,55.5
14/03/2022,55.3
11/03/2022,55.6
10/03/2022,55.8
09/03/2022,54.0
08/03/2022,54.2
07/03/2022,55.5
04/03/2022,55.9
03/03/2022,55.8
02/03/2022,54.7
01/03/2022,54.7
28/02/2022,55.0
25/02/2022,55.5
24/02/2022,56.3
23/02/2022,57.1
22/02/2022,56.7
21/02/2022,57.2
18/02/2022,56.7
17/02/2022,56.7
16/02/2022,56.0
15/02/2022,54.9
14/02/2022,55.3
11/02/2022,55.5
10/02/2022,56.0
09/02/2022,60.0
08/02/2022,58.6
07/02/2022,58.2
28/01/2022,54.4
27/01/2022,51.8
26/01/2022,51.5
25/01/2022,51.6
24/01/2022,51.6
21/01/2022,54.5
20/01/2022,53.0
19/01/2022,53.0
18/01/2022,49.6
17/01/2022,51.0
14/01/2022,54.3
13/01/2022,54.8
12/01/2022,55.0
11/01/2022,55.0
10/01/2022,57.0
07/01/2022,59.0
06/01/2022,60.0
05/01/2022,62.2
04/01/2022,61.0
31/12/2021,60.0
30/12/2021,59.5
29/12/2021,60.0
28/12/2021,60.0
27/12/2021,59.7
24/12/2021,59.0
23/12/2021,58.0
22/12/2021,59.4
21/12/2021,59.3
20/12/2021,59.3
17/12/2021,60.4
16/12/2021,60.1
15/12/2021,60.3
14/12/2021,60.5
13/12/2021,61.5
10/12/2021,62.0
09/12/2021,61.0
08/12/2021,60.7
07/12/2021,60.8
06/12/2021,60.1
03/12/2021,60.9
02/12/2021,62.4
01/12/2021,62.5
30/11/2021,62.0
29/11/2021,63.8
26/11/2021,65.5
25/11/2021,68.5
24/11/2021,68.3
23/11/2021,66.4
22/11/2021,66.9
19/11/2021,69.9
18/11/2021,69.0
17/11/2021,64.6
16/11/2021,63.9
15/11/2021,63.8
12/11/2021,64.1
11/11/2021,64.0
10/11/2021,64.8
09/11/2021,65.0
08/11/2021,64.3
05/11/2021,63.5
04/11/2021,62.9
03/11/2021,62.4
02/11/2021,63.8
01/11/2021,64.0
29/10/2021,63.0
28/10/2021,61.8
27/10/2021,60.5
26/10/2021,59.6
25/10/2021,60.0
22/10/2021,60.9
21/10/2021,61.0
20/10/2021,59.6
19/10/2021,59.7
18/10/2021,61.0
15/10/2021,62.0
14/10/2021,61.8
13/10/2021,60.7
12/10/2021,60.9
11/10/2021,61.0
08/10/2021,61.3
07/10/2021,61.3
06/10/2021,59.4
05/10/2021,59.4
04/10/2021,57.7
01/10/2021,57.8
30/09/2021,58.8
29/09/2021,58.9
28/09/2021,59.0
27/09/2021,57.3
24/09/2021,60.5
23/09/2021,62.5
22/09/2021,64.2
21/09/2021,61.8
20/09/2021,62.9
17/09/2021,60.4
16/09/2021,60.4
15/09/2021,61.2
14/09/2021,59.9
13/09/2021,56.0
10/09/2021,54.6
09/09/2021,54.5
08/09/2021,53.0
07/09/2021,53.7
06/09/2021,53.6
01/09/2021,52.7
31/08/2021,52.8
30/08/2021,51.0
27/08/2021,50.8
26/08/2021,50.1
25/08/2021,50.2
24/08/2021,50.8
23/08/2021,49.1
20/08/2021,45.9
19/08/2021,44.9
18/08/2021,44.9
17/08/2021,45.45
16/08/2021,45.75
13/08/2021,44.0
12/08/2021,43.55
11/08/2021,43.4
10/08/2021,46.15
09/08/2021,46.95
06/08/2021,45.3
05/08/2021,45.0
04/08/2021,44.1
03/08/2021,44.75
02/08/2021,45.4
30/07/2021,42.45
29/07/2021,39.7
28/07/2021,39.8
27/07/2021,39.55
26/07/2021,38.4
23/07/2021,35.9
22/07/2021,36.0
21/07/2021,35.45
20/07/2021,35.6
19/07/2021,34.75
16/07/2021,35.6
15/07/2021,35.55
14/07/2021,36.3
13/07/2021,36.9
12/07/2021,35.4
09/07/2021,37.0
08/07/2021,37.3
07/07/2021,37.3
06/07/2021,37.6
05/07/2021,39.0
02/07/2021,39.4
01/07/2021,38.6
30/06/2021,37.3
29/06/2021,36.5
28/06/2021,36.6
25/06/2021,36.9
24/06/2021,36.25
23/06/2021,36.25
22/06/2021,35.5
21/06/2021,35.5
18/06/2021,35.4
17/06/2021,35.1
16/06/2021,35.5
15/06/2021,36.0
14/06/2021,36.3
11/06/2021,36.25
10/06/2021,36.15
09/06/2021,36.3
08/06/2021,35.4
07/06/2021,36.7
04/06/2021,37.4
03/06/2021,36.2
02/06/2021,36.35
01/06/2021,36.4
31/05/2021,37.35
28/05/2021,37.85
27/05/2021,36.1
26/05/2021,36.8
25/05/2021,37.25
24/05/2021,36.95
21/05/2021,35.15
20/05/2021,35.7
19/05/2021,35.3
18/05/2021,35.5
17/05/2021,35.8
14/05/2021,36.0
13/05/2021,34.3
12/05/2021,34.45
11/05/2021,34.35
10/05/2021,34.4
07/05/2021,34.7
06/05/2021,34.7
05/05/2021,34.7
04/05/2021,34.1
29/04/2021,34.4
28/04/2021,34.4
27/04/2021,34.0
26/04/2021,34.8
23/04/2021,35.4
22/04/2021,34.8
20/04/2021,34.25
19/04/2021,35.0
16/04/2021,35.3
15/04/2021,35.9
14/04/2021,36.4
13/04/2021,36.0
12/04/2021,36.6
09/04/2021,36.6
08/04/2021,36.4
07/04/2021,35.9
06/04/2021,36.5
05/04/2021,36.5
02/04/2021,36.6
01/04/2021,36.6
31/03/2021,36.0
30/03/2021,36.65
29/03/2021,36.65
26/03/2021,35.6
25/03/2021,36.2
24/03/2021,36.15
23/03/2021,37.4
22/03/2021,37.9
19/03/2021,38.35
18/03/2021,38.85
17/03/2021,39.1
16/03/2021,37.1
15/03/2021,35.35
12/03/2021,35.8
11/03/2021,36.65
10/03/2021,36.35
09/03/2021,34.0
08/03/2021,34.0
05/03/2021,34.1
04/03/2021,33.7
03/03/2021,34.25
02/03/2021,34.25
01/03/2021,34.3
26/02/2021,33.75
25/02/2021,34.3
24/02/2021,34.35
23/02/2021,34.25
22/02/2021,34.25
19/02/2021,33.7
18/02/2021,33.5
17/02/2021,33.75
09/02/2021,32.75
08/02/2021,32.45
05/02/2021,33.8
04/02/2021,33.8
03/02/2021,32.8
02/02/2021,32.75
01/02/2021,31.1
29/01/2021,32.5
28/01/2021,31.0
27/01/2021,33.3
26/01/2021,35.0
25/01/2021,36.6
22/01/2021,36.9
21/01/2021,37.0
20/01/2021,35.95
19/01/2021,35.8
18/01/2021,38.45
15/01/2021,38.6
14/01/2021,38.45
13/01/2021,38.1
12/01/2021,38.8
11/01/2021,38.5
08/01/2021,38.1
07/01/2021,38.0
06/01/2021,38.5
05/01/2021,39.2
04/01/2021,39.4
31/12/2020,38.0
30/12/2020,36.7
29/12/2020,36.8
28/12/2020,36.85
25/12/2020,35.15
24/12/2020,35.0
23/12/2020,33.0
22/12/2020,32.45
21/12/2020,32.45
18/12/2020,32.3
17/12/2020,32.4
16/12/2020,32.7
15/12/2020,32.5
14/12/2020,32.7
11/12/2020,32.85
10/12/2020,32.6
09/12/2020,32.85
08/12/2020,33.0
07/12/2020,33.25
04/12/2020,33.25
03/12/2020,32.7
02/12/2020,32.2
01/12/2020,32.65
30/11/2020,32.9
27/11/2020,33.1
26/11/2020,33.2
25/11/2020,33.4
24/11/2020,33.6
23/11/2020,33.6
20/11/2020,34.1
19/11/2020,33.75
18/11/2020,33.45
17/11/2020,33.75
16/11/2020,33.8
13/11/2020,34.25
12/11/2020,34.4
11/11/2020,34.2
10/11/2020,34.25
09/11/2020,33.95
06/11/2020,33.7
05/11/2020,33.65
04/11/2020,33.65
03/11/2020,33.55
02/11/2020,33.45
30/10/2020,32.9
29/10/2020,32.9
28/10/2020,33.1
27/10/2020,33.5
26/10/2020,33.8
23/10/2020,33.95
22/10/2020,34.0
21/10/2020,34.2
20/10/2020,34.3
19/10/2020,34.3
16/10/2020,34.0
15/10/2020,34.05
14/10/2020,33.7
13/10/2020,34.0
12/10/2020,33.8
09/10/2020,34.6
08/10/2020,34.6
07/10/2020,34.65
06/10/2020,34.6
05/10/2020,34.6
02/10/2020,35.0
01/10/2020,35.0
30/09/2020,34.7
29/09/2020,34.6
28/09/2020,35.7
25/09/2020,35.7
24/09/2020,36.2
23/09/2020,36.2
22/09/2020,35.7
21/09/2020,35.7
18/09/2020,35.1
17/09/2020,35.2
16/09/2020,35.85
15/09/2020,36.4
14/09/2020,36.5
11/09/2020,36.2
10/09/2020,35.1
09/09/2020,35.5
08/09/2020,35.5
07/09/2020,35.0
04/09/2020,34.9
03/09/2020,35.8
01/09/2020,35.6
31/08/2020,35.0
28/08/2020,35.3
27/08/2020,36.15
26/08/2020,33.8
25/08/2020,32.6
24/08/2020,33.5
21/08/2020,33.1
20/08/2020,32.5
19/08/2020,31.2
18/08/2020,30.3
17/08/2020,30.4
14/08/2020,30.7
13/08/2020,30.9
12/08/2020,31.1
11/08/2020,31.1
10/08/2020,31.3
07/08/2020,30.5
06/08/2020,30.5
05/08/2020,30.6
04/08/2020,30.4
03/08/2020,29.0
31/07/2020,28.6
30/07/2020,29.0
29/07/2020,28.5
28/07/2020,29.0
27/07/2020,27.3
24/07/2020,28.5
23/07/2020,30.3
22/07/2020,30.6
21/07/2020,30.6
20/07/2020,31.1
17/07/2020,30.1
16/07/2020,29.5
15/07/2020,29.65
14/07/2020,29.5
13/07/2020,29.5
10/07/2020,29.7
09/07/2020,29.7
08/07/2020,29.3
07/07/2020,30.2
06/07/2020,30.25
03/07/2020,30.2
02/07/2020,31.15
01/07/2020,31.0
30/06/2020,31.05
29/06/2020,30.8
26/06/2020,31.1
25/06/2020,30.2
24/06/2020,30.7
23/06/2020,31.0
22/06/2020,30.7
19/06/2020,30.7
18/06/2020,29.9
17/06/2020,28.85
16/06/2020,28.6
15/06/2020,28.5
12/06/2020,29.0
11/06/2020,28.3
10/06/2020,30.4
09/06/2020,31.5
08/06/2020,30.15
05/06/2020,28.2
04/06/2020,28.2
03/06/2020,27.9
02/06/2020,27.75
01/06/2020,27.85
29/05/2020,27.85
28/05/2020,27.9
27/05/2020,27.85
26/05/2020,28.1
25/05/2020,28.2
22/05/2020,28.0
21/05/2020,28.25
20/05/2020,28.25
19/05/2020,28.5
18/05/2020,28.5
15/05/2020,29.0
14/05/2020,28.9
13/05/2020,29.4
12/05/2020,29.0
11/05/2020,28.45
08/05/2020,28.6
07/05/2020,28.9
06/05/2020,28.25
05/05/2020,28.25
04/05/2020,28.3
29/04/2020,28.65
28/04/2020,28.5
27/04/2020,28.7
24/04/2020,29.2
23/04/2020,28.7
22/04/2020,28.0
21/04/2020,27.65
20/04/2020,29.7
17/04/2020,29.5
16/04/2020,28.75
15/04/2020,27.7
14/04/2020,26.9
13/04/2020,26.5
10/04/2020,26.5
09/04/2020,26.5
08/04/2020,25.75
07/04/2020,26.9
06/04/2020,25.5
03/04/2020,24.0
01/04/2020,22.8
31/03/2020,22.5
30/03/2020,23.0
27/03/2020,23.2
26/03/2020,23.2
25/03/2020,22.9
24/03/2020,21.5
23/03/2020,21.5
20/03/2020,23.1
19/03/2020,23.2
18/03/2020,23.2
17/03/2020,23.3
16/03/2020,23.75
13/03/2020,23.8
12/03/2020,25.35
11/03/2020,27.25
10/03/2020,29.3
09/03/2020,28.65
06/03/2020,30.8
05/03/2020,30.9
04/03/2020,31.0
03/03/2020,31.1
02/03/2020,30.4
28/02/2020,30.4
27/02/2020,30.7
26/02/2020,30.0
25/02/2020,30.7
24/02/2020,30.7
21/02/2020,33.0
20/02/2020,33.0
19/02/2020,32.1
18/02/2020,31.7
17/02/2020,31.5
14/02/2020,31.8
13/02/2020,30.0
12/02/2020,30.4
11/02/2020,30.6
10/02/2020,30.7
07/02/2020,31.2
06/02/2020,31.0
05/02/2020,30.05
04/02/2020,30.85
03/02/2020,29.9
31/01/2020,32.0
30/01/2020,33.4
22/01/2020,34.4
21/01/2020,33.6
20/01/2020,34.5
17/01/2020,34.5
16/01/2020,34.6
15/01/2020,34.8
14/01/2020,34.6
13/01/2020,34.85
10/01/2020,35.0
09/01/2020,35.0
08/01/2020,35.8
07/01/2020,36.0
06/01/2020,36.0
03/01/2020,35.8
02/01/2020,35.9
31/12/2019,35.9
30/12/2019,35.2
27/12/2019,35.95
26/12/2019,35.9
25/12/2019,35.95
24/12/2019,35.95
23/12/2019,36.0
20/12/2019,36.4
19/12/2019,36.0
18/12/2019,36.95
17/12/2019,36.8
16/12/2019,36.8
13/12/2019,36.8
12/12/2019,36.8
11/12/2019,37.4
10/12/2019,37.5
09/12/2019,37.5
06/12/2019,37.85
05/12/2019,38.0
04/12/2019,37.45
03/12/2019,37.1
02/12/2019,37.0
29/11/2019,37.8
28/11/2019,37.8
27/11/2019,37.9
26/11/2019,37.9
25/11/2019,37.85
22/11/2019,38.0
21/11/2019,38.2
20/11/2019,38.0
19/11/2019,38.55
18/11/2019,38.55
15/11/2019,38.85
14/11/2019,39.0
13/11/2019,39.25
12/11/2019,39.4
11/11/2019,39.5
08/11/2019,39.2
07/11/2019,39.0
06/11/2019,38.8
05/11/2019,38.7
04/11/2019,38.8
01/11/2019,38.4
31/10/2019,38.25
30/10/2019,38.4
29/10/2019,38.5
28/10/2019,38.5
25/10/2019,38.7
24/10/2019,39.25
23/10/2019,38.9
22/10/2019,38.3
21/10/2019,37.4
18/10/2019,38.25
17/10/2019,38.5
16/10/2019,38.0
15/10/2019,37.85
14/10/2019,38.2
11/10/2019,38.2
10/10/2019,38.2
09/10/2019,37.8
08/10/2019,37.8
07/10/2019,37.4
04/10/2019,38.0
03/10/2019,38.25
02/10/2019,37.2
01/10/2019,37.5
30/09/2019,37.6
27/09/2019,36.35
26/09/2019,36.8
25/09/2019,36.9
24/09/2019,36.55
23/09/2019,37.3
20/09/2019,37.4
19/09/2019,38.3
18/09/2019,38.3
17/09/2019,38.5
16/09/2019,38.9
