Ngay,Symbol,GiaDongCua
29/12/2023,CTR,91.8
28/12/2023,CTR,90.2
27/12/2023,CTR,90.8
26/12/2023,CTR,91.5
25/12/2023,CTR,92.0
22/12/2023,CTR,89.4
21/12/2023,CTR,86.8
20/12/2023,CTR,86.9
19/12/2023,CTR,86.9
18/12/2023,CTR,86.6
15/12/2023,CTR,87.6
14/12/2023,CTR,88.6
13/12/2023,CTR,89.4
12/12/2023,CTR,91.3
11/12/2023,CTR,89.6
08/12/2023,CTR,90.5
07/12/2023,CTR,90.5
06/12/2023,CTR,88.7
05/12/2023,CTR,89.6
04/12/2023,CTR,90.9
01/12/2023,CTR,90.7
30/11/2023,CTR,92.0
29/11/2023,CTR,90.7
28/11/2023,CTR,87.6
27/11/2023,CTR,86.5
24/11/2023,CTR,88.0
23/11/2023,CTR,83.6
22/11/2023,CTR,88.1
21/11/2023,CTR,88.1
20/11/2023,CTR,84.9
17/11/2023,CTR,86.3
16/11/2023,CTR,85.6
15/11/2023,CTR,80.0
14/11/2023,CTR,79.5
13/11/2023,CTR,78.9
10/11/2023,CTR,79.2
09/11/2023,CTR,80.6
08/11/2023,CTR,79.9
07/11/2023,CTR,77.3
06/11/2023,CTR,77.8
03/11/2023,CTR,77.5
02/11/2023,CTR,75.2
01/11/2023,CTR,73.6
31/10/2023,CTR,71.1
30/10/2023,CTR,72.6
27/10/2023,CTR,75.0
26/10/2023,CTR,73.7
25/10/2023,CTR,75.9
24/10/2023,CTR,77.2
23/10/2023,CTR,75.0
20/10/2023,CTR,76.0
19/10/2023,CTR,75.3
18/10/2023,CTR,75.5
17/10/2023,CTR,75.2
16/10/2023,CTR,79.6
13/10/2023,CTR,81.0
12/10/2023,CTR,81.0
11/10/2023,CTR,80.5
10/10/2023,CTR,80.0
09/10/2023,CTR,79.4
06/10/2023,CTR,78.5
05/10/2023,CTR,77.1
04/10/2023,CTR,77.8
03/10/2023,CTR,76.7
02/10/2023,CTR,78.8
29/09/2023,CTR,77.9
28/09/2023,CTR,76.6
27/09/2023,CTR,76.0
26/09/2023,CTR,74.9
25/09/2023,CTR,74.5
22/09/2023,CTR,75.8
21/09/2023,CTR,81.5
20/09/2023,CTR,83.7
19/09/2023,CTR,82.5
18/09/2023,CTR,78.1
15/09/2023,CTR,78.2
14/09/2023,CTR,79.0
13/09/2023,CTR,82.0
12/09/2023,CTR,82.5
11/09/2023,CTR,81.8
08/09/2023,CTR,84.4
07/09/2023,CTR,83.0
06/09/2023,CTR,82.0
05/09/2023,CTR,83.4
31/08/2023,CTR,83.3
30/08/2023,CTR,83.1
29/08/2023,CTR,80.9
28/08/2023,CTR,80.1
25/08/2023,CTR,79.3
24/08/2023,CTR,74.2
23/08/2023,CTR,73.4
22/08/2023,CTR,73.5
21/08/2023,CTR,70.5
18/08/2023,CTR,69.0
17/08/2023,CTR,72.6
16/08/2023,CTR,74.0
15/08/2023,CTR,73.0
14/08/2023,CTR,72.3
11/08/2023,CTR,73.0
10/08/2023,CTR,73.0
09/08/2023,CTR,74.0
08/08/2023,CTR,74.6
07/08/2023,CTR,74.0
04/08/2023,CTR,72.2
03/08/2023,CTR,72.0
02/08/2023,CTR,72.6
01/08/2023,CTR,72.8
31/07/2023,CTR,72.8
28/07/2023,CTR,72.2
27/07/2023,CTR,72.5
26/07/2023,CTR,73.0
25/07/2023,CTR,73.5
24/07/2023,CTR,74.0
21/07/2023,CTR,74.0
20/07/2023,CTR,74.1
19/07/2023,CTR,74.0
18/07/2023,CTR,75.3
17/07/2023,CTR,73.9
14/07/2023,CTR,74.1
13/07/2023,CTR,74.0
12/07/2023,CTR,74.7
11/07/2023,CTR,74.8
10/07/2023,CTR,75.8
07/07/2023,CTR,74.6
06/07/2023,CTR,72.0
05/07/2023,CTR,72.8
04/07/2023,CTR,72.2
03/07/2023,CTR,70.5
30/06/2023,CTR,70.5
29/06/2023,CTR,70.6
28/06/2023,CTR,72.6
27/06/2023,CTR,73.0
26/06/2023,CTR,73.3
23/06/2023,CTR,72.6
22/06/2023,CTR,71.2
21/06/2023,CTR,71.2
20/06/2023,CTR,71.5
19/06/2023,CTR,70.9
16/06/2023,CTR,72.3
15/06/2023,CTR,72.3
14/06/2023,CTR,71.5
13/06/2023,CTR,73.6
12/06/2023,CTR,71.3
09/06/2023,CTR,71.0
08/06/2023,CTR,70.8
07/06/2023,CTR,72.5
06/06/2023,CTR,72.4
05/06/2023,CTR,72.5
02/06/2023,CTR,73.5
01/06/2023,CTR,72.8
31/05/2023,CTR,71.0
30/05/2023,CTR,70.5
29/05/2023,CTR,70.3
26/05/2023,CTR,69.9
25/05/2023,CTR,71.4
24/05/2023,CTR,70.7
23/05/2023,CTR,70.9
22/05/2023,CTR,69.0
19/05/2023,CTR,66.7
18/05/2023,CTR,65.7
17/05/2023,CTR,66.0
16/05/2023,CTR,66.6
15/05/2023,CTR,67.2
12/05/2023,CTR,67.2
11/05/2023,CTR,66.5
10/05/2023,CTR,65.1
09/05/2023,CTR,65.8
08/05/2023,CTR,65.6
05/05/2023,CTR,64.0
04/05/2023,CTR,63.1
28/04/2023,CTR,66.5
27/04/2023,CTR,66.0
26/04/2023,CTR,66.4
25/04/2023,CTR,65.2
24/04/2023,CTR,62.5
21/04/2023,CTR,63.3
20/04/2023,CTR,63.7
19/04/2023,CTR,64.1
18/04/2023,CTR,64.7
17/04/2023,CTR,64.4
14/04/2023,CTR,64.0
13/04/2023,CTR,65.4
12/04/2023,CTR,65.2
11/04/2023,CTR,66.4
10/04/2023,CTR,63.6
07/04/2023,CTR,64.0
06/04/2023,CTR,65.6
05/04/2023,CTR,64.2
04/04/2023,CTR,62.4
03/04/2023,CTR,62.5
31/03/2023,CTR,61.0
30/03/2023,CTR,59.5
29/03/2023,CTR,56.7
28/03/2023,CTR,56.8
27/03/2023,CTR,56.1
24/03/2023,CTR,55.9
23/03/2023,CTR,55.8
22/03/2023,CTR,55.8
21/03/2023,CTR,55.8
20/03/2023,CTR,55.5
17/03/2023,CTR,56.2
16/03/2023,CTR,56.6
15/03/2023,CTR,56.6
14/03/2023,CTR,55.4
13/03/2023,CTR,56.3
10/03/2023,CTR,57.0
09/03/2023,CTR,57.5
08/03/2023,CTR,57.5
07/03/2023,CTR,56.3
06/03/2023,CTR,56.2
03/03/2023,CTR,55.9
02/03/2023,CTR,56.2
01/03/2023,CTR,57.0
28/02/2023,CTR,54.9
27/02/2023,CTR,55.4
24/02/2023,CTR,56.8
23/02/2023,CTR,58.0
22/02/2023,CTR,57.0
21/02/2023,CTR,59.5
20/02/2023,CTR,60.2
17/02/2023,CTR,57.8
16/02/2023,CTR,58.5
15/02/2023,CTR,57.0
14/02/2023,CTR,57.0
13/02/2023,CTR,57.6
10/02/2023,CTR,60.9
09/02/2023,CTR,60.8
08/02/2023,CTR,61.3
07/02/2023,CTR,60.9
06/02/2023,CTR,60.2
03/02/2023,CTR,61.8
02/02/2023,CTR,61.2
01/02/2023,CTR,61.0
31/01/2023,CTR,62.0
30/01/2023,CTR,60.9
27/01/2023,CTR,60.7
19/01/2023,CTR,58.8
18/01/2023,CTR,59.8
17/01/2023,CTR,56.2
16/01/2023,CTR,53.7
13/01/2023,CTR,53.7
12/01/2023,CTR,53.7
11/01/2023,CTR,53.6
10/01/2023,CTR,52.5
09/01/2023,CTR,52.8
06/01/2023,CTR,52.5
05/01/2023,CTR,53.2
04/01/2023,CTR,52.9
03/01/2023,CTR,53.0
30/12/2022,CTR,50.4
29/12/2022,CTR,50.6
28/12/2022,CTR,51.0
27/12/2022,CTR,51.0
26/12/2022,CTR,50.0
23/12/2022,CTR,52.5
22/12/2022,CTR,52.0
21/12/2022,CTR,51.6
20/12/2022,CTR,53.0
19/12/2022,CTR,54.9
16/12/2022,CTR,56.9
15/12/2022,CTR,55.3
14/12/2022,CTR,54.3
13/12/2022,CTR,53.0
12/12/2022,CTR,52.5
09/12/2022,CTR,51.2
08/12/2022,CTR,50.4
07/12/2022,CTR,47.9
06/12/2022,CTR,50.3
05/12/2022,CTR,52.0
02/12/2022,CTR,51.9
01/12/2022,CTR,49.4
30/11/2022,CTR,52.5
29/11/2022,CTR,49.6
28/11/2022,CTR,48.15
25/11/2022,CTR,45.0
24/11/2022,CTR,43.6
23/11/2022,CTR,44.1
22/11/2022,CTR,42.65
21/11/2022,CTR,42.1
18/11/2022,CTR,40.6
17/11/2022,CTR,39.95
16/11/2022,CTR,39.4
15/11/2022,CTR,37.7
14/11/2022,CTR,40.5
11/11/2022,CTR,43.5
10/11/2022,CTR,42.6
09/11/2022,CTR,45.8
08/11/2022,CTR,45.4
07/11/2022,CTR,46.25
04/11/2022,CTR,49.7
03/11/2022,CTR,52.3
02/11/2022,CTR,53.6
01/11/2022,CTR,54.7
31/10/2022,CTR,55.3
28/10/2022,CTR,54.6
27/10/2022,CTR,53.6
26/10/2022,CTR,51.5
25/10/2022,CTR,51.9
24/10/2022,CTR,51.9
21/10/2022,CTR,55.8
20/10/2022,CTR,60.0
19/10/2022,CTR,60.7
18/10/2022,CTR,60.0
17/10/2022,CTR,60.0
14/10/2022,CTR,59.8
13/10/2022,CTR,59.8
12/10/2022,CTR,60.7
11/10/2022,CTR,57.0
10/10/2022,CTR,57.1
07/10/2022,CTR,54.6
06/10/2022,CTR,57.4
05/10/2022,CTR,58.6
04/10/2022,CTR,56.3
03/10/2022,CTR,55.8
30/09/2022,CTR,60.0
29/09/2022,CTR,62.2
28/09/2022,CTR,62.4
27/09/2022,CTR,67.0
26/09/2022,CTR,68.3
23/09/2022,CTR,70.7
22/09/2022,CTR,70.6
21/09/2022,CTR,71.0
20/09/2022,CTR,70.2
19/09/2022,CTR,69.0
16/09/2022,CTR,72.5
15/09/2022,CTR,73.4
14/09/2022,CTR,73.0
13/09/2022,CTR,72.4
12/09/2022,CTR,72.4
09/09/2022,CTR,72.0
08/09/2022,CTR,71.6
07/09/2022,CTR,71.9
06/09/2022,CTR,74.2
05/09/2022,CTR,73.7
31/08/2022,CTR,73.3
30/08/2022,CTR,72.0
29/08/2022,CTR,73.0
26/08/2022,CTR,75.1
25/08/2022,CTR,75.9
24/08/2022,CTR,76.2
23/08/2022,CTR,74.0
22/08/2022,CTR,74.1
19/08/2022,CTR,74.0
18/08/2022,CTR,73.9
17/08/2022,CTR,73.3
16/08/2022,CTR,71.1
15/08/2022,CTR,71.3
12/08/2022,CTR,68.7
11/08/2022,CTR,69.0
10/08/2022,CTR,68.2
09/08/2022,CTR,69.7
08/08/2022,CTR,69.5
05/08/2022,CTR,69.6
04/08/2022,CTR,69.7
03/08/2022,CTR,70.2
02/08/2022,CTR,67.4
01/08/2022,CTR,68.0
29/07/2022,CTR,67.5
28/07/2022,CTR,67.0
27/07/2022,CTR,65.4
26/07/2022,CTR,65.1
25/07/2022,CTR,65.1
22/07/2022,CTR,65.9
21/07/2022,CTR,65.9
20/07/2022,CTR,65.9
19/07/2022,CTR,62.3
18/07/2022,CTR,62.8
15/07/2022,CTR,63.0
14/07/2022,CTR,62.8
13/07/2022,CTR,62.2
12/07/2022,CTR,61.4
11/07/2022,CTR,59.2
08/07/2022,CTR,60.5
07/07/2022,CTR,58.0
06/07/2022,CTR,57.2
05/07/2022,CTR,60.0
04/07/2022,CTR,62.9
01/07/2022,CTR,63.7
30/06/2022,CTR,62.0
29/06/2022,CTR,62.6
28/06/2022,CTR,64.0
27/06/2022,CTR,63.1
24/06/2022,CTR,63.1
23/06/2022,CTR,64.0
22/06/2022,CTR,61.5
21/06/2022,CTR,64.0
20/06/2022,CTR,67.8
17/06/2022,CTR,68.4
16/06/2022,CTR,82.0
15/06/2022,CTR,82.5
14/06/2022,CTR,83.0
13/06/2022,CTR,79.3
10/06/2022,CTR,85.2
09/06/2022,CTR,89.1
08/06/2022,CTR,90.4
07/06/2022,CTR,89.8
06/06/2022,CTR,86.9
03/06/2022,CTR,82.9
02/06/2022,CTR,83.5
01/06/2022,CTR,80.4
31/05/2022,CTR,81.7
30/05/2022,CTR,81.9
27/05/2022,CTR,82.4
26/05/2022,CTR,81.9
25/05/2022,CTR,82.8
24/05/2022,CTR,78.0
23/05/2022,CTR,77.5
20/05/2022,CTR,78.8
19/05/2022,CTR,76.9
18/05/2022,CTR,75.9
17/05/2022,CTR,74.0
16/05/2022,CTR,69.2
13/05/2022,CTR,69.2
12/05/2022,CTR,74.4
11/05/2022,CTR,80.0
10/05/2022,CTR,80.5
09/05/2022,CTR,77.2
06/05/2022,CTR,83.0
05/05/2022,CTR,88.4
04/05/2022,CTR,95.0
29/04/2022,CTR,99.5
28/04/2022,CTR,98.0
27/04/2022,CTR,98.0
26/04/2022,CTR,94.1
25/04/2022,CTR,101.1
22/04/2022,CTR,108.7
21/04/2022,CTR,116.8
20/04/2022,CTR,119.0
19/04/2022,CTR,120.0
18/04/2022,CTR,117.0
15/04/2022,CTR,117.8
14/04/2022,CTR,116.3
13/04/2022,CTR,109.5
12/04/2022,CTR,104.7
08/04/2022,CTR,107.7
07/04/2022,CTR,109.5
06/04/2022,CTR,111.0
05/04/2022,CTR,111.2
04/04/2022,CTR,109.5
01/04/2022,CTR,110.9
31/03/2022,CTR,109.0
30/03/2022,CTR,107.7
29/03/2022,CTR,108.9
28/03/2022,CTR,102.0
25/03/2022,CTR,103.0
24/03/2022,CTR,96.9
23/03/2022,CTR,97.8
22/03/2022,CTR,96.9
21/03/2022,CTR,97.3
18/03/2022,CTR,97.6
17/03/2022,CTR,97.7
16/03/2022,CTR,97.2
15/03/2022,CTR,94.6
14/03/2022,CTR,92.0
11/03/2022,CTR,92.8
10/03/2022,CTR,91.8
09/03/2022,CTR,86.7
08/03/2022,CTR,85.4
07/03/2022,CTR,86.0
04/03/2022,CTR,87.7
03/03/2022,CTR,87.8
02/03/2022,CTR,85.6
01/03/2022,CTR,86.3
28/02/2022,CTR,87.9
25/02/2022,CTR,89.6
24/02/2022,CTR,89.4
14/02/2022,CTR,87.0
11/02/2022,CTR,88.9
10/02/2022,CTR,90.5
09/02/2022,CTR,90.0
08/02/2022,CTR,87.8
07/02/2022,CTR,85.3
28/01/2022,CTR,84.5
27/01/2022,CTR,82.9
26/01/2022,CTR,83.3
25/01/2022,CTR,83.7
24/01/2022,CTR,83.2
21/01/2022,CTR,84.8
20/01/2022,CTR,84.2
19/01/2022,CTR,82.8
18/01/2022,CTR,82.5
17/01/2022,CTR,83.4
14/01/2022,CTR,83.9
13/01/2022,CTR,84.0
12/01/2022,CTR,85.5
11/01/2022,CTR,86.3
10/01/2022,CTR,86.7
07/01/2022,CTR,88.5
06/01/2022,CTR,89.2
05/01/2022,CTR,87.6
04/01/2022,CTR,87.6
31/12/2021,CTR,87.6
30/12/2021,CTR,87.6
29/12/2021,CTR,87.0
28/12/2021,CTR,84.5
27/12/2021,CTR,83.8
24/12/2021,CTR,82.3
23/12/2021,CTR,81.5
21/12/2021,CTR,82.1
20/12/2021,CTR,82.6
17/12/2021,CTR,83.0
16/12/2021,CTR,82.9
15/12/2021,CTR,83.1
14/12/2021,CTR,84.6
13/12/2021,CTR,85.4
10/12/2021,CTR,84.5
09/12/2021,CTR,81.9
08/12/2021,CTR,81.3
07/12/2021,CTR,81.9
06/12/2021,CTR,80.5
03/12/2021,CTR,81.9
02/12/2021,CTR,82.9
01/12/2021,CTR,82.6
30/11/2021,CTR,83.0
29/11/2021,CTR,82.5
26/11/2021,CTR,83.9
25/11/2021,CTR,84.8
24/11/2021,CTR,83.0
23/11/2021,CTR,81.3
22/11/2021,CTR,80.9
19/11/2021,CTR,80.0
18/11/2021,CTR,81.0
17/11/2021,CTR,81.9
16/11/2021,CTR,82.0
15/11/2021,CTR,80.4
12/11/2021,CTR,82.4
11/11/2021,CTR,84.5
10/11/2021,CTR,85.7
09/11/2021,CTR,86.3
08/11/2021,CTR,87.5
05/11/2021,CTR,88.9
04/11/2021,CTR,89.0
03/11/2021,CTR,88.5
