Ngay,GiaDongCua
29/12/2023,20.85
28/12/2023,20.45
27/12/2023,20.55
26/12/2023,20.7
25/12/2023,19.9
22/12/2023,19.7
21/12/2023,19.0
20/12/2023,18.95
19/12/2023,18.75
18/12/2023,18.65
15/12/2023,18.8
14/12/2023,19.15
13/12/2023,18.9
12/12/2023,19.35
11/12/2023,19.35
08/12/2023,19.5
07/12/2023,19.6
06/12/2023,19.55
05/12/2023,25.65
04/12/2023,25.7
01/12/2023,25.75
30/11/2023,26.1
29/11/2023,25.65
28/11/2023,26.05
27/11/2023,26.2
24/11/2023,25.8
23/11/2023,25.4
22/11/2023,27.3
21/11/2023,26.4
20/11/2023,26.35
17/11/2023,25.0
16/11/2023,24.95
15/11/2023,23.35
14/11/2023,23.35
13/11/2023,23.3
10/11/2023,23.7
09/11/2023,24.0
08/11/2023,24.0
07/11/2023,23.4
06/11/2023,23.35
03/11/2023,23.0
02/11/2023,22.5
01/11/2023,21.05
31/10/2023,19.7
30/10/2023,19.7
27/10/2023,21.15
26/10/2023,21.15
25/10/2023,22.7
24/10/2023,22.95
23/10/2023,22.9
20/10/2023,23.5
19/10/2023,23.2
18/10/2023,23.7
17/10/2023,23.85
16/10/2023,25.6
13/10/2023,25.1
12/10/2023,25.2
11/10/2023,24.55
10/10/2023,22.95
09/10/2023,22.75
06/10/2023,22.9
05/10/2023,22.75
04/10/2023,22.8
03/10/2023,22.8
02/10/2023,23.4
29/09/2023,23.25
28/09/2023,23.1
27/09/2023,23.3
26/09/2023,22.35
25/09/2023,22.3
22/09/2023,23.2
21/09/2023,23.85
20/09/2023,24.1
19/09/2023,24.0
18/09/2023,24.0
15/09/2023,24.45
14/09/2023,24.95
13/09/2023,25.15
12/09/2023,24.4
11/09/2023,24.05
08/09/2023,24.05
07/09/2023,23.4
06/09/2023,24.3
05/09/2023,24.9
31/08/2023,25.25
30/08/2023,24.7
29/08/2023,24.1
28/08/2023,24.5
25/08/2023,24.15
24/08/2023,24.9
23/08/2023,24.8
22/08/2023,23.55
21/08/2023,22.05
18/08/2023,21.2
17/08/2023,21.05
16/08/2023,21.05
15/08/2023,20.9
14/08/2023,20.8
11/08/2023,20.55
10/08/2023,20.0
09/08/2023,20.5
08/08/2023,19.6
07/08/2023,18.9
04/08/2023,19.2
03/08/2023,18.0
02/08/2023,17.5
01/08/2023,17.2
31/07/2023,16.55
28/07/2023,15.5
27/07/2023,15.1
26/07/2023,14.95
25/07/2023,15.25
24/07/2023,15.25
21/07/2023,15.3
20/07/2023,14.9
19/07/2023,15.0
18/07/2023,15.2
17/07/2023,15.35
14/07/2023,15.35
13/07/2023,15.1
12/07/2023,14.6
11/07/2023,14.75
10/07/2023,14.25
07/07/2023,13.9
06/07/2023,13.9
05/07/2023,13.8
04/07/2023,13.35
03/07/2023,13.3
30/06/2023,13.45
29/06/2023,13.45
28/06/2023,13.75
27/06/2023,13.7
26/06/2023,13.9
23/06/2023,13.5
22/06/2023,13.4
21/06/2023,13.35
20/06/2023,13.2
19/06/2023,13.2
16/06/2023,13.1
15/06/2023,13.35
14/06/2023,13.35
13/06/2023,13.5
12/06/2023,13.5
09/06/2023,13.1
08/06/2023,13.0
07/06/2023,13.5
06/06/2023,14.0
05/06/2023,14.0
02/06/2023,13.85
01/06/2023,13.8
31/05/2023,13.8
30/05/2023,14.0
29/05/2023,14.15
26/05/2023,14.0
25/05/2023,14.05
24/05/2023,14.15
23/05/2023,14.15
22/05/2023,14.1
19/05/2023,14.2
18/05/2023,14.25
17/05/2023,13.85
16/05/2023,13.45
15/05/2023,13.55
12/05/2023,14.1
11/05/2023,14.25
10/05/2023,14.2
09/05/2023,14.2
08/05/2023,14.2
05/05/2023,14.1
04/05/2023,14.1
28/04/2023,13.2
27/04/2023,13.15
26/04/2023,13.25
25/04/2023,13.0
24/04/2023,13.4
21/04/2023,13.55
20/04/2023,13.45
19/04/2023,13.0
18/04/2023,12.9
17/04/2023,12.6
14/04/2023,13.05
13/04/2023,13.4
12/04/2023,13.65
11/04/2023,13.75
10/04/2023,13.8
07/04/2023,13.75
06/04/2023,13.75
05/04/2023,13.75
04/04/2023,13.85
03/04/2023,13.9
31/03/2023,13.65
30/03/2023,13.35
29/03/2023,12.5
28/03/2023,12.35
27/03/2023,12.6
24/03/2023,12.6
23/03/2023,12.7
22/03/2023,12.7
21/03/2023,12.65
20/03/2023,12.6
17/03/2023,12.7
16/03/2023,12.8
15/03/2023,12.85
14/03/2023,12.15
13/03/2023,12.85
10/03/2023,12.9
09/03/2023,12.8
08/03/2023,12.65
07/03/2023,12.5
06/03/2023,12.3
03/03/2023,12.3
02/03/2023,12.4
01/03/2023,12.8
28/02/2023,12.3
27/02/2023,11.7
24/02/2023,11.8
23/02/2023,12.25
22/02/2023,12.4
21/02/2023,12.9
20/02/2023,13.1
17/02/2023,12.6
16/02/2023,12.1
15/02/2023,11.95
14/02/2023,11.75
13/02/2023,11.8
10/02/2023,12.25
09/02/2023,12.3
08/02/2023,12.3
07/02/2023,12.25
06/02/2023,12.5
03/02/2023,12.4
02/02/2023,12.4
01/02/2023,12.65
31/01/2023,12.8
30/01/2023,12.25
27/01/2023,11.7
19/01/2023,11.9
18/01/2023,11.3
17/01/2023,10.6
16/01/2023,10.1
13/01/2023,10.3
12/01/2023,10.6
11/01/2023,10.5
10/01/2023,10.5
09/01/2023,10.3
06/01/2023,10.8
05/01/2023,10.8
04/01/2023,10.15
03/01/2023,10.25
30/12/2022,9.7
29/12/2022,10.05
28/12/2022,9.95
27/12/2022,9.3
26/12/2022,9.0
23/12/2022,9.51
22/12/2022,9.16
21/12/2022,8.57
20/12/2022,8.61
19/12/2022,9.25
16/12/2022,9.3
15/12/2022,9.48
14/12/2022,9.61
13/12/2022,9.6
12/12/2022,9.65
09/12/2022,9.63
08/12/2022,9.5
07/12/2022,9.26
06/12/2022,9.49
05/12/2022,10.2
02/12/2022,10.45
01/12/2022,9.96
30/11/2022,9.51
29/11/2022,9.32
28/11/2022,8.77
25/11/2022,8.2
24/11/2022,7.9
23/11/2022,7.78
22/11/2022,8.0
21/11/2022,7.75
18/11/2022,7.25
17/11/2022,6.8
16/11/2022,6.36
15/11/2022,5.95
14/11/2022,6.31
11/11/2022,6.78
10/11/2022,7.28
09/11/2022,7.82
08/11/2022,7.83
07/11/2022,7.99
04/11/2022,8.31
03/11/2022,8.53
02/11/2022,8.07
01/11/2022,8.12
31/10/2022,8.0
28/10/2022,8.3
27/10/2022,8.34
26/10/2022,8.11
25/10/2022,8.15
24/10/2022,8.7
21/10/2022,9.35
20/10/2022,10.05
19/10/2022,10.4
18/10/2022,10.4
17/10/2022,10.4
14/10/2022,10.65
13/10/2022,10.45
12/10/2022,10.35
11/10/2022,10.35
10/10/2022,11.05
07/10/2022,10.9
06/10/2022,11.7
05/10/2022,11.4
04/10/2022,10.7
03/10/2022,11.2
30/09/2022,11.7
29/09/2022,11.6
28/09/2022,11.8
27/09/2022,12.1
26/09/2022,11.95
23/09/2022,12.5
22/09/2022,12.35
21/09/2022,12.15
20/09/2022,12.15
19/09/2022,12.0
16/09/2022,12.8
15/09/2022,13.0
14/09/2022,12.95
13/09/2022,15.0
12/09/2022,15.5
09/09/2022,16.4
08/09/2022,16.45
07/09/2022,16.5
06/09/2022,15.65
05/09/2022,15.6
31/08/2022,15.8
30/08/2022,15.4
29/08/2022,15.35
26/08/2022,16.25
25/08/2022,16.6
24/08/2022,16.55
23/08/2022,16.4
22/08/2022,16.6
19/08/2022,17.1
18/08/2022,17.35
17/08/2022,17.45
16/08/2022,17.3
15/08/2022,17.55
12/08/2022,17.45
11/08/2022,17.45
10/08/2022,18.0
09/08/2022,18.2
08/08/2022,17.2
