Ngay,Symbol,GiaDongCua
29/12/2023,FIT,4.49
28/12/2023,FIT,4.48
27/12/2023,FIT,4.51
26/12/2023,FIT,4.52
25/12/2023,FIT,4.53
22/12/2023,FIT,4.44
21/12/2023,FIT,4.46
20/12/2023,FIT,4.51
19/12/2023,FIT,4.5
18/12/2023,FIT,4.49
15/12/2023,FIT,4.43
14/12/2023,FIT,4.48
13/12/2023,FIT,4.52
12/12/2023,FIT,4.61
11/12/2023,FIT,4.56
08/12/2023,FIT,4.65
07/12/2023,FIT,4.7
06/12/2023,FIT,4.59
05/12/2023,FIT,4.47
04/12/2023,FIT,4.49
01/12/2023,FIT,4.35
30/11/2023,FIT,4.33
29/11/2023,FIT,4.32
28/11/2023,FIT,4.27
27/11/2023,FIT,4.25
24/11/2023,FIT,4.4
23/11/2023,FIT,4.5
22/11/2023,FIT,4.57
21/11/2023,FIT,4.6
20/11/2023,FIT,4.46
17/11/2023,FIT,4.54
16/11/2023,FIT,4.4
15/11/2023,FIT,4.42
14/11/2023,FIT,4.45
13/11/2023,FIT,4.48
10/11/2023,FIT,4.36
09/11/2023,FIT,4.42
08/11/2023,FIT,4.25
07/11/2023,FIT,4.07
06/11/2023,FIT,4.1
03/11/2023,FIT,4.1
02/11/2023,FIT,4.22
01/11/2023,FIT,3.96
31/10/2023,FIT,3.86
30/10/2023,FIT,4.14
27/10/2023,FIT,4.45
26/10/2023,FIT,4.39
25/10/2023,FIT,4.72
24/10/2023,FIT,4.65
23/10/2023,FIT,4.64
20/10/2023,FIT,4.69
19/10/2023,FIT,4.56
18/10/2023,FIT,4.57
17/10/2023,FIT,4.9
16/10/2023,FIT,4.96
13/10/2023,FIT,4.98
12/10/2023,FIT,5.02
11/10/2023,FIT,5.02
10/10/2023,FIT,5.0
09/10/2023,FIT,4.96
06/10/2023,FIT,4.93
05/10/2023,FIT,4.86
04/10/2023,FIT,4.9
03/10/2023,FIT,4.8
02/10/2023,FIT,5.14
29/09/2023,FIT,5.1
28/09/2023,FIT,5.06
27/09/2023,FIT,5.1
26/09/2023,FIT,5.09
25/09/2023,FIT,5.35
22/09/2023,FIT,5.75
21/09/2023,FIT,5.85
20/09/2023,FIT,5.8
19/09/2023,FIT,5.6
18/09/2023,FIT,5.72
15/09/2023,FIT,5.82
14/09/2023,FIT,5.8
13/09/2023,FIT,6.04
12/09/2023,FIT,6.1
11/09/2023,FIT,6.02
08/09/2023,FIT,6.09
07/09/2023,FIT,6.09
06/09/2023,FIT,6.16
05/09/2023,FIT,6.05
31/08/2023,FIT,5.85
30/08/2023,FIT,5.83
29/08/2023,FIT,5.74
28/08/2023,FIT,5.75
25/08/2023,FIT,5.7
24/08/2023,FIT,5.78
23/08/2023,FIT,5.75
22/08/2023,FIT,5.71
21/08/2023,FIT,5.56
18/08/2023,FIT,5.96
17/08/2023,FIT,6.4
16/08/2023,FIT,6.63
15/08/2023,FIT,6.72
14/08/2023,FIT,6.63
11/08/2023,FIT,6.56
10/08/2023,FIT,6.6
09/08/2023,FIT,6.83
08/08/2023,FIT,6.56
07/08/2023,FIT,6.56
04/08/2023,FIT,6.45
03/08/2023,FIT,6.26
02/08/2023,FIT,6.38
01/08/2023,FIT,6.35
31/07/2023,FIT,6.7
28/07/2023,FIT,6.48
27/07/2023,FIT,6.35
26/07/2023,FIT,6.41
25/07/2023,FIT,6.29
24/07/2023,FIT,6.44
21/07/2023,FIT,6.06
20/07/2023,FIT,6.02
19/07/2023,FIT,5.92
18/07/2023,FIT,6.07
17/07/2023,FIT,6.18
14/07/2023,FIT,6.02
13/07/2023,FIT,5.88
12/07/2023,FIT,5.83
11/07/2023,FIT,5.89
10/07/2023,FIT,5.8
07/07/2023,FIT,5.7
06/07/2023,FIT,5.58
05/07/2023,FIT,5.76
04/07/2023,FIT,5.78
03/07/2023,FIT,5.57
30/06/2023,FIT,5.52
29/06/2023,FIT,5.75
28/06/2023,FIT,5.9
27/06/2023,FIT,6.03
26/06/2023,FIT,6.03
23/06/2023,FIT,6.25
22/06/2023,FIT,6.22
21/06/2023,FIT,6.14
20/06/2023,FIT,6.15
19/06/2023,FIT,5.9
16/06/2023,FIT,6.0
15/06/2023,FIT,6.2
14/06/2023,FIT,6.66
13/06/2023,FIT,6.69
12/06/2023,FIT,6.26
09/06/2023,FIT,6.23
08/06/2023,FIT,6.1
07/06/2023,FIT,6.38
06/06/2023,FIT,6.28
05/06/2023,FIT,6.2
02/06/2023,FIT,6.33
01/06/2023,FIT,6.42
31/05/2023,FIT,6.36
30/05/2023,FIT,6.43
29/05/2023,FIT,6.35
26/05/2023,FIT,5.94
25/05/2023,FIT,5.56
24/05/2023,FIT,5.69
23/05/2023,FIT,5.8
22/05/2023,FIT,5.82
19/05/2023,FIT,5.55
18/05/2023,FIT,5.75
17/05/2023,FIT,6.0
16/05/2023,FIT,6.0
15/05/2023,FIT,6.18
12/05/2023,FIT,6.0
11/05/2023,FIT,5.7
10/05/2023,FIT,5.7
09/05/2023,FIT,5.33
08/05/2023,FIT,4.99
05/05/2023,FIT,4.67
04/05/2023,FIT,4.67
28/04/2023,FIT,4.37
27/04/2023,FIT,4.09
26/04/2023,FIT,4.1
25/04/2023,FIT,4.05
24/04/2023,FIT,4.15
21/04/2023,FIT,4.11
20/04/2023,FIT,4.09
19/04/2023,FIT,4.08
18/04/2023,FIT,4.1
17/04/2023,FIT,4.08
14/04/2023,FIT,4.05
13/04/2023,FIT,4.12
12/04/2023,FIT,4.15
11/04/2023,FIT,4.2
10/04/2023,FIT,4.14
07/04/2023,FIT,4.26
06/04/2023,FIT,4.32
05/04/2023,FIT,4.29
04/04/2023,FIT,4.19
03/04/2023,FIT,4.1
31/03/2023,FIT,3.99
30/03/2023,FIT,3.99
29/03/2023,FIT,4.05
28/03/2023,FIT,4.05
27/03/2023,FIT,4.06
24/03/2023,FIT,4.0
23/03/2023,FIT,3.95
22/03/2023,FIT,3.94
21/03/2023,FIT,3.94
20/03/2023,FIT,3.9
17/03/2023,FIT,4.02
16/03/2023,FIT,4.0
15/03/2023,FIT,4.1
14/03/2023,FIT,3.93
13/03/2023,FIT,4.06
10/03/2023,FIT,4.14
09/03/2023,FIT,4.16
08/03/2023,FIT,4.08
07/03/2023,FIT,4.06
06/03/2023,FIT,4.06
03/03/2023,FIT,4.03
02/03/2023,FIT,4.1
01/03/2023,FIT,4.15
28/02/2023,FIT,4.08
27/02/2023,FIT,4.03
24/02/2023,FIT,4.13
23/02/2023,FIT,4.2
22/02/2023,FIT,4.2
21/02/2023,FIT,4.4
20/02/2023,FIT,4.44
17/02/2023,FIT,4.15
16/02/2023,FIT,4.15
15/02/2023,FIT,4.09
14/02/2023,FIT,4.04
13/02/2023,FIT,4.03
10/02/2023,FIT,4.33
09/02/2023,FIT,4.65
08/02/2023,FIT,4.35
07/02/2023,FIT,4.07
06/02/2023,FIT,4.0
03/02/2023,FIT,4.04
02/02/2023,FIT,4.1
01/02/2023,FIT,4.12
31/01/2023,FIT,4.25
30/01/2023,FIT,4.24
27/01/2023,FIT,4.2
19/01/2023,FIT,4.1
18/01/2023,FIT,4.0
17/01/2023,FIT,3.86
16/01/2023,FIT,3.78
13/01/2023,FIT,3.8
12/01/2023,FIT,3.8
11/01/2023,FIT,3.8
10/01/2023,FIT,3.76
09/01/2023,FIT,3.76
06/01/2023,FIT,3.8
05/01/2023,FIT,3.86
04/01/2023,FIT,3.8
03/01/2023,FIT,3.78
30/12/2022,FIT,3.55
29/12/2022,FIT,3.63
28/12/2022,FIT,3.68
27/12/2022,FIT,3.59
26/12/2022,FIT,3.47
23/12/2022,FIT,3.73
22/12/2022,FIT,3.78
21/12/2022,FIT,3.7
20/12/2022,FIT,3.82
19/12/2022,FIT,4.1
16/12/2022,FIT,4.2
15/12/2022,FIT,4.24
14/12/2022,FIT,4.26
13/12/2022,FIT,4.18
12/12/2022,FIT,4.18
09/12/2022,FIT,4.2
08/12/2022,FIT,4.29
07/12/2022,FIT,4.19
06/12/2022,FIT,4.5
05/12/2022,FIT,4.5
02/12/2022,FIT,4.5
01/12/2022,FIT,4.31
30/11/2022,FIT,4.08
29/11/2022,FIT,4.06
28/11/2022,FIT,3.93
25/11/2022,FIT,3.68
24/11/2022,FIT,3.45
23/11/2022,FIT,3.49
22/11/2022,FIT,3.71
21/11/2022,FIT,3.63
18/11/2022,FIT,3.4
17/11/2022,FIT,3.25
16/11/2022,FIT,3.11
15/11/2022,FIT,3.04
14/11/2022,FIT,3.26
11/11/2022,FIT,3.5
10/11/2022,FIT,3.54
09/11/2022,FIT,3.8
08/11/2022,FIT,3.72
07/11/2022,FIT,3.72
04/11/2022,FIT,3.99
03/11/2022,FIT,4.06
02/11/2022,FIT,4.06
01/11/2022,FIT,4.06
31/10/2022,FIT,4.09
28/10/2022,FIT,4.2
27/10/2022,FIT,4.2
26/10/2022,FIT,4.14
25/10/2022,FIT,4.14
24/10/2022,FIT,4.16
21/10/2022,FIT,4.47
20/10/2022,FIT,4.8
19/10/2022,FIT,4.83
18/10/2022,FIT,4.83
17/10/2022,FIT,4.79
14/10/2022,FIT,4.95
13/10/2022,FIT,4.89
12/10/2022,FIT,4.85
11/10/2022,FIT,4.56
10/10/2022,FIT,4.9
07/10/2022,FIT,4.85
06/10/2022,FIT,5.2
05/10/2022,FIT,5.47
04/10/2022,FIT,5.19
03/10/2022,FIT,5.25
30/09/2022,FIT,5.64
29/09/2022,FIT,5.7
28/09/2022,FIT,5.83
27/09/2022,FIT,5.88
26/09/2022,FIT,5.92
23/09/2022,FIT,6.25
22/09/2022,FIT,6.23
21/09/2022,FIT,6.2
20/09/2022,FIT,6.2
19/09/2022,FIT,6.17
16/09/2022,FIT,6.46
15/09/2022,FIT,6.4
14/09/2022,FIT,6.45
13/09/2022,FIT,6.59
12/09/2022,FIT,6.57
09/09/2022,FIT,6.55
08/09/2022,FIT,6.54
07/09/2022,FIT,6.6
06/09/2022,FIT,6.99
05/09/2022,FIT,6.99
31/08/2022,FIT,6.99
30/08/2022,FIT,6.97
29/08/2022,FIT,6.98
26/08/2022,FIT,7.2
25/08/2022,FIT,7.4
24/08/2022,FIT,7.49
23/08/2022,FIT,7.09
22/08/2022,FIT,7.02
19/08/2022,FIT,7.12
18/08/2022,FIT,7.27
17/08/2022,FIT,7.29
16/08/2022,FIT,7.42
15/08/2022,FIT,7.41
12/08/2022,FIT,7.45
11/08/2022,FIT,7.45
10/08/2022,FIT,7.59
09/08/2022,FIT,7.66
08/08/2022,FIT,7.4
05/08/2022,FIT,7.26
04/08/2022,FIT,7.29
03/08/2022,FIT,7.39
02/08/2022,FIT,7.4
01/08/2022,FIT,7.07
29/07/2022,FIT,6.99
28/07/2022,FIT,6.94
27/07/2022,FIT,6.74
26/07/2022,FIT,6.8
25/07/2022,FIT,6.86
22/07/2022,FIT,7.0
21/07/2022,FIT,7.12
20/07/2022,FIT,7.2
19/07/2022,FIT,7.05
18/07/2022,FIT,7.08
15/07/2022,FIT,6.98
14/07/2022,FIT,7.0
13/07/2022,FIT,7.04
12/07/2022,FIT,7.19
11/07/2022,FIT,6.72
08/07/2022,FIT,6.39
07/07/2022,FIT,6.23
06/07/2022,FIT,6.23
05/07/2022,FIT,6.44
04/07/2022,FIT,6.52
01/07/2022,FIT,6.4
30/06/2022,FIT,6.4
29/06/2022,FIT,6.88
28/06/2022,FIT,6.74
27/06/2022,FIT,6.3
24/06/2022,FIT,6.2
23/06/2022,FIT,6.12
22/06/2022,FIT,6.03
21/06/2022,FIT,5.64
20/06/2022,FIT,5.64
17/06/2022,FIT,6.06
16/06/2022,FIT,6.5
15/06/2022,FIT,6.92
14/06/2022,FIT,7.44
13/06/2022,FIT,8.0
10/06/2022,FIT,8.6
09/06/2022,FIT,8.98
08/06/2022,FIT,8.87
07/06/2022,FIT,8.5
06/06/2022,FIT,8.77
03/06/2022,FIT,8.9
02/06/2022,FIT,9.0
01/06/2022,FIT,9.2
31/05/2022,FIT,9.6
30/05/2022,FIT,9.85
27/05/2022,FIT,9.82
26/05/2022,FIT,9.82
25/05/2022,FIT,9.42
24/05/2022,FIT,8.81
23/05/2022,FIT,8.89
20/05/2022,FIT,8.87
19/05/2022,FIT,8.82
18/05/2022,FIT,9.01
17/05/2022,FIT,9.0
16/05/2022,FIT,8.42
13/05/2022,FIT,8.21
12/05/2022,FIT,8.82
11/05/2022,FIT,9.48
10/05/2022,FIT,9.3
09/05/2022,FIT,8.84
06/05/2022,FIT,9.5
05/05/2022,FIT,9.9
04/05/2022,FIT,10.5
29/04/2022,FIT,10.6
28/04/2022,FIT,9.93
27/04/2022,FIT,9.6
26/04/2022,FIT,9.0
25/04/2022,FIT,8.5
22/04/2022,FIT,9.9
21/04/2022,FIT,9.58
20/04/2022,FIT,10.3
19/04/2022,FIT,11.05
18/04/2022,FIT,11.85
15/04/2022,FIT,12.7
14/04/2022,FIT,13.0
13/04/2022,FIT,13.25
12/04/2022,FIT,13.1
08/04/2022,FIT,13.45
07/04/2022,FIT,13.45
06/04/2022,FIT,13.4
05/04/2022,FIT,13.7
04/04/2022,FIT,13.5
01/04/2022,FIT,13.4
31/03/2022,FIT,13.1
30/03/2022,FIT,13.25
29/03/2022,FIT,13.85
28/03/2022,FIT,13.65
25/03/2022,FIT,14.0
24/03/2022,FIT,13.7
23/03/2022,FIT,13.7
22/03/2022,FIT,13.85
21/03/2022,FIT,13.8
18/03/2022,FIT,13.6
17/03/2022,FIT,13.6
16/03/2022,FIT,13.5
15/03/2022,FIT,13.45
14/03/2022,FIT,13.1
11/03/2022,FIT,13.6
10/03/2022,FIT,13.9
09/03/2022,FIT,13.6
08/03/2022,FIT,14.0
07/03/2022,FIT,14.5
04/03/2022,FIT,14.35
03/03/2022,FIT,14.4
02/03/2022,FIT,14.15
01/03/2022,FIT,14.3
