Ngay,GiaDongCua
29/12/2023,96.1
28/12/2023,96.6
27/12/2023,96.9
26/12/2023,97.2
25/12/2023,96.0
22/12/2023,94.6
21/12/2023,95.1
20/12/2023,94.7
19/12/2023,94.6
18/12/2023,94.0
15/12/2023,96.2
14/12/2023,96.2
13/12/2023,95.2
12/12/2023,96.8
11/12/2023,95.0
08/12/2023,94.2
07/12/2023,94.3
06/12/2023,95.0
05/12/2023,94.8
04/12/2023,93.6
01/12/2023,92.4
30/11/2023,91.9
29/11/2023,91.7
28/11/2023,91.1
27/11/2023,90.7
24/11/2023,91.2
23/11/2023,90.8
22/11/2023,93.0
21/11/2023,91.9
20/11/2023,90.7
17/11/2023,91.0
16/11/2023,93.0
15/11/2023,92.4
14/11/2023,92.6
13/11/2023,91.4
10/11/2023,91.5
09/11/2023,92.5
08/11/2023,92.6
07/11/2023,88.3
06/11/2023,88.5
03/11/2023,87.0
02/11/2023,89.0
01/11/2023,85.4
31/10/2023,83.0
30/10/2023,85.0
27/10/2023,87.0
26/10/2023,86.8
25/10/2023,90.9
24/10/2023,92.0
23/10/2023,91.0
20/10/2023,92.9
19/10/2023,92.0
18/10/2023,93.0
17/10/2023,93.1
16/10/2023,96.8
13/10/2023,96.1
12/10/2023,96.4
11/10/2023,97.0
10/10/2023,96.3
09/10/2023,95.6
06/10/2023,92.7
05/10/2023,91.6
04/10/2023,92.5
03/10/2023,92.2
02/10/2023,93.2
29/09/2023,92.8
28/09/2023,94.0
27/09/2023,94.3
26/09/2023,93.5
25/09/2023,94.3
22/09/2023,96.7
21/09/2023,96.8
20/09/2023,98.5
19/09/2023,98.4
18/09/2023,96.9
15/09/2023,97.5
14/09/2023,95.9
13/09/2023,98.0
12/09/2023,98.9
11/09/2023,97.4
08/09/2023,97.6
07/09/2023,97.9
06/09/2023,99.0
05/09/2023,96.8
31/08/2023,96.7
30/08/2023,96.6
29/08/2023,93.6
28/08/2023,94.0
25/08/2023,90.6
24/08/2023,90.0
23/08/2023,86.5
22/08/2023,86.5
21/08/2023,85.9
18/08/2023,85.5
17/08/2023,86.0
16/08/2023,85.1
15/08/2023,84.0
14/08/2023,82.6
11/08/2023,82.0
10/08/2023,82.2
09/08/2023,83.1
08/08/2023,84.2
07/08/2023,84.5
04/08/2023,83.3
03/08/2023,83.7
02/08/2023,83.5
01/08/2023,84.5
31/07/2023,85.6
28/07/2023,84.4
27/07/2023,83.7
26/07/2023,82.7
25/07/2023,81.3
24/07/2023,81.0
21/07/2023,81.0
20/07/2023,80.3
19/07/2023,78.5
18/07/2023,78.7
17/07/2023,79.0
14/07/2023,78.3
13/07/2023,75.8
12/07/2023,75.3
11/07/2023,75.0
10/07/2023,75.3
07/07/2023,75.3
06/07/2023,74.6
05/07/2023,74.8
04/07/2023,87.0
03/07/2023,86.4
30/06/2023,86.0
29/06/2023,86.5
28/06/2023,87.0
27/06/2023,87.3
26/06/2023,85.8
23/06/2023,85.1
22/06/2023,85.5
21/06/2023,85.8
20/06/2023,85.5
19/06/2023,84.7
16/06/2023,84.5
15/06/2023,84.1
14/06/2023,84.2
13/06/2023,84.4
12/06/2023,84.9
