Ngay,GiaDongCua
29/12/2023,23.6
28/12/2023,23.4
27/12/2023,23.35
26/12/2023,23.45
25/12/2023,23.2
22/12/2023,22.7
21/12/2023,22.6
20/12/2023,22.6
19/12/2023,22.4
18/12/2023,21.95
15/12/2023,22.25
14/12/2023,22.35
13/12/2023,22.7
12/12/2023,23.15
11/12/2023,23.05
08/12/2023,23.35
07/12/2023,23.4
06/12/2023,23.95
05/12/2023,23.55
04/12/2023,23.3
01/12/2023,21.8
30/11/2023,21.5
29/11/2023,21.9
28/11/2023,21.5
27/11/2023,21.2
24/11/2023,21.8
23/11/2023,21.55
22/11/2023,23.15
21/11/2023,22.3
20/11/2023,21.9
17/11/2023,21.6
16/11/2023,22.4
15/11/2023,22.2
14/11/2023,22.15
13/11/2023,22.0
10/11/2023,21.85
09/11/2023,21.4
08/11/2023,20.9
07/11/2023,19.55
06/11/2023,19.85
03/11/2023,19.0
02/11/2023,19.3
01/11/2023,18.05
31/10/2023,17.3
30/10/2023,18.55
27/10/2023,19.9
26/10/2023,19.4
25/10/2023,20.85
24/10/2023,21.45
23/10/2023,20.65
20/10/2023,20.95
19/10/2023,19.9
18/10/2023,20.5
17/10/2023,20.2
16/10/2023,21.7
13/10/2023,21.5
12/10/2023,21.4
11/10/2023,21.55
10/10/2023,20.7
09/10/2023,20.45
06/10/2023,20.35
05/10/2023,19.8
04/10/2023,19.7
03/10/2023,19.2
02/10/2023,20.6
29/09/2023,20.8
28/09/2023,20.95
27/09/2023,20.5
26/09/2023,19.2
25/09/2023,20.6
22/09/2023,22.1
21/09/2023,23.75
20/09/2023,24.5
19/09/2023,24.2
18/09/2023,23.55
15/09/2023,24.55
14/09/2023,24.65
13/09/2023,25.9
12/09/2023,25.25
11/09/2023,24.3
08/09/2023,25.7
07/09/2023,24.6
06/09/2023,25.0
05/09/2023,24.75
31/08/2023,24.7
30/08/2023,23.4
29/08/2023,23.0
28/08/2023,22.95
25/08/2023,21.9
24/08/2023,21.95
23/08/2023,21.45
22/08/2023,21.4
21/08/2023,21.0
18/08/2023,22.0
17/08/2023,23.65
16/08/2023,22.9
15/08/2023,23.0
14/08/2023,22.6
11/08/2023,22.4
10/08/2023,22.05
09/08/2023,22.75
08/08/2023,23.0
07/08/2023,23.4
04/08/2023,23.6
03/08/2023,23.5
02/08/2023,22.95
01/08/2023,22.6
31/07/2023,22.55
28/07/2023,22.55
27/07/2023,22.85
26/07/2023,22.7
25/07/2023,22.0
24/07/2023,22.0
21/07/2023,21.35
20/07/2023,20.75
19/07/2023,20.4
18/07/2023,20.55
17/07/2023,20.5
14/07/2023,20.4
13/07/2023,20.2
12/07/2023,19.3
11/07/2023,19.15
10/07/2023,19.4
07/07/2023,18.45
06/07/2023,18.9
05/07/2023,19.1
04/07/2023,19.7
03/07/2023,19.35
30/06/2023,19.35
29/06/2023,18.6
28/06/2023,19.5
27/06/2023,19.9
26/06/2023,20.45
23/06/2023,20.6
22/06/2023,20.6
21/06/2023,20.3
20/06/2023,19.2
19/06/2023,18.55
16/06/2023,19.1
15/06/2023,19.0
14/06/2023,18.7
13/06/2023,18.95
12/06/2023,19.5
09/06/2023,19.1
08/06/2023,17.9
07/06/2023,19.0
06/06/2023,18.0
05/06/2023,17.4
02/06/2023,17.1
01/06/2023,16.5
31/05/2023,15.45
30/05/2023,15.6
29/05/2023,15.45
26/05/2023,15.0
25/05/2023,14.35
24/05/2023,14.15
23/05/2023,14.3
22/05/2023,14.5
19/05/2023,14.15
18/05/2023,13.95
17/05/2023,13.9
16/05/2023,14.15
15/05/2023,14.0
12/05/2023,14.6
11/05/2023,14.45
10/05/2023,14.0
09/05/2023,13.9
08/05/2023,13.9
05/05/2023,13.8
04/05/2023,13.4
28/04/2023,13.15
27/04/2023,13.15
26/04/2023,12.8
25/04/2023,12.6
24/04/2023,12.6
21/04/2023,12.7
20/04/2023,12.85
19/04/2023,12.8
18/04/2023,13.05
17/04/2023,12.8
14/04/2023,12.65
13/04/2023,13.25
12/04/2023,13.45
11/04/2023,13.3
10/04/2023,13.1
07/04/2023,13.1
06/04/2023,13.0
05/04/2023,13.4
04/04/2023,13.15
03/04/2023,13.15
31/03/2023,12.4
30/03/2023,12.35
29/03/2023,12.5
28/03/2023,12.5
27/03/2023,12.55
24/03/2023,12.3
23/03/2023,12.15
22/03/2023,12.0
21/03/2023,12.15
20/03/2023,11.85
17/03/2023,12.35
16/03/2023,12.1
15/03/2023,12.45
14/03/2023,11.9
13/03/2023,12.3
10/03/2023,12.4
09/03/2023,12.5
08/03/2023,11.9
07/03/2023,11.7
06/03/2023,11.6
03/03/2023,11.5
02/03/2023,11.75
01/03/2023,11.75
28/02/2023,11.5
27/02/2023,11.5
24/02/2023,12.0
23/02/2023,12.5
22/02/2023,12.5
21/02/2023,13.25
20/02/2023,13.55
17/02/2023,12.9
16/02/2023,13.05
15/02/2023,12.8
14/02/2023,12.5
13/02/2023,12.8
10/02/2023,13.65
09/02/2023,13.65
08/02/2023,13.65
07/02/2023,13.6
06/02/2023,13.8
03/02/2023,13.6
02/02/2023,13.55
01/02/2023,13.75
31/01/2023,14.65
30/01/2023,14.25
27/01/2023,14.7
19/01/2023,14.4
18/01/2023,14.35
17/01/2023,14.0
16/01/2023,13.6
13/01/2023,13.7
12/01/2023,13.3
11/01/2023,13.15
10/01/2023,13.15
09/01/2023,12.9
06/01/2023,13.1
05/01/2023,13.55
04/01/2023,13.15
03/01/2023,13.25
30/12/2022,12.4
29/12/2022,12.7
28/12/2022,13.15
27/12/2022,13.1
26/12/2022,12.9
23/12/2022,13.85
22/12/2022,13.55
21/12/2022,13.35
20/12/2022,14.35
19/12/2022,15.4
16/12/2022,16.35
15/12/2022,15.8
14/12/2022,15.65
13/12/2022,15.9
12/12/2022,15.6
09/12/2022,16.0
08/12/2022,16.0
07/12/2022,15.35
06/12/2022,15.5
05/12/2022,16.2
02/12/2022,15.15
01/12/2022,14.2
30/11/2022,14.95
29/11/2022,14.7
28/11/2022,14.25
25/11/2022,13.35
24/11/2022,12.55
23/11/2022,12.3
22/11/2022,12.65
21/11/2022,13.3
18/11/2022,13.15
17/11/2022,12.7
16/11/2022,12.35
15/11/2022,11.55
14/11/2022,11.6
11/11/2022,11.5
10/11/2022,11.0
09/11/2022,11.8
08/11/2022,11.7
07/11/2022,11.3
04/11/2022,12.1
03/11/2022,13.0
02/11/2022,13.0
01/11/2022,13.4
31/10/2022,13.4
28/10/2022,12.8
27/10/2022,12.55
26/10/2022,11.75
25/10/2022,11.75
24/10/2022,12.3
21/10/2022,13.2
20/10/2022,14.15
19/10/2022,14.6
18/10/2022,15.0
17/10/2022,15.15
14/10/2022,15.0
13/10/2022,14.05
12/10/2022,14.0
11/10/2022,13.8
10/10/2022,14.8
07/10/2022,15.3
06/10/2022,16.4
05/10/2022,17.6
04/10/2022,16.8
03/10/2022,17.7
30/09/2022,19.0
29/09/2022,18.2
28/09/2022,18.8
27/09/2022,19.5
26/09/2022,19.55
23/09/2022,21.0
22/09/2022,21.2
21/09/2022,20.75
20/09/2022,21.0
19/09/2022,20.6
16/09/2022,22.1
15/09/2022,23.0
14/09/2022,22.95
13/09/2022,23.1
12/09/2022,22.95
09/09/2022,23.45
08/09/2022,22.6
07/09/2022,23.8
06/09/2022,25.0
05/09/2022,24.35
31/08/2022,24.25
30/08/2022,24.3
29/08/2022,24.5
26/08/2022,25.0
25/08/2022,25.5
24/08/2022,25.55
23/08/2022,24.55
22/08/2022,23.75
19/08/2022,23.9
18/08/2022,24.0
17/08/2022,24.4
16/08/2022,24.4
15/08/2022,24.65
12/08/2022,24.5
11/08/2022,23.6
10/08/2022,24.3
09/08/2022,24.2
08/08/2022,24.5
05/08/2022,23.55
04/08/2022,23.2
03/08/2022,23.85
02/08/2022,23.7
01/08/2022,23.8
29/07/2022,23.0
28/07/2022,22.35
27/07/2022,22.0
26/07/2022,21.5
25/07/2022,22.4
22/07/2022,22.7
21/07/2022,22.25
20/07/2022,22.25
19/07/2022,21.4
18/07/2022,21.05
15/07/2022,21.1
14/07/2022,21.5
13/07/2022,20.85
12/07/2022,21.7
11/07/2022,20.5
08/07/2022,19.7
07/07/2022,19.05
06/07/2022,18.9
05/07/2022,19.9
04/07/2022,20.5
01/07/2022,19.85
30/06/2022,19.55
29/06/2022,20.45
28/06/2022,20.9
27/06/2022,20.3
24/06/2022,19.0
23/06/2022,19.2
22/06/2022,18.4
21/06/2022,17.2
20/06/2022,18.2
17/06/2022,19.55
16/06/2022,21.0
15/06/2022,21.5
14/06/2022,23.1
13/06/2022,22.85
10/06/2022,24.0
09/06/2022,23.5
08/06/2022,23.4
07/06/2022,22.85
06/06/2022,21.6
03/06/2022,22.1
02/06/2022,22.4
01/06/2022,23.4
31/05/2022,23.75
30/05/2022,24.0
27/05/2022,23.5
26/05/2022,23.6
25/05/2022,23.2
24/05/2022,21.7
23/05/2022,21.0
20/05/2022,22.4
19/05/2022,22.0
18/05/2022,21.9
17/05/2022,21.05
16/05/2022,19.7
13/05/2022,20.6
12/05/2022,22.15
11/05/2022,23.8
10/05/2022,24.0
09/05/2022,24.7
06/05/2022,26.55
05/05/2022,28.5
04/05/2022,27.95
29/04/2022,28.2
28/04/2022,27.35
27/04/2022,28.2
26/04/2022,28.0
25/04/2022,27.45
22/04/2022,29.5
21/04/2022,29.0
20/04/2022,27.7
19/04/2022,29.75
18/04/2022,31.8
15/04/2022,33.95
14/04/2022,36.0
13/04/2022,36.2
12/04/2022,33.85
08/04/2022,34.05
