Ngay,GiaDongCua
29/12/2023,7.2
28/12/2023,7.22
27/12/2023,7.3
26/12/2023,7.2
25/12/2023,7.2
22/12/2023,7.24
21/12/2023,7.35
20/12/2023,7.2
19/12/2023,7.22
18/12/2023,7.4
15/12/2023,6.92
14/12/2023,6.67
13/12/2023,6.66
12/12/2023,6.79
11/12/2023,6.73
08/12/2023,6.76
07/12/2023,6.66
06/12/2023,6.72
05/12/2023,6.51
04/12/2023,6.46
01/12/2023,6.21
30/11/2023,6.22
29/11/2023,6.2
28/11/2023,6.19
27/11/2023,6.14
24/11/2023,6.2
23/11/2023,6.3
22/11/2023,6.42
21/11/2023,6.42
20/11/2023,6.39
17/11/2023,6.29
16/11/2023,6.27
15/11/2023,6.18
14/11/2023,6.16
13/11/2023,6.13
10/11/2023,6.18
09/11/2023,6.2
08/11/2023,6.1
07/11/2023,5.71
06/11/2023,5.75
03/11/2023,5.74
02/11/2023,5.68
01/11/2023,5.31
31/10/2023,5.2
30/10/2023,5.55
27/10/2023,5.82
26/10/2023,5.8
25/10/2023,6.23
24/10/2023,6.31
23/10/2023,6.2
20/10/2023,6.2
19/10/2023,6.06
18/10/2023,6.18
17/10/2023,6.35
16/10/2023,6.53
13/10/2023,6.4
12/10/2023,6.45
11/10/2023,6.44
10/10/2023,6.4
09/10/2023,6.45
06/10/2023,6.39
05/10/2023,6.0
04/10/2023,6.02
03/10/2023,5.94
02/10/2023,6.38
29/09/2023,6.28
28/09/2023,6.37
27/09/2023,6.49
26/09/2023,6.24
25/09/2023,6.7
22/09/2023,7.2
21/09/2023,7.72
20/09/2023,7.45
19/09/2023,7.25
18/09/2023,7.15
15/09/2023,7.25
14/09/2023,7.39
13/09/2023,7.4
12/09/2023,7.3
11/09/2023,7.13
08/09/2023,7.41
07/09/2023,7.39
06/09/2023,7.16
05/09/2023,7.2
31/08/2023,7.49
30/08/2023,7.58
29/08/2023,7.35
28/08/2023,7.06
25/08/2023,7.03
24/08/2023,7.14
23/08/2023,7.14
22/08/2023,7.22
21/08/2023,6.75
18/08/2023,6.89
17/08/2023,7.4
16/08/2023,7.81
15/08/2023,7.95
14/08/2023,7.86
11/08/2023,7.35
10/08/2023,6.92
09/08/2023,7.2
08/08/2023,6.94
07/08/2023,6.49
04/08/2023,6.07
03/08/2023,5.68
02/08/2023,5.62
01/08/2023,5.44
31/07/2023,5.71
28/07/2023,5.44
27/07/2023,5.27
26/07/2023,5.16
25/07/2023,5.1
24/07/2023,5.1
21/07/2023,5.02
20/07/2023,4.99
19/07/2023,4.98
18/07/2023,5.08
17/07/2023,5.12
14/07/2023,5.04
13/07/2023,5.04
12/07/2023,5.03
11/07/2023,5.06
10/07/2023,4.87
07/07/2023,4.83
06/07/2023,4.84
05/07/2023,4.8
04/07/2023,4.76
03/07/2023,4.72
30/06/2023,4.78
29/06/2023,5.19
28/06/2023,5.21
27/06/2023,5.19
26/06/2023,5.19
23/06/2023,5.3
22/06/2023,5.37
21/06/2023,5.27
20/06/2023,5.2
19/06/2023,5.1
16/06/2023,5.16
15/06/2023,5.18
14/06/2023,5.27
13/06/2023,5.38
12/06/2023,5.4
09/06/2023,5.29
08/06/2023,5.32
07/06/2023,5.22
06/06/2023,5.1
05/06/2023,5.02
02/06/2023,5.02
01/06/2023,5.12
31/05/2023,5.0
30/05/2023,4.93
29/05/2023,5.05
26/05/2023,4.85
25/05/2023,4.71
24/05/2023,4.75
23/05/2023,4.68
22/05/2023,4.72
19/05/2023,4.62
18/05/2023,4.78
17/05/2023,4.81
16/05/2023,4.5
15/05/2023,4.59
12/05/2023,4.58
11/05/2023,4.59
10/05/2023,4.55
