Ngay,Symbol,GiaDongCua
29/12/2023,ICT,11.3
28/12/2023,ICT,11.2
27/12/2023,ICT,11.25
26/12/2023,ICT,11.3
25/12/2023,ICT,11.3
22/12/2023,ICT,11.2
21/12/2023,ICT,11.35
20/12/2023,ICT,11.3
19/12/2023,ICT,11.2
18/12/2023,ICT,11.2
15/12/2023,ICT,11.35
14/12/2023,ICT,11.35
13/12/2023,ICT,11.3
12/12/2023,ICT,11.4
11/12/2023,ICT,11.35
08/12/2023,ICT,11.3
07/12/2023,ICT,11.25
06/12/2023,ICT,11.35
05/12/2023,ICT,11.35
04/12/2023,ICT,11.35
01/12/2023,ICT,11.35
30/11/2023,ICT,11.25
29/11/2023,ICT,11.3
28/11/2023,ICT,11.2
27/11/2023,ICT,11.15
24/11/2023,ICT,11.25
23/11/2023,ICT,11.3
22/11/2023,ICT,11.2
21/11/2023,ICT,11.35
20/11/2023,ICT,11.25
17/11/2023,ICT,11.3
16/11/2023,ICT,11.25
15/11/2023,ICT,11.4
14/11/2023,ICT,11.35
13/11/2023,ICT,11.15
10/11/2023,ICT,11.5
09/11/2023,ICT,11.5
08/11/2023,ICT,12.85
07/11/2023,ICT,12.9
06/11/2023,ICT,12.7
03/11/2023,ICT,12.8
02/11/2023,ICT,12.65
01/11/2023,ICT,12.5
31/10/2023,ICT,12.5
30/10/2023,ICT,12.7
27/10/2023,ICT,13.0
26/10/2023,ICT,12.95
25/10/2023,ICT,13.0
24/10/2023,ICT,13.1
23/10/2023,ICT,13.3
20/10/2023,ICT,13.35
19/10/2023,ICT,13.25
18/10/2023,ICT,12.95
17/10/2023,ICT,13.6
16/10/2023,ICT,12.95
13/10/2023,ICT,12.7
12/10/2023,ICT,12.65
11/10/2023,ICT,12.4
10/10/2023,ICT,12.45
09/10/2023,ICT,12.6
06/10/2023,ICT,12.5
05/10/2023,ICT,12.6
04/10/2023,ICT,12.7
03/10/2023,ICT,12.75
02/10/2023,ICT,12.75
29/09/2023,ICT,12.85
28/09/2023,ICT,12.9
27/09/2023,ICT,12.9
26/09/2023,ICT,12.8
25/09/2023,ICT,12.75
22/09/2023,ICT,12.8
21/09/2023,ICT,13.05
20/09/2023,ICT,13.05
19/09/2023,ICT,12.8
18/09/2023,ICT,12.95
15/09/2023,ICT,13.05
14/09/2023,ICT,13.0
13/09/2023,ICT,12.95
12/09/2023,ICT,13.0
11/09/2023,ICT,12.8
08/09/2023,ICT,13.0
07/09/2023,ICT,12.9
06/09/2023,ICT,12.9
05/09/2023,ICT,13.05
31/08/2023,ICT,13.1
30/08/2023,ICT,13.05
29/08/2023,ICT,13.1
28/08/2023,ICT,13.0
25/08/2023,ICT,13.0
24/08/2023,ICT,13.0
23/08/2023,ICT,12.75
