Ngay,GiaDongCua
29/12/2023,9.86
28/12/2023,9.79
27/12/2023,9.63
26/12/2023,9.8
25/12/2023,9.9
22/12/2023,9.8
21/12/2023,9.72
20/12/2023,9.9
19/12/2023,9.89
18/12/2023,9.9
15/12/2023,9.71
14/12/2023,9.96
13/12/2023,9.71
12/12/2023,10.0
11/12/2023,9.6
08/12/2023,9.78
07/12/2023,9.75
06/12/2023,9.72
05/12/2023,9.88
04/12/2023,9.88
01/12/2023,9.88
30/11/2023,9.88
29/11/2023,10.0
28/11/2023,9.75
27/11/2023,9.8
24/11/2023,9.78
23/11/2023,9.8
22/11/2023,9.8
21/11/2023,9.8
20/11/2023,9.8
17/11/2023,9.97
16/11/2023,9.97
15/11/2023,9.96
14/11/2023,9.88
13/11/2023,9.75
10/11/2023,9.8
09/11/2023,9.54
08/11/2023,9.94
07/11/2023,9.97
06/11/2023,9.8
03/11/2023,9.79
02/11/2023,9.5
01/11/2023,9.0
31/10/2023,9.2
30/10/2023,9.8
27/10/2023,9.8
26/10/2023,9.6
25/10/2023,10.0
24/10/2023,10.0
23/10/2023,10.55
20/10/2023,10.0
19/10/2023,9.62
18/10/2023,9.9
17/10/2023,10.0
16/10/2023,10.0
13/10/2023,10.4
12/10/2023,10.6
11/10/2023,10.6
10/10/2023,10.5
09/10/2023,10.65
06/10/2023,10.65
05/10/2023,10.4
04/10/2023,10.55
03/10/2023,10.75
02/10/2023,10.75
29/09/2023,10.75
28/09/2023,10.7
27/09/2023,10.65
26/09/2023,10.7
25/09/2023,10.7
22/09/2023,11.0
21/09/2023,11.1
20/09/2023,11.15
19/09/2023,10.75
18/09/2023,10.7
15/09/2023,10.95
14/09/2023,10.85
13/09/2023,11.1
12/09/2023,11.2
11/09/2023,11.15
08/09/2023,11.1
07/09/2023,11.2
06/09/2023,11.35
05/09/2023,10.8
31/08/2023,10.35
30/08/2023,10.5
29/08/2023,10.55
28/08/2023,10.4
25/08/2023,10.4
24/08/2023,10.6
23/08/2023,10.6
22/08/2023,10.65
21/08/2023,10.6
18/08/2023,10.45
17/08/2023,11.05
16/08/2023,11.0
15/08/2023,11.1
14/08/2023,11.1
11/08/2023,11.2
10/08/2023,11.25
09/08/2023,11.35
08/08/2023,11.3
07/08/2023,11.4
04/08/2023,11.45
03/08/2023,11.3
02/08/2023,11.5
01/08/2023,11.5
31/07/2023,11.4
28/07/2023,11.6
27/07/2023,11.5
26/07/2023,11.5
25/07/2023,11.5
24/07/2023,11.6
21/07/2023,11.65
20/07/2023,11.6
19/07/2023,11.7
18/07/2023,11.6
17/07/2023,11.6
14/07/2023,11.6
13/07/2023,11.6
12/07/2023,11.7
11/07/2023,11.75
10/07/2023,11.9
07/07/2023,11.95
06/07/2023,12.2
05/07/2023,12.25
04/07/2023,11.95
03/07/2023,11.95
30/06/2023,11.8
29/06/2023,11.7
28/06/2023,11.95
27/06/2023,11.75
26/06/2023,11.65
23/06/2023,11.7
22/06/2023,11.65
21/06/2023,11.9
20/06/2023,11.6
19/06/2023,11.65
16/06/2023,11.65
15/06/2023,11.6
14/06/2023,11.6
13/06/2023,11.8
12/06/2023,11.7
09/06/2023,11.85
08/06/2023,12.0
07/06/2023,11.95
06/06/2023,11.85
05/06/2023,12.0
02/06/2023,12.1
01/06/2023,11.9
31/05/2023,12.0
30/05/2023,12.0
29/05/2023,12.15
26/05/2023,12.05
25/05/2023,12.0
24/05/2023,12.1
23/05/2023,12.1
22/05/2023,12.55
19/05/2023,12.4
18/05/2023,12.85
17/05/2023,12.2
16/05/2023,12.2
15/05/2023,12.25
12/05/2023,12.0
11/05/2023,12.0
10/05/2023,11.7
09/05/2023,11.7
08/05/2023,11.7
05/05/2023,11.8
04/05/2023,11.6
28/04/2023,11.7
27/04/2023,11.85
26/04/2023,11.75
25/04/2023,11.75
24/04/2023,11.8
21/04/2023,11.8
20/04/2023,11.75
19/04/2023,11.65
18/04/2023,11.65
17/04/2023,11.5
14/04/2023,11.6
13/04/2023,11.6
12/04/2023,11.65
11/04/2023,11.7
10/04/2023,11.45
07/04/2023,11.3
06/04/2023,11.65
05/04/2023,11.2
04/04/2023,11.2
03/04/2023,11.05
31/03/2023,10.95
30/03/2023,11.0
29/03/2023,11.0
28/03/2023,11.25
27/03/2023,11.3
24/03/2023,11.25
23/03/2023,11.2
22/03/2023,10.9
21/03/2023,11.3
20/03/2023,11.45
17/03/2023,11.3
16/03/2023,11.2
15/03/2023,11.4
14/03/2023,11.35
13/03/2023,11.9
10/03/2023,11.7
09/03/2023,11.95
08/03/2023,11.95
07/03/2023,11.95
06/03/2023,11.9
03/03/2023,11.6
02/03/2023,11.85
01/03/2023,11.9
28/02/2023,11.8
27/02/2023,12.2
24/02/2023,12.25
23/02/2023,12.05
22/02/2023,12.2
21/02/2023,12.15
