Ngay,Symbol,GiaDongCua
29/12/2023,SAM,6.56
28/12/2023,SAM,6.55
27/12/2023,SAM,6.43
26/12/2023,SAM,6.4
25/12/2023,SAM,6.42
22/12/2023,SAM,6.4
21/12/2023,SAM,6.42
20/12/2023,SAM,6.45
19/12/2023,SAM,6.55
18/12/2023,SAM,6.56
15/12/2023,SAM,6.43
14/12/2023,SAM,6.52
13/12/2023,SAM,6.6
12/12/2023,SAM,6.67
11/12/2023,SAM,6.53
08/12/2023,SAM,6.6
07/12/2023,SAM,6.61
06/12/2023,SAM,6.7
05/12/2023,SAM,6.55
04/12/2023,SAM,6.59
01/12/2023,SAM,6.42
30/11/2023,SAM,6.4
29/11/2023,SAM,6.49
28/11/2023,SAM,6.4
27/11/2023,SAM,6.46
24/11/2023,SAM,6.71
23/11/2023,SAM,6.8
22/11/2023,SAM,6.36
21/11/2023,SAM,6.35
20/11/2023,SAM,6.29
17/11/2023,SAM,6.28
16/11/2023,SAM,6.31
15/11/2023,SAM,6.28
14/11/2023,SAM,6.29
13/11/2023,SAM,6.3
10/11/2023,SAM,6.32
09/11/2023,SAM,6.31
08/11/2023,SAM,6.3
07/11/2023,SAM,6.12
06/11/2023,SAM,6.17
03/11/2023,SAM,6.2
02/11/2023,SAM,6.38
01/11/2023,SAM,6.09
31/10/2023,SAM,6.09
30/10/2023,SAM,6.12
27/10/2023,SAM,6.14
26/10/2023,SAM,6.1
25/10/2023,SAM,6.2
24/10/2023,SAM,6.2
23/10/2023,SAM,6.19
20/10/2023,SAM,6.0
19/10/2023,SAM,6.2
18/10/2023,SAM,6.2
17/10/2023,SAM,6.3
16/10/2023,SAM,6.4
13/10/2023,SAM,6.44
12/10/2023,SAM,6.45
11/10/2023,SAM,6.42
10/10/2023,SAM,6.4
09/10/2023,SAM,6.28
06/10/2023,SAM,6.27
05/10/2023,SAM,6.25
04/10/2023,SAM,6.3
03/10/2023,SAM,6.31
02/10/2023,SAM,6.57
29/09/2023,SAM,6.58
28/09/2023,SAM,6.6
27/09/2023,SAM,6.65
26/09/2023,SAM,6.58
25/09/2023,SAM,6.61
22/09/2023,SAM,6.92
21/09/2023,SAM,7.14
20/09/2023,SAM,7.2
19/09/2023,SAM,7.04
18/09/2023,SAM,7.04
15/09/2023,SAM,7.09
14/09/2023,SAM,7.2
13/09/2023,SAM,7.48
12/09/2023,SAM,7.52
11/09/2023,SAM,7.52
08/09/2023,SAM,7.72
07/09/2023,SAM,7.7
06/09/2023,SAM,7.71
05/09/2023,SAM,7.75
31/08/2023,SAM,7.64
30/08/2023,SAM,7.59
29/08/2023,SAM,7.45
28/08/2023,SAM,7.36
25/08/2023,SAM,7.38
24/08/2023,SAM,7.33
23/08/2023,SAM,7.22
22/08/2023,SAM,7.22
21/08/2023,SAM,7.27
18/08/2023,SAM,7.46
17/08/2023,SAM,8.02
16/08/2023,SAM,8.25
15/08/2023,SAM,8.36
14/08/2023,SAM,8.5
11/08/2023,SAM,8.18
10/08/2023,SAM,8.2
09/08/2023,SAM,8.11
08/08/2023,SAM,8.11
07/08/2023,SAM,8.11
04/08/2023,SAM,7.85
03/08/2023,SAM,7.65
02/08/2023,SAM,7.54
01/08/2023,SAM,7.52
31/07/2023,SAM,7.81
28/07/2023,SAM,7.82
27/07/2023,SAM,7.8
26/07/2023,SAM,7.73
25/07/2023,SAM,7.81
24/07/2023,SAM,7.75
