Ngay,Symbol,GiaDongCua
29/12/2023,SGT,11.3
28/12/2023,SGT,11.75
27/12/2023,SGT,11.9
26/12/2023,SGT,11.85
25/12/2023,SGT,11.95
22/12/2023,SGT,11.8
21/12/2023,SGT,11.9
20/12/2023,SGT,11.9
19/12/2023,SGT,11.9
18/12/2023,SGT,11.95
15/12/2023,SGT,11.7
14/12/2023,SGT,11.9
13/12/2023,SGT,11.8
12/12/2023,SGT,12.2
11/12/2023,SGT,12.1
08/12/2023,SGT,12.2
07/12/2023,SGT,12.25
06/12/2023,SGT,12.3
05/12/2023,SGT,12.0
04/12/2023,SGT,12.35
01/12/2023,SGT,11.85
30/11/2023,SGT,12.05
29/11/2023,SGT,12.0
28/11/2023,SGT,11.9
27/11/2023,SGT,11.85
24/11/2023,SGT,12.2
23/11/2023,SGT,11.85
22/11/2023,SGT,11.85
21/11/2023,SGT,11.95
20/11/2023,SGT,12.0
17/11/2023,SGT,12.0
16/11/2023,SGT,11.85
15/11/2023,SGT,12.1
14/11/2023,SGT,11.9
13/11/2023,SGT,12.15
10/11/2023,SGT,12.3
09/11/2023,SGT,12.3
08/11/2023,SGT,12.2
07/11/2023,SGT,11.55
06/11/2023,SGT,11.85
03/11/2023,SGT,11.95
02/11/2023,SGT,12.3
01/11/2023,SGT,12.0
31/10/2023,SGT,11.95
30/10/2023,SGT,12.8
27/10/2023,SGT,12.6
26/10/2023,SGT,12.25
25/10/2023,SGT,13.15
24/10/2023,SGT,13.2
23/10/2023,SGT,13.4
20/10/2023,SGT,13.75
19/10/2023,SGT,13.2
18/10/2023,SGT,13.45
17/10/2023,SGT,13.75
16/10/2023,SGT,14.2
13/10/2023,SGT,14.05
12/10/2023,SGT,14.1
11/10/2023,SGT,14.5
10/10/2023,SGT,14.0
09/10/2023,SGT,13.8
06/10/2023,SGT,14.0
05/10/2023,SGT,14.0
04/10/2023,SGT,14.35
03/10/2023,SGT,14.15
02/10/2023,SGT,14.35
29/09/2023,SGT,14.2
28/09/2023,SGT,14.35
27/09/2023,SGT,14.4
26/09/2023,SGT,14.0
25/09/2023,SGT,13.5
22/09/2023,SGT,14.5
21/09/2023,SGT,14.8
20/09/2023,SGT,15.4
