Ngay,Symbol,GiaDongCua
29/12/2023,ST8,18.3
28/12/2023,ST8,18.0
27/12/2023,ST8,18.1
26/12/2023,ST8,18.15
25/12/2023,ST8,18.2
22/12/2023,ST8,18.1
21/12/2023,ST8,18.3
20/12/2023,ST8,18.3
19/12/2023,ST8,18.2
18/12/2023,ST8,18.3
15/12/2023,ST8,18.35
14/12/2023,ST8,18.3
13/12/2023,ST8,18.35
12/12/2023,ST8,18.65
11/12/2023,ST8,18.85
08/12/2023,ST8,18.8
07/12/2023,ST8,18.5
06/12/2023,ST8,18.3
05/12/2023,ST8,18.95
04/12/2023,ST8,19.75
01/12/2023,ST8,19.35
30/11/2023,ST8,19.5
29/11/2023,ST8,19.9
28/11/2023,ST8,18.8
27/11/2023,ST8,17.6
24/11/2023,ST8,18.0
23/11/2023,ST8,18.4
22/11/2023,ST8,19.15
21/11/2023,ST8,19.4
20/11/2023,ST8,19.0
17/11/2023,ST8,18.6
16/11/2023,ST8,19.45
15/11/2023,ST8,18.9
14/11/2023,ST8,18.4
13/11/2023,ST8,17.2
10/11/2023,ST8,17.2
09/11/2023,ST8,17.1
08/11/2023,ST8,17.35
07/11/2023,ST8,17.4
06/11/2023,ST8,17.45
03/11/2023,ST8,17.45
02/11/2023,ST8,17.5
01/11/2023,ST8,17.0
31/10/2023,ST8,17.0
30/10/2023,ST8,17.0
27/10/2023,ST8,17.25
26/10/2023,ST8,17.0
25/10/2023,ST8,17.1
24/10/2023,ST8,17.5
23/10/2023,ST8,17.8
20/10/2023,ST8,17.85
19/10/2023,ST8,17.3
18/10/2023,ST8,17.0
17/10/2023,ST8,17.6
16/10/2023,ST8,17.6
13/10/2023,ST8,17.9
12/10/2023,ST8,18.0
11/10/2023,ST8,17.7
10/10/2023,ST8,17.6
09/10/2023,ST8,17.35
06/10/2023,ST8,17.4
05/10/2023,ST8,17.5
04/10/2023,ST8,17.5
03/10/2023,ST8,17.4
02/10/2023,ST8,17.9
29/09/2023,ST8,17.85
28/09/2023,ST8,17.7
27/09/2023,ST8,17.9
26/09/2023,ST8,18.3
25/09/2023,ST8,18.45
22/09/2023,ST8,19.0
21/09/2023,ST8,19.35
20/09/2023,ST8,18.3
19/09/2023,ST8,19.45
18/09/2023,ST8,20.9
15/09/2023,ST8,21.95
14/09/2023,ST8,21.95
13/09/2023,ST8,21.65
12/09/2023,ST8,21.45
11/09/2023,ST8,21.6
08/09/2023,ST8,21.8
07/09/2023,ST8,21.8
06/09/2023,ST8,21.75
05/09/2023,ST8,21.85
31/08/2023,ST8,21.95
30/08/2023,ST8,21.6
29/08/2023,ST8,21.6
28/08/2023,ST8,21.6
25/08/2023,ST8,21.35
24/08/2023,ST8,21.15
23/08/2023,ST8,21.6
22/08/2023,ST8,22.0
21/08/2023,ST8,22.6
18/08/2023,ST8,21.15
17/08/2023,ST8,22.65
16/08/2023,ST8,22.8
15/08/2023,ST8,22.8
14/08/2023,ST8,23.1
11/08/2023,ST8,22.95
10/08/2023,ST8,22.95
09/08/2023,ST8,23.4
08/08/2023,ST8,23.7
07/08/2023,ST8,23.1
04/08/2023,ST8,22.1
03/08/2023,ST8,22.2
02/08/2023,ST8,22.75
01/08/2023,ST8,23.25
31/07/2023,ST8,23.9
28/07/2023,ST8,23.4
27/07/2023,ST8,23.8
26/07/2023,ST8,24.8
25/07/2023,ST8,24.9
24/07/2023,ST8,24.8
21/07/2023,ST8,24.55
20/07/2023,ST8,24.95
19/07/2023,ST8,24.95
18/07/2023,ST8,24.9
17/07/2023,ST8,24.75
14/07/2023,ST8,25.5
13/07/2023,ST8,24.8
12/07/2023,ST8,24.7
11/07/2023,ST8,24.9
10/07/2023,ST8,24.7
07/07/2023,ST8,24.8
06/07/2023,ST8,24.5
05/07/2023,ST8,24.8
04/07/2023,ST8,24.4
03/07/2023,ST8,25.3
30/06/2023,ST8,25.7
29/06/2023,ST8,26.3
28/06/2023,ST8,25.0
27/06/2023,ST8,25.85
26/06/2023,ST8,27.75
23/06/2023,ST8,29.8
22/06/2023,ST8,28.7
21/06/2023,ST8,26.85
20/06/2023,ST8,25.1
19/06/2023,ST8,24.35
16/06/2023,ST8,24.75
15/06/2023,ST8,24.95
14/06/2023,ST8,25.75
13/06/2023,ST8,24.35
12/06/2023,ST8,22.8
09/06/2023,ST8,23.0
08/06/2023,ST8,23.95
07/06/2023,ST8,24.25
06/06/2023,ST8,24.55
05/06/2023,ST8,24.4
02/06/2023,ST8,24.55
01/06/2023,ST8,25.0
31/05/2023,ST8,24.0
30/05/2023,ST8,23.5
29/05/2023,ST8,23.4
26/05/2023,ST8,23.2
25/05/2023,ST8,24.2
24/05/2023,ST8,23.15
23/05/2023,ST8,21.65
22/05/2023,ST8,20.25
19/05/2023,ST8,19.9
18/05/2023,ST8,18.6
17/05/2023,ST8,17.4
16/05/2023,ST8,18.6
15/05/2023,ST8,18.55
12/05/2023,ST8,18.8
11/05/2023,ST8,18.8
10/05/2023,ST8,17.6
09/05/2023,ST8,16.45
08/05/2023,ST8,15.4
05/05/2023,ST8,15.35
04/05/2023,ST8,15.4
28/04/2023,ST8,15.7
27/04/2023,ST8,15.2
26/04/2023,ST8,15.4
25/04/2023,ST8,15.3
24/04/2023,ST8,15.9
21/04/2023,ST8,15.6
20/04/2023,ST8,15.6
19/04/2023,ST8,15.6
18/04/2023,ST8,15.75
17/04/2023,ST8,15.7
14/04/2023,ST8,15.8
13/04/2023,ST8,16.2
12/04/2023,ST8,15.5
11/04/2023,ST8,15.9
10/04/2023,ST8,16.7
07/04/2023,ST8,17.05
06/04/2023,ST8,17.65
05/04/2023,ST8,17.45
04/04/2023,ST8,16.9
03/04/2023,ST8,17.0
31/03/2023,ST8,17.45
30/03/2023,ST8,18.35
29/03/2023,ST8,18.9
28/03/2023,ST8,18.9
27/03/2023,ST8,20.3
24/03/2023,ST8,20.3
23/03/2023,ST8,20.25
22/03/2023,ST8,21.75
21/03/2023,ST8,22.4
20/03/2023,ST8,22.35
17/03/2023,ST8,20.95
16/03/2023,ST8,19.6
15/03/2023,ST8,19.65
14/03/2023,ST8,19.3
13/03/2023,ST8,19.25
10/03/2023,ST8,18.35
09/03/2023,ST8,17.6
08/03/2023,ST8,18.1
07/03/2023,ST8,17.15
06/03/2023,ST8,17.5
03/03/2023,ST8,18.3
02/03/2023,ST8,18.4
01/03/2023,ST8,19.75
28/02/2023,ST8,18.7
27/02/2023,ST8,17.5
24/02/2023,ST8,16.4
23/02/2023,ST8,17.0
22/02/2023,ST8,16.6
21/02/2023,ST8,17.2
20/02/2023,ST8,16.5
17/02/2023,ST8,16.2
16/02/2023,ST8,15.15
15/02/2023,ST8,14.2
14/02/2023,ST8,13.3
13/02/2023,ST8,13.25
10/02/2023,ST8,13.3
09/02/2023,ST8,13.65
08/02/2023,ST8,12.8
07/02/2023,ST8,12.0
06/02/2023,ST8,11.25
03/02/2023,ST8,10.55
02/02/2023,ST8,11.1
01/02/2023,ST8,11.9
31/01/2023,ST8,12.55
30/01/2023,ST8,12.4
27/01/2023,ST8,11.65
19/01/2023,ST8,10.9
18/01/2023,ST8,10.2
17/01/2023,ST8,9.55
16/01/2023,ST8,8.93
13/01/2023,ST8,8.8
12/01/2023,ST8,8.88
11/01/2023,ST8,8.6
10/01/2023,ST8,8.8
09/01/2023,ST8,9.3
06/01/2023,ST8,9.43
05/01/2023,ST8,8.82
04/01/2023,ST8,8.25
03/01/2023,ST8,7.93
30/12/2022,ST8,7.65
29/12/2022,ST8,7.73
28/12/2022,ST8,7.71
27/12/2022,ST8,7.89
26/12/2022,ST8,7.79
23/12/2022,ST8,7.86
22/12/2022,ST8,8.0
21/12/2022,ST8,8.03
20/12/2022,ST8,7.76
19/12/2022,ST8,8.0
16/12/2022,ST8,8.0
15/12/2022,ST8,8.03
14/12/2022,ST8,8.05
13/12/2022,ST8,8.04
12/12/2022,ST8,8.05
09/12/2022,ST8,8.09
08/12/2022,ST8,7.99
07/12/2022,ST8,7.84
06/12/2022,ST8,8.2
05/12/2022,ST8,8.4
02/12/2022,ST8,8.25
01/12/2022,ST8,8.16
30/11/2022,ST8,7.86
29/11/2022,ST8,8.2
28/11/2022,ST8,8.3
25/11/2022,ST8,8.05
24/11/2022,ST8,8.1
23/11/2022,ST8,8.1
22/11/2022,ST8,7.9
21/11/2022,ST8,8.05
18/11/2022,ST8,8.64
17/11/2022,ST8,8.58
16/11/2022,ST8,8.02
15/11/2022,ST8,7.5
14/11/2022,ST8,7.01
11/11/2022,ST8,7.53
10/11/2022,ST8,8.09
09/11/2022,ST8,8.69
08/11/2022,ST8,8.8
07/11/2022,ST8,8.23
04/11/2022,ST8,7.7
03/11/2022,ST8,7.2
02/11/2022,ST8,6.73
01/11/2022,ST8,7.0
31/10/2022,ST8,7.34
28/10/2022,ST8,7.89
27/10/2022,ST8,8.48
26/10/2022,ST8,9.11
25/10/2022,ST8,9.79
24/10/2022,ST8,9.96
21/10/2022,ST8,10.7
20/10/2022,ST8,11.5
19/10/2022,ST8,11.5
18/10/2022,ST8,11.5
17/10/2022,ST8,11.65
14/10/2022,ST8,11.65
13/10/2022,ST8,11.95
12/10/2022,ST8,12.1
11/10/2022,ST8,12.2
10/10/2022,ST8,12.1
07/10/2022,ST8,11.4
06/10/2022,ST8,12.1
05/10/2022,ST8,12.3
04/10/2022,ST8,12.1
03/10/2022,ST8,12.1
30/09/2022,ST8,12.1
29/09/2022,ST8,11.8
28/09/2022,ST8,11.7
27/09/2022,ST8,12.0
26/09/2022,ST8,11.8
23/09/2022,ST8,12.2
22/09/2022,ST8,12.1
21/09/2022,ST8,12.2
20/09/2022,ST8,12.2
19/09/2022,ST8,12.0
16/09/2022,ST8,12.1
15/09/2022,ST8,12.5
14/09/2022,ST8,12.5
13/09/2022,ST8,12.7
12/09/2022,ST8,12.75
09/09/2022,ST8,12.7
08/09/2022,ST8,12.7
07/09/2022,ST8,12.75
06/09/2022,ST8,13.0
05/09/2022,ST8,13.3
31/08/2022,ST8,13.0
30/08/2022,ST8,12.95
29/08/2022,ST8,13.7
26/08/2022,ST8,14.05
25/08/2022,ST8,14.2
24/08/2022,ST8,14.3
23/08/2022,ST8,14.6
22/08/2022,ST8,14.4
19/08/2022,ST8,14.3
18/08/2022,ST8,14.5
17/08/2022,ST8,15.0
16/08/2022,ST8,15.3
15/08/2022,ST8,15.6
12/08/2022,ST8,15.45
11/08/2022,ST8,15.7
10/08/2022,ST8,15.8
09/08/2022,ST8,16.3
08/08/2022,ST8,15.25
05/08/2022,ST8,15.3
04/08/2022,ST8,15.4
03/08/2022,ST8,15.95
02/08/2022,ST8,15.9
01/08/2022,ST8,14.9
29/07/2022,ST8,15.7
28/07/2022,ST8,16.85
27/07/2022,ST8,18.1
26/07/2022,ST8,26.85
25/07/2022,ST8,25.1
22/07/2022,ST8,23.5
21/07/2022,ST8,22.0
20/07/2022,ST8,21.6
19/07/2022,ST8,20.9
18/07/2022,ST8,20.1
15/07/2022,ST8,18.8
14/07/2022,ST8,18.9
13/07/2022,ST8,17.9
12/07/2022,ST8,17.9
11/07/2022,ST8,18.0
08/07/2022,ST8,18.0
07/07/2022,ST8,17.7
06/07/2022,ST8,17.7
05/07/2022,ST8,17.7
04/07/2022,ST8,17.5
01/07/2022,ST8,17.85
30/06/2022,ST8,17.7
29/06/2022,ST8,17.8
28/06/2022,ST8,17.0
27/06/2022,ST8,16.9
24/06/2022,ST8,17.15
23/06/2022,ST8,17.2
22/06/2022,ST8,16.2
21/06/2022,ST8,16.05
20/06/2022,ST8,16.4
17/06/2022,ST8,16.0
16/06/2022,ST8,16.5
15/06/2022,ST8,15.8
14/06/2022,ST8,16.1
13/06/2022,ST8,16.25
10/06/2022,ST8,16.2
09/06/2022,ST8,16.5
08/06/2022,ST8,16.1
07/06/2022,ST8,16.0
06/06/2022,ST8,16.0
03/06/2022,ST8,16.3
02/06/2022,ST8,16.9
01/06/2022,ST8,18.1
31/05/2022,ST8,18.5
30/05/2022,ST8,17.4
27/05/2022,ST8,16.3
26/05/2022,ST8,15.7
25/05/2022,ST8,15.8
24/05/2022,ST8,16.3
23/05/2022,ST8,17.5
20/05/2022,ST8,17.6
19/05/2022,ST8,16.9
18/05/2022,ST8,17.2
17/05/2022,ST8,16.35
16/05/2022,ST8,15.55
13/05/2022,ST8,15.55
12/05/2022,ST8,16.7
11/05/2022,ST8,17.0
10/05/2022,ST8,16.35
09/05/2022,ST8,15.75
06/05/2022,ST8,14.75
05/05/2022,ST8,13.8
04/05/2022,ST8,13.8
29/04/2022,ST8,13.9
28/04/2022,ST8,13.1
27/04/2022,ST8,13.5
26/04/2022,ST8,13.45
25/04/2022,ST8,13.35
22/04/2022,ST8,12.5
21/04/2022,ST8,12.5
20/04/2022,ST8,12.4
19/04/2022,ST8,12.3
18/04/2022,ST8,12.5
15/04/2022,ST8,12.7
14/04/2022,ST8,12.6
13/04/2022,ST8,12.5
12/04/2022,ST8,12.6
08/04/2022,ST8,12.8
07/04/2022,ST8,12.7
06/04/2022,ST8,12.75
05/04/2022,ST8,12.6
04/04/2022,ST8,12.5
01/04/2022,ST8,12.1
31/03/2022,ST8,12.9
30/03/2022,ST8,12.9
29/03/2022,ST8,13.0
28/03/2022,ST8,13.0
25/03/2022,ST8,13.0
24/03/2022,ST8,13.1
23/03/2022,ST8,13.0
22/03/2022,ST8,13.0
21/03/2022,ST8,13.0
18/03/2022,ST8,13.35
17/03/2022,ST8,12.8
16/03/2022,ST8,12.0
15/03/2022,ST8,12.0
14/03/2022,ST8,12.5
11/03/2022,ST8,12.55
10/03/2022,ST8,12.4
09/03/2022,ST8,12.45
08/03/2022,ST8,12.0
07/03/2022,ST8,12.25
04/03/2022,ST8,12.2
03/03/2022,ST8,12.0
02/03/2022,ST8,12.0
01/03/2022,ST8,12.5
28/02/2022,ST8,12.3
25/02/2022,ST8,12.7
24/02/2022,ST8,12.2
23/02/2022,ST8,12.4
22/02/2022,ST8,12.4
21/02/2022,ST8,12.5
18/02/2022,ST8,12.5
17/02/2022,ST8,12.5
16/02/2022,ST8,12.9
15/02/2022,ST8,12.3
14/02/2022,ST8,13.15
11/02/2022,ST8,13.3
10/02/2022,ST8,13.35
09/02/2022,ST8,12.5
08/02/2022,ST8,12.45
07/02/2022,ST8,12.5
28/01/2022,ST8,12.0
27/01/2022,ST8,11.75
26/01/2022,ST8,12.5
25/01/2022,ST8,13.1
24/01/2022,ST8,12.3
21/01/2022,ST8,13.15
20/01/2022,ST8,13.15
19/01/2022,ST8,12.3
18/01/2022,ST8,11.5
17/01/2022,ST8,12.25
14/01/2022,ST8,13.0
13/01/2022,ST8,12.8
12/01/2022,ST8,12.6
11/01/2022,ST8,13.0
10/01/2022,ST8,13.6
07/01/2022,ST8,13.85
06/01/2022,ST8,14.1
05/01/2022,ST8,14.1
04/01/2022,ST8,14.2
31/12/2021,ST8,14.0
30/12/2021,ST8,14.0
29/12/2021,ST8,14.0
28/12/2021,ST8,14.1
27/12/2021,ST8,13.9
24/12/2021,ST8,13.8
23/12/2021,ST8,14.6
22/12/2021,ST8,13.65
21/12/2021,ST8,12.8
20/12/2021,ST8,12.0
17/12/2021,ST8,11.5
16/12/2021,ST8,11.3
15/12/2021,ST8,11.9
14/12/2021,ST8,11.9
13/12/2021,ST8,11.8
10/12/2021,ST8,11.7
09/12/2021,ST8,11.6
08/12/2021,ST8,11.5
07/12/2021,ST8,12.0
06/12/2021,ST8,11.5
03/12/2021,ST8,11.8
02/12/2021,ST8,11.95
01/12/2021,ST8,11.9
30/11/2021,ST8,11.6
29/11/2021,ST8,11.1
26/11/2021,ST8,11.4
25/11/2021,ST8,11.5
24/11/2021,ST8,11.6
23/11/2021,ST8,11.8
22/11/2021,ST8,12.0
19/11/2021,ST8,11.7
18/11/2021,ST8,12.2
17/11/2021,ST8,12.5
16/11/2021,ST8,13.0
15/11/2021,ST8,13.8
12/11/2021,ST8,13.5
11/11/2021,ST8,12.65
10/11/2021,ST8,12.8
09/11/2021,ST8,12.6
08/11/2021,ST8,12.5
05/11/2021,ST8,12.3
04/11/2021,ST8,11.5
03/11/2021,ST8,11.25
02/11/2021,ST8,11.25
01/11/2021,ST8,11.4
29/10/2021,ST8,11.2
28/10/2021,ST8,11.2
27/10/2021,ST8,10.8
26/10/2021,ST8,10.9
25/10/2021,ST8,10.9
22/10/2021,ST8,11.0
21/10/2021,ST8,11.0
20/10/2021,ST8,10.9
19/10/2021,ST8,11.6
18/10/2021,ST8,11.0
15/10/2021,ST8,11.1
14/10/2021,ST8,10.75
13/10/2021,ST8,10.75
12/10/2021,ST8,10.4
11/10/2021,ST8,10.8
08/10/2021,ST8,10.8
07/10/2021,ST8,10.85
06/10/2021,ST8,10.95
05/10/2021,ST8,10.6
04/10/2021,ST8,11.3
01/10/2021,ST8,11.3
30/09/2021,ST8,11.3
29/09/2021,ST8,11.3
28/09/2021,ST8,11.4
27/09/2021,ST8,11.4
24/09/2021,ST8,11.4
23/09/2021,ST8,11.4
22/09/2021,ST8,11.0
21/09/2021,ST8,10.7
20/09/2021,ST8,11.45
17/09/2021,ST8,11.5
16/09/2021,ST8,11.15
15/09/2021,ST8,11.2
14/09/2021,ST8,10.7
13/09/2021,ST8,10.7
10/09/2021,ST8,10.5
09/09/2021,ST8,10.05
08/09/2021,ST8,10.05
07/09/2021,ST8,10.4
06/09/2021,ST8,10.3
01/09/2021,ST8,10.2
31/08/2021,ST8,10.2
30/08/2021,ST8,10.1
27/08/2021,ST8,10.1
26/08/2021,ST8,10.2
25/08/2021,ST8,10.2
24/08/2021,ST8,10.0
23/08/2021,ST8,10.0
20/08/2021,ST8,10.0
19/08/2021,ST8,10.3
18/08/2021,ST8,10.0
17/08/2021,ST8,10.7
16/08/2021,ST8,10.7
13/08/2021,ST8,10.0
12/08/2021,ST8,10.0
11/08/2021,ST8,10.2
10/08/2021,ST8,10.4
09/08/2021,ST8,10.4
06/08/2021,ST8,10.4
05/08/2021,ST8,10.4
04/08/2021,ST8,10.05
03/08/2021,ST8,10.05
02/08/2021,ST8,10.05
30/07/2021,ST8,10.05
29/07/2021,ST8,10.05
28/07/2021,ST8,10.05
27/07/2021,ST8,10.0
26/07/2021,ST8,10.2
