Ngay,Symbol,GiaDongCua
29/12/2023,TCH,13.2
28/12/2023,TCH,13.25
27/12/2023,TCH,13.25
26/12/2023,TCH,13.2
25/12/2023,TCH,13.15
22/12/2023,TCH,13.15
21/12/2023,TCH,13.2
20/12/2023,TCH,13.15
19/12/2023,TCH,12.85
18/12/2023,TCH,12.9
15/12/2023,TCH,12.55
14/12/2023,TCH,12.5
13/12/2023,TCH,12.65
12/12/2023,TCH,12.95
11/12/2023,TCH,12.8
08/12/2023,TCH,12.95
07/12/2023,TCH,12.7
06/12/2023,TCH,12.85
05/12/2023,TCH,12.5
04/12/2023,TCH,12.75
01/12/2023,TCH,12.2
30/11/2023,TCH,12.45
29/11/2023,TCH,12.25
28/11/2023,TCH,12.05
27/11/2023,TCH,11.9
24/11/2023,TCH,12.3
23/11/2023,TCH,12.1
22/11/2023,TCH,13.0
21/11/2023,TCH,12.9
20/11/2023,TCH,12.9
17/11/2023,TCH,12.6
16/11/2023,TCH,12.6
15/11/2023,TCH,12.2
14/11/2023,TCH,12.25
13/11/2023,TCH,12.3
10/11/2023,TCH,12.35
09/11/2023,TCH,12.0
08/11/2023,TCH,11.85
07/11/2023,TCH,11.1
06/11/2023,TCH,11.35
03/11/2023,TCH,11.2
02/11/2023,TCH,11.25
01/11/2023,TCH,10.55
31/10/2023,TCH,10.15
30/10/2023,TCH,10.9
27/10/2023,TCH,11.4
26/10/2023,TCH,11.3
25/10/2023,TCH,12.1
24/10/2023,TCH,12.0
23/10/2023,TCH,11.8
20/10/2023,TCH,11.9
19/10/2023,TCH,11.4
18/10/2023,TCH,11.5
17/10/2023,TCH,11.6
16/10/2023,TCH,12.4
13/10/2023,TCH,12.2
12/10/2023,TCH,12.15
11/10/2023,TCH,12.15
10/10/2023,TCH,11.95
09/10/2023,TCH,12.2
06/10/2023,TCH,11.85
05/10/2023,TCH,11.1
04/10/2023,TCH,11.3
03/10/2023,TCH,11.05
02/10/2023,TCH,11.85
29/09/2023,TCH,11.6
28/09/2023,TCH,12.0
27/09/2023,TCH,12.25
26/09/2023,TCH,11.75
25/09/2023,TCH,12.6
22/09/2023,TCH,13.5
21/09/2023,TCH,14.5
20/09/2023,TCH,13.9
19/09/2023,TCH,13.7
18/09/2023,TCH,13.6
15/09/2023,TCH,13.3
14/09/2023,TCH,13.5
13/09/2023,TCH,13.6
12/09/2023,TCH,13.35
11/09/2023,TCH,12.9
08/09/2023,TCH,13.3
07/09/2023,TCH,13.35
06/09/2023,TCH,13.35
05/09/2023,TCH,13.0
31/08/2023,TCH,13.3
30/08/2023,TCH,13.95
29/08/2023,TCH,13.45
28/08/2023,TCH,13.0
25/08/2023,TCH,13.1
24/08/2023,TCH,13.0
23/08/2023,TCH,12.8
22/08/2023,TCH,12.7
21/08/2023,TCH,11.9
18/08/2023,TCH,12.05
17/08/2023,TCH,12.95
16/08/2023,TCH,13.15
15/08/2023,TCH,13.1
14/08/2023,TCH,13.55
11/08/2023,TCH,12.7
10/08/2023,TCH,11.9
09/08/2023,TCH,12.4
08/08/2023,TCH,12.25
07/08/2023,TCH,12.15
04/08/2023,TCH,11.4
03/08/2023,TCH,10.7
02/08/2023,TCH,10.6
01/08/2023,TCH,10.5
31/07/2023,TCH,10.9
28/07/2023,TCH,10.3
