Ngay,Symbol,GiaDongCua
29/12/2023,YEG,12.05
28/12/2023,YEG,12.0
27/12/2023,YEG,11.25
26/12/2023,YEG,11.1
25/12/2023,YEG,11.55
22/12/2023,YEG,11.5
21/12/2023,YEG,11.4
20/12/2023,YEG,11.35
19/12/2023,YEG,11.3
18/12/2023,YEG,11.85
15/12/2023,YEG,11.85
14/12/2023,YEG,11.1
13/12/2023,YEG,17.9
12/12/2023,YEG,18.35
11/12/2023,YEG,18.35
08/12/2023,YEG,18.5
07/12/2023,YEG,19.15
06/12/2023,YEG,18.8
05/12/2023,YEG,17.85
04/12/2023,YEG,17.85
01/12/2023,YEG,17.65
30/11/2023,YEG,17.15
29/11/2023,YEG,17.05
28/11/2023,YEG,17.5
27/11/2023,YEG,17.25
24/11/2023,YEG,16.15
23/11/2023,YEG,15.6
22/11/2023,YEG,16.45
21/11/2023,YEG,16.0
20/11/2023,YEG,15.6
17/11/2023,YEG,15.5
16/11/2023,YEG,16.1
15/11/2023,YEG,16.2
14/11/2023,YEG,16.2
13/11/2023,YEG,15.7
10/11/2023,YEG,16.5
09/11/2023,YEG,17.2
08/11/2023,YEG,17.4
07/11/2023,YEG,16.75
06/11/2023,YEG,17.1
03/11/2023,YEG,17.0
02/11/2023,YEG,16.65
01/11/2023,YEG,16.6
31/10/2023,YEG,17.8
30/10/2023,YEG,18.5
27/10/2023,YEG,18.6
26/10/2023,YEG,17.4
25/10/2023,YEG,16.3
24/10/2023,YEG,16.7
23/10/2023,YEG,16.35
20/10/2023,YEG,15.3
19/10/2023,YEG,14.5
18/10/2023,YEG,15.55
17/10/2023,YEG,16.6
16/10/2023,YEG,16.75
13/10/2023,YEG,15.7
12/10/2023,YEG,16.25
11/10/2023,YEG,17.45
10/10/2023,YEG,17.45
09/10/2023,YEG,16.35
06/10/2023,YEG,15.3
05/10/2023,YEG,14.3
04/10/2023,YEG,13.4
03/10/2023,YEG,13.6
02/10/2023,YEG,12.75
29/09/2023,YEG,11.95
28/09/2023,YEG,11.75
27/09/2023,YEG,12.1
26/09/2023,YEG,12.1
25/09/2023,YEG,12.0
22/09/2023,YEG,12.8
21/09/2023,YEG,13.1
20/09/2023,YEG,13.1
19/09/2023,YEG,12.95
18/09/2023,YEG,13.1
15/09/2023,YEG,13.15
14/09/2023,YEG,13.2
13/09/2023,YEG,13.2
12/09/2023,YEG,13.05
11/09/2023,YEG,13.05
08/09/2023,YEG,13.15
07/09/2023,YEG,13.2
06/09/2023,YEG,13.35
05/09/2023,YEG,13.35
31/08/2023,YEG,12.9
30/08/2023,YEG,12.6
29/08/2023,YEG,13.1
28/08/2023,YEG,13.1
25/08/2023,YEG,12.75
24/08/2023,YEG,12.45
23/08/2023,YEG,12.0
22/08/2023,YEG,12.4
21/08/2023,YEG,12.5
18/08/2023,YEG,12.55
17/08/2023,YEG,13.45
16/08/2023,YEG,13.65
15/08/2023,YEG,13.75
14/08/2023,YEG,13.95
11/08/2023,YEG,13.5
10/08/2023,YEG,13.5
09/08/2023,YEG,13.85
08/08/2023,YEG,14.0
07/08/2023,YEG,13.75
04/08/2023,YEG,13.55
03/08/2023,YEG,13.5
02/08/2023,YEG,13.4
01/08/2023,YEG,13.45
31/07/2023,YEG,13.8
28/07/2023,YEG,14.05
27/07/2023,YEG,14.05
26/07/2023,YEG,14.0
25/07/2023,YEG,13.65
24/07/2023,YEG,13.7
21/07/2023,YEG,13.6
20/07/2023,YEG,13.6
19/07/2023,YEG,13.6
