Ngay,Symbol,GiaDongCua
29/12/2023,ADS,13.2
28/12/2023,ADS,13.05
27/12/2023,ADS,13.15
26/12/2023,ADS,13.2
25/12/2023,ADS,13.25
22/12/2023,ADS,13.2
21/12/2023,ADS,13.25
20/12/2023,ADS,13.3
19/12/2023,ADS,13.25
18/12/2023,ADS,13.2
15/12/2023,ADS,13.5
14/12/2023,ADS,13.5
13/12/2023,ADS,13.65
12/12/2023,ADS,13.85
11/12/2023,ADS,14.0
08/12/2023,ADS,14.25
07/12/2023,ADS,13.8
06/12/2023,ADS,13.75
05/12/2023,ADS,13.35
04/12/2023,ADS,13.25
01/12/2023,ADS,13.05
30/11/2023,ADS,13.05
29/11/2023,ADS,13.2
28/11/2023,ADS,13.15
27/11/2023,ADS,13.1
24/11/2023,ADS,13.4
23/11/2023,ADS,13.4
22/11/2023,ADS,13.6
21/11/2023,ADS,13.6
20/11/2023,ADS,13.3
17/11/2023,ADS,13.5
16/11/2023,ADS,13.75
15/11/2023,ADS,13.6
14/11/2023,ADS,13.9
13/11/2023,ADS,13.5
10/11/2023,ADS,13.7
09/11/2023,ADS,13.8
08/11/2023,ADS,13.4
07/11/2023,ADS,12.85
06/11/2023,ADS,13.2
03/11/2023,ADS,13.2
02/11/2023,ADS,13.4
01/11/2023,ADS,12.8
31/10/2023,ADS,12.3
30/10/2023,ADS,12.5
27/10/2023,ADS,12.5
26/10/2023,ADS,12.4
25/10/2023,ADS,13.3
24/10/2023,ADS,13.5
23/10/2023,ADS,13.15
20/10/2023,ADS,13.15
19/10/2023,ADS,12.3
18/10/2023,ADS,12.9
17/10/2023,ADS,13.8
16/10/2023,ADS,14.1
13/10/2023,ADS,14.4
12/10/2023,ADS,14.3
11/10/2023,ADS,14.55
10/10/2023,ADS,14.4
09/10/2023,ADS,14.35
06/10/2023,ADS,13.8
05/10/2023,ADS,13.6
04/10/2023,ADS,13.85
03/10/2023,ADS,13.65
02/10/2023,ADS,14.2
29/09/2023,ADS,14.3
28/09/2023,ADS,13.55
27/09/2023,ADS,13.8
26/09/2023,ADS,13.8
25/09/2023,ADS,14.8
22/09/2023,ADS,15.9
21/09/2023,ADS,16.2
20/09/2023,ADS,16.4
19/09/2023,ADS,15.4
18/09/2023,ADS,15.15
15/09/2023,ADS,15.6
14/09/2023,ADS,15.75
13/09/2023,ADS,16.1
12/09/2023,ADS,16.5
11/09/2023,ADS,15.7
08/09/2023,ADS,16.75
07/09/2023,ADS,16.7
06/09/2023,ADS,16.55
05/09/2023,ADS,15.9
31/08/2023,ADS,15.5
30/08/2023,ADS,15.0
29/08/2023,ADS,15.2
28/08/2023,ADS,15.15
25/08/2023,ADS,14.85
24/08/2023,ADS,15.25
23/08/2023,ADS,15.1
22/08/2023,ADS,14.95
21/08/2023,ADS,14.7
18/08/2023,ADS,15.75
17/08/2023,ADS,16.9
16/08/2023,ADS,17.15
15/08/2023,ADS,17.05
14/08/2023,ADS,16.65
11/08/2023,ADS,16.7
10/08/2023,ADS,16.9
09/08/2023,ADS,17.0
08/08/2023,ADS,16.6
07/08/2023,ADS,16.85
04/08/2023,ADS,17.2
03/08/2023,ADS,17.3
02/08/2023,ADS,17.5
01/08/2023,ADS,16.65
31/07/2023,ADS,16.4
28/07/2023,ADS,16.25
27/07/2023,ADS,16.35
26/07/2023,ADS,16.55
25/07/2023,ADS,16.65
