Ngay,GiaDongCua
29/12/2023,15.15
28/12/2023,14.9
27/12/2023,15.1
26/12/2023,15.2
25/12/2023,15.15
22/12/2023,15.15
21/12/2023,15.2
20/12/2023,15.2
19/12/2023,15.05
18/12/2023,15.05
15/12/2023,15.3
14/12/2023,15.3
13/12/2023,15.2
12/12/2023,15.3
11/12/2023,15.3
08/12/2023,15.45
07/12/2023,15.55
06/12/2023,15.6
05/12/2023,15.25
04/12/2023,15.3
01/12/2023,15.25
30/11/2023,15.1
29/11/2023,15.2
28/11/2023,15.3
27/11/2023,15.0
24/11/2023,15.0
23/11/2023,15.0
22/11/2023,15.0
21/11/2023,15.0
20/11/2023,15.2
17/11/2023,15.3
16/11/2023,15.45
15/11/2023,15.6
14/11/2023,15.6
13/11/2023,15.25
10/11/2023,15.2
09/11/2023,15.25
08/11/2023,14.9
07/11/2023,14.7
06/11/2023,14.45
03/11/2023,14.5
02/11/2023,15.3
01/11/2023,15.4
31/10/2023,15.8
30/10/2023,16.95
27/10/2023,16.65
26/10/2023,16.45
25/10/2023,17.65
24/10/2023,17.4
23/10/2023,17.25
20/10/2023,17.5
19/10/2023,17.5
18/10/2023,17.45
17/10/2023,17.95
16/10/2023,18.0
13/10/2023,18.25
12/10/2023,18.25
11/10/2023,18.2
10/10/2023,18.05
09/10/2023,17.85
06/10/2023,17.85
05/10/2023,17.55
04/10/2023,17.9
03/10/2023,17.55
02/10/2023,18.75
29/09/2023,18.75
28/09/2023,18.3
27/09/2023,18.5
26/09/2023,18.55
25/09/2023,18.5
22/09/2023,19.4
21/09/2023,19.5
20/09/2023,19.75
19/09/2023,19.55
18/09/2023,19.5
15/09/2023,19.8
14/09/2023,19.9
13/09/2023,20.3
12/09/2023,20.3
11/09/2023,20.3
08/09/2023,20.3
07/09/2023,19.7
06/09/2023,19.7
05/09/2023,19.75
31/08/2023,19.3
30/08/2023,18.9
29/08/2023,19.1
28/08/2023,19.2
25/08/2023,19.0
24/08/2023,19.0
23/08/2023,19.0
22/08/2023,19.05
21/08/2023,18.75
18/08/2023,19.45
17/08/2023,20.9
16/08/2023,21.15
15/08/2023,21.25
14/08/2023,21.3
11/08/2023,21.4
10/08/2023,21.5
09/08/2023,21.5
08/08/2023,21.8
07/08/2023,21.15
04/08/2023,21.3
03/08/2023,21.45
02/08/2023,21.45
01/08/2023,21.5
31/07/2023,21.55
28/07/2023,22.0
27/07/2023,22.4
26/07/2023,22.5
25/07/2023,22.5
24/07/2023,23.0
21/07/2023,22.0
20/07/2023,21.5
19/07/2023,21.4
18/07/2023,21.45
17/07/2023,21.15
14/07/2023,21.5
13/07/2023,21.4
12/07/2023,21.55
11/07/2023,21.05
10/07/2023,19.7
07/07/2023,19.45
06/07/2023,19.35
05/07/2023,19.65
04/07/2023,19.65
03/07/2023,19.1
30/06/2023,19.15
29/06/2023,19.3
28/06/2023,19.45
27/06/2023,19.35
26/06/2023,19.35
23/06/2023,19.55
22/06/2023,19.2
21/06/2023,19.5
20/06/2023,18.5
19/06/2023,18.5
16/06/2023,19.0
15/06/2023,19.45
14/06/2023,19.5
13/06/2023,20.35
12/06/2023,20.25
09/06/2023,19.8
08/06/2023,20.15
07/06/2023,20.2
06/06/2023,19.0
05/06/2023,19.15
02/06/2023,19.25
01/06/2023,19.3
31/05/2023,19.3
30/05/2023,19.05
29/05/2023,18.5
26/05/2023,18.25
25/05/2023,18.35
24/05/2023,18.4
23/05/2023,18.35
22/05/2023,18.4
19/05/2023,18.2
18/05/2023,18.5
17/05/2023,18.35
16/05/2023,18.7
15/05/2023,18.7
12/05/2023,18.7
11/05/2023,18.6
10/05/2023,18.8
09/05/2023,18.6
08/05/2023,18.3
05/05/2023,17.95
04/05/2023,17.85
28/04/2023,17.9
27/04/2023,17.9
26/04/2023,17.9
25/04/2023,17.6
24/04/2023,17.7
21/04/2023,18.3
20/04/2023,18.45
19/04/2023,18.4
18/04/2023,18.5
17/04/2023,18.35
14/04/2023,18.6
13/04/2023,19.3
12/04/2023,19.3
11/04/2023,19.3
10/04/2023,19.3
07/04/2023,19.0
06/04/2023,19.2
05/04/2023,18.6
04/04/2023,18.5
03/04/2023,18.5
31/03/2023,18.15
30/03/2023,18.2
29/03/2023,18.25
28/03/2023,18.2
27/03/2023,18.0
24/03/2023,18.0
23/03/2023,18.0
22/03/2023,18.2
21/03/2023,18.15
20/03/2023,17.75
17/03/2023,18.15
16/03/2023,18.35
15/03/2023,18.35
14/03/2023,17.65
13/03/2023,18.8
10/03/2023,18.95
09/03/2023,19.1
08/03/2023,18.55
07/03/2023,18.45
06/03/2023,18.5
03/03/2023,18.35
02/03/2023,18.9
01/03/2023,18.5
28/02/2023,18.7
27/02/2023,18.25
24/02/2023,19.25
23/02/2023,19.8
22/02/2023,20.0
21/02/2023,21.2
20/02/2023,21.3
17/02/2023,20.7
16/02/2023,20.45
15/02/2023,19.15
14/02/2023,19.0
13/02/2023,18.65
10/02/2023,18.65
09/02/2023,18.4
08/02/2023,18.75
07/02/2023,18.5
06/02/2023,18.9
03/02/2023,17.7
02/02/2023,17.3
01/02/2023,17.2
31/01/2023,17.55
30/01/2023,17.5
27/01/2023,17.2
19/01/2023,17.2
18/01/2023,17.1
17/01/2023,16.7
16/01/2023,16.6
13/01/2023,16.8
12/01/2023,17.0
11/01/2023,16.8
10/01/2023,16.9
09/01/2023,17.0
06/01/2023,17.45
05/01/2023,17.5
04/01/2023,17.8
03/01/2023,17.75
30/12/2022,17.0
29/12/2022,16.75
28/12/2022,17.2
27/12/2022,17.0
26/12/2022,16.3
23/12/2022,16.7
22/12/2022,17.0
21/12/2022,17.0
20/12/2022,17.3
19/12/2022,18.0
16/12/2022,17.6
15/12/2022,18.0
14/12/2022,17.5
13/12/2022,17.2
12/12/2022,17.0
09/12/2022,17.1
08/12/2022,17.0
07/12/2022,16.8
06/12/2022,17.25
05/12/2022,18.5
02/12/2022,17.3
01/12/2022,16.2
30/11/2022,15.45
29/11/2022,15.3
28/11/2022,14.9
25/11/2022,14.2
24/11/2022,13.9
23/11/2022,13.95
22/11/2022,14.3
21/11/2022,14.25
18/11/2022,13.85
17/11/2022,14.05
16/11/2022,13.4
15/11/2022,12.9
14/11/2022,13.3
11/11/2022,13.8
10/11/2022,14.8
09/11/2022,15.9
08/11/2022,15.3
07/11/2022,15.8
04/11/2022,16.55
03/11/2022,16.9
02/11/2022,16.8
01/11/2022,16.75
31/10/2022,16.8
28/10/2022,17.1
27/10/2022,17.2
26/10/2022,16.65
25/10/2022,16.1
24/10/2022,16.0
21/10/2022,16.4
20/10/2022,17.6
19/10/2022,18.15
18/10/2022,17.75
17/10/2022,16.6
14/10/2022,16.7
13/10/2022,16.25
12/10/2022,16.5
11/10/2022,15.8
10/10/2022,16.0
07/10/2022,16.2
06/10/2022,17.1
05/10/2022,17.8
04/10/2022,17.2
03/10/2022,17.1
30/09/2022,18.3
29/09/2022,18.85
28/09/2022,19.3
27/09/2022,20.05
26/09/2022,20.65
23/09/2022,21.7
22/09/2022,22.0
21/09/2022,21.7
20/09/2022,22.0
19/09/2022,22.0
16/09/2022,22.8
15/09/2022,23.1
14/09/2022,23.15
13/09/2022,23.3
12/09/2022,23.0
09/09/2022,23.1
08/09/2022,23.15
07/09/2022,23.05
06/09/2022,23.6
05/09/2022,23.6
31/08/2022,24.0
30/08/2022,23.85
29/08/2022,23.8
26/08/2022,24.55
25/08/2022,24.9
24/08/2022,24.6
23/08/2022,24.5
22/08/2022,24.8
19/08/2022,24.9
18/08/2022,25.0
17/08/2022,25.3
16/08/2022,25.6
15/08/2022,25.7
12/08/2022,25.5
11/08/2022,24.8
10/08/2022,25.7
09/08/2022,25.55
08/08/2022,25.9
05/08/2022,25.7
04/08/2022,25.65
03/08/2022,24.0
02/08/2022,23.3
01/08/2022,23.3
29/07/2022,23.2
28/07/2022,23.2
27/07/2022,22.7
26/07/2022,22.2
25/07/2022,22.85
22/07/2022,23.05
21/07/2022,23.45
20/07/2022,23.7
19/07/2022,22.6
18/07/2022,22.65
15/07/2022,23.15
14/07/2022,22.75
13/07/2022,22.75
12/07/2022,22.55
11/07/2022,21.4
08/07/2022,22.1
07/07/2022,21.0
06/07/2022,21.0
05/07/2022,22.05
04/07/2022,22.6
01/07/2022,22.4
30/06/2022,22.5
29/06/2022,22.9
28/06/2022,23.75
27/06/2022,22.2
24/06/2022,22.1
23/06/2022,22.0
22/06/2022,22.0
21/06/2022,21.0
20/06/2022,21.6
17/06/2022,23.2
16/06/2022,24.6
15/06/2022,24.0
14/06/2022,25.8
13/06/2022,26.6
10/06/2022,28.6
09/06/2022,29.4
08/06/2022,29.3
07/06/2022,28.15
06/06/2022,27.5
03/06/2022,29.15
02/06/2022,28.85
01/06/2022,30.0
31/05/2022,29.3
30/05/2022,29.2
27/05/2022,28.85
26/05/2022,27.0
25/05/2022,25.25
24/05/2022,23.6
23/05/2022,24.2
20/05/2022,25.45
19/05/2022,24.9
18/05/2022,24.95
17/05/2022,24.4
16/05/2022,22.85
13/05/2022,23.35
12/05/2022,25.1
11/05/2022,25.85
10/05/2022,26.45
09/05/2022,27.0
06/05/2022,29.0
05/05/2022,31.0
04/05/2022,29.45
29/04/2022,30.45
28/04/2022,28.65
27/04/2022,26.8
26/04/2022,25.55
25/04/2022,27.45
22/04/2022,29.5
21/04/2022,31.7
20/04/2022,34.05
19/04/2022,36.6
18/04/2022,39.0
15/04/2022,40.3
14/04/2022,38.6
13/04/2022,37.95
12/04/2022,39.25
08/04/2022,42.2
07/04/2022,43.9
06/04/2022,45.0
05/04/2022,46.2
04/04/2022,46.25
01/04/2022,47.25
31/03/2022,44.55
30/03/2022,47.85
29/03/2022,51.4
28/03/2022,53.0
25/03/2022,54.5
24/03/2022,51.0
23/03/2022,51.7
22/03/2022,55.5
21/03/2022,59.6
18/03/2022,64.0
17/03/2022,63.0
16/03/2022,62.1
15/03/2022,64.7
14/03/2022,64.9
11/03/2022,64.0
10/03/2022,60.2
09/03/2022,56.3
08/03/2022,60.1
07/03/2022,59.2
04/03/2022,55.5
03/03/2022,53.1
02/03/2022,53.0
01/03/2022,52.0
28/02/2022,48.6
25/02/2022,47.5
24/02/2022,45.6
23/02/2022,45.2
22/02/2022,45.0
21/02/2022,43.85
18/02/2022,43.8
17/02/2022,43.1
16/02/2022,40.3
15/02/2022,40.25
14/02/2022,39.7
