Ngay,GiaDongCua
29/12/2023,15.15
28/12/2023,14.95
27/12/2023,14.85
26/12/2023,14.85
25/12/2023,14.85
22/12/2023,15.0
21/12/2023,14.9
20/12/2023,14.7
19/12/2023,14.75
18/12/2023,14.8
15/12/2023,14.85
14/12/2023,14.7
13/12/2023,14.8
12/12/2023,15.1
11/12/2023,15.1
08/12/2023,15.2
07/12/2023,15.0
06/12/2023,15.0
05/12/2023,14.9
04/12/2023,14.9
01/12/2023,14.75
30/11/2023,14.9
29/11/2023,14.75
28/11/2023,14.75
27/11/2023,15.2
24/11/2023,15.35
23/11/2023,15.95
22/11/2023,15.2
21/11/2023,14.75
20/11/2023,15.1
17/11/2023,15.25
16/11/2023,14.5
15/11/2023,14.15
14/11/2023,14.1
13/11/2023,13.8
10/11/2023,13.75
09/11/2023,13.95
08/11/2023,13.9
07/11/2023,13.4
06/11/2023,13.6
03/11/2023,13.65
02/11/2023,13.6
01/11/2023,13.5
31/10/2023,14.5
30/10/2023,14.95
27/10/2023,15.0
26/10/2023,14.85
25/10/2023,15.55
24/10/2023,15.5
23/10/2023,15.4
20/10/2023,15.5
19/10/2023,15.0
18/10/2023,15.15
17/10/2023,15.3
16/10/2023,15.55
13/10/2023,15.5
12/10/2023,15.6
11/10/2023,15.85
10/10/2023,15.9
09/10/2023,15.65
06/10/2023,15.7
05/10/2023,15.75
04/10/2023,15.9
03/10/2023,15.6
02/10/2023,15.85
29/09/2023,16.2
28/09/2023,16.0
27/09/2023,15.8
26/09/2023,15.25
25/09/2023,15.15
22/09/2023,16.1
21/09/2023,16.35
20/09/2023,16.45
19/09/2023,16.4
18/09/2023,16.45
15/09/2023,16.05
14/09/2023,16.1
13/09/2023,16.2
12/09/2023,16.1
11/09/2023,16.0
08/09/2023,16.8
07/09/2023,16.1
06/09/2023,16.35
05/09/2023,16.55
31/08/2023,16.5
30/08/2023,16.2
29/08/2023,16.1
28/08/2023,16.25
25/08/2023,16.3
24/08/2023,16.4
23/08/2023,16.4
22/08/2023,15.6
21/08/2023,15.6
18/08/2023,15.75
17/08/2023,16.2
16/08/2023,17.1
15/08/2023,17.1
14/08/2023,17.05
11/08/2023,17.0
10/08/2023,16.8
09/08/2023,17.45
08/08/2023,17.35
07/08/2023,17.6
04/08/2023,17.7
03/08/2023,17.85
02/08/2023,17.85
01/08/2023,17.95
31/07/2023,18.1
28/07/2023,18.35
27/07/2023,18.5
26/07/2023,19.0
25/07/2023,19.15
24/07/2023,18.55
21/07/2023,18.7
20/07/2023,18.45
19/07/2023,18.6
18/07/2023,18.6
17/07/2023,19.0
14/07/2023,19.25
13/07/2023,19.1
12/07/2023,19.1
11/07/2023,19.1
10/07/2023,18.9
07/07/2023,17.7
06/07/2023,17.7
05/07/2023,17.9
04/07/2023,17.75
03/07/2023,17.7
30/06/2023,17.25
29/06/2023,17.5
28/06/2023,18.0
27/06/2023,18.0
26/06/2023,18.0
23/06/2023,18.0
22/06/2023,18.3
21/06/2023,18.2
20/06/2023,17.35
19/06/2023,17.1
16/06/2023,17.4
15/06/2023,17.35
14/06/2023,17.0
13/06/2023,17.6
12/06/2023,17.4
09/06/2023,16.85
08/06/2023,16.5
07/06/2023,17.3
06/06/2023,17.55
05/06/2023,17.2
02/06/2023,18.15
01/06/2023,18.15
31/05/2023,18.5
30/05/2023,18.1
29/05/2023,18.6
26/05/2023,18.5
25/05/2023,19.25
24/05/2023,19.25
23/05/2023,18.95
22/05/2023,18.95
19/05/2023,17.75
18/05/2023,16.6
17/05/2023,15.7
16/05/2023,15.7
15/05/2023,16.1
12/05/2023,15.95
11/05/2023,15.05
10/05/2023,14.8
09/05/2023,14.85
08/05/2023,14.75
05/05/2023,14.85
04/05/2023,14.7
28/04/2023,15.2
27/04/2023,15.2
26/04/2023,14.95
25/04/2023,14.85
24/04/2023,14.85
21/04/2023,14.85
20/04/2023,15.1
19/04/2023,15.2
18/04/2023,15.05
17/04/2023,14.9
14/04/2023,14.8
13/04/2023,14.65
12/04/2023,14.85
11/04/2023,14.9
10/04/2023,15.2
07/04/2023,15.0
06/04/2023,14.45
05/04/2023,14.3
04/04/2023,14.7
03/04/2023,14.8
31/03/2023,15.2
30/03/2023,15.8
29/03/2023,15.15
28/03/2023,15.05
27/03/2023,14.8
24/03/2023,14.4
23/03/2023,14.2
22/03/2023,13.9
21/03/2023,14.05
20/03/2023,14.0
17/03/2023,14.2
16/03/2023,13.8
15/03/2023,14.05
14/03/2023,13.7
13/03/2023,13.7
10/03/2023,13.65
09/03/2023,13.65
08/03/2023,13.6
07/03/2023,13.6
06/03/2023,13.7
03/03/2023,13.75
02/03/2023,13.85
01/03/2023,13.85
28/02/2023,13.95
27/02/2023,13.75
24/02/2023,13.95
23/02/2023,13.7
22/02/2023,13.75
21/02/2023,13.8
20/02/2023,13.7
17/02/2023,13.55
16/02/2023,13.7
15/02/2023,13.6
14/02/2023,13.45
13/02/2023,13.6
10/02/2023,13.7
09/02/2023,13.7
08/02/2023,13.9
07/02/2023,13.8
06/02/2023,13.75
03/02/2023,13.7
02/02/2023,13.9
01/02/2023,14.2
31/01/2023,14.6
30/01/2023,13.9
27/01/2023,13.85
19/01/2023,13.85
18/01/2023,13.75
17/01/2023,13.75
16/01/2023,13.85
13/01/2023,13.85
12/01/2023,13.85
11/01/2023,14.0
10/01/2023,14.0
09/01/2023,13.9
06/01/2023,14.0
05/01/2023,14.0
04/01/2023,13.9
03/01/2023,13.85
30/12/2022,14.3
29/12/2022,14.2
28/12/2022,14.45
27/12/2022,14.05
26/12/2022,14.6
23/12/2022,14.55
22/12/2022,14.6
21/12/2022,14.35
20/12/2022,14.2
19/12/2022,14.1
16/12/2022,14.8
15/12/2022,14.8
14/12/2022,14.2
13/12/2022,13.7
12/12/2022,13.6
09/12/2022,13.7
08/12/2022,13.8
07/12/2022,13.9
06/12/2022,13.9
05/12/2022,14.2
02/12/2022,14.15
01/12/2022,13.9
30/11/2022,14.25
29/11/2022,13.85
28/11/2022,14.0
25/11/2022,13.45
24/11/2022,12.85
23/11/2022,12.95
22/11/2022,13.25
21/11/2022,13.4
18/11/2022,13.15
17/11/2022,12.85
16/11/2022,12.35
15/11/2022,11.55
14/11/2022,12.4
11/11/2022,13.3
10/11/2022,13.35
09/11/2022,13.4
08/11/2022,13.1
07/11/2022,13.15
04/11/2022,14.1
03/11/2022,14.6
02/11/2022,14.6
01/11/2022,14.65
31/10/2022,14.75
28/10/2022,14.1
27/10/2022,14.0
26/10/2022,13.25
25/10/2022,13.3
24/10/2022,13.0
21/10/2022,13.4
20/10/2022,13.9
19/10/2022,13.95
18/10/2022,13.65
17/10/2022,13.5
14/10/2022,13.6
13/10/2022,13.4
12/10/2022,13.45
11/10/2022,12.75
10/10/2022,13.25
07/10/2022,13.3
06/10/2022,13.6
05/10/2022,13.95
04/10/2022,13.85
03/10/2022,14.15
30/09/2022,14.5
29/09/2022,14.3
28/09/2022,14.25
27/09/2022,14.65
26/09/2022,14.8
23/09/2022,15.15
22/09/2022,15.15
21/09/2022,15.1
20/09/2022,15.35
19/09/2022,15.1
16/09/2022,15.4
15/09/2022,15.35
14/09/2022,15.3
13/09/2022,15.4
12/09/2022,15.4
09/09/2022,15.4
08/09/2022,15.4
07/09/2022,15.4
06/09/2022,15.75
05/09/2022,15.95
31/08/2022,16.0
30/08/2022,15.7
29/08/2022,15.6
26/08/2022,15.75
25/08/2022,15.25
24/08/2022,15.2
23/08/2022,14.55
22/08/2022,14.6
19/08/2022,14.55
18/08/2022,14.9
17/08/2022,15.1
16/08/2022,14.95
15/08/2022,15.2
12/08/2022,15.0
11/08/2022,15.0
10/08/2022,14.75
09/08/2022,14.5
08/08/2022,14.8
05/08/2022,14.65
04/08/2022,14.8
03/08/2022,14.75
02/08/2022,14.8
01/08/2022,15.0
29/07/2022,15.0
28/07/2022,14.65
27/07/2022,14.1
26/07/2022,14.0
25/07/2022,13.95
22/07/2022,14.7
21/07/2022,14.6
20/07/2022,14.35
19/07/2022,13.8
18/07/2022,13.8
15/07/2022,13.8
14/07/2022,13.85
13/07/2022,13.8
12/07/2022,13.7
11/07/2022,13.7
08/07/2022,13.65
07/07/2022,13.4
06/07/2022,13.4
05/07/2022,13.9
04/07/2022,13.9
01/07/2022,14.4
30/06/2022,14.4
29/06/2022,14.2
28/06/2022,14.1
27/06/2022,13.55
24/06/2022,13.5
23/06/2022,13.35
22/06/2022,13.0
21/06/2022,13.05
20/06/2022,13.35
17/06/2022,13.65
16/06/2022,13.75
15/06/2022,13.45
14/06/2022,13.65
13/06/2022,13.35
10/06/2022,14.3
09/06/2022,14.7
08/06/2022,15.05
07/06/2022,14.5
06/06/2022,15.55
03/06/2022,15.25
02/06/2022,15.4
01/06/2022,15.3
31/05/2022,15.55
30/05/2022,15.45
27/05/2022,15.3
26/05/2022,15.25
25/05/2022,15.2
24/05/2022,14.7
23/05/2022,14.7
20/05/2022,14.7
19/05/2022,14.2
18/05/2022,14.6
17/05/2022,14.65
16/05/2022,13.7
13/05/2022,13.5
12/05/2022,14.15
11/05/2022,15.2
10/05/2022,15.2
09/05/2022,14.9
06/05/2022,16.0
05/05/2022,16.8
04/05/2022,16.9
29/04/2022,17.2
28/04/2022,16.5
27/04/2022,15.85
26/04/2022,15.5
25/04/2022,15.6
22/04/2022,16.75
21/04/2022,17.6
20/04/2022,18.6
19/04/2022,20.0
18/04/2022,20.3
15/04/2022,20.1
14/04/2022,19.6
13/04/2022,19.5
12/04/2022,20.4
08/04/2022,21.9
07/04/2022,21.7
06/04/2022,21.85
05/04/2022,20.45
04/04/2022,20.15
01/04/2022,20.1
31/03/2022,20.65
30/03/2022,20.2
29/03/2022,20.2
28/03/2022,19.15
25/03/2022,18.25
24/03/2022,17.3
23/03/2022,16.8
22/03/2022,16.85
21/03/2022,17.0
18/03/2022,17.0
17/03/2022,17.15
16/03/2022,17.0
15/03/2022,17.0
14/03/2022,16.3
11/03/2022,16.8
10/03/2022,17.0
09/03/2022,16.85
08/03/2022,16.95
07/03/2022,17.4
04/03/2022,17.2
03/03/2022,17.3
02/03/2022,16.75
01/03/2022,17.15
28/02/2022,17.05
25/02/2022,17.25
24/02/2022,16.15
23/02/2022,16.45
22/02/2022,16.4
21/02/2022,16.2
18/02/2022,15.65
17/02/2022,15.7
16/02/2022,15.85
15/02/2022,15.6
14/02/2022,15.7
11/02/2022,15.8
10/02/2022,15.85
09/02/2022,15.85
08/02/2022,15.85
07/02/2022,15.85
28/01/2022,15.45
27/01/2022,14.95
26/01/2022,14.7
25/01/2022,15.2
24/01/2022,15.3
21/01/2022,16.0
20/01/2022,16.05
19/01/2022,16.2
18/01/2022,17.65
17/01/2022,17.3
14/01/2022,18.0
13/01/2022,18.3
12/01/2022,17.65
11/01/2022,17.55
10/01/2022,17.7
07/01/2022,17.85
06/01/2022,17.8
05/01/2022,17.75
04/01/2022,17.65
31/12/2021,17.8
30/12/2021,17.8
29/12/2021,17.65
28/12/2021,17.3
27/12/2021,16.95
24/12/2021,17.05
23/12/2021,17.65
22/12/2021,18.5
21/12/2021,18.8
20/12/2021,17.6
17/12/2021,17.75
16/12/2021,17.7
15/12/2021,17.65
14/12/2021,17.4
13/12/2021,17.5
10/12/2021,17.3
09/12/2021,17.25
08/12/2021,17.35
07/12/2021,17.3
06/12/2021,17.1
03/12/2021,18.0
02/12/2021,18.3
01/12/2021,18.2
30/11/2021,18.3
29/11/2021,17.95
26/11/2021,17.9
25/11/2021,18.3
24/11/2021,18.3
23/11/2021,18.2
22/11/2021,17.65
19/11/2021,18.95
18/11/2021,19.6
17/11/2021,19.2
16/11/2021,19.5
15/11/2021,19.4
12/11/2021,19.8
11/11/2021,19.7
10/11/2021,19.65
09/11/2021,19.9
08/11/2021,20.2
05/11/2021,20.7
04/11/2021,20.7
03/11/2021,20.0
02/11/2021,19.65
01/11/2021,19.3
29/10/2021,19.65
28/10/2021,19.5
27/10/2021,19.75
26/10/2021,18.7
25/10/2021,18.75
22/10/2021,18.8
21/10/2021,18.8
20/10/2021,17.9
19/10/2021,18.3
18/10/2021,18.55
15/10/2021,18.5
14/10/2021,18.3
13/10/2021,18.25
12/10/2021,18.2
11/10/2021,17.85
08/10/2021,17.9
07/10/2021,17.9
06/10/2021,17.8
05/10/2021,17.7
04/10/2021,17.7
01/10/2021,17.5
30/09/2021,17.9
29/09/2021,18.0
