Ngay,Symbol,GiaDongCua
29/12/2023,GIL,24.95
28/12/2023,GIL,24.8
27/12/2023,GIL,24.9
26/12/2023,GIL,25.15
25/12/2023,GIL,25.4
22/12/2023,GIL,24.8
21/12/2023,GIL,24.9
20/12/2023,GIL,25.15
19/12/2023,GIL,25.0
18/12/2023,GIL,24.65
15/12/2023,GIL,24.95
14/12/2023,GIL,25.0
13/12/2023,GIL,25.5
12/12/2023,GIL,26.3
11/12/2023,GIL,26.0
08/12/2023,GIL,26.6
07/12/2023,GIL,26.7
06/12/2023,GIL,27.05
05/12/2023,GIL,26.5
04/12/2023,GIL,25.9
01/12/2023,GIL,25.15
30/11/2023,GIL,24.6
29/11/2023,GIL,25.25
28/11/2023,GIL,24.75
27/11/2023,GIL,24.75
24/11/2023,GIL,25.2
23/11/2023,GIL,25.2
22/11/2023,GIL,25.8
21/11/2023,GIL,25.5
20/11/2023,GIL,25.2
17/11/2023,GIL,25.15
16/11/2023,GIL,25.95
15/11/2023,GIL,25.8
14/11/2023,GIL,25.5
13/11/2023,GIL,24.85
10/11/2023,GIL,25.0
09/11/2023,GIL,25.05
08/11/2023,GIL,24.85
07/11/2023,GIL,23.25
06/11/2023,GIL,23.05
03/11/2023,GIL,23.1
02/11/2023,GIL,23.35
01/11/2023,GIL,21.85
31/10/2023,GIL,22.25
30/10/2023,GIL,23.9
27/10/2023,GIL,24.7
26/10/2023,GIL,25.8
25/10/2023,GIL,27.7
24/10/2023,GIL,27.85
23/10/2023,GIL,27.3
20/10/2023,GIL,28.0
19/10/2023,GIL,27.15
18/10/2023,GIL,28.35
17/10/2023,GIL,30.45
16/10/2023,GIL,32.7
13/10/2023,GIL,33.9
12/10/2023,GIL,32.9
11/10/2023,GIL,33.0
10/10/2023,GIL,32.55
09/10/2023,GIL,31.9
06/10/2023,GIL,31.2
05/10/2023,GIL,31.0
04/10/2023,GIL,31.6
03/10/2023,GIL,30.9
02/10/2023,GIL,32.65
29/09/2023,GIL,31.9
28/09/2023,GIL,31.85
27/09/2023,GIL,32.0
26/09/2023,GIL,31.2
25/09/2023,GIL,33.5
22/09/2023,GIL,36.0
21/09/2023,GIL,35.3
20/09/2023,GIL,35.05
19/09/2023,GIL,32.8
18/09/2023,GIL,32.3
15/09/2023,GIL,32.0
14/09/2023,GIL,31.65
13/09/2023,GIL,32.55
12/09/2023,GIL,32.9
11/09/2023,GIL,32.1
08/09/2023,GIL,33.5
07/09/2023,GIL,32.95
06/09/2023,GIL,32.3
05/09/2023,GIL,31.7
31/08/2023,GIL,31.55
30/08/2023,GIL,29.5
29/08/2023,GIL,29.55
28/08/2023,GIL,29.35
25/08/2023,GIL,29.5
24/08/2023,GIL,28.65
23/08/2023,GIL,28.0
22/08/2023,GIL,28.3
21/08/2023,GIL,28.25
18/08/2023,GIL,27.8
17/08/2023,GIL,29.3
16/08/2023,GIL,30.1
15/08/2023,GIL,30.5
14/08/2023,GIL,30.2
11/08/2023,GIL,30.0
10/08/2023,GIL,30.6
09/08/2023,GIL,32.85
08/08/2023,GIL,33.35
07/08/2023,GIL,33.7
04/08/2023,GIL,33.45
03/08/2023,GIL,33.5
02/08/2023,GIL,32.55
01/08/2023,GIL,32.5
31/07/2023,GIL,33.35
28/07/2023,GIL,31.2
27/07/2023,GIL,30.7
26/07/2023,GIL,31.0
25/07/2023,GIL,30.9
24/07/2023,GIL,31.65
21/07/2023,GIL,31.85
20/07/2023,GIL,31.7
19/07/2023,GIL,30.7
18/07/2023,GIL,30.75
17/07/2023,GIL,31.3
14/07/2023,GIL,31.0
13/07/2023,GIL,31.3
12/07/2023,GIL,30.9
11/07/2023,GIL,31.15
10/07/2023,GIL,30.5
07/07/2023,GIL,30.0
06/07/2023,GIL,29.55
05/07/2023,GIL,27.65
04/07/2023,GIL,28.0
03/07/2023,GIL,27.0
30/06/2023,GIL,26.65
29/06/2023,GIL,27.0
28/06/2023,GIL,27.4
27/06/2023,GIL,27.6
26/06/2023,GIL,27.0
23/06/2023,GIL,27.55
22/06/2023,GIL,27.7
21/06/2023,GIL,27.35
20/06/2023,GIL,26.7
19/06/2023,GIL,26.15
16/06/2023,GIL,26.3
15/06/2023,GIL,26.4
14/06/2023,GIL,26.3
13/06/2023,GIL,26.85
12/06/2023,GIL,27.3
09/06/2023,GIL,26.3
08/06/2023,GIL,26.4
07/06/2023,GIL,26.75
06/06/2023,GIL,26.75
05/06/2023,GIL,26.5
02/06/2023,GIL,26.1
01/06/2023,GIL,26.35
31/05/2023,GIL,25.9
30/05/2023,GIL,24.25
29/05/2023,GIL,23.75
26/05/2023,GIL,23.25
25/05/2023,GIL,23.0
24/05/2023,GIL,23.7
23/05/2023,GIL,24.1
22/05/2023,GIL,23.9
19/05/2023,GIL,23.45
18/05/2023,GIL,23.6
17/05/2023,GIL,23.7
16/05/2023,GIL,23.65
15/05/2023,GIL,24.05
12/05/2023,GIL,24.7
11/05/2023,GIL,24.6
10/05/2023,GIL,23.3
09/05/2023,GIL,23.15
08/05/2023,GIL,22.7
05/05/2023,GIL,23.0
04/05/2023,GIL,22.45
28/04/2023,GIL,23.4
27/04/2023,GIL,23.8
26/04/2023,GIL,24.7
25/04/2023,GIL,23.95
24/04/2023,GIL,24.6
21/04/2023,GIL,24.6
20/04/2023,GIL,23.8
19/04/2023,GIL,22.25
18/04/2023,GIL,23.2
17/04/2023,GIL,23.0
14/04/2023,GIL,21.6
13/04/2023,GIL,22.9
12/04/2023,GIL,23.3
11/04/2023,GIL,21.8
10/04/2023,GIL,20.8
07/04/2023,GIL,21.2
06/04/2023,GIL,21.0
05/04/2023,GIL,21.3
