Ngay,GiaDongCua
29/12/2023,7.99
28/12/2023,7.99
27/12/2023,7.91
26/12/2023,7.92
25/12/2023,7.88
22/12/2023,7.98
21/12/2023,7.9
20/12/2023,8.01
19/12/2023,7.9
18/12/2023,8.02
15/12/2023,8.01
14/12/2023,7.91
13/12/2023,7.85
12/12/2023,8.0
11/12/2023,7.85
08/12/2023,7.76
07/12/2023,8.13
06/12/2023,8.14
05/12/2023,7.85
04/12/2023,7.79
01/12/2023,7.84
30/11/2023,7.78
29/11/2023,7.77
28/11/2023,7.27
27/11/2023,7.45
24/11/2023,7.29
23/11/2023,7.29
22/11/2023,7.5
21/11/2023,7.55
20/11/2023,7.6
17/11/2023,7.5
16/11/2023,7.66
15/11/2023,7.52
14/11/2023,7.69
13/11/2023,7.7
10/11/2023,7.55
09/11/2023,7.6
08/11/2023,7.7
07/11/2023,7.7
06/11/2023,7.51
03/11/2023,7.78
02/11/2023,7.49
01/11/2023,7.5
31/10/2023,8.06
30/10/2023,8.1
27/10/2023,8.7
26/10/2023,8.69
25/10/2023,9.14
24/10/2023,9.19
23/10/2023,9.19
20/10/2023,9.32
19/10/2023,9.32
18/10/2023,9.12
17/10/2023,8.81
16/10/2023,8.81
13/10/2023,9.1
12/10/2023,8.84
11/10/2023,8.85
10/10/2023,8.79
09/10/2023,8.79
06/10/2023,8.97
05/10/2023,9.0
04/10/2023,9.0
03/10/2023,9.0
02/10/2023,9.45
29/09/2023,9.5
28/09/2023,9.4
27/09/2023,9.19
26/09/2023,8.9
25/09/2023,9.02
22/09/2023,9.37
21/09/2023,9.5
20/09/2023,9.45
19/09/2023,9.13
18/09/2023,9.4
15/09/2023,9.2
14/09/2023,9.05
13/09/2023,9.1
12/09/2023,9.3
11/09/2023,9.21
08/09/2023,9.4
07/09/2023,9.2
06/09/2023,9.26
05/09/2023,9.11
31/08/2023,9.21
30/08/2023,9.1
29/08/2023,9.1
28/08/2023,8.95
25/08/2023,9.42
24/08/2023,9.25
23/08/2023,9.1
22/08/2023,9.25
21/08/2023,9.29
18/08/2023,9.3
17/08/2023,9.7
16/08/2023,9.89
15/08/2023,9.9
14/08/2023,9.79
11/08/2023,9.79
10/08/2023,9.75
09/08/2023,9.78
08/08/2023,9.5
07/08/2023,9.6
04/08/2023,9.6
03/08/2023,9.65
02/08/2023,9.59
01/08/2023,9.6
31/07/2023,9.9
28/07/2023,9.63
27/07/2023,10.0
26/07/2023,10.6
25/07/2023,10.6
24/07/2023,10.8
21/07/2023,11.0
20/07/2023,10.95
19/07/2023,11.1
18/07/2023,10.4
17/07/2023,9.76
14/07/2023,9.13
13/07/2023,9.08
12/07/2023,8.9
11/07/2023,9.12
10/07/2023,8.99
07/07/2023,9.04
06/07/2023,8.9
05/07/2023,9.09
04/07/2023,9.0
03/07/2023,8.83
30/06/2023,9.0
29/06/2023,8.95
28/06/2023,8.92
27/06/2023,8.9
26/06/2023,8.99
23/06/2023,9.0
22/06/2023,9.25
21/06/2023,8.91
20/06/2023,9.0
19/06/2023,9.0
16/06/2023,9.0
15/06/2023,9.2
14/06/2023,9.15
13/06/2023,9.1
12/06/2023,9.0
09/06/2023,9.1
08/06/2023,9.1
07/06/2023,9.1
06/06/2023,9.16
05/06/2023,9.05
02/06/2023,9.08
01/06/2023,8.91
31/05/2023,9.07
30/05/2023,9.01
29/05/2023,8.9
26/05/2023,8.71
25/05/2023,8.8
24/05/2023,9.0
23/05/2023,9.0
22/05/2023,8.9
19/05/2023,9.0
18/05/2023,9.05
17/05/2023,9.18
16/05/2023,9.0
15/05/2023,9.1
12/05/2023,9.05
11/05/2023,9.0
10/05/2023,9.0
09/05/2023,9.19
08/05/2023,9.19
05/05/2023,9.0
04/05/2023,8.9
28/04/2023,8.86
27/04/2023,9.0
26/04/2023,8.9
25/04/2023,9.0
24/04/2023,9.15
21/04/2023,9.1
20/04/2023,9.09
19/04/2023,9.09
18/04/2023,8.9
17/04/2023,8.9
14/04/2023,8.9
13/04/2023,8.84
12/04/2023,8.99
11/04/2023,8.9
10/04/2023,8.66
07/04/2023,8.85
06/04/2023,8.75
05/04/2023,8.81
