Ngay,Symbol,GiaDongCua
29/12/2023,KMR,3.53
28/12/2023,KMR,3.54
27/12/2023,KMR,3.47
26/12/2023,KMR,3.5
25/12/2023,KMR,3.5
22/12/2023,KMR,3.47
21/12/2023,KMR,3.5
20/12/2023,KMR,3.5
19/12/2023,KMR,3.5
18/12/2023,KMR,3.51
15/12/2023,KMR,3.52
14/12/2023,KMR,3.52
13/12/2023,KMR,3.48
12/12/2023,KMR,3.52
11/12/2023,KMR,3.53
08/12/2023,KMR,3.53
07/12/2023,KMR,3.54
06/12/2023,KMR,3.54
05/12/2023,KMR,3.53
04/12/2023,KMR,3.55
01/12/2023,KMR,3.55
30/11/2023,KMR,3.5
29/11/2023,KMR,3.53
28/11/2023,KMR,3.5
27/11/2023,KMR,3.53
24/11/2023,KMR,3.54
23/11/2023,KMR,3.58
22/11/2023,KMR,3.59
21/11/2023,KMR,3.59
20/11/2023,KMR,3.59
17/11/2023,KMR,3.59
16/11/2023,KMR,3.59
15/11/2023,KMR,3.59
14/11/2023,KMR,3.58
13/11/2023,KMR,3.62
10/11/2023,KMR,3.62
09/11/2023,KMR,3.61
08/11/2023,KMR,3.6
07/11/2023,KMR,3.58
06/11/2023,KMR,3.57
03/11/2023,KMR,3.57
02/11/2023,KMR,3.66
01/11/2023,KMR,3.53
31/10/2023,KMR,3.52
30/10/2023,KMR,3.51
27/10/2023,KMR,3.44
26/10/2023,KMR,3.39
25/10/2023,KMR,3.51
24/10/2023,KMR,3.51
23/10/2023,KMR,3.5
20/10/2023,KMR,3.5
19/10/2023,KMR,3.46
18/10/2023,KMR,3.44
17/10/2023,KMR,3.59
16/10/2023,KMR,3.6
13/10/2023,KMR,3.62
12/10/2023,KMR,3.66
11/10/2023,KMR,3.59
10/10/2023,KMR,3.6
09/10/2023,KMR,3.38
06/10/2023,KMR,3.37
05/10/2023,KMR,3.37
04/10/2023,KMR,3.38
03/10/2023,KMR,3.38
02/10/2023,KMR,3.47
29/09/2023,KMR,3.44
28/09/2023,KMR,3.4
27/09/2023,KMR,3.48
26/09/2023,KMR,3.45
25/09/2023,KMR,3.51
22/09/2023,KMR,3.65
21/09/2023,KMR,3.68
20/09/2023,KMR,3.67
19/09/2023,KMR,3.63
18/09/2023,KMR,3.67
15/09/2023,KMR,3.66
14/09/2023,KMR,3.63
13/09/2023,KMR,3.74
12/09/2023,KMR,3.77
11/09/2023,KMR,3.77
08/09/2023,KMR,3.81
07/09/2023,KMR,3.82
06/09/2023,KMR,3.79
05/09/2023,KMR,3.79
31/08/2023,KMR,3.75
30/08/2023,KMR,3.7
29/08/2023,KMR,3.64
28/08/2023,KMR,3.62
25/08/2023,KMR,3.62
24/08/2023,KMR,3.63
23/08/2023,KMR,3.61
22/08/2023,KMR,3.56
21/08/2023,KMR,3.6
18/08/2023,KMR,3.73
17/08/2023,KMR,4.01
16/08/2023,KMR,4.12
15/08/2023,KMR,4.15
14/08/2023,KMR,4.15
11/08/2023,KMR,4.11
10/08/2023,KMR,4.18
09/08/2023,KMR,4.25
08/08/2023,KMR,4.21
07/08/2023,KMR,4.01
04/08/2023,KMR,3.98
03/08/2023,KMR,3.98
02/08/2023,KMR,4.0
01/08/2023,KMR,4.0
31/07/2023,KMR,4.07
28/07/2023,KMR,4.04
27/07/2023,KMR,3.95
26/07/2023,KMR,3.96
25/07/2023,KMR,3.98
24/07/2023,KMR,4.02
21/07/2023,KMR,4.04
20/07/2023,KMR,4.07
19/07/2023,KMR,4.05
18/07/2023,KMR,4.03
17/07/2023,KMR,4.05
14/07/2023,KMR,4.0
13/07/2023,KMR,3.97
12/07/2023,KMR,3.93
11/07/2023,KMR,3.95
10/07/2023,KMR,3.94
07/07/2023,KMR,3.91
06/07/2023,KMR,3.91
05/07/2023,KMR,3.94
04/07/2023,KMR,3.88
03/07/2023,KMR,3.81
30/06/2023,KMR,3.82
29/06/2023,KMR,3.92
28/06/2023,KMR,3.9
27/06/2023,KMR,3.98
26/06/2023,KMR,4.01
23/06/2023,KMR,4.08
22/06/2023,KMR,4.07
21/06/2023,KMR,4.08
20/06/2023,KMR,4.01
19/06/2023,KMR,3.99
16/06/2023,KMR,4.16
15/06/2023,KMR,4.32
14/06/2023,KMR,4.23
13/06/2023,KMR,4.54
12/06/2023,KMR,4.28
09/06/2023,KMR,4.0
08/06/2023,KMR,4.06
07/06/2023,KMR,3.86
06/06/2023,KMR,3.82
05/06/2023,KMR,3.72
02/06/2023,KMR,3.99
01/06/2023,KMR,3.99
31/05/2023,KMR,3.82
30/05/2023,KMR,3.75
29/05/2023,KMR,3.75
26/05/2023,KMR,3.51
25/05/2023,KMR,3.52
24/05/2023,KMR,3.42
23/05/2023,KMR,3.35
22/05/2023,KMR,3.4
19/05/2023,KMR,3.36
18/05/2023,KMR,3.4
17/05/2023,KMR,3.5
16/05/2023,KMR,3.45
15/05/2023,KMR,3.45
12/05/2023,KMR,3.23
11/05/2023,KMR,3.02
10/05/2023,KMR,3.0
09/05/2023,KMR,2.9
08/05/2023,KMR,2.92
05/05/2023,KMR,2.86
04/05/2023,KMR,2.87
28/04/2023,KMR,2.81
27/04/2023,KMR,2.89
26/04/2023,KMR,2.89
25/04/2023,KMR,2.89
24/04/2023,KMR,2.88
21/04/2023,KMR,2.7
20/04/2023,KMR,2.84
19/04/2023,KMR,2.85
18/04/2023,KMR,2.84
17/04/2023,KMR,2.85
14/04/2023,KMR,2.88
13/04/2023,KMR,2.9
12/04/2023,KMR,2.91
11/04/2023,KMR,2.93
10/04/2023,KMR,2.93
07/04/2023,KMR,2.93
06/04/2023,KMR,2.93
