Ngay,Symbol,GiaDongCua
29/12/2023,PTB,59.0
28/12/2023,PTB,59.0
27/12/2023,PTB,59.0
26/12/2023,PTB,59.3
25/12/2023,PTB,60.4
22/12/2023,PTB,58.5
21/12/2023,PTB,58.2
20/12/2023,PTB,57.7
19/12/2023,PTB,57.7
18/12/2023,PTB,57.7
15/12/2023,PTB,58.0
14/12/2023,PTB,57.6
13/12/2023,PTB,58.3
12/12/2023,PTB,58.2
11/12/2023,PTB,57.6
08/12/2023,PTB,58.4
07/12/2023,PTB,58.9
06/12/2023,PTB,59.0
05/12/2023,PTB,58.6
04/12/2023,PTB,57.7
01/12/2023,PTB,57.5
30/11/2023,PTB,57.6
29/11/2023,PTB,58.1
28/11/2023,PTB,58.5
27/11/2023,PTB,58.0
24/11/2023,PTB,57.3
23/11/2023,PTB,57.5
22/11/2023,PTB,58.5
21/11/2023,PTB,58.5
20/11/2023,PTB,58.5
17/11/2023,PTB,57.7
16/11/2023,PTB,58.0
15/11/2023,PTB,58.0
14/11/2023,PTB,58.0
13/11/2023,PTB,56.7
10/11/2023,PTB,57.2
09/11/2023,PTB,56.9
08/11/2023,PTB,56.1
07/11/2023,PTB,55.5
06/11/2023,PTB,55.5
03/11/2023,PTB,55.0
02/11/2023,PTB,56.0
01/11/2023,PTB,54.0
31/10/2023,PTB,52.3
30/10/2023,PTB,54.7
27/10/2023,PTB,55.5
26/10/2023,PTB,56.0
25/10/2023,PTB,57.2
24/10/2023,PTB,57.4
23/10/2023,PTB,57.3
20/10/2023,PTB,57.5
19/10/2023,PTB,57.3
18/10/2023,PTB,57.8
17/10/2023,PTB,57.4
16/10/2023,PTB,57.3
13/10/2023,PTB,58.2
12/10/2023,PTB,58.2
11/10/2023,PTB,59.2
10/10/2023,PTB,59.2
09/10/2023,PTB,59.7
06/10/2023,PTB,62.4
05/10/2023,PTB,61.8
04/10/2023,PTB,59.3
03/10/2023,PTB,58.0
02/10/2023,PTB,58.5
29/09/2023,PTB,58.3
28/09/2023,PTB,59.0
27/09/2023,PTB,59.0
26/09/2023,PTB,58.9
25/09/2023,PTB,57.7
22/09/2023,PTB,60.2
21/09/2023,PTB,58.2
20/09/2023,PTB,58.3
19/09/2023,PTB,58.2
18/09/2023,PTB,56.9
15/09/2023,PTB,56.8
14/09/2023,PTB,56.8
13/09/2023,PTB,56.5
12/09/2023,PTB,57.3
11/09/2023,PTB,56.8
08/09/2023,PTB,58.3
07/09/2023,PTB,58.1
06/09/2023,PTB,57.8
05/09/2023,PTB,57.5
31/08/2023,PTB,57.8
30/08/2023,PTB,57.3
29/08/2023,PTB,55.0
28/08/2023,PTB,56.2
25/08/2023,PTB,55.1
24/08/2023,PTB,55.1
23/08/2023,PTB,53.8
22/08/2023,PTB,54.1
21/08/2023,PTB,53.8
18/08/2023,PTB,54.0
17/08/2023,PTB,54.0
16/08/2023,PTB,54.3
15/08/2023,PTB,54.7
14/08/2023,PTB,54.8
11/08/2023,PTB,54.6
10/08/2023,PTB,53.9
09/08/2023,PTB,54.5
08/08/2023,PTB,53.6
07/08/2023,PTB,54.5
04/08/2023,PTB,53.9
03/08/2023,PTB,54.0
02/08/2023,PTB,53.3
01/08/2023,PTB,52.8
31/07/2023,PTB,53.5
28/07/2023,PTB,51.8
27/07/2023,PTB,51.5
26/07/2023,PTB,52.5
25/07/2023,PTB,52.6
24/07/2023,PTB,53.0
21/07/2023,PTB,52.5
20/07/2023,PTB,51.8
19/07/2023,PTB,52.8
18/07/2023,PTB,52.8
17/07/2023,PTB,53.5
14/07/2023,PTB,53.9
13/07/2023,PTB,54.5
12/07/2023,PTB,53.6
11/07/2023,PTB,54.5
10/07/2023,PTB,53.0
07/07/2023,PTB,54.0
06/07/2023,PTB,52.0
05/07/2023,PTB,48.6
04/07/2023,PTB,47.85
03/07/2023,PTB,47.5
30/06/2023,PTB,47.55
29/06/2023,PTB,47.65
28/06/2023,PTB,48.9
27/06/2023,PTB,48.5
26/06/2023,PTB,47.75
23/06/2023,PTB,48.25
22/06/2023,PTB,48.45
21/06/2023,PTB,48.35
20/06/2023,PTB,47.85
19/06/2023,PTB,47.8
16/06/2023,PTB,47.5
15/06/2023,PTB,47.95
14/06/2023,PTB,48.45
13/06/2023,PTB,48.5
12/06/2023,PTB,48.65
09/06/2023,PTB,48.5
08/06/2023,PTB,47.6
07/06/2023,PTB,48.6
06/06/2023,PTB,49.0
05/06/2023,PTB,48.7
02/06/2023,PTB,47.2
01/06/2023,PTB,46.4
31/05/2023,PTB,46.4
30/05/2023,PTB,44.6
29/05/2023,PTB,44.9
26/05/2023,PTB,43.8
25/05/2023,PTB,44.4
24/05/2023,PTB,44.8
23/05/2023,PTB,47.0
22/05/2023,PTB,46.2
19/05/2023,PTB,46.1
18/05/2023,PTB,45.85
17/05/2023,PTB,46.0
16/05/2023,PTB,46.0
15/05/2023,PTB,46.5
12/05/2023,PTB,47.0
11/05/2023,PTB,46.15
10/05/2023,PTB,45.25
09/05/2023,PTB,45.35
08/05/2023,PTB,45.6
05/05/2023,PTB,43.5
04/05/2023,PTB,43.0
28/04/2023,PTB,43.8
27/04/2023,PTB,43.5
26/04/2023,PTB,42.4
25/04/2023,PTB,42.3
24/04/2023,PTB,42.3
21/04/2023,PTB,42.3
20/04/2023,PTB,42.0
19/04/2023,PTB,42.65
18/04/2023,PTB,43.3
17/04/2023,PTB,43.15
14/04/2023,PTB,43.85
13/04/2023,PTB,42.45
12/04/2023,PTB,42.7
11/04/2023,PTB,42.05
10/04/2023,PTB,41.8
