Ngay,Symbol,GiaDongCua
29/12/2023,RAL,108.1
28/12/2023,RAL,107.9
27/12/2023,RAL,108.0
26/12/2023,RAL,108.5
25/12/2023,RAL,108.5
22/12/2023,RAL,106.6
21/12/2023,RAL,105.5
20/12/2023,RAL,105.6
19/12/2023,RAL,105.1
18/12/2023,RAL,105.3
15/12/2023,RAL,105.5
14/12/2023,RAL,106.2
13/12/2023,RAL,105.0
12/12/2023,RAL,105.7
11/12/2023,RAL,105.9
08/12/2023,RAL,105.6
07/12/2023,RAL,105.9
06/12/2023,RAL,106.9
05/12/2023,RAL,107.0
04/12/2023,RAL,107.0
01/12/2023,RAL,108.0
30/11/2023,RAL,106.0
29/11/2023,RAL,108.1
28/11/2023,RAL,108.2
27/11/2023,RAL,106.7
24/11/2023,RAL,104.0
23/11/2023,RAL,104.6
22/11/2023,RAL,104.6
21/11/2023,RAL,104.6
20/11/2023,RAL,104.0
17/11/2023,RAL,104.7
16/11/2023,RAL,105.0
15/11/2023,RAL,105.3
14/11/2023,RAL,104.5
13/11/2023,RAL,104.8
10/11/2023,RAL,104.6
09/11/2023,RAL,105.0
08/11/2023,RAL,105.0
07/11/2023,RAL,103.9
06/11/2023,RAL,104.0
03/11/2023,RAL,103.7
02/11/2023,RAL,104.8
01/11/2023,RAL,103.4
31/10/2023,RAL,102.5
30/10/2023,RAL,104.1
27/10/2023,RAL,106.0
26/10/2023,RAL,104.2
25/10/2023,RAL,109.0
24/10/2023,RAL,109.1
23/10/2023,RAL,111.9
20/10/2023,RAL,112.0
19/10/2023,RAL,107.0
18/10/2023,RAL,108.0
17/10/2023,RAL,110.6
16/10/2023,RAL,111.7
13/10/2023,RAL,110.4
12/10/2023,RAL,111.6
11/10/2023,RAL,112.5
10/10/2023,RAL,111.9
09/10/2023,RAL,111.9
06/10/2023,RAL,106.8
05/10/2023,RAL,105.0
04/10/2023,RAL,105.0
03/10/2023,RAL,103.0
02/10/2023,RAL,103.0
29/09/2023,RAL,100.6
28/09/2023,RAL,101.5
27/09/2023,RAL,101.0
26/09/2023,RAL,102.0
25/09/2023,RAL,101.3
22/09/2023,RAL,103.4
21/09/2023,RAL,103.8
20/09/2023,RAL,103.5
19/09/2023,RAL,103.0
18/09/2023,RAL,102.6
15/09/2023,RAL,103.0
14/09/2023,RAL,102.4
13/09/2023,RAL,103.1
12/09/2023,RAL,101.6
11/09/2023,RAL,102.8
08/09/2023,RAL,104.4
07/09/2023,RAL,103.7
06/09/2023,RAL,102.8
