Ngay,Symbol,GiaDongCua
29/12/2023,SAV,14.7
28/12/2023,SAV,14.35
27/12/2023,SAV,14.65
26/12/2023,SAV,14.55
25/12/2023,SAV,14.75
22/12/2023,SAV,14.7
21/12/2023,SAV,14.7
20/12/2023,SAV,14.9
19/12/2023,SAV,14.9
18/12/2023,SAV,15.0
15/12/2023,SAV,15.15
14/12/2023,SAV,15.3
13/12/2023,SAV,15.3
12/12/2023,SAV,15.2
11/12/2023,SAV,15.1
08/12/2023,SAV,15.55
07/12/2023,SAV,15.0
06/12/2023,SAV,15.0
05/12/2023,SAV,14.3
04/12/2023,SAV,14.4
01/12/2023,SAV,13.95
30/11/2023,SAV,13.8
29/11/2023,SAV,14.1
28/11/2023,SAV,14.2
27/11/2023,SAV,14.4
24/11/2023,SAV,14.3
23/11/2023,SAV,14.05
22/11/2023,SAV,14.25
21/11/2023,SAV,14.4
20/11/2023,SAV,14.55
17/11/2023,SAV,14.3
16/11/2023,SAV,15.1
15/11/2023,SAV,15.25
14/11/2023,SAV,14.65
13/11/2023,SAV,14.35
10/11/2023,SAV,14.8
09/11/2023,SAV,14.0
08/11/2023,SAV,14.4
07/11/2023,SAV,14.3
06/11/2023,SAV,14.4
03/11/2023,SAV,14.3
02/11/2023,SAV,14.0
01/11/2023,SAV,13.5
31/10/2023,SAV,13.65
30/10/2023,SAV,13.7
27/10/2023,SAV,14.7
26/10/2023,SAV,15.2
25/10/2023,SAV,15.4
24/10/2023,SAV,15.4
23/10/2023,SAV,15.15
20/10/2023,SAV,15.85
19/10/2023,SAV,16.0
18/10/2023,SAV,16.1
17/10/2023,SAV,16.3
16/10/2023,SAV,16.75
13/10/2023,SAV,16.75
12/10/2023,SAV,16.5
11/10/2023,SAV,16.75
10/10/2023,SAV,16.9
09/10/2023,SAV,16.9
06/10/2023,SAV,17.0
05/10/2023,SAV,16.8
04/10/2023,SAV,16.85
03/10/2023,SAV,17.0
02/10/2023,SAV,17.0
29/09/2023,SAV,16.9
28/09/2023,SAV,17.0
27/09/2023,SAV,16.4
26/09/2023,SAV,16.5
25/09/2023,SAV,16.7
22/09/2023,SAV,16.8
21/09/2023,SAV,17.2
20/09/2023,SAV,16.8
19/09/2023,SAV,16.95
18/09/2023,SAV,16.85
15/09/2023,SAV,16.6
14/09/2023,SAV,17.0
13/09/2023,SAV,17.05
12/09/2023,SAV,17.1
11/09/2023,SAV,17.2
08/09/2023,SAV,17.4
07/09/2023,SAV,17.5
06/09/2023,SAV,17.6
05/09/2023,SAV,17.7
31/08/2023,SAV,17.65
30/08/2023,SAV,17.65
29/08/2023,SAV,17.2
28/08/2023,SAV,17.25
25/08/2023,SAV,17.25
24/08/2023,SAV,17.2
23/08/2023,SAV,17.35
22/08/2023,SAV,17.5
21/08/2023,SAV,17.25
18/08/2023,SAV,16.5
17/08/2023,SAV,17.7
16/08/2023,SAV,17.9
15/08/2023,SAV,17.75
14/08/2023,SAV,17.75
11/08/2023,SAV,20.45
10/08/2023,SAV,20.4
09/08/2023,SAV,19.75
08/08/2023,SAV,19.7
07/08/2023,SAV,19.45
04/08/2023,SAV,19.2
03/08/2023,SAV,18.45
02/08/2023,SAV,18.3
01/08/2023,SAV,17.95
31/07/2023,SAV,17.4
28/07/2023,SAV,17.3
27/07/2023,SAV,16.8
26/07/2023,SAV,17.05
25/07/2023,SAV,16.8
24/07/2023,SAV,17.05
21/07/2023,SAV,16.95
