Ngay,Symbol,GiaDongCua
29/12/2023,STK,25.95
28/12/2023,STK,25.95
27/12/2023,STK,25.8
26/12/2023,STK,25.65
25/12/2023,STK,25.4
22/12/2023,STK,25.4
21/12/2023,STK,25.5
20/12/2023,STK,25.8
19/12/2023,STK,26.0
18/12/2023,STK,26.3
15/12/2023,STK,26.2
14/12/2023,STK,26.3
13/12/2023,STK,26.3
12/12/2023,STK,26.2
11/12/2023,STK,26.0
08/12/2023,STK,26.3
07/12/2023,STK,26.0
06/12/2023,STK,26.65
05/12/2023,STK,27.0
04/12/2023,STK,27.0
01/12/2023,STK,26.9
30/11/2023,STK,26.0
29/11/2023,STK,27.2
28/11/2023,STK,26.0
27/11/2023,STK,26.0
24/11/2023,STK,26.3
23/11/2023,STK,27.2
22/11/2023,STK,26.6
21/11/2023,STK,26.9
20/11/2023,STK,26.8
17/11/2023,STK,27.0
16/11/2023,STK,27.4
15/11/2023,STK,27.0
14/11/2023,STK,27.0
13/11/2023,STK,27.0
10/11/2023,STK,27.55
09/11/2023,STK,26.5
08/11/2023,STK,26.5
07/11/2023,STK,26.5
06/11/2023,STK,26.8
03/11/2023,STK,26.5
02/11/2023,STK,25.6
01/11/2023,STK,24.1
31/10/2023,STK,24.9
30/10/2023,STK,25.8
27/10/2023,STK,26.4
26/10/2023,STK,27.0
25/10/2023,STK,28.2
24/10/2023,STK,28.35
23/10/2023,STK,28.4
20/10/2023,STK,28.75
19/10/2023,STK,29.4
18/10/2023,STK,30.8
17/10/2023,STK,31.5
16/10/2023,STK,32.0
13/10/2023,STK,32.35
12/10/2023,STK,32.65
11/10/2023,STK,32.8
10/10/2023,STK,32.3
09/10/2023,STK,32.1
06/10/2023,STK,32.0
05/10/2023,STK,32.0
04/10/2023,STK,32.05
03/10/2023,STK,32.05
02/10/2023,STK,33.4
29/09/2023,STK,33.4
28/09/2023,STK,32.9
27/09/2023,STK,32.9
26/09/2023,STK,32.9
25/09/2023,STK,34.3
22/09/2023,STK,35.0
21/09/2023,STK,34.4
20/09/2023,STK,34.4
19/09/2023,STK,33.5
