Ngay,Symbol,GiaDongCua
29/12/2023,TCM,40.75
28/12/2023,TCM,40.8
27/12/2023,TCM,40.8
26/12/2023,TCM,40.9
25/12/2023,TCM,41.0
22/12/2023,TCM,41.0
21/12/2023,TCM,41.0
20/12/2023,TCM,41.2
19/12/2023,TCM,41.3
18/12/2023,TCM,41.45
15/12/2023,TCM,41.5
14/12/2023,TCM,41.7
13/12/2023,TCM,41.85
12/12/2023,TCM,42.05
11/12/2023,TCM,41.1
08/12/2023,TCM,40.9
07/12/2023,TCM,41.2
06/12/2023,TCM,41.35
05/12/2023,TCM,41.35
04/12/2023,TCM,41.35
01/12/2023,TCM,41.3
30/11/2023,TCM,41.2
29/11/2023,TCM,41.3
28/11/2023,TCM,41.3
27/11/2023,TCM,41.5
24/11/2023,TCM,41.4
23/11/2023,TCM,41.55
22/11/2023,TCM,41.95
21/11/2023,TCM,42.0
20/11/2023,TCM,42.15
17/11/2023,TCM,42.3
16/11/2023,TCM,42.45
15/11/2023,TCM,42.3
14/11/2023,TCM,42.0
13/11/2023,TCM,42.0
10/11/2023,TCM,42.15
09/11/2023,TCM,42.35
08/11/2023,TCM,41.95
07/11/2023,TCM,41.7
06/11/2023,TCM,41.7
03/11/2023,TCM,41.75
02/11/2023,TCM,41.7
01/11/2023,TCM,40.95
31/10/2023,TCM,40.3
30/10/2023,TCM,40.7
27/10/2023,TCM,40.8
26/10/2023,TCM,40.8
25/10/2023,TCM,41.8
24/10/2023,TCM,42.0
23/10/2023,TCM,46.8
20/10/2023,TCM,47.0
19/10/2023,TCM,46.85
18/10/2023,TCM,46.9
17/10/2023,TCM,47.5
16/10/2023,TCM,47.5
13/10/2023,TCM,49.2
12/10/2023,TCM,48.8
11/10/2023,TCM,49.4
10/10/2023,TCM,47.3
09/10/2023,TCM,47.3
06/10/2023,TCM,47.5
05/10/2023,TCM,47.3
04/10/2023,TCM,47.15
03/10/2023,TCM,47.0
02/10/2023,TCM,47.7
29/09/2023,TCM,47.65
28/09/2023,TCM,48.0
27/09/2023,TCM,48.55
26/09/2023,TCM,47.4
25/09/2023,TCM,48.0
22/09/2023,TCM,48.3
21/09/2023,TCM,48.8
20/09/2023,TCM,49.0
19/09/2023,TCM,47.7
18/09/2023,TCM,47.8
15/09/2023,TCM,47.95
14/09/2023,TCM,48.4
13/09/2023,TCM,48.5
12/09/2023,TCM,49.0
11/09/2023,TCM,49.3
08/09/2023,TCM,49.25
07/09/2023,TCM,49.2
06/09/2023,TCM,49.7
05/09/2023,TCM,49.7
31/08/2023,TCM,49.6
30/08/2023,TCM,47.65
29/08/2023,TCM,47.3
28/08/2023,TCM,47.45
25/08/2023,TCM,47.4
24/08/2023,TCM,48.0
23/08/2023,TCM,47.9
22/08/2023,TCM,48.4
21/08/2023,TCM,48.0
18/08/2023,TCM,47.0
17/08/2023,TCM,49.3
16/08/2023,TCM,49.6
15/08/2023,TCM,49.9
14/08/2023,TCM,50.9
11/08/2023,TCM,51.2
10/08/2023,TCM,51.4
09/08/2023,TCM,51.6
08/08/2023,TCM,51.0
07/08/2023,TCM,50.6
04/08/2023,TCM,51.2
03/08/2023,TCM,51.3
02/08/2023,TCM,51.3
01/08/2023,TCM,51.7
31/07/2023,TCM,51.7
28/07/2023,TCM,51.8
27/07/2023,TCM,51.4
26/07/2023,TCM,52.1
25/07/2023,TCM,52.4
24/07/2023,TCM,52.7
21/07/2023,TCM,53.0
20/07/2023,TCM,53.3
19/07/2023,TCM,53.7
18/07/2023,TCM,54.6
17/07/2023,TCM,55.2
14/07/2023,TCM,53.9
13/07/2023,TCM,53.8
12/07/2023,TCM,53.3
11/07/2023,TCM,54.0
10/07/2023,TCM,54.2
07/07/2023,TCM,54.3
06/07/2023,TCM,52.9
05/07/2023,TCM,55.3
04/07/2023,TCM,56.5
03/07/2023,TCM,56.5
30/06/2023,TCM,56.3
29/06/2023,TCM,56.9
28/06/2023,TCM,57.0
27/06/2023,TCM,55.9
26/06/2023,TCM,55.9
23/06/2023,TCM,55.4
22/06/2023,TCM,55.8
21/06/2023,TCM,55.8
20/06/2023,TCM,54.2
19/06/2023,TCM,54.0
16/06/2023,TCM,54.0
15/06/2023,TCM,54.3
14/06/2023,TCM,55.2
13/06/2023,TCM,53.4
12/06/2023,TCM,51.4
09/06/2023,TCM,51.3
08/06/2023,TCM,51.4
07/06/2023,TCM,51.9
06/06/2023,TCM,52.0
05/06/2023,TCM,51.5
02/06/2023,TCM,50.6
01/06/2023,TCM,50.6
31/05/2023,TCM,50.4
30/05/2023,TCM,50.1
29/05/2023,TCM,50.0
26/05/2023,TCM,50.0
25/05/2023,TCM,50.0
24/05/2023,TCM,49.6
23/05/2023,TCM,50.2
22/05/2023,TCM,50.3
19/05/2023,TCM,50.3
18/05/2023,TCM,50.3
17/05/2023,TCM,50.3
16/05/2023,TCM,50.6
15/05/2023,TCM,50.6
12/05/2023,TCM,50.9
11/05/2023,TCM,50.9
10/05/2023,TCM,50.8
09/05/2023,TCM,50.6
08/05/2023,TCM,51.5
05/05/2023,TCM,51.7
04/05/2023,TCM,52.0
28/04/2023,TCM,52.7
27/04/2023,TCM,52.9
26/04/2023,TCM,53.1
25/04/2023,TCM,52.2
24/04/2023,TCM,52.0
21/04/2023,TCM,51.4
20/04/2023,TCM,50.5
19/04/2023,TCM,50.0
18/04/2023,TCM,50.4
17/04/2023,TCM,50.3
14/04/2023,TCM,50.5
13/04/2023,TCM,50.6
12/04/2023,TCM,50.6
11/04/2023,TCM,50.3
10/04/2023,TCM,50.5
07/04/2023,TCM,50.6
06/04/2023,TCM,50.3
05/04/2023,TCM,50.1
04/04/2023,TCM,50.4
03/04/2023,TCM,50.4
31/03/2023,TCM,50.1
30/03/2023,TCM,50.2
29/03/2023,TCM,50.0
28/03/2023,TCM,49.7
27/03/2023,TCM,49.9
24/03/2023,TCM,50.0
23/03/2023,TCM,49.5
22/03/2023,TCM,49.15
21/03/2023,TCM,49.15
20/03/2023,TCM,49.1
17/03/2023,TCM,49.2
16/03/2023,TCM,49.1
15/03/2023,TCM,49.9
14/03/2023,TCM,48.75
13/03/2023,TCM,49.95
10/03/2023,TCM,50.4
09/03/2023,TCM,50.4
08/03/2023,TCM,50.7
07/03/2023,TCM,50.5
06/03/2023,TCM,51.0
03/03/2023,TCM,51.1
02/03/2023,TCM,51.3
01/03/2023,TCM,51.4
28/02/2023,TCM,50.5
27/02/2023,TCM,50.5
24/02/2023,TCM,51.2
23/02/2023,TCM,52.5
22/02/2023,TCM,51.1
21/02/2023,TCM,52.3
20/02/2023,TCM,51.8
17/02/2023,TCM,52.3
16/02/2023,TCM,52.9
15/02/2023,TCM,53.0
14/02/2023,TCM,50.0
13/02/2023,TCM,47.95
10/02/2023,TCM,49.5
09/02/2023,TCM,49.6
08/02/2023,TCM,49.5
07/02/2023,TCM,48.0
06/02/2023,TCM,48.1
03/02/2023,TCM,47.9
02/02/2023,TCM,47.45
01/02/2023,TCM,48.2
31/01/2023,TCM,50.0
30/01/2023,TCM,53.3
27/01/2023,TCM,54.9
19/01/2023,TCM,59.0
18/01/2023,TCM,57.7
17/01/2023,TCM,54.0
16/01/2023,TCM,54.0
13/01/2023,TCM,54.2
12/01/2023,TCM,54.5
11/01/2023,TCM,54.4
10/01/2023,TCM,54.2
09/01/2023,TCM,53.9
06/01/2023,TCM,53.0
05/01/2023,TCM,54.2
04/01/2023,TCM,54.7
03/01/2023,TCM,55.0
30/12/2022,TCM,53.0
29/12/2022,TCM,50.5
28/12/2022,TCM,50.8
27/12/2022,TCM,51.6
26/12/2022,TCM,48.3
23/12/2022,TCM,51.9
22/12/2022,TCM,53.0
21/12/2022,TCM,54.0
20/12/2022,TCM,53.5
19/12/2022,TCM,53.5
16/12/2022,TCM,54.0
15/12/2022,TCM,54.4
14/12/2022,TCM,54.7
13/12/2022,TCM,55.0
12/12/2022,TCM,53.0
09/12/2022,TCM,53.0
08/12/2022,TCM,49.55
07/12/2022,TCM,46.35
06/12/2022,TCM,46.4
05/12/2022,TCM,46.45
02/12/2022,TCM,46.45
01/12/2022,TCM,46.5
30/11/2022,TCM,46.5
29/11/2022,TCM,46.5
28/11/2022,TCM,46.5
25/11/2022,TCM,45.3
24/11/2022,TCM,44.85
23/11/2022,TCM,44.85
22/11/2022,TCM,44.9
21/11/2022,TCM,44.9
18/11/2022,TCM,44.9
17/11/2022,TCM,45.0
16/11/2022,TCM,44.95
15/11/2022,TCM,44.95
14/11/2022,TCM,45.55
11/11/2022,TCM,42.6
10/11/2022,TCM,42.0
09/11/2022,TCM,42.2
08/11/2022,TCM,41.5
07/11/2022,TCM,41.0
04/11/2022,TCM,40.95
03/11/2022,TCM,44.0
02/11/2022,TCM,43.75
01/11/2022,TCM,43.8
31/10/2022,TCM,43.9
28/10/2022,TCM,43.55
27/10/2022,TCM,44.15
26/10/2022,TCM,41.5
25/10/2022,TCM,42.5
24/10/2022,TCM,42.4
21/10/2022,TCM,43.0
20/10/2022,TCM,44.0
19/10/2022,TCM,43.9
18/10/2022,TCM,44.0
17/10/2022,TCM,43.9
14/10/2022,TCM,44.4
13/10/2022,TCM,44.0
12/10/2022,TCM,43.5
11/10/2022,TCM,42.0
10/10/2022,TCM,42.95
07/10/2022,TCM,42.4
06/10/2022,TCM,42.4
05/10/2022,TCM,42.8
04/10/2022,TCM,41.0
03/10/2022,TCM,42.95
30/09/2022,TCM,43.2
29/09/2022,TCM,42.0
28/09/2022,TCM,43.0
27/09/2022,TCM,43.2
26/09/2022,TCM,43.0
23/09/2022,TCM,43.2
22/09/2022,TCM,43.0
21/09/2022,TCM,42.0
20/09/2022,TCM,42.4
19/09/2022,TCM,41.4
16/09/2022,TCM,42.8
15/09/2022,TCM,42.8
14/09/2022,TCM,42.5
13/09/2022,TCM,42.5
12/09/2022,TCM,42.6
09/09/2022,TCM,44.0
08/09/2022,TCM,42.55
07/09/2022,TCM,42.5
06/09/2022,TCM,44.35
05/09/2022,TCM,44.15
31/08/2022,TCM,44.75
30/08/2022,TCM,45.0
29/08/2022,TCM,46.0
26/08/2022,TCM,47.1
25/08/2022,TCM,47.5
24/08/2022,TCM,48.5
23/08/2022,TCM,48.6
22/08/2022,TCM,47.8
19/08/2022,TCM,47.7
18/08/2022,TCM,47.2
17/08/2022,TCM,47.6
16/08/2022,TCM,47.5
15/08/2022,TCM,45.2
12/08/2022,TCM,45.4
11/08/2022,TCM,45.95
10/08/2022,TCM,46.3
09/08/2022,TCM,45.7
08/08/2022,TCM,44.75
05/08/2022,TCM,45.0
04/08/2022,TCM,45.1
03/08/2022,TCM,45.0
02/08/2022,TCM,44.8
01/08/2022,TCM,44.3
29/07/2022,TCM,43.75
28/07/2022,TCM,43.75
27/07/2022,TCM,43.3
26/07/2022,TCM,43.6
25/07/2022,TCM,43.2
22/07/2022,TCM,44.9
21/07/2022,TCM,45.4
