Ngay,Symbol,GiaDongCua
29/12/2023,TTF,4.25
28/12/2023,TTF,4.2
27/12/2023,TTF,4.24
26/12/2023,TTF,4.15
25/12/2023,TTF,4.15
22/12/2023,TTF,4.13
21/12/2023,TTF,4.16
20/12/2023,TTF,4.16
19/12/2023,TTF,4.17
18/12/2023,TTF,4.18
15/12/2023,TTF,4.11
14/12/2023,TTF,4.17
13/12/2023,TTF,4.3
12/12/2023,TTF,4.41
11/12/2023,TTF,4.27
08/12/2023,TTF,4.36
07/12/2023,TTF,4.39
06/12/2023,TTF,4.25
05/12/2023,TTF,4.06
04/12/2023,TTF,4.07
01/12/2023,TTF,3.99
30/11/2023,TTF,4.02
29/11/2023,TTF,3.98
28/11/2023,TTF,3.96
27/11/2023,TTF,3.96
24/11/2023,TTF,4.09
23/11/2023,TTF,4.09
22/11/2023,TTF,4.12
21/11/2023,TTF,4.13
20/11/2023,TTF,4.13
17/11/2023,TTF,4.11
16/11/2023,TTF,4.06
15/11/2023,TTF,4.06
14/11/2023,TTF,4.09
13/11/2023,TTF,4.08
10/11/2023,TTF,4.03
09/11/2023,TTF,4.03
08/11/2023,TTF,4.0
07/11/2023,TTF,3.88
06/11/2023,TTF,3.89
03/11/2023,TTF,3.9
02/11/2023,TTF,3.9
01/11/2023,TTF,3.74
31/10/2023,TTF,3.74
30/10/2023,TTF,3.9
27/10/2023,TTF,3.85
26/10/2023,TTF,3.8
25/10/2023,TTF,4.08
24/10/2023,TTF,4.08
23/10/2023,TTF,4.07
20/10/2023,TTF,4.07
19/10/2023,TTF,3.97
18/10/2023,TTF,4.01
17/10/2023,TTF,4.28
16/10/2023,TTF,4.28
13/10/2023,TTF,4.28
12/10/2023,TTF,4.35
11/10/2023,TTF,4.4
10/10/2023,TTF,4.37
09/10/2023,TTF,4.38
06/10/2023,TTF,4.33
05/10/2023,TTF,4.26
04/10/2023,TTF,4.28
03/10/2023,TTF,4.3
02/10/2023,TTF,4.58
29/09/2023,TTF,4.57
28/09/2023,TTF,4.52
27/09/2023,TTF,4.57
26/09/2023,TTF,4.5
25/09/2023,TTF,4.8
22/09/2023,TTF,5.04
21/09/2023,TTF,5.31
20/09/2023,TTF,5.32
19/09/2023,TTF,5.24
18/09/2023,TTF,5.26
15/09/2023,TTF,5.22
14/09/2023,TTF,5.22
13/09/2023,TTF,5.36
12/09/2023,TTF,5.42
11/09/2023,TTF,5.39
08/09/2023,TTF,5.61
07/09/2023,TTF,5.65
06/09/2023,TTF,5.5
05/09/2023,TTF,5.5
31/08/2023,TTF,5.48
30/08/2023,TTF,5.38
29/08/2023,TTF,5.41
28/08/2023,TTF,5.33
25/08/2023,TTF,5.3
24/08/2023,TTF,5.29
23/08/2023,TTF,5.21
22/08/2023,TTF,5.2
21/08/2023,TTF,5.26
18/08/2023,TTF,5.42
17/08/2023,TTF,5.82
16/08/2023,TTF,5.96
15/08/2023,TTF,5.89
14/08/2023,TTF,5.82
11/08/2023,TTF,5.8
10/08/2023,TTF,5.88
09/08/2023,TTF,6.03
08/08/2023,TTF,5.76
07/08/2023,TTF,5.75
04/08/2023,TTF,5.52
03/08/2023,TTF,5.49
02/08/2023,TTF,5.5
01/08/2023,TTF,5.5
31/07/2023,TTF,5.8
28/07/2023,TTF,5.71
27/07/2023,TTF,5.65
26/07/2023,TTF,5.54
25/07/2023,TTF,5.57
24/07/2023,TTF,5.67
21/07/2023,TTF,5.47
20/07/2023,TTF,5.42
19/07/2023,TTF,5.38
18/07/2023,TTF,5.5
17/07/2023,TTF,5.61
14/07/2023,TTF,5.58
13/07/2023,TTF,5.5
12/07/2023,TTF,5.52
11/07/2023,TTF,5.57
10/07/2023,TTF,5.41
07/07/2023,TTF,5.39
06/07/2023,TTF,5.2
05/07/2023,TTF,5.28
04/07/2023,TTF,5.35
03/07/2023,TTF,5.15
30/06/2023,TTF,5.15
29/06/2023,TTF,5.15
28/06/2023,TTF,5.33
27/06/2023,TTF,5.18
26/06/2023,TTF,5.23
23/06/2023,TTF,5.4
22/06/2023,TTF,5.39
21/06/2023,TTF,5.36
20/06/2023,TTF,5.3
19/06/2023,TTF,5.11
16/06/2023,TTF,5.49
15/06/2023,TTF,5.55
14/06/2023,TTF,5.65
13/06/2023,TTF,5.92
12/06/2023,TTF,5.66
09/06/2023,TTF,5.6
08/06/2023,TTF,5.63
07/06/2023,TTF,5.46
06/06/2023,TTF,5.39
05/06/2023,TTF,5.26
02/06/2023,TTF,5.27
01/06/2023,TTF,5.27
31/05/2023,TTF,4.93
30/05/2023,TTF,4.84
29/05/2023,TTF,4.91
26/05/2023,TTF,4.82
25/05/2023,TTF,4.68
24/05/2023,TTF,4.71
23/05/2023,TTF,4.76
22/05/2023,TTF,4.81
19/05/2023,TTF,4.68
18/05/2023,TTF,4.8
17/05/2023,TTF,4.81
16/05/2023,TTF,4.68
15/05/2023,TTF,4.67
12/05/2023,TTF,4.83
11/05/2023,TTF,4.73
10/05/2023,TTF,4.71
09/05/2023,TTF,4.6
08/05/2023,TTF,4.66
05/05/2023,TTF,4.36
04/05/2023,TTF,4.37
28/04/2023,TTF,4.35
27/04/2023,TTF,4.32
26/04/2023,TTF,4.32
25/04/2023,TTF,4.34
24/04/2023,TTF,4.36
21/04/2023,TTF,4.4
20/04/2023,TTF,4.39
19/04/2023,TTF,4.4
18/04/2023,TTF,4.44
17/04/2023,TTF,4.4
14/04/2023,TTF,4.45
13/04/2023,TTF,4.55
12/04/2023,TTF,4.34
11/04/2023,TTF,4.4
10/04/2023,TTF,4.45
07/04/2023,TTF,4.22
06/04/2023,TTF,4.29
05/04/2023,TTF,4.47
04/04/2023,TTF,4.18
03/04/2023,TTF,4.07
31/03/2023,TTF,4.01
30/03/2023,TTF,4.0
29/03/2023,TTF,4.03
28/03/2023,TTF,4.08
27/03/2023,TTF,4.12
24/03/2023,TTF,4.0
23/03/2023,TTF,4.0
22/03/2023,TTF,4.06
21/03/2023,TTF,4.05
20/03/2023,TTF,3.99
17/03/2023,TTF,4.05
16/03/2023,TTF,4.06
15/03/2023,TTF,4.13
14/03/2023,TTF,4.07
13/03/2023,TTF,4.14
10/03/2023,TTF,4.25
09/03/2023,TTF,4.3
08/03/2023,TTF,4.21
07/03/2023,TTF,4.21
06/03/2023,TTF,4.25
03/03/2023,TTF,4.2
02/03/2023,TTF,4.24
01/03/2023,TTF,4.28
28/02/2023,TTF,4.2
27/02/2023,TTF,4.16
24/02/2023,TTF,4.33
23/02/2023,TTF,4.45
22/02/2023,TTF,4.4
21/02/2023,TTF,4.54
20/02/2023,TTF,4.57
17/02/2023,TTF,4.38
16/02/2023,TTF,4.39
15/02/2023,TTF,4.35
14/02/2023,TTF,4.3
13/02/2023,TTF,4.32
10/02/2023,TTF,4.62
09/02/2023,TTF,4.8
08/02/2023,TTF,4.49
07/02/2023,TTF,4.43
06/02/2023,TTF,4.43
03/02/2023,TTF,4.46
02/02/2023,TTF,4.48
01/02/2023,TTF,4.57
31/01/2023,TTF,4.72
30/01/2023,TTF,4.72
27/01/2023,TTF,4.72
19/01/2023,TTF,4.56
18/01/2023,TTF,4.27
17/01/2023,TTF,4.23
16/01/2023,TTF,4.09
13/01/2023,TTF,4.14
12/01/2023,TTF,4.23
11/01/2023,TTF,4.25
10/01/2023,TTF,4.16
09/01/2023,TTF,4.2
06/01/2023,TTF,4.3
05/01/2023,TTF,4.36
04/01/2023,TTF,4.15
03/01/2023,TTF,4.22
30/12/2022,TTF,4.08
29/12/2022,TTF,4.06
28/12/2022,TTF,4.16
27/12/2022,TTF,4.26
26/12/2022,TTF,4.02
23/12/2022,TTF,4.32
22/12/2022,TTF,4.33
21/12/2022,TTF,4.25
20/12/2022,TTF,4.26
19/12/2022,TTF,4.57
16/12/2022,TTF,4.65
15/12/2022,TTF,4.69
14/12/2022,TTF,4.71
13/12/2022,TTF,4.69
12/12/2022,TTF,4.7
09/12/2022,TTF,4.7
08/12/2022,TTF,4.74
07/12/2022,TTF,4.75
06/12/2022,TTF,5.1
05/12/2022,TTF,4.91
02/12/2022,TTF,4.59
01/12/2022,TTF,4.51
