Ngay,GiaDongCua
29/12/2023,36.9
28/12/2023,36.7
27/12/2023,36.5
26/12/2023,36.5
25/12/2023,35.6
22/12/2023,35.6
21/12/2023,35.0
20/12/2023,35.7
19/12/2023,35.1
18/12/2023,35.5
15/12/2023,35.6
14/12/2023,35.5
13/12/2023,35.3
12/12/2023,35.3
11/12/2023,35.2
08/12/2023,35.95
07/12/2023,35.3
06/12/2023,36.0
05/12/2023,35.5
04/12/2023,35.5
01/12/2023,35.0
30/11/2023,34.5
29/11/2023,35.0
28/11/2023,35.0
27/11/2023,34.85
24/11/2023,35.45
23/11/2023,36.05
22/11/2023,36.0
21/11/2023,35.55
20/11/2023,35.0
17/11/2023,35.0
16/11/2023,35.8
15/11/2023,34.6
14/11/2023,34.7
13/11/2023,35.4
10/11/2023,35.75
09/11/2023,35.7
08/11/2023,34.75
07/11/2023,35.0
06/11/2023,34.15
03/11/2023,35.0
02/11/2023,34.1
01/11/2023,33.5
31/10/2023,33.0
30/10/2023,33.3
27/10/2023,34.0
26/10/2023,34.05
25/10/2023,35.5
24/10/2023,35.5
23/10/2023,34.9
20/10/2023,35.5
19/10/2023,36.0
18/10/2023,36.6
17/10/2023,36.85
16/10/2023,36.85
13/10/2023,37.55
12/10/2023,37.5
11/10/2023,37.4
10/10/2023,37.35
09/10/2023,37.5
06/10/2023,37.9
05/10/2023,37.2
04/10/2023,37.1
03/10/2023,36.9
02/10/2023,36.6
29/09/2023,36.25
28/09/2023,41.7
27/09/2023,41.25
26/09/2023,41.0
25/09/2023,41.2
22/09/2023,41.2
21/09/2023,41.7
20/09/2023,41.8
19/09/2023,39.9
18/09/2023,40.3
15/09/2023,40.9
14/09/2023,40.5
13/09/2023,41.0
12/09/2023,40.9
11/09/2023,39.45
08/09/2023,39.45
07/09/2023,38.8
06/09/2023,39.9
05/09/2023,39.0
31/08/2023,37.1
30/08/2023,36.5
29/08/2023,36.5
28/08/2023,35.05
25/08/2023,37.05
24/08/2023,37.0
23/08/2023,36.65
22/08/2023,36.65
21/08/2023,36.7
18/08/2023,36.8
17/08/2023,36.9
16/08/2023,36.2
15/08/2023,36.5
14/08/2023,37.2
11/08/2023,37.0
10/08/2023,36.8
09/08/2023,36.8
08/08/2023,36.7
07/08/2023,37.0
04/08/2023,36.9
03/08/2023,36.5
02/08/2023,36.9
01/08/2023,36.95
31/07/2023,36.6
28/07/2023,37.0
27/07/2023,37.0
26/07/2023,37.2
25/07/2023,37.2
24/07/2023,37.4
21/07/2023,37.6
20/07/2023,37.5
19/07/2023,37.2
18/07/2023,37.05
17/07/2023,36.6
14/07/2023,36.8
13/07/2023,36.95
12/07/2023,36.35
11/07/2023,36.1
10/07/2023,36.3
07/07/2023,36.4
06/07/2023,35.0
