Ngay,GiaDongCua
29/12/2023,71.9
28/12/2023,72.8
27/12/2023,73.9
26/12/2023,74.0
25/12/2023,72.5
22/12/2023,69.0
21/12/2023,66.0
20/12/2023,65.3
19/12/2023,63.0
18/12/2023,62.5
15/12/2023,65.0
14/12/2023,66.0
13/12/2023,65.0
12/12/2023,64.7
11/12/2023,65.5
08/12/2023,64.8
07/12/2023,64.9
06/12/2023,64.5
05/12/2023,64.5
04/12/2023,63.5
01/12/2023,64.9
30/11/2023,64.9
29/11/2023,64.0
28/11/2023,61.5
27/11/2023,60.5
24/11/2023,59.0
23/11/2023,60.0
22/11/2023,60.0
21/11/2023,60.0
20/11/2023,60.0
17/11/2023,60.0
16/11/2023,60.1
15/11/2023,60.6
14/11/2023,60.7
13/11/2023,59.7
10/11/2023,59.5
09/11/2023,60.9
08/11/2023,60.9
07/11/2023,60.9
06/11/2023,60.5
03/11/2023,60.0
02/11/2023,61.0
01/11/2023,61.0
31/10/2023,62.0
30/10/2023,62.3
27/10/2023,61.9
26/10/2023,61.0
25/10/2023,62.7
24/10/2023,62.8
23/10/2023,63.0
20/10/2023,63.0
19/10/2023,63.7
18/10/2023,64.3
17/10/2023,64.4
16/10/2023,64.7
13/10/2023,65.0
12/10/2023,64.9
11/10/2023,64.9
10/10/2023,65.2
09/10/2023,64.5
06/10/2023,64.2
05/10/2023,64.0
04/10/2023,64.1
03/10/2023,64.0
02/10/2023,64.6
29/09/2023,64.6
28/09/2023,64.2
27/09/2023,63.0
26/09/2023,61.8
25/09/2023,63.1
22/09/2023,63.1
21/09/2023,63.9
20/09/2023,64.8
19/09/2023,64.3
18/09/2023,63.4
15/09/2023,62.9
14/09/2023,62.2
13/09/2023,61.5
12/09/2023,61.1
11/09/2023,62.4
08/09/2023,62.2
07/09/2023,61.8
06/09/2023,61.7
05/09/2023,61.1
31/08/2023,62.4
30/08/2023,59.5
29/08/2023,59.1
28/08/2023,58.5
25/08/2023,59.7
24/08/2023,59.8
23/08/2023,58.9
22/08/2023,58.7
21/08/2023,58.1
18/08/2023,60.0
17/08/2023,60.8
16/08/2023,60.6
15/08/2023,60.6
14/08/2023,60.5
11/08/2023,60.0
10/08/2023,59.6
09/08/2023,60.0
08/08/2023,60.1
07/08/2023,60.0
04/08/2023,59.8
03/08/2023,59.9
02/08/2023,60.3
01/08/2023,60.4
31/07/2023,60.7
28/07/2023,60.0
27/07/2023,60.8
26/07/2023,60.2
25/07/2023,59.5
24/07/2023,59.1
21/07/2023,60.0
20/07/2023,58.7
19/07/2023,57.1
18/07/2023,55.0
17/07/2023,55.2
14/07/2023,55.1
13/07/2023,55.0
12/07/2023,55.6
11/07/2023,55.4
10/07/2023,54.4
07/07/2023,53.9
06/07/2023,54.0
05/07/2023,54.5
04/07/2023,54.9
03/07/2023,54.9
