Ngay,GiaDongCua
29/12/2023,70.5
28/12/2023,72.0
27/12/2023,71.8
26/12/2023,71.5
25/12/2023,73.0
22/12/2023,68.3
21/12/2023,68.0
20/12/2023,68.5
19/12/2023,68.5
18/12/2023,68.5
15/12/2023,68.0
14/12/2023,68.2
13/12/2023,68.9
12/12/2023,70.6
11/12/2023,70.5
08/12/2023,70.4
07/12/2023,70.4
06/12/2023,70.5
05/12/2023,70.2
04/12/2023,70.6
01/12/2023,70.2
30/11/2023,70.2
29/11/2023,70.0
28/11/2023,67.5
27/11/2023,67.0
24/11/2023,68.9
23/11/2023,69.7
22/11/2023,70.4
21/11/2023,70.0
20/11/2023,69.6
17/11/2023,70.0
16/11/2023,71.1
15/11/2023,71.1
14/11/2023,71.0
13/11/2023,68.6
10/11/2023,68.9
09/11/2023,68.7
08/11/2023,67.8
07/11/2023,66.1
06/11/2023,66.0
03/11/2023,65.0
02/11/2023,63.5
01/11/2023,61.8
31/10/2023,59.0
30/10/2023,60.5
27/10/2023,62.5
26/10/2023,59.0
25/10/2023,61.7
24/10/2023,61.4
23/10/2023,61.9
20/10/2023,64.0
19/10/2023,64.9
18/10/2023,64.8
17/10/2023,64.1
16/10/2023,65.4
13/10/2023,66.1
12/10/2023,65.5
11/10/2023,66.3
10/10/2023,66.2
09/10/2023,66.1
06/10/2023,65.0
05/10/2023,64.3
04/10/2023,64.1
03/10/2023,62.5
02/10/2023,65.3
29/09/2023,66.3
28/09/2023,65.8
27/09/2023,64.0
26/09/2023,60.7
25/09/2023,60.1
22/09/2023,64.0
21/09/2023,65.0
20/09/2023,66.1
19/09/2023,64.3
18/09/2023,63.2
15/09/2023,64.0
14/09/2023,64.2
13/09/2023,65.6
12/09/2023,64.6
11/09/2023,63.2
08/09/2023,64.8
07/09/2023,63.9
06/09/2023,64.0
05/09/2023,63.6
31/08/2023,62.7
30/08/2023,58.7
29/08/2023,56.5
28/08/2023,55.5
25/08/2023,55.3
24/08/2023,55.5
23/08/2023,54.0
22/08/2023,54.0
21/08/2023,54.2
18/08/2023,52.2
17/08/2023,55.2
16/08/2023,55.8
