Ngay,Symbol,GiaDongCua
29/12/2023,HAH,37.6
28/12/2023,HAH,37.75
27/12/2023,HAH,37.75
26/12/2023,HAH,38.4
25/12/2023,HAH,38.85
22/12/2023,HAH,37.4
21/12/2023,HAH,37.45
20/12/2023,HAH,37.2
19/12/2023,HAH,35.9
18/12/2023,HAH,34.9
15/12/2023,HAH,35.6
14/12/2023,HAH,35.8
13/12/2023,HAH,36.35
12/12/2023,HAH,36.2
11/12/2023,HAH,36.1
08/12/2023,HAH,36.1
07/12/2023,HAH,36.8
06/12/2023,HAH,37.5
05/12/2023,HAH,36.95
04/12/2023,HAH,37.35
01/12/2023,HAH,36.25
30/11/2023,HAH,35.5
29/11/2023,HAH,36.1
28/11/2023,HAH,36.0
27/11/2023,HAH,34.65
24/11/2023,HAH,33.95
23/11/2023,HAH,33.5
22/11/2023,HAH,35.3
21/11/2023,HAH,34.35
20/11/2023,HAH,33.9
17/11/2023,HAH,33.5
16/11/2023,HAH,34.4
15/11/2023,HAH,33.9
14/11/2023,HAH,34.05
13/11/2023,HAH,33.4
10/11/2023,HAH,33.05
09/11/2023,HAH,33.55
08/11/2023,HAH,33.75
07/11/2023,HAH,31.85
06/11/2023,HAH,31.3
03/11/2023,HAH,30.9
02/11/2023,HAH,30.95
01/11/2023,HAH,28.95
31/10/2023,HAH,27.9
30/10/2023,HAH,30.0
27/10/2023,HAH,31.8
26/10/2023,HAH,31.8
25/10/2023,HAH,34.15
24/10/2023,HAH,33.95
23/10/2023,HAH,34.1
20/10/2023,HAH,35.35
19/10/2023,HAH,34.8
18/10/2023,HAH,35.05
17/10/2023,HAH,36.7
16/10/2023,HAH,39.4
13/10/2023,HAH,40.75
12/10/2023,HAH,40.1
11/10/2023,HAH,40.65
10/10/2023,HAH,40.0
09/10/2023,HAH,40.55
06/10/2023,HAH,39.1
05/10/2023,HAH,37.9
04/10/2023,HAH,37.9
03/10/2023,HAH,37.15
02/10/2023,HAH,39.25
29/09/2023,HAH,38.8
28/09/2023,HAH,38.7
27/09/2023,HAH,37.5
26/09/2023,HAH,36.0
25/09/2023,HAH,36.0
22/09/2023,HAH,38.2
21/09/2023,HAH,39.65
20/09/2023,HAH,39.5
19/09/2023,HAH,38.4
18/09/2023,HAH,37.4
15/09/2023,HAH,38.55
14/09/2023,HAH,38.55
13/09/2023,HAH,38.0
12/09/2023,HAH,38.4
11/09/2023,HAH,37.7
08/09/2023,HAH,38.1
07/09/2023,HAH,35.65
06/09/2023,HAH,35.75
05/09/2023,HAH,35.75
31/08/2023,HAH,34.7
30/08/2023,HAH,32.5
29/08/2023,HAH,31.95
28/08/2023,HAH,31.7
25/08/2023,HAH,31.3
24/08/2023,HAH,31.5
23/08/2023,HAH,31.3
22/08/2023,HAH,30.85
21/08/2023,HAH,30.3
18/08/2023,HAH,31.5
17/08/2023,HAH,33.85
16/08/2023,HAH,33.6
15/08/2023,HAH,33.8
14/08/2023,HAH,33.6
11/08/2023,HAH,32.9
10/08/2023,HAH,33.1
09/08/2023,HAH,33.6
08/08/2023,HAH,34.35
07/08/2023,HAH,34.8
04/08/2023,HAH,49.55
03/08/2023,HAH,49.9
02/08/2023,HAH,48.55
01/08/2023,HAH,48.6
31/07/2023,HAH,49.65
28/07/2023,HAH,49.75
27/07/2023,HAH,48.85
26/07/2023,HAH,49.85
25/07/2023,HAH,50.2
24/07/2023,HAH,50.4
21/07/2023,HAH,49.3
20/07/2023,HAH,47.85
19/07/2023,HAH,48.35
18/07/2023,HAH,48.35
17/07/2023,HAH,48.35
14/07/2023,HAH,48.75
13/07/2023,HAH,49.0
12/07/2023,HAH,47.85
11/07/2023,HAH,48.25
10/07/2023,HAH,49.0
07/07/2023,HAH,48.0
06/07/2023,HAH,47.3
