Ngay,GiaDongCua
29/12/2023,12.25
28/12/2023,12.35
27/12/2023,12.6
26/12/2023,12.55
25/12/2023,11.75
22/12/2023,11.0
21/12/2023,10.9
20/12/2023,10.8
19/12/2023,10.7
18/12/2023,10.75
15/12/2023,10.9
14/12/2023,10.95
13/12/2023,11.0
12/12/2023,10.95
11/12/2023,10.95
08/12/2023,11.3
07/12/2023,11.3
06/12/2023,11.4
05/12/2023,11.4
04/12/2023,11.35
01/12/2023,11.25
30/11/2023,11.25
29/11/2023,11.35
28/11/2023,11.35
27/11/2023,11.3
24/11/2023,11.2
23/11/2023,11.3
22/11/2023,11.1
21/11/2023,11.1
20/11/2023,10.95
17/11/2023,10.85
16/11/2023,11.05
15/11/2023,10.9
14/11/2023,10.95
13/11/2023,10.95
10/11/2023,11.05
09/11/2023,11.15
08/11/2023,10.9
07/11/2023,10.55
06/11/2023,10.6
03/11/2023,10.55
02/11/2023,10.7
01/11/2023,10.25
31/10/2023,10.2
30/10/2023,10.55
27/10/2023,10.6
26/10/2023,10.55
25/10/2023,11.1
24/10/2023,11.2
23/10/2023,11.05
20/10/2023,11.2
19/10/2023,11.0
18/10/2023,11.2
17/10/2023,11.55
16/10/2023,11.6
13/10/2023,11.75
12/10/2023,11.7
11/10/2023,11.7
10/10/2023,11.8
09/10/2023,11.8
06/10/2023,11.65
05/10/2023,11.4
04/10/2023,11.4
03/10/2023,11.4
02/10/2023,11.85
29/09/2023,11.85
28/09/2023,11.7
27/09/2023,11.9
26/09/2023,11.9
25/09/2023,12.1
22/09/2023,12.4
21/09/2023,12.6
20/09/2023,12.75
19/09/2023,12.65
18/09/2023,12.75
15/09/2023,12.85
14/09/2023,12.7
13/09/2023,12.9
12/09/2023,13.05
11/09/2023,13.35
08/09/2023,13.3
07/09/2023,13.25
06/09/2023,13.35
05/09/2023,13.5
31/08/2023,13.0
30/08/2023,12.85
29/08/2023,12.8
28/08/2023,12.9
25/08/2023,12.55
24/08/2023,12.65
23/08/2023,12.5
22/08/2023,12.85
21/08/2023,12.5
18/08/2023,12.3
17/08/2023,13.2
16/08/2023,13.45
15/08/2023,13.45
14/08/2023,13.5
11/08/2023,13.3
10/08/2023,13.55
09/08/2023,13.9
08/08/2023,13.3
07/08/2023,12.9
04/08/2023,12.9
03/08/2023,12.85
02/08/2023,12.9
01/08/2023,13.15
31/07/2023,12.9
28/07/2023,12.85
27/07/2023,12.95
26/07/2023,13.0
25/07/2023,13.05
24/07/2023,13.0
21/07/2023,12.95
20/07/2023,12.9
19/07/2023,13.0
18/07/2023,12.85
17/07/2023,13.0
14/07/2023,13.2
13/07/2023,12.55
12/07/2023,12.7
11/07/2023,13.15
10/07/2023,13.25
07/07/2023,13.2
06/07/2023,13.3
05/07/2023,14.25
04/07/2023,14.45
03/07/2023,14.15
30/06/2023,13.9
29/06/2023,14.15
28/06/2023,14.4
27/06/2023,14.4
26/06/2023,14.55
23/06/2023,14.3
22/06/2023,13.9
21/06/2023,13.35
20/06/2023,13.35
19/06/2023,13.25
16/06/2023,13.2
15/06/2023,13.2
14/06/2023,13.3
13/06/2023,13.5
12/06/2023,13.45
09/06/2023,13.5
08/06/2023,13.65
07/06/2023,13.4
06/06/2023,13.4
05/06/2023,13.35
02/06/2023,13.2
01/06/2023,13.15
31/05/2023,13.15
30/05/2023,13.1
29/05/2023,13.1
26/05/2023,12.7
25/05/2023,12.5
24/05/2023,12.5
23/05/2023,12.6
22/05/2023,12.7
19/05/2023,12.45
18/05/2023,12.5
17/05/2023,12.5
16/05/2023,12.7
15/05/2023,12.45
12/05/2023,12.4
11/05/2023,12.4
10/05/2023,12.4
09/05/2023,12.25
08/05/2023,12.25
05/05/2023,12.7
04/05/2023,12.9
28/04/2023,12.1
27/04/2023,12.2
26/04/2023,12.05
25/04/2023,12.05
24/04/2023,12.05
21/04/2023,12.25
20/04/2023,12.4
19/04/2023,12.4
18/04/2023,12.35
17/04/2023,12.35
14/04/2023,12.25
13/04/2023,12.5
12/04/2023,13.15
11/04/2023,13.25
10/04/2023,13.1
07/04/2023,13.05
06/04/2023,13.2
05/04/2023,13.1
04/04/2023,13.1
03/04/2023,12.85
31/03/2023,12.85
30/03/2023,12.9
29/03/2023,13.1
28/03/2023,12.95
27/03/2023,13.2
24/03/2023,12.95
23/03/2023,13.0
22/03/2023,13.1
21/03/2023,12.9
20/03/2023,12.7
17/03/2023,13.1
16/03/2023,13.1
15/03/2023,13.5
14/03/2023,13.15
13/03/2023,13.0
10/03/2023,13.95
09/03/2023,13.3
08/03/2023,12.45
07/03/2023,12.4
06/03/2023,12.5
03/03/2023,12.0
02/03/2023,12.15
01/03/2023,12.35
28/02/2023,12.1
27/02/2023,12.55
24/02/2023,13.0
23/02/2023,12.35
22/02/2023,12.1
21/02/2023,12.6
20/02/2023,12.7
17/02/2023,12.1
16/02/2023,12.1
15/02/2023,12.0
14/02/2023,11.8
13/02/2023,11.65
10/02/2023,12.1
09/02/2023,12.5
08/02/2023,12.6
07/02/2023,12.65
06/02/2023,12.15
03/02/2023,12.4
02/02/2023,13.1
01/02/2023,13.45
31/01/2023,14.1
30/01/2023,13.85
27/01/2023,14.25
19/01/2023,14.75
18/01/2023,14.55
17/01/2023,14.5
16/01/2023,14.25
13/01/2023,14.6
12/01/2023,14.9
11/01/2023,14.95
10/01/2023,14.55
09/01/2023,14.9
06/01/2023,14.15
05/01/2023,14.35
04/01/2023,14.2
03/01/2023,14.5
30/12/2022,13.9
29/12/2022,13.85
28/12/2022,14.15
27/12/2022,13.5
26/12/2022,12.65
23/12/2022,13.55
22/12/2022,13.45
21/12/2022,14.25
20/12/2022,14.9
19/12/2022,14.2
16/12/2022,15.1
15/12/2022,14.25
14/12/2022,13.35
13/12/2022,12.9
12/12/2022,12.55
09/12/2022,11.75
08/12/2022,11.0
07/12/2022,10.55
06/12/2022,10.6
05/12/2022,11.05
02/12/2022,10.65
01/12/2022,10.45
30/11/2022,10.3
29/11/2022,10.35
28/11/2022,10.0
25/11/2022,9.4
24/11/2022,9.22
23/11/2022,9.23
22/11/2022,9.38
21/11/2022,9.35
18/11/2022,9.3
17/11/2022,9.42
16/11/2022,9.21
15/11/2022,8.61
14/11/2022,9.25
11/11/2022,9.9
10/11/2022,9.76
09/11/2022,10.4
08/11/2022,10.25
07/11/2022,10.1
04/11/2022,10.7
03/11/2022,10.85
02/11/2022,10.9
01/11/2022,10.9
31/10/2022,10.8
28/10/2022,10.75
27/10/2022,10.85
26/10/2022,10.55
25/10/2022,10.55
24/10/2022,10.55
21/10/2022,11.15
20/10/2022,11.7
19/10/2022,11.8
18/10/2022,11.65
17/10/2022,11.45
14/10/2022,11.65
13/10/2022,11.6
12/10/2022,11.4
11/10/2022,11.0
10/10/2022,11.25
07/10/2022,11.35
06/10/2022,12.2
05/10/2022,12.6
04/10/2022,12.4
03/10/2022,12.5
30/09/2022,13.35
29/09/2022,13.6
28/09/2022,13.65
27/09/2022,14.05
26/09/2022,14.25
23/09/2022,14.6
22/09/2022,14.8
21/09/2022,14.65
20/09/2022,14.95
19/09/2022,14.55
16/09/2022,14.85
15/09/2022,15.15
14/09/2022,14.75
13/09/2022,14.8
12/09/2022,14.65
09/09/2022,14.85
08/09/2022,15.15
07/09/2022,16.25
06/09/2022,16.85
05/09/2022,17.0
31/08/2022,17.25
30/08/2022,17.1
29/08/2022,17.05
26/08/2022,17.65
25/08/2022,17.9
24/08/2022,17.9
23/08/2022,17.45
22/08/2022,17.4
19/08/2022,17.4
18/08/2022,17.35
17/08/2022,17.35
16/08/2022,17.7
15/08/2022,17.65
12/08/2022,17.85
11/08/2022,17.8
10/08/2022,18.1
09/08/2022,17.55
08/08/2022,17.6
05/08/2022,17.8
04/08/2022,17.1
03/08/2022,17.05
02/08/2022,16.95
01/08/2022,16.95
29/07/2022,16.5
28/07/2022,16.1
27/07/2022,15.95
26/07/2022,16.2
25/07/2022,16.35
22/07/2022,16.6
21/07/2022,16.45
20/07/2022,16.6
19/07/2022,16.4
18/07/2022,16.4
15/07/2022,16.4
14/07/2022,16.45
13/07/2022,16.45
12/07/2022,16.35
11/07/2022,16.3
08/07/2022,16.35
07/07/2022,15.65
06/07/2022,15.6
05/07/2022,15.45
04/07/2022,15.75
01/07/2022,15.6
30/06/2022,15.5
29/06/2022,16.05
28/06/2022,16.5
27/06/2022,16.3
24/06/2022,15.25
23/06/2022,15.3
22/06/2022,15.35
21/06/2022,14.95
20/06/2022,14.6
17/06/2022,15.6
16/06/2022,16.25
15/06/2022,16.15
14/06/2022,17.1
13/06/2022,17.1
10/06/2022,18.0
09/06/2022,18.5
08/06/2022,18.05
07/06/2022,17.65
06/06/2022,17.9
03/06/2022,18.05
02/06/2022,18.0
01/06/2022,18.6
31/05/2022,18.65
30/05/2022,19.15
27/05/2022,18.6
26/05/2022,17.85
25/05/2022,17.8
24/05/2022,17.4
23/05/2022,17.85
20/05/2022,18.4
19/05/2022,18.35
18/05/2022,18.8
17/05/2022,19.2
16/05/2022,18.1
13/05/2022,17.75
12/05/2022,19.0
11/05/2022,20.3
10/05/2022,20.1
09/05/2022,19.55
06/05/2022,21.0
05/05/2022,21.95
04/05/2022,22.3
29/04/2022,21.75
28/04/2022,21.7
27/04/2022,21.85
26/04/2022,21.5
25/04/2022,20.7
22/04/2022,21.9
21/04/2022,22.3
20/04/2022,22.55
19/04/2022,22.3
18/04/2022,22.55
15/04/2022,23.4
14/04/2022,24.0
13/04/2022,23.85
12/04/2022,24.0
08/04/2022,24.1
07/04/2022,24.7
06/04/2022,24.95
05/04/2022,25.2
04/04/2022,24.9
01/04/2022,25.05
31/03/2022,24.9
30/03/2022,24.9
29/03/2022,25.1
28/03/2022,24.95
25/03/2022,25.35
24/03/2022,25.45
23/03/2022,25.2
22/03/2022,25.3
21/03/2022,25.2
18/03/2022,25.35
17/03/2022,25.6
16/03/2022,25.7
15/03/2022,26.15
14/03/2022,26.15
11/03/2022,25.8
10/03/2022,26.2
09/03/2022,25.0
08/03/2022,25.2
07/03/2022,24.9
04/03/2022,25.4
03/03/2022,25.0
02/03/2022,25.0
01/03/2022,25.4
28/02/2022,25.35
25/02/2022,25.9
24/02/2022,25.65
23/02/2022,26.25
22/02/2022,26.1
21/02/2022,26.8
18/02/2022,27.3
17/02/2022,26.8
16/02/2022,26.35
15/02/2022,26.25
14/02/2022,26.4
11/02/2022,26.2
10/02/2022,26.4
09/02/2022,26.25
08/02/2022,26.0
07/02/2022,26.0
28/01/2022,24.3
27/01/2022,24.0
26/01/2022,24.1
25/01/2022,23.35
24/01/2022,22.8
21/01/2022,22.7
20/01/2022,22.75
19/01/2022,22.7
18/01/2022,22.95
17/01/2022,22.9
14/01/2022,22.7
13/01/2022,22.65
12/01/2022,22.95
11/01/2022,23.05
10/01/2022,23.2
07/01/2022,22.65
