Ngay,Symbol,GiaDongCua
29/12/2023,PDN,94.0
28/12/2023,PDN,94.0
27/12/2023,PDN,95.0
26/12/2023,PDN,95.0
25/12/2023,PDN,95.0
22/12/2023,PDN,94.9
21/12/2023,PDN,94.0
20/12/2023,PDN,94.0
19/12/2023,PDN,93.5
18/12/2023,PDN,100.0
15/12/2023,PDN,100.0
14/12/2023,PDN,100.0
13/12/2023,PDN,102.9
12/12/2023,PDN,102.9
11/12/2023,PDN,98.0
08/12/2023,PDN,98.0
07/12/2023,PDN,92.5
06/12/2023,PDN,92.5
05/12/2023,PDN,99.0
04/12/2023,PDN,99.0
01/12/2023,PDN,99.0
30/11/2023,PDN,98.5
29/11/2023,PDN,98.5
28/11/2023,PDN,105.0
27/11/2023,PDN,105.0
24/11/2023,PDN,105.0
23/11/2023,PDN,105.0
22/11/2023,PDN,102.0
21/11/2023,PDN,108.0
20/11/2023,PDN,108.0
17/11/2023,PDN,106.0
16/11/2023,PDN,102.1
15/11/2023,PDN,109.5
14/11/2023,PDN,109.5
13/11/2023,PDN,105.8
10/11/2023,PDN,105.8
09/11/2023,PDN,105.8
08/11/2023,PDN,105.8
07/11/2023,PDN,105.8
06/11/2023,PDN,113.7
03/11/2023,PDN,106.3
02/11/2023,PDN,106.3
01/11/2023,PDN,99.5
31/10/2023,PDN,99.5
30/10/2023,PDN,93.1
27/10/2023,PDN,93.1
26/10/2023,PDN,87.1
25/10/2023,PDN,92.7
24/10/2023,PDN,92.7
23/10/2023,PDN,100.0
20/10/2023,PDN,100.0
19/10/2023,PDN,102.0
18/10/2023,PDN,102.0
17/10/2023,PDN,109.0
16/10/2023,PDN,109.0
13/10/2023,PDN,109.0
12/10/2023,PDN,109.0
11/10/2023,PDN,109.0
10/10/2023,PDN,109.0
09/10/2023,PDN,109.0
06/10/2023,PDN,109.0
05/10/2023,PDN,109.0
04/10/2023,PDN,110.4
03/10/2023,PDN,110.4
02/10/2023,PDN,110.5
29/09/2023,PDN,110.5
28/09/2023,PDN,112.0
27/09/2023,PDN,111.0
26/09/2023,PDN,114.9
25/09/2023,PDN,114.9
22/09/2023,PDN,114.9
21/09/2023,PDN,115.0
20/09/2023,PDN,115.0
19/09/2023,PDN,115.0
18/09/2023,PDN,115.0
15/09/2023,PDN,115.0
14/09/2023,PDN,115.0
13/09/2023,PDN,115.0
12/09/2023,PDN,115.0
11/09/2023,PDN,117.4
08/09/2023,PDN,117.4
07/09/2023,PDN,114.0
06/09/2023,PDN,118.0
05/09/2023,PDN,118.0
31/08/2023,PDN,118.0
30/08/2023,PDN,118.0
29/08/2023,PDN,118.0
28/08/2023,PDN,116.9
25/08/2023,PDN,116.1
24/08/2023,PDN,119.8
23/08/2023,PDN,120.0
22/08/2023,PDN,120.0
21/08/2023,PDN,121.0
18/08/2023,PDN,125.0
17/08/2023,PDN,125.0
16/08/2023,PDN,125.0
15/08/2023,PDN,125.0
14/08/2023,PDN,125.0
11/08/2023,PDN,125.0
10/08/2023,PDN,128.5
09/08/2023,PDN,125.0
08/08/2023,PDN,130.0
07/08/2023,PDN,130.0
04/08/2023,PDN,130.0
03/08/2023,PDN,131.1
02/08/2023,PDN,136.1
01/08/2023,PDN,136.1
31/07/2023,PDN,139.7
28/07/2023,PDN,139.7
27/07/2023,PDN,130.6
26/07/2023,PDN,133.6
25/07/2023,PDN,141.5
24/07/2023,PDN,132.5
21/07/2023,PDN,135.0
20/07/2023,PDN,132.1
19/07/2023,PDN,130.1
18/07/2023,PDN,128.1
17/07/2023,PDN,128.6
14/07/2023,PDN,130.6
13/07/2023,PDN,125.6
12/07/2023,PDN,132.0
11/07/2023,PDN,132.0
10/07/2023,PDN,132.0
07/07/2023,PDN,129.0
06/07/2023,PDN,125.0
05/07/2023,PDN,121.1
04/07/2023,PDN,120.2
03/07/2023,PDN,127.0
30/06/2023,PDN,123.0
29/06/2023,PDN,132.0
28/06/2023,PDN,132.8
27/06/2023,PDN,132.8
26/06/2023,PDN,124.2
23/06/2023,PDN,116.1
22/06/2023,PDN,115.8
21/06/2023,PDN,108.3
20/06/2023,PDN,101.3
19/06/2023,PDN,94.7
16/06/2023,PDN,94.7
15/06/2023,PDN,94.5
14/06/2023,PDN,179.7
13/06/2023,PDN,179.7
12/06/2023,PDN,179.7
09/06/2023,PDN,168.0
08/06/2023,PDN,168.0
07/06/2023,PDN,168.0
06/06/2023,PDN,168.0
05/06/2023,PDN,158.0
02/06/2023,PDN,158.0
01/06/2023,PDN,150.1
31/05/2023,PDN,150.1
30/05/2023,PDN,150.1
29/05/2023,PDN,159.0
26/05/2023,PDN,159.0
25/05/2023,PDN,149.0
24/05/2023,PDN,160.0
23/05/2023,PDN,160.0
22/05/2023,PDN,160.0
19/05/2023,PDN,157.0
18/05/2023,PDN,157.0
17/05/2023,PDN,157.0
16/05/2023,PDN,157.0
15/05/2023,PDN,147.0
12/05/2023,PDN,147.0
11/05/2023,PDN,138.1
10/05/2023,PDN,138.1
09/05/2023,PDN,148.1
08/05/2023,PDN,148.1
05/05/2023,PDN,148.1
04/05/2023,PDN,148.1
28/04/2023,PDN,148.1
27/04/2023,PDN,148.1
26/04/2023,PDN,148.1
25/04/2023,PDN,148.1
24/04/2023,PDN,146.1
21/04/2023,PDN,139.5
20/04/2023,PDN,150.0
19/04/2023,PDN,150.0
18/04/2023,PDN,150.0
17/04/2023,PDN,150.0
14/04/2023,PDN,150.0
13/04/2023,PDN,150.0
12/04/2023,PDN,150.0
11/04/2023,PDN,150.0
10/04/2023,PDN,150.0
07/04/2023,PDN,150.0
06/04/2023,PDN,150.0
05/04/2023,PDN,150.0
04/04/2023,PDN,150.0
03/04/2023,PDN,150.0
31/03/2023,PDN,154.1
30/03/2023,PDN,154.1
29/03/2023,PDN,154.1
28/03/2023,PDN,145.1
27/03/2023,PDN,145.1
24/03/2023,PDN,135.7
23/03/2023,PDN,145.6
22/03/2023,PDN,136.1
21/03/2023,PDN,137.6
20/03/2023,PDN,128.6
17/03/2023,PDN,128.6
16/03/2023,PDN,128.6
15/03/2023,PDN,128.6
14/03/2023,PDN,128.6
13/03/2023,PDN,128.6
10/03/2023,PDN,128.6
09/03/2023,PDN,128.6
08/03/2023,PDN,128.6
07/03/2023,PDN,138.1
06/03/2023,PDN,138.1
03/03/2023,PDN,145.0
02/03/2023,PDN,142.0
01/03/2023,PDN,142.0
28/02/2023,PDN,132.8
27/02/2023,PDN,142.5
24/02/2023,PDN,133.2
23/02/2023,PDN,133.2
22/02/2023,PDN,140.0
21/02/2023,PDN,140.0
20/02/2023,PDN,134.9
17/02/2023,PDN,126.1
16/02/2023,PDN,134.4
15/02/2023,PDN,134.4
14/02/2023,PDN,144.5
13/02/2023,PDN,135.1
10/02/2023,PDN,141.5
09/02/2023,PDN,139.0
08/02/2023,PDN,139.0
07/02/2023,PDN,139.0
06/02/2023,PDN,139.0
03/02/2023,PDN,139.0
02/02/2023,PDN,139.0
01/02/2023,PDN,139.0
31/01/2023,PDN,145.6
30/01/2023,PDN,145.6
27/01/2023,PDN,136.1
19/01/2023,PDN,136.1
18/01/2023,PDN,139.6
17/01/2023,PDN,130.5
16/01/2023,PDN,140.1
13/01/2023,PDN,140.1
12/01/2023,PDN,140.0
11/01/2023,PDN,139.9
10/01/2023,PDN,139.8
09/01/2023,PDN,139.8
06/01/2023,PDN,139.8
05/01/2023,PDN,139.8
04/01/2023,PDN,139.8
03/01/2023,PDN,139.8
30/12/2022,PDN,139.8
29/12/2022,PDN,139.8
28/12/2022,PDN,139.7
27/12/2022,PDN,139.7
26/12/2022,PDN,139.6
23/12/2022,PDN,139.6
22/12/2022,PDN,130.5
21/12/2022,PDN,140.2
20/12/2022,PDN,140.1
19/12/2022,PDN,140.0
16/12/2022,PDN,139.1
15/12/2022,PDN,138.1
14/12/2022,PDN,138.1
13/12/2022,PDN,138.1
12/12/2022,PDN,138.1
09/12/2022,PDN,138.1
08/12/2022,PDN,138.1
07/12/2022,PDN,129.1
06/12/2022,PDN,128.2
05/12/2022,PDN,119.9
02/12/2022,PDN,112.1
01/12/2022,PDN,112.1
30/11/2022,PDN,112.1
29/11/2022,PDN,112.1
28/11/2022,PDN,120.2
25/11/2022,PDN,129.2
24/11/2022,PDN,129.1
23/11/2022,PDN,129.1
22/11/2022,PDN,129.1
21/11/2022,PDN,129.1
18/11/2022,PDN,129.1
17/11/2022,PDN,126.1016
16/11/2022,PDN,128.1
15/11/2022,PDN,127.2
14/11/2022,PDN,127.1
11/11/2022,PDN,127.0
10/11/2022,PDN,123.1
09/11/2022,PDN,115.1
08/11/2022,PDN,115.1
07/11/2022,PDN,123.1
04/11/2022,PDN,123.1
03/11/2022,PDN,132.3
02/11/2022,PDN,123.7
01/11/2022,PDN,115.7
31/10/2022,PDN,115.7
28/10/2022,PDN,108.2
27/10/2022,PDN,108.2
26/10/2022,PDN,115.7
25/10/2022,PDN,124.2
24/10/2022,PDN,124.1
21/10/2022,PDN,123.7
20/10/2022,PDN,132.8
19/10/2022,PDN,124.2
18/10/2022,PDN,116.1
17/10/2022,PDN,114.5
14/10/2022,PDN,107.1
13/10/2022,PDN,107.1
12/10/2022,PDN,110.6
11/10/2022,PDN,103.4
10/10/2022,PDN,103.4
07/10/2022,PDN,111.1
06/10/2022,PDN,117.2
05/10/2022,PDN,125.9
04/10/2022,PDN,125.9
03/10/2022,PDN,117.7
30/09/2022,PDN,110.0
29/09/2022,PDN,117.4
28/09/2022,PDN,117.4
27/09/2022,PDN,125.1
26/09/2022,PDN,131.7
23/09/2022,PDN,123.1
22/09/2022,PDN,130.0
21/09/2022,PDN,123.2
20/09/2022,PDN,123.2
19/09/2022,PDN,115.2
16/09/2022,PDN,120.2
15/09/2022,PDN,122.6
14/09/2022,PDN,122.6
13/09/2022,PDN,128.1
12/09/2022,PDN,125.2
09/09/2022,PDN,117.1
08/09/2022,PDN,124.5
07/09/2022,PDN,116.4
06/09/2022,PDN,108.8
05/09/2022,PDN,116.8
31/08/2022,PDN,116.7
30/08/2022,PDN,109.1
29/08/2022,PDN,114.5
26/08/2022,PDN,107.1
25/08/2022,PDN,100.1
24/08/2022,PDN,100.1
23/08/2022,PDN,100.1
22/08/2022,PDN,100.1
19/08/2022,PDN,106.2
18/08/2022,PDN,106.2
17/08/2022,PDN,106.2
16/08/2022,PDN,114.1
15/08/2022,PDN,118.6
12/08/2022,PDN,118.6
11/08/2022,PDN,118.6
10/08/2022,PDN,110.9
09/08/2022,PDN,103.7
08/08/2022,PDN,103.7
05/08/2022,PDN,111.2
04/08/2022,PDN,111.2
03/08/2022,PDN,104.0
02/08/2022,PDN,104.0
01/08/2022,PDN,103.5
29/07/2022,PDN,103.5
28/07/2022,PDN,103.5
27/07/2022,PDN,111.2
26/07/2022,PDN,111.2
25/07/2022,PDN,111.2
22/07/2022,PDN,111.2
21/07/2022,PDN,111.2
20/07/2022,PDN,111.2
19/07/2022,PDN,111.2
18/07/2022,PDN,111.2
15/07/2022,PDN,111.2
14/07/2022,PDN,104.0
13/07/2022,PDN,104.0
12/07/2022,PDN,104.0
11/07/2022,PDN,104.0
08/07/2022,PDN,104.0
07/07/2022,PDN,101.6
06/07/2022,PDN,101.6
05/07/2022,PDN,101.6
04/07/2022,PDN,101.6
01/07/2022,PDN,99.1006
30/06/2022,PDN,101.6
29/06/2022,PDN,101.6
28/06/2022,PDN,101.6
27/06/2022,PDN,101.6
24/06/2022,PDN,109.2
23/06/2022,PDN,109.2
22/06/2022,PDN,102.1
21/06/2022,PDN,109.6
20/06/2022,PDN,117.8
17/06/2022,PDN,110.1
16/06/2022,PDN,117.5
15/06/2022,PDN,110.1
14/06/2022,PDN,110.1
13/06/2022,PDN,102.9
10/06/2022,PDN,96.2
09/06/2022,PDN,96.2
08/06/2022,PDN,102.2
07/06/2022,PDN,102.2
06/06/2022,PDN,102.2
03/06/2022,PDN,102.2
02/06/2022,PDN,102.2
01/06/2022,PDN,102.2
