Ngay,Symbol,GiaDongCua
29/12/2023,SKG,14.8
28/12/2023,SKG,14.9
27/12/2023,SKG,14.85
26/12/2023,SKG,14.85
25/12/2023,SKG,14.85
22/12/2023,SKG,14.7
21/12/2023,SKG,14.6
20/12/2023,SKG,14.35
19/12/2023,SKG,14.45
18/12/2023,SKG,14.35
15/12/2023,SKG,14.75
14/12/2023,SKG,14.75
13/12/2023,SKG,14.7
12/12/2023,SKG,14.95
11/12/2023,SKG,14.85
08/12/2023,SKG,15.15
07/12/2023,SKG,15.2
06/12/2023,SKG,14.4
05/12/2023,SKG,14.25
04/12/2023,SKG,14.4
01/12/2023,SKG,13.95
30/11/2023,SKG,13.8
29/11/2023,SKG,14.0
28/11/2023,SKG,14.1
27/11/2023,SKG,14.0
24/11/2023,SKG,13.9
23/11/2023,SKG,14.25
22/11/2023,SKG,14.55
21/11/2023,SKG,14.55
20/11/2023,SKG,14.45
17/11/2023,SKG,14.1
16/11/2023,SKG,14.35
15/11/2023,SKG,14.3
14/11/2023,SKG,14.2
13/11/2023,SKG,14.1
10/11/2023,SKG,14.05
09/11/2023,SKG,14.15
08/11/2023,SKG,13.95
07/11/2023,SKG,13.5
06/11/2023,SKG,13.5
03/11/2023,SKG,13.5
02/11/2023,SKG,13.7
01/11/2023,SKG,13.0
31/10/2023,SKG,12.5
30/10/2023,SKG,13.0
27/10/2023,SKG,13.05
26/10/2023,SKG,12.95
25/10/2023,SKG,13.9
24/10/2023,SKG,13.95
23/10/2023,SKG,13.7
20/10/2023,SKG,14.65
19/10/2023,SKG,14.8
18/10/2023,SKG,15.0
17/10/2023,SKG,15.1
16/10/2023,SKG,15.5
13/10/2023,SKG,15.95
12/10/2023,SKG,15.95
11/10/2023,SKG,15.9
10/10/2023,SKG,15.75
09/10/2023,SKG,15.6
06/10/2023,SKG,15.4
05/10/2023,SKG,14.95
04/10/2023,SKG,15.0
03/10/2023,SKG,14.95
02/10/2023,SKG,15.8
29/09/2023,SKG,15.85
28/09/2023,SKG,15.85
27/09/2023,SKG,15.8
26/09/2023,SKG,15.75
25/09/2023,SKG,15.65
22/09/2023,SKG,16.7
21/09/2023,SKG,17.15
20/09/2023,SKG,16.7
19/09/2023,SKG,16.6
18/09/2023,SKG,16.5
15/09/2023,SKG,17.0
14/09/2023,SKG,17.1
13/09/2023,SKG,17.2
12/09/2023,SKG,17.4
11/09/2023,SKG,17.1
08/09/2023,SKG,17.65
07/09/2023,SKG,17.5
06/09/2023,SKG,17.3
05/09/2023,SKG,17.7
31/08/2023,SKG,17.8
30/08/2023,SKG,17.2
29/08/2023,SKG,16.85
28/08/2023,SKG,16.9
25/08/2023,SKG,17.1
24/08/2023,SKG,17.0
23/08/2023,SKG,16.55
22/08/2023,SKG,16.7
21/08/2023,SKG,16.4
18/08/2023,SKG,17.2
17/08/2023,SKG,18.45
16/08/2023,SKG,18.75
15/08/2023,SKG,18.9
14/08/2023,SKG,18.6
11/08/2023,SKG,18.65
10/08/2023,SKG,18.55
09/08/2023,SKG,18.9
08/08/2023,SKG,19.0
07/08/2023,SKG,18.5
