Ngay,GiaDongCua
29/12/2023,37.85
28/12/2023,37.8
27/12/2023,37.45
26/12/2023,37.45
25/12/2023,36.8
22/12/2023,37.0
21/12/2023,36.9
20/12/2023,36.9
19/12/2023,36.9
18/12/2023,36.9
15/12/2023,37.1
14/12/2023,37.1
13/12/2023,37.0
12/12/2023,37.0
11/12/2023,37.0
08/12/2023,37.1
07/12/2023,37.0
06/12/2023,37.0
05/12/2023,37.0
04/12/2023,37.0
01/12/2023,36.7
30/11/2023,36.65
29/11/2023,36.6
28/11/2023,36.8
27/11/2023,36.8
24/11/2023,36.55
23/11/2023,37.0
22/11/2023,36.8
21/11/2023,36.65
20/11/2023,36.8
17/11/2023,37.0
16/11/2023,37.1
15/11/2023,37.25
14/11/2023,37.5
13/11/2023,37.0
10/11/2023,37.3
09/11/2023,37.25
08/11/2023,37.3
07/11/2023,37.0
06/11/2023,37.0
03/11/2023,37.0
02/11/2023,36.65
01/11/2023,36.5
31/10/2023,36.4
30/10/2023,36.5
27/10/2023,36.7
26/10/2023,36.7
25/10/2023,37.4
24/10/2023,37.6
23/10/2023,37.6
20/10/2023,37.95
19/10/2023,37.25
18/10/2023,36.9
17/10/2023,38.05
16/10/2023,38.3
13/10/2023,38.2
12/10/2023,38.5
11/10/2023,38.6
10/10/2023,38.75
09/10/2023,38.9
06/10/2023,39.0
05/10/2023,38.65
04/10/2023,38.75
03/10/2023,38.8
02/10/2023,39.2
29/09/2023,39.2
28/09/2023,39.8
27/09/2023,39.15
26/09/2023,39.15
25/09/2023,38.5
22/09/2023,38.3
21/09/2023,38.5
20/09/2023,38.75
19/09/2023,38.65
18/09/2023,39.0
15/09/2023,38.9
14/09/2023,39.7
13/09/2023,39.8
12/09/2023,39.6
11/09/2023,40.0
08/09/2023,39.55
07/09/2023,38.35
06/09/2023,37.5
05/09/2023,37.45
31/08/2023,37.45
30/08/2023,37.3
29/08/2023,37.2
28/08/2023,36.75
25/08/2023,36.75
24/08/2023,36.75
23/08/2023,36.65
22/08/2023,36.55
21/08/2023,36.3
