Ngay,Symbol,GiaDongCua
29/12/2023,VIP,11.35
28/12/2023,VIP,11.3
27/12/2023,VIP,11.3
26/12/2023,VIP,11.3
25/12/2023,VIP,11.35
22/12/2023,VIP,11.2
21/12/2023,VIP,11.2
20/12/2023,VIP,11.15
19/12/2023,VIP,11.15
18/12/2023,VIP,11.15
15/12/2023,VIP,11.2
14/12/2023,VIP,11.2
13/12/2023,VIP,11.1
12/12/2023,VIP,11.3
11/12/2023,VIP,11.2
08/12/2023,VIP,11.35
07/12/2023,VIP,11.5
06/12/2023,VIP,11.5
05/12/2023,VIP,11.5
04/12/2023,VIP,11.5
01/12/2023,VIP,11.2
30/11/2023,VIP,11.2
29/11/2023,VIP,11.15
28/11/2023,VIP,10.95
27/11/2023,VIP,11.0
24/11/2023,VIP,11.0
23/11/2023,VIP,11.1
22/11/2023,VIP,11.2
21/11/2023,VIP,11.2
20/11/2023,VIP,11.15
17/11/2023,VIP,11.3
16/11/2023,VIP,11.35
15/11/2023,VIP,11.35
14/11/2023,VIP,11.15
13/11/2023,VIP,10.95
10/11/2023,VIP,11.0
09/11/2023,VIP,11.1
08/11/2023,VIP,11.0
07/11/2023,VIP,10.7
06/11/2023,VIP,10.7
03/11/2023,VIP,10.75
02/11/2023,VIP,10.75
01/11/2023,VIP,10.45
31/10/2023,VIP,10.35
30/10/2023,VIP,10.7
27/10/2023,VIP,10.85
26/10/2023,VIP,10.8
25/10/2023,VIP,11.6
24/10/2023,VIP,11.45
23/10/2023,VIP,11.4
20/10/2023,VIP,11.8
19/10/2023,VIP,11.35
18/10/2023,VIP,11.6
17/10/2023,VIP,12.0
16/10/2023,VIP,12.5
13/10/2023,VIP,11.7
12/10/2023,VIP,11.65
11/10/2023,VIP,11.65
10/10/2023,VIP,11.6
09/10/2023,VIP,11.65
06/10/2023,VIP,11.5
05/10/2023,VIP,11.1
04/10/2023,VIP,11.25
03/10/2023,VIP,11.2
02/10/2023,VIP,11.7
29/09/2023,VIP,11.75
28/09/2023,VIP,11.7
27/09/2023,VIP,11.5
26/09/2023,VIP,11.25
25/09/2023,VIP,11.3
22/09/2023,VIP,11.7
21/09/2023,VIP,12.1
20/09/2023,VIP,12.25
19/09/2023,VIP,11.8
18/09/2023,VIP,11.75
15/09/2023,VIP,11.95
14/09/2023,VIP,11.9
13/09/2023,VIP,12.15
12/09/2023,VIP,12.3
11/09/2023,VIP,12.2
08/09/2023,VIP,12.15
07/09/2023,VIP,11.95
06/09/2023,VIP,11.95
05/09/2023,VIP,12.0
31/08/2023,VIP,11.7
30/08/2023,VIP,11.4
29/08/2023,VIP,11.45
28/08/2023,VIP,11.45
25/08/2023,VIP,11.45
24/08/2023,VIP,11.45
23/08/2023,VIP,11.4
22/08/2023,VIP,11.5
21/08/2023,VIP,11.35
18/08/2023,VIP,11.1
17/08/2023,VIP,11.8
16/08/2023,VIP,12.25
15/08/2023,VIP,12.5
14/08/2023,VIP,12.4
11/08/2023,VIP,12.25
10/08/2023,VIP,12.2
09/08/2023,VIP,12.2
08/08/2023,VIP,12.35
07/08/2023,VIP,12.4
04/08/2023,VIP,12.6
03/08/2023,VIP,12.25
02/08/2023,VIP,12.2
01/08/2023,VIP,12.0
31/07/2023,VIP,12.2
28/07/2023,VIP,12.35
27/07/2023,VIP,12.5
26/07/2023,VIP,11.7
25/07/2023,VIP,11.95
24/07/2023,VIP,11.85
21/07/2023,VIP,11.7
20/07/2023,VIP,11.9
19/07/2023,VIP,11.95
18/07/2023,VIP,11.45
17/07/2023,VIP,11.5
14/07/2023,VIP,11.45
13/07/2023,VIP,11.4
12/07/2023,VIP,11.45
11/07/2023,VIP,11.2
10/07/2023,VIP,11.3
07/07/2023,VIP,11.3
06/07/2023,VIP,11.1
05/07/2023,VIP,11.2
04/07/2023,VIP,11.15
03/07/2023,VIP,11.0
30/06/2023,VIP,10.95
29/06/2023,VIP,10.85
28/06/2023,VIP,11.15
27/06/2023,VIP,11.15
26/06/2023,VIP,10.5
23/06/2023,VIP,10.5
22/06/2023,VIP,10.55
21/06/2023,VIP,10.3
20/06/2023,VIP,10.25
19/06/2023,VIP,10.3
16/06/2023,VIP,10.3
15/06/2023,VIP,10.45
14/06/2023,VIP,10.2
13/06/2023,VIP,10.4
12/06/2023,VIP,10.5
09/06/2023,VIP,10.45
08/06/2023,VIP,10.6
07/06/2023,VIP,10.75
06/06/2023,VIP,10.8
05/06/2023,VIP,10.9
02/06/2023,VIP,10.65
01/06/2023,VIP,10.4
31/05/2023,VIP,10.45
30/05/2023,VIP,10.3
29/05/2023,VIP,10.15
26/05/2023,VIP,9.96
25/05/2023,VIP,9.97
24/05/2023,VIP,10.1
23/05/2023,VIP,10.25
22/05/2023,VIP,10.3
19/05/2023,VIP,10.25
18/05/2023,VIP,10.25
17/05/2023,VIP,10.2
16/05/2023,VIP,10.4
15/05/2023,VIP,10.35
12/05/2023,VIP,10.75
11/05/2023,VIP,11.95
10/05/2023,VIP,11.85
09/05/2023,VIP,12.0
08/05/2023,VIP,11.95
05/05/2023,VIP,11.7
04/05/2023,VIP,11.75
28/04/2023,VIP,11.55
27/04/2023,VIP,11.65
26/04/2023,VIP,11.3
25/04/2023,VIP,11.5
24/04/2023,VIP,11.3
21/04/2023,VIP,11.25
20/04/2023,VIP,11.0
19/04/2023,VIP,11.4
18/04/2023,VIP,11.5
17/04/2023,VIP,11.5
14/04/2023,VIP,11.55
13/04/2023,VIP,12.4
12/04/2023,VIP,12.6
11/04/2023,VIP,12.65
10/04/2023,VIP,12.3
07/04/2023,VIP,12.45
06/04/2023,VIP,11.9
05/04/2023,VIP,12.1
04/04/2023,VIP,11.65
03/04/2023,VIP,10.9
31/03/2023,VIP,10.9
30/03/2023,VIP,10.85
29/03/2023,VIP,10.95
28/03/2023,VIP,10.85
27/03/2023,VIP,10.85
24/03/2023,VIP,10.95
23/03/2023,VIP,10.9
22/03/2023,VIP,10.8
21/03/2023,VIP,10.5
20/03/2023,VIP,10.15
17/03/2023,VIP,10.55
16/03/2023,VIP,10.6
15/03/2023,VIP,11.0
14/03/2023,VIP,10.45
13/03/2023,VIP,11.0
10/03/2023,VIP,11.15
09/03/2023,VIP,11.4
08/03/2023,VIP,11.35
07/03/2023,VIP,11.05
06/03/2023,VIP,10.95
03/03/2023,VIP,10.95
02/03/2023,VIP,10.9
01/03/2023,VIP,10.85
28/02/2023,VIP,10.15
27/02/2023,VIP,10.1
24/02/2023,VIP,10.3
23/02/2023,VIP,10.85
22/02/2023,VIP,10.75
21/02/2023,VIP,10.9
20/02/2023,VIP,11.25
17/02/2023,VIP,11.0
16/02/2023,VIP,10.85
15/02/2023,VIP,10.2
14/02/2023,VIP,9.8
13/02/2023,VIP,9.6
10/02/2023,VIP,10.0
09/02/2023,VIP,10.15
08/02/2023,VIP,9.95
07/02/2023,VIP,9.95
06/02/2023,VIP,10.2
03/02/2023,VIP,9.63
02/02/2023,VIP,9.63
01/02/2023,VIP,9.65
31/01/2023,VIP,10.25
30/01/2023,VIP,10.2
27/01/2023,VIP,9.89
19/01/2023,VIP,9.25
18/01/2023,VIP,8.7
17/01/2023,VIP,8.57
16/01/2023,VIP,8.56
13/01/2023,VIP,8.2
12/01/2023,VIP,8.15
11/01/2023,VIP,8.18
10/01/2023,VIP,8.18
09/01/2023,VIP,8.12
06/01/2023,VIP,8.51
05/01/2023,VIP,9.15
04/01/2023,VIP,9.22
03/01/2023,VIP,8.62
30/12/2022,VIP,8.6
29/12/2022,VIP,8.47
28/12/2022,VIP,8.55
27/12/2022,VIP,8.45
26/12/2022,VIP,8.11
23/12/2022,VIP,8.7
22/12/2022,VIP,8.56
21/12/2022,VIP,8.55
20/12/2022,VIP,8.6
19/12/2022,VIP,8.85
16/12/2022,VIP,8.7
15/12/2022,VIP,8.6
14/12/2022,VIP,8.66
13/12/2022,VIP,8.5
12/12/2022,VIP,8.68
09/12/2022,VIP,8.39
08/12/2022,VIP,8.15
07/12/2022,VIP,8.2
06/12/2022,VIP,8.3
05/12/2022,VIP,8.31
02/12/2022,VIP,7.8
01/12/2022,VIP,7.75
30/11/2022,VIP,7.75
29/11/2022,VIP,7.75
28/11/2022,VIP,7.75
25/11/2022,VIP,7.25
24/11/2022,VIP,7.0
23/11/2022,VIP,7.0
22/11/2022,VIP,7.06
21/11/2022,VIP,6.71
18/11/2022,VIP,6.29
17/11/2022,VIP,5.88
16/11/2022,VIP,5.5
15/11/2022,VIP,5.21
14/11/2022,VIP,5.6
11/11/2022,VIP,5.95
10/11/2022,VIP,5.97
09/11/2022,VIP,6.1
08/11/2022,VIP,6.05
07/11/2022,VIP,6.05
04/11/2022,VIP,6.18
03/11/2022,VIP,6.37
02/11/2022,VIP,6.38
01/11/2022,VIP,6.5
31/10/2022,VIP,6.49
28/10/2022,VIP,6.6
27/10/2022,VIP,6.5
26/10/2022,VIP,6.23
25/10/2022,VIP,6.24
24/10/2022,VIP,6.15
21/10/2022,VIP,6.38
20/10/2022,VIP,6.42
19/10/2022,VIP,6.42
18/10/2022,VIP,6.41
17/10/2022,VIP,6.31
14/10/2022,VIP,6.31
13/10/2022,VIP,6.18
12/10/2022,VIP,5.98
11/10/2022,VIP,5.9
10/10/2022,VIP,6.15
07/10/2022,VIP,6.2
06/10/2022,VIP,6.5
05/10/2022,VIP,6.5
04/10/2022,VIP,6.4
03/10/2022,VIP,6.59
30/09/2022,VIP,6.9
29/09/2022,VIP,6.93
28/09/2022,VIP,7.0
27/09/2022,VIP,7.07
26/09/2022,VIP,7.07
23/09/2022,VIP,7.24
22/09/2022,VIP,7.24
21/09/2022,VIP,7.24
20/09/2022,VIP,7.04
19/09/2022,VIP,6.9
16/09/2022,VIP,7.04
15/09/2022,VIP,7.05
14/09/2022,VIP,6.91
13/09/2022,VIP,7.02
12/09/2022,VIP,6.95
09/09/2022,VIP,7.18
08/09/2022,VIP,7.5
07/09/2022,VIP,7.54
06/09/2022,VIP,7.05
05/09/2022,VIP,6.96
31/08/2022,VIP,7.01
30/08/2022,VIP,7.1
29/08/2022,VIP,7.1
26/08/2022,VIP,7.1
25/08/2022,VIP,7.25
24/08/2022,VIP,7.1
23/08/2022,VIP,6.84
22/08/2022,VIP,6.67
19/08/2022,VIP,6.65
18/08/2022,VIP,6.71
17/08/2022,VIP,6.7
16/08/2022,VIP,6.73
15/08/2022,VIP,6.71
12/08/2022,VIP,6.75
11/08/2022,VIP,6.79
10/08/2022,VIP,6.81
09/08/2022,VIP,6.81
08/08/2022,VIP,6.78
05/08/2022,VIP,6.76
04/08/2022,VIP,6.79
03/08/2022,VIP,6.63
02/08/2022,VIP,6.45
01/08/2022,VIP,6.36
29/07/2022,VIP,6.35
28/07/2022,VIP,6.32
27/07/2022,VIP,6.25
26/07/2022,VIP,6.25
25/07/2022,VIP,6.4
22/07/2022,VIP,6.5
21/07/2022,VIP,6.53
20/07/2022,VIP,6.57
19/07/2022,VIP,6.49
18/07/2022,VIP,6.42
15/07/2022,VIP,6.41
14/07/2022,VIP,6.33
13/07/2022,VIP,6.3
12/07/2022,VIP,6.21
11/07/2022,VIP,6.12
08/07/2022,VIP,6.2
07/07/2022,VIP,6.14
06/07/2022,VIP,6.15
05/07/2022,VIP,6.34
04/07/2022,VIP,6.41
01/07/2022,VIP,6.35
30/06/2022,VIP,6.41
29/06/2022,VIP,6.58
28/06/2022,VIP,6.59
27/06/2022,VIP,6.6
24/06/2022,VIP,6.23
23/06/2022,VIP,6.2
22/06/2022,VIP,6.03
21/06/2022,VIP,6.0
20/06/2022,VIP,6.25
17/06/2022,VIP,6.45
16/06/2022,VIP,6.66
15/06/2022,VIP,6.47
14/06/2022,VIP,6.8
13/06/2022,VIP,7.0
10/06/2022,VIP,7.5
09/06/2022,VIP,7.61
08/06/2022,VIP,7.61
07/06/2022,VIP,7.41
06/06/2022,VIP,7.51
03/06/2022,VIP,7.5
02/06/2022,VIP,7.5
01/06/2022,VIP,7.72
31/05/2022,VIP,7.81
30/05/2022,VIP,7.74
27/05/2022,VIP,7.73
26/05/2022,VIP,7.74
25/05/2022,VIP,7.6
24/05/2022,VIP,7.26
23/05/2022,VIP,7.28
20/05/2022,VIP,7.4
19/05/2022,VIP,7.39
18/05/2022,VIP,7.5
17/05/2022,VIP,7.3
16/05/2022,VIP,7.0
13/05/2022,VIP,6.93
12/05/2022,VIP,7.45
11/05/2022,VIP,7.84
10/05/2022,VIP,8.1
09/05/2022,VIP,8.01
06/05/2022,VIP,8.61
05/05/2022,VIP,8.84
04/05/2022,VIP,8.62
29/04/2022,VIP,8.78
28/04/2022,VIP,8.71
27/04/2022,VIP,8.4
26/04/2022,VIP,8.2
25/04/2022,VIP,7.96
22/04/2022,VIP,8.55
21/04/2022,VIP,8.51
20/04/2022,VIP,9.15
19/04/2022,VIP,9.15
18/04/2022,VIP,9.8
15/04/2022,VIP,10.4
14/04/2022,VIP,10.25
13/04/2022,VIP,10.55
12/04/2022,VIP,10.5
08/04/2022,VIP,11.25
07/04/2022,VIP,11.3
06/04/2022,VIP,11.5
05/04/2022,VIP,11.6
04/04/2022,VIP,11.55
01/04/2022,VIP,11.55
31/03/2022,VIP,11.6
30/03/2022,VIP,11.6
29/03/2022,VIP,11.95
28/03/2022,VIP,11.55
25/03/2022,VIP,12.3
24/03/2022,VIP,12.4
23/03/2022,VIP,12.2
22/03/2022,VIP,12.25
21/03/2022,VIP,12.1
18/03/2022,VIP,12.1
17/03/2022,VIP,12.1
16/03/2022,VIP,12.2
15/03/2022,VIP,11.95
14/03/2022,VIP,11.95
11/03/2022,VIP,12.8
10/03/2022,VIP,12.85
09/03/2022,VIP,12.9
08/03/2022,VIP,12.1
07/03/2022,VIP,13.0
04/03/2022,VIP,12.6
03/03/2022,VIP,12.9
02/03/2022,VIP,12.1
01/03/2022,VIP,11.85
28/02/2022,VIP,11.35
25/02/2022,VIP,11.35
24/02/2022,VIP,11.4
23/02/2022,VIP,11.2
22/02/2022,VIP,10.95
21/02/2022,VIP,11.15
18/02/2022,VIP,10.85
17/02/2022,VIP,10.85
16/02/2022,VIP,10.95
15/02/2022,VIP,10.95
14/02/2022,VIP,11.2
11/02/2022,VIP,10.5
10/02/2022,VIP,10.4
09/02/2022,VIP,10.4
08/02/2022,VIP,10.3
07/02/2022,VIP,10.2
28/01/2022,VIP,9.82
27/01/2022,VIP,9.82
26/01/2022,VIP,10.0
25/01/2022,VIP,10.0
24/01/2022,VIP,9.77
21/01/2022,VIP,10.5
20/01/2022,VIP,10.3
19/01/2022,VIP,9.73
18/01/2022,VIP,9.75
17/01/2022,VIP,10.45
14/01/2022,VIP,11.1
13/01/2022,VIP,11.4
12/01/2022,VIP,11.7
11/01/2022,VIP,11.6
10/01/2022,VIP,11.9
07/01/2022,VIP,11.15
06/01/2022,VIP,11.25
05/01/2022,VIP,11.3
04/01/2022,VIP,11.45
31/12/2021,VIP,11.25
30/12/2021,VIP,11.15
29/12/2021,VIP,11.3
28/12/2021,VIP,11.15
27/12/2021,VIP,11.3
24/12/2021,VIP,11.4
23/12/2021,VIP,11.4
22/12/2021,VIP,11.65
21/12/2021,VIP,11.5
20/12/2021,VIP,11.6
17/12/2021,VIP,11.7
16/12/2021,VIP,11.7
15/12/2021,VIP,11.75
14/12/2021,VIP,11.7
13/12/2021,VIP,11.8
10/12/2021,VIP,11.65
09/12/2021,VIP,10.9
08/12/2021,VIP,10.85
07/12/2021,VIP,10.85
06/12/2021,VIP,10.4
03/12/2021,VIP,10.9
02/12/2021,VIP,11.25
01/12/2021,VIP,11.15
30/11/2021,VIP,11.1
29/11/2021,VIP,10.95
26/11/2021,VIP,11.2
25/11/2021,VIP,11.35
24/11/2021,VIP,11.25
23/11/2021,VIP,11.6
22/11/2021,VIP,11.2
19/11/2021,VIP,12.0
18/11/2021,VIP,12.6
17/11/2021,VIP,12.6
16/11/2021,VIP,12.8
15/11/2021,VIP,12.3
12/11/2021,VIP,12.45
11/11/2021,VIP,12.5
10/11/2021,VIP,12.55
09/11/2021,VIP,12.1
08/11/2021,VIP,12.05
05/11/2021,VIP,12.2
04/11/2021,VIP,11.75
03/11/2021,VIP,11.9
02/11/2021,VIP,12.5
01/11/2021,VIP,12.6
29/10/2021,VIP,13.0
28/10/2021,VIP,13.2
27/10/2021,VIP,13.1
26/10/2021,VIP,13.15
25/10/2021,VIP,13.6
22/10/2021,VIP,14.15
21/10/2021,VIP,13.55
20/10/2021,VIP,13.55
19/10/2021,VIP,12.7
18/10/2021,VIP,12.75
15/10/2021,VIP,13.15
14/10/2021,VIP,13.35
13/10/2021,VIP,12.5
12/10/2021,VIP,12.1
11/10/2021,VIP,11.8
08/10/2021,VIP,12.0
07/10/2021,VIP,12.0
06/10/2021,VIP,11.65
05/10/2021,VIP,11.85
04/10/2021,VIP,11.85
01/10/2021,VIP,11.1
30/09/2021,VIP,11.5
29/09/2021,VIP,11.45
28/09/2021,VIP,11.4
27/09/2021,VIP,10.8
24/09/2021,VIP,11.4
23/09/2021,VIP,11.9
22/09/2021,VIP,12.75
21/09/2021,VIP,12.8
20/09/2021,VIP,12.0
17/09/2021,VIP,12.15
16/09/2021,VIP,11.4
15/09/2021,VIP,10.7
14/09/2021,VIP,10.0
13/09/2021,VIP,10.3
10/09/2021,VIP,9.63
09/09/2021,VIP,9.0
08/09/2021,VIP,8.76
07/09/2021,VIP,8.9
06/09/2021,VIP,8.88
01/09/2021,VIP,8.3
31/08/2021,VIP,8.2
30/08/2021,VIP,8.34
27/08/2021,VIP,8.22
26/08/2021,VIP,8.18
25/08/2021,VIP,7.91
24/08/2021,VIP,7.99
23/08/2021,VIP,8.0
20/08/2021,VIP,8.29
19/08/2021,VIP,8.29
18/08/2021,VIP,8.13
17/08/2021,VIP,8.15
16/08/2021,VIP,8.23
13/08/2021,VIP,8.28
12/08/2021,VIP,8.3
11/08/2021,VIP,8.69
10/08/2021,VIP,8.37
09/08/2021,VIP,8.24
06/08/2021,VIP,7.74
05/08/2021,VIP,7.66
04/08/2021,VIP,7.41
03/08/2021,VIP,7.42
02/08/2021,VIP,7.42
30/07/2021,VIP,7.52
29/07/2021,VIP,7.52
28/07/2021,VIP,8.0
27/07/2021,VIP,7.99
26/07/2021,VIP,8.1
23/07/2021,VIP,8.15
22/07/2021,VIP,8.0
21/07/2021,VIP,7.87
20/07/2021,VIP,7.85
19/07/2021,VIP,7.56
16/07/2021,VIP,7.92
15/07/2021,VIP,7.96
14/07/2021,VIP,7.83
13/07/2021,VIP,7.52
12/07/2021,VIP,7.38
09/07/2021,VIP,7.9
08/07/2021,VIP,8.14
07/07/2021,VIP,8.2
06/07/2021,VIP,8.4
05/07/2021,VIP,8.69
02/07/2021,VIP,8.92
01/07/2021,VIP,8.69
30/06/2021,VIP,8.7
29/06/2021,VIP,9.03
28/06/2021,VIP,9.7
25/06/2021,VIP,9.7
24/06/2021,VIP,9.3
23/06/2021,VIP,8.89
22/06/2021,VIP,8.92
21/06/2021,VIP,8.86
18/06/2021,VIP,9.02
17/06/2021,VIP,8.95
16/06/2021,VIP,8.43
15/06/2021,VIP,8.44
14/06/2021,VIP,8.35
11/06/2021,VIP,8.4
10/06/2021,VIP,8.38
09/06/2021,VIP,8.5
