Ngay,Symbol,GiaDongCua
29/12/2023,VJC,108.0
28/12/2023,VJC,108.0
27/12/2023,VJC,107.9
26/12/2023,VJC,108.0
25/12/2023,VJC,107.8
22/12/2023,VJC,106.2
21/12/2023,VJC,105.3
20/12/2023,VJC,104.3
19/12/2023,VJC,104.3
18/12/2023,VJC,105.0
15/12/2023,VJC,103.0
14/12/2023,VJC,105.3
13/12/2023,VJC,105.0
12/12/2023,VJC,104.5
11/12/2023,VJC,104.2
08/12/2023,VJC,104.2
07/12/2023,VJC,105.7
06/12/2023,VJC,105.8
05/12/2023,VJC,105.1
04/12/2023,VJC,105.8
01/12/2023,VJC,105.4
30/11/2023,VJC,102.0
29/11/2023,VJC,106.8
28/11/2023,VJC,106.5
27/11/2023,VJC,106.0
24/11/2023,VJC,106.3
23/11/2023,VJC,105.0
22/11/2023,VJC,108.2
21/11/2023,VJC,106.6
20/11/2023,VJC,105.7
17/11/2023,VJC,105.5
16/11/2023,VJC,108.5
15/11/2023,VJC,108.7
14/11/2023,VJC,107.8
13/11/2023,VJC,108.0
10/11/2023,VJC,109.0
09/11/2023,VJC,108.4
08/11/2023,VJC,113.0
07/11/2023,VJC,106.0
06/11/2023,VJC,107.3
03/11/2023,VJC,106.5
02/11/2023,VJC,104.9
01/11/2023,VJC,104.4
31/10/2023,VJC,99.0
30/10/2023,VJC,98.0
27/10/2023,VJC,99.8
26/10/2023,VJC,99.8
25/10/2023,VJC,102.8
24/10/2023,VJC,103.6
23/10/2023,VJC,103.5
20/10/2023,VJC,105.2
19/10/2023,VJC,105.1
18/10/2023,VJC,104.9
17/10/2023,VJC,102.9
16/10/2023,VJC,102.5
13/10/2023,VJC,103.8
12/10/2023,VJC,97.7
11/10/2023,VJC,97.6
10/10/2023,VJC,97.3
09/10/2023,VJC,97.1
06/10/2023,VJC,97.0
05/10/2023,VJC,95.5
04/10/2023,VJC,96.8
03/10/2023,VJC,97.9
02/10/2023,VJC,98.5
29/09/2023,VJC,99.3
28/09/2023,VJC,99.3
27/09/2023,VJC,99.7
26/09/2023,VJC,98.0
25/09/2023,VJC,98.0
22/09/2023,VJC,97.6
21/09/2023,VJC,99.3
20/09/2023,VJC,99.4
19/09/2023,VJC,99.4
18/09/2023,VJC,98.8
15/09/2023,VJC,99.7
14/09/2023,VJC,99.0
13/09/2023,VJC,99.0
12/09/2023,VJC,101.9
11/09/2023,VJC,99.0
08/09/2023,VJC,101.4
07/09/2023,VJC,101.0
06/09/2023,VJC,101.7
05/09/2023,VJC,100.5
31/08/2023,VJC,98.0
30/08/2023,VJC,96.9
29/08/2023,VJC,97.5
28/08/2023,VJC,98.0
25/08/2023,VJC,97.0
24/08/2023,VJC,97.5
23/08/2023,VJC,96.5
22/08/2023,VJC,97.3
21/08/2023,VJC,96.0
18/08/2023,VJC,97.9
17/08/2023,VJC,100.0
16/08/2023,VJC,100.8
15/08/2023,VJC,101.9
14/08/2023,VJC,100.2
11/08/2023,VJC,101.1
10/08/2023,VJC,100.7
09/08/2023,VJC,101.6
08/08/2023,VJC,103.0
07/08/2023,VJC,101.9
04/08/2023,VJC,101.0
03/08/2023,VJC,101.0
02/08/2023,VJC,100.8
01/08/2023,VJC,101.2
31/07/2023,VJC,102.0
28/07/2023,VJC,97.8
27/07/2023,VJC,96.9
26/07/2023,VJC,96.5
25/07/2023,VJC,97.1
24/07/2023,VJC,96.8
21/07/2023,VJC,98.0
20/07/2023,VJC,97.8
19/07/2023,VJC,96.7
18/07/2023,VJC,96.3
17/07/2023,VJC,97.3
14/07/2023,VJC,97.9
13/07/2023,VJC,94.9
12/07/2023,VJC,93.9
11/07/2023,VJC,94.2
10/07/2023,VJC,94.2
07/07/2023,VJC,93.8
06/07/2023,VJC,94.3
